SUA_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
2010,22637,3990,1992,60,66,28744,8748,1432,616,18,12,10822,7703,1234,604,16,18,9570,12723,2057,1051,20,17,15865,18088,3023,1555,34,31,22737,55854,9848,5725,118,107,71643,70167,12430,7194,127,147,90066,97326,15834,9365,184,211,122917,44255,8151,4247,82,122,56860,38982,8117,3334,60,104,50602,29719,6390,2092,45,100,38343,20404,2880,1238,44,49,24612,426609,75379,39007,817,978,542784
2011,293,34,0,0,0,325,183,20,0,0,0,202,169,14,0,0,0,185,314,35,0,0,0,345,505,48,3,0,0,562,1945,212,5,0,3,2156,2160,174,3,0,4,2340,1690,92,4,0,7,1786,399,19,0,0,0,412,229,12,0,3,0,242,141,6,0,0,0,147,380,23,0,0,0,406,8399,685,18,4,14,9116
2012,234,10,9,0,0,251,174,6,3,0,0,186,173,6,0,0,0,176,442,20,10,0,3,473,685,24,16,4,3,736,1613,61,13,0,5,1691,1078,18,5,0,0,1108,690,3,0,0,3,694,194,0,0,0,0,198,128,0,0,0,0,128,83,0,0,0,0,88,270,10,4,0,0,284,5763,160,60,6,24,6012
2013,76,3,4,0,0,84,108,3,0,0,0,119,105,6,3,0,0,108,229,5,0,0,0,237,261,3,3,0,0,267,526,14,0,0,0,546,261,4,0,0,0,261,183,0,0,0,0,189,44,0,0,0,0,44,25,0,0,0,0,25,24,0,0,0,0,24,92,4,3,0,0,98,1931,51,12,4,0,1997
2014,74,3,3,0,0,78,46,0,0,0,0,47,62,0,0,0,0,65,101,0,0,0,0,104,128,0,0,0,0,128,358,5,0,0,0,363,226,4,3,0,0,228,132,0,0,0,0,137,37,0,0,0,0,38,34,0,0,0,0,34,15,0,0,0,0,12,68,0,0,0,0,68,1288,10,13,0,5,1313
2015,75,4,5,0,0,84,61,4,0,0,0,65,55,3,4,0,0,63,94,3,0,0,0,103,172,7,3,0,0,184,396,12,3,0,0,417,353,3,7,0,0,359,224,0,0,0,0,228,97,0,0,0,0,97,51,0,0,0,0,53,20,0,0,0,0,20,60,0,0,0,0,63,1654,37,21,9,5,1727
2016,233,11,0,0,0,241,135,9,0,0,0,145,147,6,0,0,0,155,354,17,0,0,0,372,545,28,0,3,0,578,1445,37,0,0,0,1489,1178,21,0,0,0,1202,793,17,0,0,0,810,218,0,0,0,0,215,131,4,0,0,0,134,82,0,0,0,0,82,245,10,0,4,0,257,5502,158,4,9,7,5686
2017,35,3,0,0,0,38,31,0,0,0,0,32,27,0,0,0,0,33,99,3,0,0,0,105,141,5,7,0,0,151,285,8,3,0,3,305,212,5,3,0,3,223,157,0,0,0,3,164,32,0,0,0,0,34,26,0,0,0,0,26,18,0,0,0,0,21,50,4,0,0,3,58,1123,23,18,0,15,1177
2018,207,3,13,0,0,219,165,4,3,0,0,176,186,6,10,0,0,205,442,6,15,0,3,458,604,10,14,0,0,628,1259,27,15,0,3,1307,906,11,12,0,0,927,744,10,0,0,0,751,193,0,0,0,0,193,110,4,0,0,0,117,69,0,0,0,0,69,189,3,0,0,0,193,5074,81,81,3,8,5247
2019,102,3,0,0,0,107,81,0,0,0,0,79,64,0,0,0,0,64,130,13,0,0,0,143,239,16,0,0,0,254,620,25,3,0,0,640,457,8,0,0,0,467,290,0,0,0,0,294,78,0,0,0,0,78,45,3,0,0,0,50,17,0,0,0,0,22,84,3,0,0,0,92,2206,74,7,3,4,2286
2020,237,8,3,0,0,244,115,4,3,0,0,118,93,3,0,0,0,99,192,3,0,0,0,196,296,8,6,0,0,308,1023,20,6,0,0,1051,1014,3,3,0,0,1022,844,0,0,4,3,850,270,0,0,0,0,279,193,0,0,0,0,193,110,0,0,0,0,107,208,5,3,0,0,214,4587,51,29,12,12,4686
2021,176,13,7,0,0,191,111,10,0,0,0,116,82,3,0,0,0,83,171,17,3,0,0,196,269,12,7,3,0,294,853,60,17,6,0,932,874,24,3,4,3,912,694,19,3,3,0,712,186,12,0,0,0,201,106,4,0,0,0,114,73,3,0,0,0,74,145,12,3,0,0,163,3739,181,37,18,9,3993
