SUA_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
2010,79353,71067,150417,11405,13320,24729,301,113,419,22865,27951,50814,2660,1330,3991,686940,537505,1224446,32240,46491,78730,10784,206,10991,6709,752,7456,20860,8746,29608,6633,3484,10113,30219,31740,61959,910974,742710,1653677,10972,9507,20472,12,13,21,7841,8047,15888,14692,10922,25610,2030,3631,5657,2115,926,3037,37649,33037,70686,11,4,14,1150,1614,2764,705,678,1387,571,1061,1634,205,195,396,2638,3552,6195,8274,5712,13992,48563,42303,90870,8707,8951,17658,297,345,645,481,291,775,9486,9584,19070,35351,49280,84629,63521,112655,176177,9834,8014,17852,1077734,964541,2042271
2011,544,604,1151,60,84,141,4,0,4,4,8,10,15,5,20,10062,7372,17435,639,630,1273,237,6,241,52,3,56,22,13,31,78,39,114,119,136,257,11830,8900,20730,64,54,115,0,0,0,28,39,64,157,129,287,16,39,60,9,6,17,279,269,544,0,0,0,0,0,0,11,0,10,17,15,27,4,0,3,28,15,40,93,43,136,400,327,725,105,122,225,0,0,0,7,0,7,110,129,236,225,409,632,838,1417,2259,160,128,286,13557,11314,24867
2012,6,0,6,59,33,96,7,0,5,4,3,3,13,11,30,7767,7083,14850,597,684,1278,134,5,137,69,7,74,93,25,123,85,37,125,390,339,728,9224,8232,17456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,3,5,8,0,0,0,3,9,9,49,42,92,61,43,102,0,0,0,0,0,0,3,3,12,9,3,11,410,485,896,749,1179,1931,166,126,286,10609,10074,20681
2013,33,19,51,34,16,50,0,4,4,0,0,0,11,3,15,2341,2041,4383,164,148,316,33,0,33,15,0,15,14,6,24,14,7,17,48,51,96,2703,2301,5003,7,0,9,0,0,0,0,0,0,3,3,10,3,3,8,8,0,8,15,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,9,27,9,29,44,18,64,9,8,11,0,0,0,0,0,0,9,8,11,49,68,125,308,482,790,51,45,98,3160,2920,6085
2014,0,0,0,12,3,12,0,0,0,0,0,0,11,10,16,1716,1367,3088,97,111,216,23,0,25,10,0,10,32,3,37,25,11,31,71,88,159,2004,1595,3599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,22,16,7,25,0,0,0,0,0,0,0,0,0,0,0,0,50,75,132,265,359,622,43,29,71,2372,2074,4446
2015,4,3,4,20,3,21,0,0,0,0,0,0,7,11,15,2245,2010,4251,182,204,386,23,0,21,14,0,14,71,26,103,68,9,82,131,148,275,2770,2405,5173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,6,0,6,24,11,33,24,17,37,3,0,3,0,0,0,5,0,5,10,0,10,58,86,144,276,439,715,41,38,72,3173,2981,6155
2016,6,7,16,39,41,80,3,0,3,0,3,3,16,19,38,8180,6880,15063,542,774,1317,99,0,101,55,9,64,130,47,177,67,23,97,343,327,671,9490,8132,17617,0,0,0,0,0,0,3,0,3,3,0,6,0,0,0,0,0,0,6,5,11,0,0,0,0,0,0,3,0,4,3,5,12,4,0,4,13,8,22,70,26,95,84,40,130,0,3,5,0,0,0,3,3,7,3,3,10,225,344,572,703,1211,1920,141,114,255,10649,9855,20507
2017,0,0,0,0,3,3,0,0,0,0,0,0,7,3,13,1834,1460,3296,125,119,244,22,0,22,6,3,12,44,10,57,15,10,23,132,171,301,2184,1784,3963,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,12,14,5,19,0,0,0,0,0,0,0,0,0,3,0,3,42,93,138,152,302,456,48,37,86,2441,2218,4666
2018,48,31,83,74,54,123,3,0,3,3,0,7,19,22,37,6382,5623,12007,417,416,831,76,3,79,32,3,34,64,9,74,64,17,83,190,181,377,7370,6364,13728,3,8,7,0,0,0,0,0,0,10,8,16,6,5,17,7,0,7,20,23,41,0,0,0,0,0,0,4,6,8,8,9,15,4,4,8,12,19,33,54,26,81,90,64,156,10,5,16,0,4,4,0,0,0,11,6,18,140,221,363,770,1163,1933,104,78,184,8486,7893,16376
2019,3,0,3,14,12,29,3,0,3,0,0,0,9,6,12,2912,2597,5512,185,207,394,37,0,37,16,6,16,89,37,133,21,8,27,168,206,372,3463,3090,6554,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,39,23,58,45,21,68,0,0,4,0,0,0,0,0,0,0,0,4,78,160,239,295,599,895,57,55,111,3936,3930,7862
2020,143,99,246,29,11,39,0,0,3,4,0,3,17,7,24,5733,4801,10528,351,339,689,145,5,149,40,15,46,24,8,33,45,27,76,221,175,397,6748,5482,12233,13,5,19,0,0,0,5,4,6,34,23,57,11,4,13,6,4,9,72,42,111,0,0,0,0,0,0,4,3,7,0,3,7,0,0,0,3,6,12,54,23,78,134,70,199,28,17,44,0,0,0,0,0,0,34,17,49,430,456,885,562,1052,1613,70,85,153,7973,7162,15136
2021,3,5,6,39,23,67,0,0,0,4,4,9,22,16,35,5829,5279,11111,510,525,1035,80,0,80,44,4,48,108,30,141,54,19,74,375,291,671,7078,6202,13282,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,3,0,5,3,5,7,3,0,3,13,6,20,55,29,79,64,32,99,0,0,3,0,0,4,3,0,3,3,4,8,196,294,487,631,1120,1749,72,77,151,8046,7730,15780
