SUA_CODE_2016,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_0_4,M_Hong_Kong_5_14,M_Hong_Kong_15_24,M_Hong_Kong_25_44,M_Hong_Kong_45_54,M_Hong_Kong_55_64,M_Hong_Kong_65_74,M_Hong_Kong_75_84,M_Hong_Kong_85ov,M_Hong_Kong_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot
2010,71,594,2445,4859,1111,485,176,42,16,9807,126557,213041,195499,339752,154120,115206,69961,33248,13979,1261363,53,231,457,2606,382,192,62,5,7,3999,3,21,252,1362,758,720,353,233,29,3728,27,142,605,2206,1320,1010,480,164,50,6002,72,262,287,1487,604,361,170,53,27,3323,19,55,73,1113,716,542,600,164,18,3303,652,2900,17606,26719,7940,6370,3095,1733,607,67630,8,27,100,770,1073,1303,1434,1298,203,6212,51,464,340,1272,759,1172,1225,684,242,6206,521,3245,3466,15257,12852,11028,10802,5849,2139,65149,12,130,368,1826,999,699,329,134,44,4545,38,173,326,1551,489,280,294,109,38,3294,44,199,442,1694,1110,1013,2701,1567,470,9235,30,302,368,1159,2222,3688,5650,6280,1670,21369,129,456,1586,3977,1146,1566,681,264,42,9843,1574,4758,10860,54286,6867,4388,2626,1058,329,86739,90,312,1893,3550,623,399,343,152,51,7420,84,772,940,4932,968,487,277,79,22,8569,102,747,1146,3699,1837,899,392,153,38,9016
2011,0,0,0,3,0,0,0,0,0,3,2370,3648,2948,5867,2114,1824,1099,313,96,20275,0,7,4,35,9,3,3,0,0,59,0,0,3,30,12,4,8,0,0,65,0,0,0,0,0,0,0,0,0,3,0,3,0,14,8,4,0,0,0,27,0,0,9,15,10,5,17,3,0,55,0,3,4,33,9,10,3,0,0,68,0,0,3,9,14,27,15,10,0,90,0,16,10,11,8,11,14,9,3,83,0,21,18,96,176,177,202,108,31,826,0,3,6,35,10,3,4,0,0,65,0,0,0,3,3,3,3,0,0,13,0,0,7,4,12,24,62,10,7,128,0,0,0,5,13,16,19,9,3,65,0,0,0,10,0,0,0,0,0,14,17,45,52,504,52,30,19,9,0,723,0,0,7,10,5,0,0,3,0,20,0,3,4,10,3,4,0,0,0,26,0,0,0,14,3,3,0,0,0,24
2012,0,9,34,64,35,20,10,0,0,170,1478,2957,2636,4379,2457,2470,1837,896,320,19430,0,0,0,3,0,3,0,0,0,9,0,0,0,3,0,0,0,0,0,5,0,3,0,6,5,3,0,0,0,19,0,0,3,8,0,3,0,0,0,15,0,0,0,3,0,0,0,0,0,3,0,0,13,19,3,6,3,4,0,54,0,0,0,0,0,4,11,15,3,35,0,0,0,6,0,0,0,0,0,9,3,9,18,56,54,72,91,41,12,347,0,0,0,12,0,0,0,0,0,19,0,0,4,3,3,0,0,0,0,15,0,0,0,3,0,5,33,8,0,51,0,0,0,0,11,10,22,21,7,74,0,0,0,15,0,4,0,0,0,20,4,15,9,122,17,9,10,0,0,189,0,0,0,3,0,3,0,0,0,12,0,0,4,11,3,0,0,0,0,24,0,5,3,14,12,0,0,0,0,29
2013,0,0,0,0,0,0,0,0,0,0,408,860,970,1495,839,864,486,242,81,6247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,11,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,7,5,3,4,0,0,16,0,0,0,0,0,3,3,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,16,22,61,73,48,23,246,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,63,8,5,86,0,0,0,0,0,0,0,0,3,12,0,0,0,3,0,0,0,0,0,4,0,0,0,9,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0,0,266,565,586,934,650,622,470,243,80,4416,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,22,26,33,14,12,113,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,0,0,456,845,792,1307,688,682,477,261,114,5615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,10,0,0,0,0,4,0,4,3,0,13,0,0,0,3,0,0,3,0,0,9,0,3,9,28,38,28,50,27,18,190,0,0,0,3,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,3,15,5,0,36,0,0,0,0,0,0,3,0,0,3,0,0,0,4,0,0,0,0,0,3,0,8,0,56,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,0,50,104,200,73,27,8,0,0,456,1533,2842,2485,4016,2230,2113,1587,853,295,17949,0,6,0,5,3,0,0,0,0,14,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,4,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,3,7,31,8,3,8,3,0,64,0,0,0,0,3,4,3,4,0,16,0,7,0,0,0,0,0,0,0,9,0,13,18,39,51,60,97,35,9,330,0,0,3,5,3,0,0,0,0,15,0,0,0,5,3,3,0,0,0,14,0,0,0,3,10,7,14,4,3,42,0,0,3,3,3,14,15,24,6,72,0,0,0,9,0,0,0,0,0,8,4,58,47,365,64,36,11,7,3,591,0,0,0,5,0,0,0,0,0,15,3,18,21,15,0,0,0,0,0,58,0,12,45,99,57,17,7,0,0,235
2017,0,5,18,34,28,12,0,0,0,105,345,574,557,941,493,473,375,244,103,4103,0,0,0,3,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,7,12,5,0,43,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,13,68,5,7,0,0,0,96,0,0,0,12,0,0,0,0,0,16,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
2018,0,0,0,0,0,0,0,0,0,0,1231,2311,2138,3903,2024,1857,1175,579,190,15411,0,3,0,10,9,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,7,0,6,0,0,0,19,0,0,0,0,0,0,3,0,0,10,5,4,9,26,6,11,0,5,0,67,0,0,0,0,0,7,8,10,0,22,0,4,0,6,0,0,3,3,0,16,0,3,6,31,75,78,105,80,25,409,0,0,0,10,0,3,0,0,0,17,0,0,0,0,0,0,0,0,0,7,0,0,0,3,3,9,36,26,15,87,0,0,0,0,0,4,6,14,7,38,0,0,0,8,0,3,0,0,0,13,3,13,9,90,10,6,7,3,0,135,0,0,0,3,0,4,0,3,0,10,0,0,0,4,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,3
2019,0,0,0,0,0,0,0,0,0,0,505,1102,925,1652,967,923,694,432,188,7381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,17,26,28,31,28,16,148,0,0,0,0,0,0,0,0,0,3,0,0,0,6,4,0,0,0,0,11,0,0,0,3,0,9,15,5,3,30,0,0,0,0,0,0,3,4,0,8,0,0,0,0,0,0,0,0,0,3,0,3,0,35,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
2020,0,0,0,0,0,0,0,0,0,0,1016,2120,1875,3150,1714,1648,1289,701,202,13714,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,3,0,0,18,0,0,0,0,3,4,0,0,0,6,0,0,6,8,8,3,0,0,0,22,0,0,0,0,4,3,3,5,0,20,0,0,0,4,0,0,4,0,0,4,0,13,17,66,81,117,165,98,26,583,0,0,0,4,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,7,32,27,3,87,0,0,0,0,3,3,4,4,0,9,0,0,0,3,0,3,0,0,0,8,0,3,0,47,10,5,8,0,0,74,0,0,3,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
2021,0,0,0,0,0,0,0,0,0,0,954,1952,1993,3170,1751,1709,1301,640,258,13728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,3,17,33,8,4,0,0,0,74,0,0,0,0,0,0,0,3,0,7,0,3,3,3,0,0,0,0,0,11,3,6,16,48,60,48,60,32,14,288,0,0,0,7,3,0,0,0,0,11,0,0,0,6,3,0,0,0,0,9,0,0,3,3,3,0,4,3,0,20,0,0,0,0,0,0,5,0,3,5,0,0,8,11,0,0,0,0,0,18,0,3,0,21,7,3,3,0,0,39,0,0,0,5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
