LGA_CODE_2016,A55_64_SOLSE_VWW_12,A55_64_SOLSE_VWW_13,A55_64_SOLSE_VWW_14,A55_64_SOLSE_VWW_15,A55_64_SOLSE_VWW_16,A55_64_SOLSE_VWW_YNS,A55_64_SOLSE_VWW_T,A55_64_SOLSE_NWNAA_B00,A55_64_SOLSE_NWNAA_00_05,A55_64_SOLSE_NWNAA_06_10,A55_64_SOLSE_NWNAA_11,A55_64_SOLSE_NWNAA_12,A55_64_SOLSE_NWNAA_13,A55_64_SOLSE_NWNAA_14,A55_64_SOLSE_NWNAA_15,A55_64_SOLSE_NWNAA_16,A55_64_SOLSE_NWNAA_YNS,A55_64_SOLSE_NWNAA_T,A55_64_SOLSE_PinE_NS_B00,A55_64_SOLSE_PinE_NS_00_05,A55_64_SOLSE_PinE_NS_06_10,A55_64_SOLSE_PinE_NS_11,A55_64_SOLSE_PinE_NS_12,A55_64_SOLSE_PinE_NS_13,A55_64_SOLSE_PinE_NS_14,A55_64_SOLSE_PinE_NS_15,A55_64_SOLSE_PinE_NS_16,A55_64_SOLSE_PinE_NS_YNS,A55_64_SOLSE_PinE_NS_T,A55_64_SOLSE_T_B00,A55_64_SOLSE_T_00_05,A55_64_SOLSE_T_06_10,A55_64_SOLSE_T_11,A55_64_SOLSE_T_12,A55_64_SOLSE_T_13,A55_64_SOLSE_T_14,A55_64_SOLSE_T_15,A55_64_SOLSE_T_16,A55_64_SOLSE_T_YNS,A55_64_SOLSE_T_T,A55_64_L_PinE_NS_B00,A55_64_L_PinE_NS_00_05,A55_64_L_PinE_NS_06_10,A55_64_L_PinE_NS_11,A55_64_L_PinE_NS_12,A55_64_L_PinE_NS_13,A55_64_L_PinE_NS_14,A55_64_L_PinE_NS_15,A55_64_L_PinE_NS_16,A55_64_L_PinE_NS_YNS,A55_64_L_PinE_NS_T,A55_64_T_B00,A55_64_T_00_05,A55_64_T_06_10,A55_64_T_11,A55_64_T_12,A55_64_T_13,A55_64_T_14,A55_64_T_15,A55_64_T_16,A55_64_T_YNS,A55_64_T_T,A65_74_SEO_B00,A65_74_SEO_00_05,A65_74_SEO_06_10,A65_74_SEO_11,A65_74_SEO_12,A65_74_SEO_13,A65_74_SEO_14,A65_74_SEO_15,A65_74_SEO_16,A65_74_SEO_YNS,A65_74_SEO_T,A65_74_SOLSE_VWW_B00,A65_74_SOLSE_VWW_00_05,A65_74_SOLSE_VWW_06_10,A65_74_SOLSE_VWW_11,A65_74_SOLSE_VWW_12,A65_74_SOLSE_VWW_13,A65_74_SOLSE_VWW_14,A65_74_SOLSE_VWW_15,A65_74_SOLSE_VWW_16,A65_74_SOLSE_VWW_YNS,A65_74_SOLSE_VWW_T,A65_74_SOLSE_NWNAA_B00,A65_74_SOLSE_NWNAA_00_05,A65_74_SOLSE_NWNAA_06_10,A65_74_SOLSE_NWNAA_11,A65_74_SOLSE_NWNAA_12,A65_74_SOLSE_NWNAA_13,A65_74_SOLSE_NWNAA_14,A65_74_SOLSE_NWNAA_15,A65_74_SOLSE_NWNAA_16,A65_74_SOLSE_NWNAA_YNS,A65_74_SOLSE_NWNAA_T,A65_74_SOLSE_PinE_NS_B00,A65_74_SOLSE_PinE_NS_00_05,A65_74_SOLSE_PinE_NS_06_10,A65_74_SOLSE_PinE_NS_11,A65_74_SOLSE_PinE_NS_12,A65_74_SOLSE_PinE_NS_13,A65_74_SOLSE_PinE_NS_14,A65_74_SOLSE_PinE_NS_15,A65_74_SOLSE_PinE_NS_16,A65_74_SOLSE_PinE_NS_YNS,A65_74_SOLSE_PinE_NS_T,A65_74_SOLSE_T_B00,A65_74_SOLSE_T_00_05,A65_74_SOLSE_T_06_10,A65_74_SOLSE_T_06,A65_74_SOLSE_T_12,A65_74_SOLSE_T_13,A65_74_SOLSE_T_14,A65_74_SOLSE_T_15,A65_74_SOLSE_T_16,A65_74_SOLSE_T_YNS,A65_74_SOLSE_T_T,A65_74_L_PinE_NS_B00,A65_74_L_PinE_NS_00_05,A65_74_L_PinE_NS_06_10,A65_74_L_PinE_NS_11,A65_74_L_PinE_NS_12,A65_74_L_PinE_NS_13,A65_74_L_PinE_NS_14,A65_74_L_PinE_NS_15,A65_74_L_PinE_NS_16,A65_74_L_PinE_NS_YNS,A65_74_L_PinE_NS_T,A65_74_T_B00,A65_74_T_00_05,A65_74_T_06_10,A65_74_T_11,A65_74_T_12,A65_74_T_13,A65_74_T_14,A65_74_T_15,A65_74_T_16,A65_74_T_YNS,A65_74_T_T,A75_84_SEO_B00,A75_84_SEO_00_05,A75_84_SEO_06_10,A75_84_SEO_11,A75_84_SEO_12,A75_84_SEO_13,A75_84_SEO_14,A75_84_SEO_15,A75_84_SEO_16,A75_84_SEO_YNS,A75_84_SEO_T,A75_84_SOLSE_VWW_B00,A75_84_SOLSE_VWW_00_05,A75_84_SOLSE_VWW_06_10,A75_84_SOLSE_VWW_11,A75_84_SOLSE_VWW_12,A75_84_SOLSE_VWW_13,A75_84_SOLSE_VWW_14,A75_84_SOLSE_VWW_15,A75_84_SOLSE_VWW_16,A75_84_SOLSE_VWW_YNS,A75_84_SOLSE_VWW_T,A75_84_SOLSE_NWNAA_B00,A75_84_SOLSE_NWNAA_00_05,A75_84_SOLSE_NWNAA_06_10,A75_84_SOLSE_NWNAA_11,A75_84_SOLSE_NWNAA_12,A75_84_SOLSE_NWNAA_13,A75_84_SOLSE_NWNAA_14,A75_84_SOLSE_NWNAA_15,A75_84_SOLSE_NWNAA_16,A75_84_SOLSE_NWNAA_YNS,A75_84_SOLSE_NWNAA_T,A75_84_SOLSE_PinE_NS_B00,A75_84_SOLSE_PinE_NS_00_05,A75_84_SOLSE_PinE_NS_06_10,A75_84_SOLSE_PinE_NS_11,A75_84_SOLSE_PinE_NS_12,A75_84_SOLSE_PinE_NS_13,A75_84_SOLSE_PinE_NS_14,A75_84_SOLSE_PinE_NS_15,A75_84_SOLSE_PinE_NS_16,A75_84_SOLSE_PinE_NS_YNS,A75_84_SOLSE_PinE_NS_T,A75_84_SOLSE_T_B00,A75_84_SOLSE_T_00_05,A75_84_SOLSE_T_06_10,A75_84_SOLSE_T_11,A75_84_SOLSE_T_12,A75_84_SOLSE_T_13,A75_84_SOLSE_T_14,A75_84_SOLSE_T_15,A75_84_SOLSE_T_16,A75_84_SOLSE_T_YNS,A75_84_SOLSE_T_T,A75_84_L_PinE_NS_B00,A75_84_L_PinE_NS_00_05,A75_84_L_PinE_NS_06_10,A75_84_L_PinE_NS_11,A75_84_L_PinE_NS_12,A75_84_L_PinE_NS_13
LGA21270,0,0,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,54,5,0,0,0,0,0,0,0,0,62,61,0,0,0,0,0,0,0,0,0,61,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,69,26,0,0,0,0,0,0,0,0,0,23,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
LGA21370,0,0,0,0,0,4,57,3,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,53,0,4,0,0,0,0,3,0,4,65,0,0,0,0,0,0,0,0,0,0,0,353,11,16,3,0,3,0,3,3,20,420,419,3,12,0,0,0,0,0,0,16,461,68,0,0,0,0,0,0,0,0,0,76,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,4,86,0,0,0,0,0,0,0,0,0,0,0,507,3,12,0,0,3,0,3,0,23,550,208,3,0,0,0,0,0,0,0,12,222,54,0,0,0,0,0,0,0,0,5,60,20,0,0,0,0,0,0,0,0,3,16,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,4,77,3,0,0,0,0,0
LGA21450,7,0,3,4,3,11,589,33,13,18,0,3,11,4,6,14,11,119,4,0,0,0,0,0,0,0,0,0,6,506,63,55,4,10,10,8,13,13,26,717,3,0,0,0,0,0,0,0,0,0,3,2107,139,108,12,15,14,9,22,18,69,2518,1560,30,32,3,0,3,3,5,4,37,1679,407,8,18,4,6,0,0,3,3,18,475,46,9,18,3,3,3,3,9,3,13,107,6,0,0,0,0,0,0,0,0,3,10,465,18,32,9,16,7,3,11,8,34,593,3,0,0,0,0,0,0,0,0,0,7,2028,48,60,12,13,13,6,23,11,69,2276,712,8,20,3,0,0,0,0,0,30,775,220,3,3,0,0,0,0,0,0,10,242,63,3,5,0,0,0,0,0,0,0,76,8,0,0,0,0,0,0,0,0,0,8,293,8,10,3,0,0,0,0,0,15,329,9,0,0,0,0,0
LGA21610,60,43,32,34,26,150,6850,1107,273,264,56,79,96,92,73,85,156,2290,51,9,9,0,0,0,0,0,0,5,77,6782,842,567,103,139,134,130,106,107,308,9213,14,0,0,0,0,0,0,0,0,0,18,11908,1172,735,128,159,162,144,114,115,435,15066,4122,75,81,8,21,9,4,4,6,133,4460,3068,93,127,21,31,17,24,26,11,91,3505,923,112,170,39,42,53,39,47,50,96,1565,50,4,4,0,0,0,0,0,0,9,67,4050,210,301,55,72,64,59,78,61,192,5140,9,0,0,0,0,0,0,0,0,9,22,8184,287,379,65,91,69,64,82,70,332,9622,2030,50,45,3,5,12,3,3,0,96,2251,1333,19,52,3,7,3,6,4,0,59,1497,733,66,83,8,7,11,12,3,9,41,990,28,0,0,0,0,0,0,0,0,3,29,2092,89,138,20,16,16,25,4,6,106,2515,8,0,0,0,0,0
LGA21670,0,0,0,0,0,0,32,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,27,4,3,0,0,0,0,3,0,3,38,0,0,0,0,0,0,0,0,0,0,0,210,5,7,0,0,0,0,4,0,12,241,277,0,3,0,0,0,0,0,0,16,293,35,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,310,0,3,0,0,0,0,0,0,20,333,158,0,0,0,0,0,0,0,0,4,164,12,0,0,0,0,0,0,0,0,3,16,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,18,0,0,0,0,0,0,0,0,3,17,0,0,0,0,0,0
LGA21750,0,0,0,0,0,0,36,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,30,6,0,3,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,256,10,9,3,6,0,7,0,0,15,305,259,5,7,0,0,0,0,0,0,12,281,48,0,0,0,0,0,0,0,0,3,56,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,3,61,3,0,0,0,0,0,0,0,0,0,3,315,8,6,0,0,0,0,0,0,13,345,147,0,0,0,0,0,0,0,0,4,151,29,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,3,32,3,0,0,0,0,0
LGA21830,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,15,0,3,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,144,6,4,3,0,0,0,0,0,3,165,167,3,0,0,0,0,0,0,0,7,184,14,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,184,3,0,0,0,0,0,0,0,12,201,92,3,0,0,0,0,0,0,0,3,103,11,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
LGA21890,15,4,6,10,10,71,2768,793,60,74,24,12,30,20,17,31,57,1126,21,0,0,0,0,0,0,0,0,3,26,3344,125,118,37,31,32,31,29,41,131,3918,3,0,0,0,0,0,0,0,0,7,11,4700,170,145,42,38,37,39,33,44,179,5429,972,10,13,0,0,0,0,3,3,36,1041,2815,11,21,4,3,4,5,4,0,84,2953,1298,33,44,3,3,10,18,15,4,51,1475,49,0,0,0,0,0,0,0,0,7,55,4154,47,68,9,11,10,18,20,4,142,4476,6,0,0,0,0,0,0,0,0,7,16,5140,59,79,10,11,10,24,26,3,182,5536,406,3,6,0,0,0,0,0,0,36,448,2316,3,3,0,0,0,0,0,0,79,2408,2133,25,15,0,3,0,0,4,5,122,2307,32,0,0,0,0,0,0,0,0,13,46,4479,32,18,5,9,0,0,4,5,217,4766,9,0,0,0,0,0
LGA22110,0,0,3,0,0,6,130,6,0,6,0,3,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,109,7,8,0,4,0,3,0,0,10,144,0,0,0,0,0,0,0,0,0,0,0,797,28,25,3,6,3,3,0,0,37,905,1127,14,14,0,0,0,0,3,0,43,1200,139,0,0,0,0,0,0,0,0,13,158,10,4,0,0,0,0,0,0,0,4,22,6,0,0,0,0,0,0,0,0,0,6,164,7,0,0,0,0,0,0,0,13,187,4,0,0,0,0,0,0,0,0,3,4,1296,19,12,0,0,0,0,0,0,63,1393,607,11,3,0,0,0,0,0,0,30,657,126,0,0,0,0,0,0,0,0,11,135,9,0,0,0,0,0,0,0,0,3,10,5,0,0,0,0,0,0,0,0,0,5,135,0,0,0,0,0,0,0,0,7,146,6,0,0,0,0,0
LGA22170,11,6,3,7,4,35,1244,106,30,29,11,10,11,12,10,11,20,237,10,4,0,0,0,0,0,0,0,0,14,1133,117,85,25,22,13,16,16,10,54,1494,0,0,0,0,0,0,0,0,0,3,7,4237,236,172,32,30,24,22,26,18,133,4934,2895,49,41,0,4,3,0,3,0,84,3078,730,20,16,3,3,0,0,0,3,31,806,134,15,17,5,3,4,6,3,3,8,210,18,0,0,0,0,0,0,0,0,0,18,881,34,37,13,9,3,8,3,6,44,1032,4,0,0,0,0,0,0,0,0,3,10,3777,83,71,16,8,8,9,4,6,133,4116,1609,18,16,0,0,3,0,0,0,64,1720,561,0,3,0,3,0,0,0,0,14,592,123,18,11,3,0,0,3,0,0,15,173,7,0,0,0,0,0,0,0,0,3,9,695,17,12,3,3,0,7,0,0,34,771,8,0,0,0,0,0
LGA22250,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,89,4,3,0,0,0,3,0,0,0,100,98,0,0,0,0,0,0,0,0,3,99,22,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,3,126,58,0,0,0,0,0,0,0,0,0,63,11,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,14,0,0,0,0,0,0
LGA22310,13,6,10,10,7,52,2532,307,43,76,32,22,29,24,28,24,63,645,12,0,0,0,0,0,0,0,0,0,15,2576,133,135,44,41,35,35,37,33,117,3189,5,0,0,0,0,0,0,0,0,7,12,5012,253,193,56,50,36,43,40,36,153,5874,2455,64,42,11,5,12,4,5,0,33,2633,2061,26,25,4,8,3,4,11,4,47,2197,492,21,54,11,10,15,9,8,15,28,670,19,0,0,0,0,0,0,0,0,0,30,2581,49,81,19,14,23,16,16,14,79,2890,10,0,0,0,0,0,0,0,0,4,15,5047,113,123,24,23,29,19,22,14,112,5533,1109,44,27,0,6,3,0,5,0,51,1240,1339,14,3,3,0,0,4,0,0,34,1390,788,30,33,5,3,5,3,0,0,25,896,23,0,0,0,0,0,0,0,0,4,21,2149,43,33,4,3,5,3,0,0,66,2309,19,0,0,0,0,0
LGA22410,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,29,3,6,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,277,20,16,4,0,3,0,0,0,11,329,247,3,4,0,0,0,0,0,0,13,268,33,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,280,3,4,0,0,0,0,0,0,11,298,133,3,0,0,0,0,0,0,0,3,144,24,0,0,0,0,0,0,0,0,0,24,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0
LGA22490,0,0,0,0,0,3,69,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,69,0,3,0,0,0,0,0,0,3,77,0,0,0,0,0,0,0,0,0,0,0,428,6,19,3,4,0,0,0,0,27,490,338,5,0,0,0,0,0,0,0,15,365,57,0,0,0,0,0,0,0,0,3,63,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,5,63,0,0,0,0,0,0,0,0,0,0,0,401,5,0,0,0,0,0,0,0,15,428,135,3,6,0,0,0,0,0,0,0,148,32,0,0,0,0,0,0,0,0,0,30,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0
LGA22620,0,4,4,5,3,3,199,6,7,14,3,7,11,6,12,3,9,78,0,0,0,0,0,0,0,0,0,0,0,147,30,29,5,7,17,10,18,6,15,276,0,0,0,0,0,0,0,0,0,0,3,1002,68,54,5,8,23,18,18,8,43,1247,1019,16,9,0,0,0,0,0,0,44,1093,136,3,6,0,0,0,0,0,3,5,159,13,0,5,0,0,3,4,3,3,5,34,0,0,0,0,0,0,0,0,0,0,3,150,3,12,3,0,3,4,3,4,11,196,6,0,0,0,0,0,0,0,0,4,5,1174,16,21,3,0,7,4,3,4,57,1290,473,5,3,0,0,0,0,0,0,24,512,94,3,0,0,0,0,0,0,0,9,107,18,0,4,0,0,3,0,0,0,0,34,3,0,0,0,0,0,0,0,0,0,3,112,3,4,0,0,3,0,0,0,15,141,4,0,0,0,0,0
LGA22670,31,31,23,20,17,106,5019,2728,336,347,87,97,108,103,74,97,195,4189,42,0,0,0,0,0,0,0,0,6,53,7080,639,496,118,133,139,119,98,114,310,9262,7,0,0,0,0,0,0,0,0,8,20,8735,754,547,121,137,149,125,104,122,375,11159,2101,39,22,3,0,0,3,0,0,57,2233,2833,55,47,14,12,8,5,8,10,79,3068,1958,128,184,44,38,37,39,39,38,98,2597,35,3,0,0,0,0,0,0,0,6,46,4830,190,232,51,47,45,47,44,46,187,5711,17,0,0,0,0,0,0,0,0,3,21,6949,226,256,56,48,47,47,49,46,246,7965,1164,11,15,0,3,3,4,0,0,45,1237,1561,19,25,0,0,3,3,0,3,51,1672,1572,65,83,10,16,13,8,3,4,91,1872,33,0,0,0,0,0,0,0,0,4,37,3161,90,111,12,14,19,13,5,7,153,3582,14,0,0,0,0,0
LGA22750,3,15,3,7,5,45,1508,183,37,44,11,10,17,16,18,19,31,379,8,0,0,0,0,0,0,0,0,3,15,1507,110,87,10,16,28,17,29,26,71,1899,7,0,0,0,0,0,0,0,0,17,23,4995,213,169,19,21,42,25,32,26,190,5735,4071,34,44,8,14,8,3,6,3,118,4294,1548,5,9,0,0,0,3,7,0,39,1618,392,14,16,5,3,9,6,7,3,10,473,31,0,0,0,0,0,0,0,0,4,32,1972,20,28,4,3,13,10,15,8,58,2125,13,0,0,0,0,0,0,0,0,6,23,6051,51,72,13,20,17,16,19,6,180,6444,2084,33,14,0,0,3,0,0,0,72,2207,1193,3,5,0,0,3,0,0,0,61,1263,516,5,6,0,0,0,3,3,0,39,576,30,0,0,0,0,0,0,0,0,3,34,1737,10,10,3,0,3,3,3,0,102,1880,20,0,0,0,0,0
LGA22830,4,3,3,3,0,19,365,64,25,27,7,6,11,4,5,12,3,166,4,0,0,0,0,0,0,0,0,3,4,338,59,47,11,11,15,10,10,14,25,534,3,0,0,0,0,0,0,0,0,3,7,814,79,68,15,13,13,9,12,14,51,1083,579,8,4,0,0,0,0,3,0,25,625,276,7,3,0,0,0,0,0,0,13,295,78,16,10,3,0,11,3,0,4,11,145,14,0,0,0,0,0,0,0,0,7,18,359,19,16,3,0,10,3,0,4,31,457,3,0,0,0,0,0,0,0,0,3,6,942,35,14,5,0,16,4,6,11,55,1084,225,5,0,3,0,0,0,0,0,14,253,253,0,0,0,0,0,0,0,0,6,263,112,6,5,0,0,3,0,0,0,14,141,4,0,0,0,0,0,0,0,0,0,8,370,5,5,0,0,3,0,0,0,23,403,0,0,0,0,0,0
LGA22910,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,7,3,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,397,17,13,4,0,0,0,0,0,17,447,368,9,0,0,0,0,0,0,0,13,390,72,0,0,0,0,0,0,0,0,0,77,11,0,3,0,0,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,87,3,3,0,0,3,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,450,6,3,0,0,3,0,0,0,13,483,177,0,0,0,0,0,0,0,0,9,185,47,0,0,0,0,0,0,0,0,0,50,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,65,3,0,0,0,0,0
LGA22980,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,8,4,11,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,62,7,11,0,0,0,0,0,0,0,84,45,0,0,0,0,0,0,0,0,3,50,8,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,4,0,0,3,61,25,0,0,0,0,0,0,0,0,0,26,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
LGA23110,0,7,0,3,4,35,1670,416,35,31,10,14,12,6,15,19,22,588,18,0,0,0,0,0,0,0,0,0,17,1958,77,68,22,20,24,9,21,23,60,2277,3,0,0,0,0,0,0,0,0,0,3,3462,144,110,37,30,30,13,26,27,94,3967,1176,19,10,11,7,3,0,7,3,33,1271,1519,11,12,0,3,3,0,0,0,33,1586,500,25,17,5,4,4,5,7,5,27,597,17,0,0,0,0,0,0,0,0,7,27,2038,32,27,8,9,11,8,8,5,65,2210,12,0,0,0,0,0,0,0,0,3,12,3227,46,38,10,16,15,13,10,9,105,3493,550,14,3,0,0,0,0,0,3,23,593,1046,8,3,0,0,0,0,0,0,25,1085,637,8,8,3,9,0,3,0,3,40,712,14,0,0,0,0,0,0,0,0,8,19,1695,17,15,6,9,0,6,0,3,76,1818,3,0,0,0,0,0
LGA23190,0,0,0,0,0,0,31,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,26,3,5,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,142,7,10,0,0,3,0,0,0,5,168,131,3,0,0,0,0,0,0,0,4,137,30,0,4,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,4,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,156,3,4,0,0,0,0,0,3,4,171,75,0,0,0,0,0,0,0,0,0,75,27,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0
LGA23270,31,33,33,33,17,149,4775,1129,219,252,66,43,88,102,74,94,121,2179,47,0,0,0,0,0,0,3,0,8,61,5182,481,425,99,76,114,134,111,120,274,7015,9,3,0,0,0,0,0,0,0,16,21,7312,585,478,102,84,124,138,115,124,362,9417,1945,21,18,3,3,5,5,3,0,64,2073,2648,45,53,11,17,8,21,6,7,93,2912,1154,121,155,43,29,44,43,29,31,87,1739,33,3,3,0,0,0,0,0,0,7,39,3834,166,209,54,51,59,57,37,35,186,4694,10,0,0,0,0,0,0,0,0,8,20,5785,193,234,61,55,62,58,41,36,257,6788,845,13,7,3,0,0,0,4,0,34,908,1201,13,9,0,3,4,0,0,0,45,1286,873,55,61,14,4,25,14,13,12,56,1124,24,0,0,0,0,0,0,0,0,0,30,2103,67,72,21,11,32,18,15,12,97,2442,10,0,0,0,0,0
LGA23350,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,25,3,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,3,294,8,7,0,0,0,0,0,0,14,324,255,4,4,3,0,0,0,0,0,19,286,26,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,282,4,4,3,0,0,0,0,0,21,316,112,0,0,0,0,0,0,0,0,3,115,27,0,0,0,0,0,0,0,0,4,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,4,33,0,0,0,0,0,0
LGA23430,7,6,12,8,5,56,2963,559,41,84,21,24,26,25,28,32,72,920,31,0,0,0,0,0,0,0,0,0,32,3253,179,149,34,31,35,37,40,36,126,3924,11,0,0,0,0,0,0,0,0,0,13,5860,313,232,44,35,45,43,44,39,179,6840,2541,31,47,8,10,11,4,8,3,60,2719,2218,36,19,4,3,5,0,3,8,62,2367,810,26,48,17,15,19,13,19,7,38,1014,27,0,0,0,0,0,0,0,0,3,27,3056,58,70,29,19,24,13,23,14,104,3411,17,0,0,0,0,0,0,0,0,8,30,5610,94,114,38,28,30,13,30,14,177,6154,1385,30,24,3,0,3,0,5,3,28,1479,1278,11,13,0,0,0,0,0,0,42,1352,892,31,24,6,11,3,3,0,3,46,1017,24,0,0,0,0,0,0,0,0,0,24,2187,46,36,7,10,6,3,4,0,86,2392,17,0,0,0,0,0
