LGA_CODE_2016,A75_84_L_PinE_NS_14,A75_84_L_PinE_NS_15,A75_84_L_PinE_NS_16,A75_84_L_PinE_NS_YNS,A75_84_L_PinE_NS_T,A75_84_T_B00,A75_84_T_00_05,A75_84_T_06_10,A75_84_T_11,A75_84_T_12,A75_84_T_13,A75_84_T_14,A75_84_T_15,A75_84_T_16,A75_84_T_YNS,A75_84_T_T,A85ov_SEO_B00,A85ov_SEO_00_05,A85ov_SEO_06_10,A85ov_SEO_11,A85ov_SEO_12,A85ov_SEO_13,A85ov_SEO_14,A85ov_SEO_15,A85ov_SEO_16,A85ov_SEO_YNS,A85ov_SEO_T,A85ov_SOLSE_VWW_B00,A85ov_SOLSE_VWW_00_05,A85ov_SOLSE_VWW_06_10,A85ov_SOLSE_VWW_11,A85ov_SOLSE_VWW_12,A85ov_SOLSE_VWW_13,A85ov_SOLSE_VWW_14,A85ov_SOLSE_VWW_15,A85ov_SOLSE_VWW_16,A85ov_SOLSE_VWW_YNS,A85ov_SOLSE_VWW_T,A85ov_SOLSE_NWNAA_B00,A85ov_SOLSE_NWNAA_00_05,A85ov_SOLSE_NWNAA_06_10,A85ov_SOLSE_NWNAA_11,A85ov_SOLSE_NWNAA_12,A85ov_SOLSE_NWNAA_13,A85ov_SOLSE_NWNAA_14,A85ov_SOLSE_NWNAA_15,A85ov_SOLSE_NWNAA_16,A85ov_SOLSE_NWNAA_YNS,A85ov_SOLSE_NWNAA_T,A85ov_SOLSE_PinE_NS_B00,A85ov_SOLSE_PinE_NS_00_05,A85ov_SOLSE_PinE_NS_06_10,A85ov_SOLSE_PinE_NS_11,A85ov_SOLSE_PinE_NS_12,A85ov_SOLSE_PinE_NS_13,A85ov_SOLSE_PinE_NS_14,A85ov_SOLSE_PinE_NS_15,A85ov_SOLSE_PinE_NS_16,A85ov_SOLSE_PinE_NS_YNS,A85ov_SOLSE_PinE_NS_T,A85ov_SOLSE_T_B00,A85ov_SOLSE_T_00_05,A85ov_SOLSE_T_06_10,A85ov_SOLSE_T_11,A85ov_SOLSE_T_12,A85ov_SOLSE_T_13,A85ov_SOLSE_T_14,A85ov_SOLSE_T_15,A85ov_SOLSE_T_16,A85ov_SOLSE_T_YNS,A85ov_SOLSE_T_T,A85ov_L_PinE_NS_B00,A85ov_L_PinE_NS_00_05,A85ov_L_PinE_NS_06_10,A85ov_L_PinE_NS_11,A85ov_L_PinE_NS_12,A85ov_L_PinE_NS_13,A85ov_L_PinE_NS_14,A85ov_L_PinE_NS_15,A85ov_L_PinE_NS_16,A85ov_L_PinE_NS_YNS,A85ov_L_PinE_NS_T,A85ov_T_B00,A85ov_T_00_05,A85ov_T_06_10,A85ov_T_11,A85ov_T_12,A85ov_T_13,A85ov_T_14,A85ov_T_15,A85ov_T_16,A85ov_T_YNS,A85ov_T_T,T_SEO_B00,T_SEO_00_05,T_SEO_06_10,T_SEO_11,T_SEO_12,T_SEO_13,T_SEO_14,T_SEO_15,T_SEO_16,T_SEO_YNS,T_SEO_T,T_SOLSE_VWW_B00,T_SOLSE_VWW_00_05,T_SOLSE_VWW_06_10,T_SOLSE_VWW_11,T_SOLSE_VWW_12,T_SOLSE_VWW_13,T_SOLSE_VWW_14,T_SOLSE_VWW_15,T_SOLSE_VWW_16,T_SOLSE_VWW_YNS,T_SOLSE_VWW_T,T_SOLSE_NWNAA_B00,T_SOLSE_NWNAA_00_05,T_SOLSE_NWNAA_06_10,T_SOLSE_NWNAA_11,T_SOLSE_NWNAA_12,T_SOLSE_NWNAA_13,T_SOLSE_NWNAA_14,T_SOLSE_NWNAA_15,T_SOLSE_NWNAA_16,T_SOLSE_NWNAA_YNS,T_SOLSE_NWNAA_T,T_SOLSE_PinE_NS_B00,T_SOLSE_PinE_NS_00_05,T_SOLSE_PinE_NS_06_10,T_SOLSE_PinE_NS_11,T_SOLSE_PinE_NS_12,T_SOLSE_PinE_NS_13,T_SOLSE_PinE_NS_14,T_SOLSE_PinE_NS_15,T_SOLSE_PinE_NS_16,T_SOLSE_PinE_NS_YNS,T_SOLSE_PinE_NS_T,T_SOLSE_T_B00,T_SOLSE_T_00_05,T_SOLSE_T_06_10,T_SOLSE_T_11,T_SOLSE_T_12,T_SOLSE_T_13,T_SOLSE_T_14,T_SOLSE_T_15,T_SOLSE_T_16,T_SOLSE_T_YNS,T_SOLSE_T_T,T_L_PinE_NS_B00,T_L_PinE_NS_00_05,T_L_PinE_NS_06_10,T_L_PinE_NS_11,T_L_PinE_NS_12,T_L_PinE_NS_13,T_L_PinE_NS_14,T_L_PinE_NS_15,T_L_PinE_NS_16,T_L_PinE_NS_YNS,T_L_PinE_NS_T,T_T_B00,T_T_00_05,T_T_06_10,T_T_11,T_T_12,T_T_13,T_T_14,T_T_15,T_T_16,T_T_YNS,T_T_T
LGA25250,0,0,0,7,8,5299,37,32,3,3,8,0,0,3,272,5661,269,0,0,0,0,0,0,0,0,15,284,837,0,0,0,0,0,0,0,0,48,887,1036,9,3,0,0,0,0,0,0,168,1221,19,0,0,0,0,0,0,0,0,7,21,1886,17,3,0,0,0,0,0,0,223,2132,0,0,0,0,0,0,0,0,0,7,6,2151,17,3,0,0,0,0,3,0,247,2423,7242,1445,1869,544,563,532,536,490,319,459,13997,13731,2539,5483,1064,1412,1848,2014,2081,1264,903,32342,5528,339,450,119,199,277,262,377,345,584,8471,172,21,35,7,4,19,15,10,13,43,330,19428,2893,5966,1182,1615,2143,2291,2473,1619,1527,41142,17,0,6,3,0,3,0,3,3,44,84,26689,4344,7836,1732,2181,2679,2828,2965,1943,2030,55227
LGA25340,0,0,0,8,21,3596,60,36,7,7,3,3,8,3,139,3862,879,11,7,3,3,0,0,0,0,108,1012,229,0,0,0,0,0,0,0,0,28,251,53,0,0,0,0,0,0,0,0,17,77,7,0,0,0,0,0,0,0,0,0,7,288,0,0,0,0,0,0,0,0,45,338,12,0,0,0,0,0,0,0,0,8,15,1180,11,8,3,3,0,0,0,0,156,1364,15574,1826,2115,422,329,322,225,195,101,737,21844,3249,386,533,119,140,110,168,112,80,167,5068,339,15,35,6,4,9,31,44,24,68,578,44,3,4,0,0,4,0,0,0,3,60,3641,401,570,123,142,120,198,157,105,238,5705,53,4,0,0,0,0,0,3,0,18,79,19262,2235,2686,544,473,446,428,351,206,995,27624
LGA25430,0,0,0,0,0,177,4,0,0,0,0,0,0,0,9,194,46,0,0,0,0,0,0,0,0,0,50,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,66,1246,96,70,15,19,10,8,7,0,55,1523,144,33,54,6,17,16,12,3,0,13,310,3,3,3,0,0,4,11,21,7,20,74,10,0,0,0,0,0,0,0,0,0,12,159,35,59,12,17,19,21,29,9,34,397,4,0,0,0,0,0,0,0,0,231,233,1401,139,134,21,37,29,29,36,12,322,2156
LGA25490,0,0,0,0,0,77,0,0,0,0,0,0,0,0,5,78,17,0,0,0,0,0,0,0,0,6,19,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,4,29,586,91,120,21,7,31,16,19,3,34,929,42,32,47,3,13,25,24,19,8,6,223,4,0,3,0,0,0,4,6,12,4,29,0,0,0,0,0,0,0,0,0,0,3,44,32,48,3,14,25,29,23,24,10,255,4,0,0,0,0,0,0,0,0,0,5,636,126,169,26,23,50,46,41,26,42,1191
LGA25620,0,0,0,0,0,158,0,0,0,0,0,0,0,0,7,166,44,0,0,0,0,0,0,0,0,0,44,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,55,994,54,55,9,9,10,4,18,9,53,1213,170,20,26,8,12,8,8,9,0,10,266,21,0,0,0,0,4,0,0,0,0,29,4,0,0,0,0,0,0,0,0,0,4,194,21,28,8,12,14,8,9,0,10,298,3,0,0,0,0,0,0,0,0,0,7,1197,70,84,17,19,26,14,19,12,66,1517
LGA25710,0,0,0,0,0,590,15,9,0,0,0,0,0,0,23,635,98,4,3,0,0,0,0,0,0,3,108,64,0,0,0,0,0,0,0,0,0,63,13,0,0,0,0,0,0,0,0,5,22,0,0,0,0,0,0,0,0,0,4,4,79,0,0,0,0,0,0,0,0,10,88,0,0,0,0,0,0,0,0,0,0,0,177,5,3,0,0,0,0,0,0,16,195,4250,713,714,116,109,96,83,63,30,138,6304,1694,345,430,80,90,64,83,57,30,53,2928,130,20,35,4,11,5,13,27,16,26,282,18,5,0,0,0,0,0,0,0,3,28,1846,364,464,84,97,67,100,83,43,85,3237,3,0,0,0,0,0,0,0,0,9,11,6092,1080,1177,199,206,165,185,147,74,227,9543
LGA25810,0,0,0,0,0,65,0,0,0,0,0,0,0,0,5,69,20,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,16,422,25,28,11,3,12,4,6,0,29,538,74,23,51,14,15,16,13,20,5,10,253,0,0,0,0,3,8,9,11,6,7,52,0,0,0,0,0,0,0,0,0,0,0,75,25,53,19,19,27,18,32,14,18,302,0,0,0,0,0,0,0,0,0,0,5,506,55,81,27,19,35,22,33,14,46,841
LGA25900,0,0,0,9,9,1394,28,21,0,8,3,5,0,0,60,1514,154,3,0,0,0,0,0,0,0,6,172,206,0,0,0,0,0,0,0,0,10,225,303,0,0,0,0,0,0,0,0,20,331,9,0,0,0,0,0,0,0,0,5,9,514,0,6,0,0,0,0,0,0,43,559,0,0,0,0,0,0,0,0,0,7,5,674,7,5,0,0,0,0,0,0,53,739,6949,1593,2396,815,856,839,864,1009,593,471,16390,4199,1307,2362,602,719,862,963,1144,687,377,13225,1231,84,132,33,45,61,83,145,136,137,2089,39,15,8,0,4,0,4,7,4,21,102,5467,1402,2501,639,768,923,1053,1304,830,534,15419,4,0,6,0,0,0,4,0,0,43,70,12427,2995,4908,1454,1628,1765,1920,2309,1416,1048,31877
LGA25990,0,0,0,4,4,71,0,0,0,0,0,0,0,0,7,71,9,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,10,447,22,19,4,0,0,3,4,5,26,526,67,8,10,0,0,0,3,0,0,7,96,4,0,0,3,0,0,0,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,70,8,10,5,0,0,3,7,0,7,111,0,0,0,0,0,0,0,0,0,46,46,518,30,31,5,3,3,7,8,3,72,681
LGA26080,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,32,15,0,0,0,0,0,0,0,0,0,15,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,15,198,14,9,7,0,0,3,0,0,10,237,30,4,10,4,0,0,0,0,0,0,49,4,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,30,4,10,4,0,0,0,0,3,4,56,0,0,0,0,0,0,0,0,0,0,0,232,13,15,7,0,0,3,0,3,12,297
LGA26170,0,0,0,0,0,412,3,0,0,0,0,0,0,0,18,429,95,0,0,0,0,0,0,0,0,9,102,30,0,0,0,0,0,0,0,0,0,34,11,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,4,50,3,0,0,0,0,0,0,0,0,0,3,138,0,0,0,0,0,0,0,0,15,154,2027,115,125,18,20,19,12,11,9,95,2451,346,37,77,23,11,18,31,20,6,24,589,38,3,8,4,3,4,8,6,5,14,86,4,0,0,0,0,0,0,0,0,0,5,383,41,84,26,21,21,36,27,9,32,683,8,0,0,0,0,0,0,0,0,0,17,2424,157,206,43,38,36,45,35,17,128,3146
LGA26260,0,0,0,0,0,114,0,6,0,0,0,0,0,0,5,127,36,0,0,0,0,3,0,0,0,3,39,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,3,0,0,0,3,50,573,74,97,10,19,16,13,7,8,30,847,82,28,52,5,27,31,16,19,21,19,291,5,3,4,3,3,3,0,4,3,0,31,0,0,0,0,0,0,0,0,0,0,0,89,30,55,10,30,31,16,25,21,14,320,8,0,0,0,0,0,0,0,0,3,10,668,103,151,22,42,49,36,32,28,54,1181
LGA26350,0,0,0,0,3,2003,30,27,3,8,0,0,6,0,51,2124,349,0,4,0,0,0,0,0,0,26,381,289,0,0,0,0,3,0,0,0,8,304,246,6,3,0,3,0,3,0,0,4,264,9,0,0,0,0,0,0,0,0,0,9,548,7,3,0,5,3,3,0,0,7,570,4,3,0,0,0,0,0,0,0,0,4,902,8,9,0,6,3,3,0,0,31,961,7110,1239,1714,577,586,656,657,792,465,404,14190,4851,1418,2531,591,834,1000,1411,1623,929,396,15585,1475,121,202,55,87,87,194,274,173,159,2822,50,7,10,0,7,4,6,8,3,4,101,6377,1542,2742,651,927,1084,1612,1908,1104,558,18507,17,6,3,0,3,0,0,0,0,11,37,13500,2781,4455,1221,1511,1744,2272,2697,1567,968,32732
LGA26430,0,0,0,0,0,104,0,0,0,0,0,0,0,0,4,115,28,0,0,0,0,0,0,0,0,3,32,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,3,39,537,29,36,10,4,7,6,9,13,31,680,96,17,42,11,6,12,9,8,6,11,207,14,4,0,0,0,0,0,3,4,3,31,0,0,0,0,0,0,0,0,0,0,8,111,19,44,11,9,10,9,7,13,15,246,0,0,0,0,0,0,0,0,0,0,3,652,46,80,18,15,24,14,16,20,46,924
LGA26490,0,0,0,0,3,254,0,3,0,0,0,0,0,0,17,278,58,0,4,0,0,0,0,0,0,11,72,23,0,0,0,0,0,0,0,0,0,22,5,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,3,32,0,0,0,0,0,0,0,0,0,0,0,94,0,4,0,0,0,0,0,0,15,105,1693,222,322,60,51,74,59,46,14,102,2640,290,54,133,24,21,31,21,39,14,26,640,22,3,0,0,0,0,5,3,0,10,49,7,0,0,0,0,0,0,0,0,3,8,321,60,136,24,24,31,26,41,14,37,704,3,0,0,0,0,0,0,0,0,0,6,2014,288,460,80,78,101,82,85,21,137,3353
LGA26610,0,0,0,0,3,140,0,0,0,0,0,0,0,0,7,153,14,0,0,0,0,0,0,0,0,3,21,12,0,0,0,0,0,0,0,0,0,12,20,0,0,0,0,0,0,0,0,3,19,3,0,0,0,0,0,0,0,0,0,4,30,0,0,0,0,0,0,0,0,3,34,3,0,0,0,0,0,0,0,0,0,3,52,0,0,0,0,0,0,0,0,9,58,385,52,52,17,12,19,13,11,5,42,607,364,136,306,57,69,75,75,60,46,47,1230,129,35,82,27,52,30,30,35,35,51,516,6,0,3,0,0,0,0,0,3,7,21,501,172,392,87,120,108,105,98,81,102,1775,6,0,0,0,0,0,0,0,0,4,14,891,227,439,104,129,124,119,115,89,152,2394
LGA26670,0,0,0,0,0,59,5,0,0,0,0,0,0,0,3,70,8,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,13,289,28,14,3,0,4,9,3,0,19,370,43,4,19,0,18,3,3,4,0,3,104,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,50,4,17,0,18,3,3,4,0,7,108,0,0,0,0,0,0,0,0,0,0,3,340,33,36,4,14,10,13,3,0,19,485
LGA26700,0,0,0,5,8,279,3,0,0,0,0,0,0,0,17,301,74,0,0,0,0,0,0,0,0,0,75,37,0,0,0,0,0,0,0,0,0,37,23,0,0,0,0,0,0,0,0,0,23,4,0,0,0,0,0,0,0,0,0,4,64,0,0,0,0,0,0,0,0,0,64,10,0,0,0,0,0,0,0,0,0,16,147,0,0,0,0,0,0,0,0,5,156,1150,88,78,17,7,6,15,28,7,39,1427,345,65,141,23,18,17,22,16,6,20,677,89,3,6,0,3,0,4,3,4,17,134,3,0,0,0,0,5,0,0,0,0,9,442,72,147,27,21,18,21,23,11,40,824,23,0,0,0,0,0,0,0,0,8,37,1612,158,224,40,32,28,36,43,18,88,2282
LGA26730,0,0,0,3,3,169,5,0,0,0,0,0,0,0,7,182,53,0,0,0,0,0,0,0,0,9,63,17,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,10,80,1045,154,154,59,44,22,27,35,12,64,1619,179,119,223,24,34,22,45,48,57,23,779,11,13,19,3,8,4,43,80,78,54,319,3,0,3,0,0,0,0,0,3,0,12,191,138,246,29,45,29,82,129,134,84,1109,5,3,0,0,0,0,0,0,0,3,12,1239,293,398,93,87,56,111,163,146,146,2733
LGA26810,0,0,0,0,5,419,10,3,0,0,0,0,0,0,15,452,95,4,0,0,0,0,0,0,0,12,113,38,0,0,0,0,0,0,0,0,0,42,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,51,3,0,0,0,0,0,0,0,0,0,3,146,3,3,0,0,0,0,0,0,11,162,2263,156,241,47,43,48,37,39,20,142,3044,443,72,223,39,42,46,41,76,24,37,1035,41,7,12,4,10,14,17,19,7,24,163,8,0,3,0,0,0,0,0,0,3,13,494,78,242,41,52,53,57,98,27,64,1210,14,0,0,0,0,0,0,0,0,288,303,2767,233,485,90,99,104,95,141,54,491,4554
LGA26890,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,18,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,10,140,9,15,0,3,3,0,0,0,0,171,29,7,7,0,3,7,3,0,0,0,55,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,29,7,8,0,3,7,3,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,173,18,19,3,7,13,3,0,0,7,235
LGA26980,0,0,0,6,14,3589,130,112,18,14,12,15,12,11,109,4028,612,6,3,0,0,0,0,0,0,35,659,432,7,3,0,3,0,0,0,0,39,490,375,22,5,0,0,0,3,0,0,30,440,5,0,0,0,0,0,0,0,0,7,12,817,25,13,0,5,0,4,0,0,72,941,0,0,0,0,0,0,0,0,0,3,4,1428,33,15,3,3,0,4,0,0,115,1611,9750,1538,1419,321,353,284,238,321,261,342,14832,12345,5066,7521,1398,1699,1982,2310,2409,1339,877,36930,3277,823,1394,353,491,631,811,1074,633,817,10298,83,27,29,0,7,9,17,11,15,21,218,15698,5910,8947,1752,2193,2625,3138,3499,1977,1706,47452,27,0,4,0,3,0,3,3,7,30,71,25477,7456,10375,2076,2548,2911,3376,3814,2242,2077,62351
LGA27070,0,0,0,10,17,4228,72,80,11,7,4,13,4,4,286,4720,160,0,0,0,0,0,0,0,0,13,180,366,7,4,0,0,0,0,0,0,29,414,612,5,9,5,6,3,0,0,0,93,730,18,0,0,0,0,0,0,0,0,3,18,996,7,7,5,4,4,0,0,0,124,1155,3,0,0,0,0,0,0,0,0,12,15,1166,12,14,5,4,4,0,0,0,145,1348,7518,1178,1502,340,383,306,248,267,156,457,12357,19319,5314,10322,1560,1744,2132,1721,1574,837,1150,45687,6204,707,1161,302,384,616,418,505,419,762,11478,242,39,81,9,8,16,9,18,20,55,498,25769,6060,11567,1867,2143,2768,2148,2090,1274,1974,57660,39,4,7,0,0,0,0,3,9,59,124,33325,7242,13073,2207,2524,3078,2396,2367,1438,2494,70138
LGA27170,0,0,0,0,0,363,4,7,0,0,0,0,0,0,12,386,75,0,0,0,0,0,0,0,0,4,76,63,0,0,0,0,0,0,0,0,5,67,19,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,5,80,0,0,0,0,0,0,0,0,0,3,3,147,0,0,0,0,0,0,0,0,8,165,1593,138,188,39,43,19,31,23,9,86,2161,542,122,449,74,104,68,36,54,46,52,1547,57,11,41,19,11,12,7,19,28,8,224,11,0,4,0,0,0,0,0,0,3,18,611,134,499,88,116,75,44,79,81,58,1789,6,0,0,3,0,0,0,0,0,3,12,2211,276,683,131,157,93,74,99,93,152,3957
LGA27260,0,0,0,8,19,1868,76,117,18,16,20,8,9,15,83,2235,210,6,4,0,0,0,0,0,0,12,230,159,4,7,0,0,0,0,0,0,3,177,171,7,18,5,0,3,0,0,0,8,210,6,0,0,0,0,0,0,0,0,0,7,331,12,24,9,0,3,0,3,0,17,395,4,0,0,0,0,0,0,0,0,0,5,543,17,23,9,0,3,0,7,0,36,631,10346,2851,4232,978,1136,841,649,626,344,617,22625,12429,10455,19232,2704,2861,2859,2678,2553,1372,1147,58295,1816,685,1869,404,445,591,609,753,663,620,8459,116,68,123,14,17,15,21,23,24,35,469,14361,11207,21225,3124,3332,3470,3311,3329,2054,1799,67216,36,9,10,3,3,4,4,5,5,321,403,24746,14068,25468,4105,4474,4313,3963,3963,2402,2738,90246
LGA27350,0,0,0,3,3,1403,46,26,0,0,3,3,0,0,50,1539,83,0,0,0,0,0,0,0,0,13,93,129,3,0,0,0,0,0,0,0,5,142,337,5,0,0,3,0,0,0,0,14,359,6,0,0,0,0,0,0,0,0,4,13,476,9,3,0,3,0,0,0,0,23,511,0,0,0,0,0,0,0,0,0,0,0,551,9,5,0,3,0,0,0,0,34,603,5034,1092,1556,583,601,606,668,702,471,382,11684,3643,1124,1490,315,424,460,612,674,437,296,9468,2530,301,312,60,63,102,87,116,98,133,3802,44,12,23,3,3,3,3,3,3,11,119,6214,1433,1825,375,492,560,701,797,545,443,13390,12,0,0,3,0,0,0,3,3,38,59,11261,2530,3379,958,1100,1167,1371,1503,1014,855,25136
LGA27450,0,0,0,3,5,2284,35,19,0,0,3,7,6,0,86,2445,522,6,3,0,0,0,0,0,0,43,575,223,0,3,0,3,0,0,0,0,26,255,74,0,0,0,0,0,0,0,0,5,73,0,0,0,0,0,0,0,0,0,0,0,297,0,3,0,3,0,0,0,0,28,331,0,0,0,0,0,0,0,0,0,6,10,818,6,3,0,3,0,0,0,0,75,906,13295,1204,1160,170,173,149,146,116,47,534,16991,3223,677,1209,180,247,193,179,144,79,148,6281,288,55,207,48,73,81,68,82,56,94,1048,25,0,10,0,0,0,0,0,0,3,49,3540,739,1425,226,320,279,248,224,136,250,7381,25,0,3,0,0,0,0,0,0,17,50,16856,1945,2587,394,497,424,392,340,182,805,24419
LGA27630,0,0,0,0,0,41,0,0,0,0,0,0,0,0,4,40,10,0,0,0,0,0,0,0,0,6,15,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,12,0,0,0,0,0,0,0,0,12,20,245,6,10,0,4,12,0,0,0,19,285,26,3,27,4,11,16,5,3,0,4,90,0,0,3,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,28,3,28,4,11,16,5,3,3,3,106,0,0,0,0,0,0,0,0,0,3,3,273,6,35,3,15,20,9,5,3,28,399
LGA29399,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,8,6,3,0,3,0,4,0,3,73,12,6,4,3,0,0,13,5,8,8,64,0,0,0,0,0,0,0,6,7,0,18,0,0,0,0,0,0,0,0,0,0,0,12,6,3,3,0,3,15,13,11,13,81,0,0,0,0,0,0,0,0,0,0,0,54,11,7,4,0,8,15,14,17,13,156
LGA29499,0,0,0,3,3,33,0,0,0,0,0,0,0,0,5,38,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,308,64,60,23,11,26,21,69,105,55,738,142,61,115,23,41,41,59,106,174,61,823,38,6,17,3,6,9,29,45,88,45,292,0,0,0,0,0,0,0,0,0,11,10,179,68,138,27,41,54,92,147,264,120,1127,0,3,0,0,0,0,0,3,0,132,147,486,138,195,49,54,81,109,221,375,305,2011
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6
