LGA_CODE_2016,C15_17F_EO_M_O_E_T,C15_17F_EO_M_LPENS,C15_17F_EO_M_T,C15_17F_O_EVWW_M_EO,C15_17F_O_EVWW_M_O_EVWW,C15_17F_O_EVWW_M_O_ENWNA,C15_17F_O_EVWW_M_O_PENS,C15_17F_O_EVWW_M_O_E_T,C15_17F_O_EVWW_M_LPENS,C15_17F_O_EVWW_M_T,C15_17F_O_ENWNA_M_EO,C15_17F_O_ENWNA_M_O_EVWW,C15_17F_O_ENWNA_M_O_ENWNA,C15_17F_O_ENWNA_M_O_PENS,C15_17F_O_ENWNA_M_O_E_T,C15_17F_O_ENWNA_M_LPENS,C15_17F_O_ENWNA_M_T,C15_17F_O_PENS_M_EO,C15_17F_O_PENS_M_O_EVWW,C15_17F_O_PENS_M_O_ENWNA,C15_17F_O_PENS_M_O_PENS,C15_17F_O_PENS_M_O_E_T,C15_17F_O_PENS_M_LPENS,C15_17F_O_PENS_M_T,C15_17F_O_E_T_M_EO,C15_17F_O_E_T_M_O_EVWW,C15_17F_O_E_T_M_O_ENWNA,C15_17F_O_E_T_M_O_PENS,C15_17F_O_E_T_M_O_E_T,C15_17F_O_E_T_M_LPENS,C15_17F_O_E_T_M_T,C15_17F_LPENS_M_EO,C15_17F_LPENS_M_O_EVWW,C15_17F_LPENS_M_O_ENWNA,C15_17F_LPENS_M_O_PENS,C15_17F_LPENS_M_O_E_T,C15_17F_LPENS_M_LPENS,C15_17F_LPENS_M_T,C15_17F_T_M_EO,C15_17F_T_M_O_EVWW,C15_17F_T_M_O_ENWNA,C15_17F_T_M_O_PENS,C15_17F_T_M_O_E_T,C15_17F_T_M_LPENS,C15_17F_T_M_T,C18_20F_EO_M_EO,C18_20F_EO_M_O_EVWW,C18_20F_EO_M_O_ENWNA,C18_20F_EO_M_O_PENS,C18_20F_EO_M_O_E_T,C18_20F_EO_M_LPENS,C18_20F_EO_M_T,C18_20F_O_EVWW_M_EO,C18_20F_O_EVWW_M_O_EVWW,C18_20F_O_EVWW_M_O_ENWNA,C18_20F_O_EVWW_M_O_PENS,C18_20F_O_EVWW_M_O_E_T,C18_20F_O_EVWW_M_LPENS,C18_20F_O_EVWW_M_T,C18_20F_O_ENWNA_M_EO,C18_20F_O_ENWNA_M_O_EVWW,C18_20F_O_ENWNA_M_O_ENWNA,C18_20F_O_ENWNA_M_O_PENS,C18_20F_O_ENWNA_M_O_E_T,C18_20F_O_ENWNA_M_LPENS,C18_20F_O_ENWNA_M_T,C18_20F_O_PENS_M_EO,C18_20F_O_PENS_M_O_EVWW,C18_20F_O_PENS_M_O_ENWNA,C18_20F_O_PENS_M_O_PENS,C18_20F_O_PENS_M_O_E_T,C18_20F_O_PENS_M_LPENS,C18_20F_O_PENS_M_T,C18_20F_O_E_T_M_EO,C18_20F_O_E_T_M_O_EVWW,C18_20F_O_E_T_M_O_ENWNA,C18_20F_O_E_T_M_O_PENS,C18_20F_O_E_T_M_O_E_T,C18_20F_O_E_T_M_LPENS,C18_20F_O_E_T_M_T,C18_20F_LPENS_M_EO,C18_20F_LPENS_M_O_EVWW,C18_20F_LPENS_M_O_ENWNA,C18_20F_LPENS_M_O_PENS,C18_20F_LPENS_M_O_E_T,C18_20F_LPENS_M_LPENS,C18_20F_LPENS_M_T,C18_20F_T_M_EO,C18_20F_T_M_O_EVWW,C18_20F_T_M_O_ENWNA,C18_20F_T_M_O_PENS,C18_20F_T_M_O_E_T,C18_20F_T_M_LPENS,C18_20F_T_M_T,C21_24F_EO_M_EO,C21_24F_EO_M_O_EVWW,C21_24F_EO_M_O_ENWNA,C21_24F_EO_M_O_PENS,C21_24F_EO_M_O_E_T,C21_24F_EO_M_LPENS,C21_24F_EO_M_T,C21_24F_O_EVWW_M_EO,C21_24F_O_EVWW_M_O_EVWW,C21_24F_O_EVWW_M_O_ENWNA,C21_24F_O_EVWW_M_O_PENS,C21_24F_O_EVWW_M_O_E_T,C21_24F_O_EVWW_M_LPENS,C21_24F_O_EVWW_M_T,C21_24F_O_ENWNA_M_EO,C21_24F_O_ENWNA_M_O_EVWW,C21_24F_O_ENWNA_M_O_ENWNA,C21_24F_O_ENWNA_M_O_PENS,C21_24F_O_ENWNA_M_O_E_T,C21_24F_O_ENWNA_M_LPENS,C21_24F_O_ENWNA_M_T,C21_24F_O_PENS_M_EO,C21_24F_O_PENS_M_O_EVWW,C21_24F_O_PENS_M_O_ENWNA,C21_24F_O_PENS_M_O_PENS,C21_24F_O_PENS_M_O_E_T,C21_24F_O_PENS_M_LPENS,C21_24F_O_PENS_M_T,C21_24F_O_E_T_M_EO,C21_24F_O_E_T_M_O_EVWW,C21_24F_O_E_T_M_O_ENWNA,C21_24F_O_E_T_M_O_PENS,C21_24F_O_E_T_M_O_E_T,C21_24F_O_E_T_M_LPENS,C21_24F_O_E_T_M_T,C21_24F_LPENS_M_EO,C21_24F_LPENS_M_O_EVWW,C21_24F_LPENS_M_O_ENWNA,C21_24F_LPENS_M_O_PENS,C21_24F_LPENS_M_O_E_T,C21_24F_LPENS_M_LPENS,C21_24F_LPENS_M_T,C21_24F_T_M_EO,C21_24F_T_M_O_EVWW,C21_24F_T_M_O_ENWNA,C21_24F_T_M_O_PENS,C21_24F_T_M_O_E_T,C21_24F_T_M_LPENS,C21_24F_T_M_T,TCF_EO_M_EO,TCF_EO_M_O_EVWW,TCF_EO_M_O_ENWNA,TCF_EO_M_O_PENS,TCF_EO_M_O_E_T,TCF_EO_M_LPENS,TCF_EO_M_T,TCF_O_EVWW_M_EO,TCF_O_EVWW_M_O_EVWW,TCF_O_EVWW_M_O_ENWNA,TCF_O_EVWW_M_O_PENS,TCF_O_EVWW_M_O_E_T,TCF_O_EVWW_M_LPENS,TCF_O_EVWW_M_T,TCF_O_ENWNA_M_EO,TCF_O_ENWNA_M_O_EVWW,TCF_O_ENWNA_M_O_ENWNA,TCF_O_ENWNA_M_O_PENS,TCF_O_ENWNA_M_O_E_T,TCF_O_ENWNA_M_LPENS,TCF_O_ENWNA_M_T,TCF_O_PENS_M_EO,TCF_O_PENS_M_O_EVWW,TCF_O_PENS_M_O_ENWNA,TCF_O_PENS_M_O_PENS,TCF_O_PENS_M_O_E_T,TCF_O_PENS_M_LPENS,TCF_O_PENS_M_T,TCF_O_E_T_M_EO,TCF_O_E_T_M_O_EVWW,TCF_O_E_T_M_O_ENWNA,TCF_O_E_T_M_O_PENS,TCF_O_E_T_M_O_E_T,TCF_O_E_T_M_LPENS,TCF_O_E_T_M_T,TCF_LPENS_M_EO,TCF_LPENS_M_O_EVWW,TCF_LPENS_M_O_ENWNA,TCF_LPENS_M_O_PENS,TCF_LPENS_M_O_E_T,TCF_LPENS_M_LPENS,TCF_LPENS_M_T,TCF_T_M_EO,TCF_T_M_O_EVWW,TCF_T_M_O_ENWNA,TCF_T_M_O_PENS,TCF_T_M_O_E_T,TCF_T_M_LPENS,TCF_T_M_T
LGA21270,0,0,167,3,3,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,7,0,0,0,0,0,0,0,167,3,0,0,3,0,174,26,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,899,4,0,0,4,0,912,12,23,3,0,23,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,27,3,0,28,0,35,4,0,0,0,0,3,6,916,35,3,0,37,3,954
LGA21370,0,0,822,11,14,0,0,14,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,0,0,14,0,27,3,0,0,0,0,0,3,840,15,0,0,15,0,850,200,3,0,0,3,0,197,0,3,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,4,0,0,0,0,0,0,0,197,7,0,0,7,0,202,35,0,0,0,0,0,35,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,35,3,0,0,3,0,37,5391,51,0,4,53,8,5448,81,144,3,0,148,0,227,3,3,0,0,3,0,10,0,0,0,3,3,0,3,82,150,3,3,154,0,238,16,0,0,0,0,16,35,5487,196,3,6,203,26,5719
LGA21450,40,4,2105,67,192,6,0,198,0,271,0,19,8,0,25,0,24,3,0,0,0,3,0,3,70,207,12,3,226,0,297,3,0,0,0,0,0,9,2139,245,15,4,262,4,2411,754,20,0,0,20,0,777,23,112,10,0,122,0,144,0,13,3,0,11,0,16,0,0,0,0,0,0,0,24,119,10,0,136,0,157,0,0,0,0,0,0,0,774,141,10,0,157,0,934,328,6,0,0,5,0,336,11,58,7,0,63,0,75,0,4,3,0,6,0,6,0,0,0,0,0,0,0,11,59,8,0,71,0,84,0,0,0,0,0,0,0,339,68,8,0,77,0,418,16322,442,6,3,453,31,16809,560,2320,86,18,2417,0,2984,15,159,64,3,226,0,241,10,9,0,6,13,0,22,582,2483,155,23,2661,0,3242,18,4,0,0,7,26,51,16924,2937,164,26,3121,58,20103
LGA21610,190,3,4466,230,2576,156,8,2742,0,2974,7,374,355,3,735,0,744,0,24,3,9,40,0,42,241,2979,512,22,3516,0,3760,7,0,0,0,3,8,21,4520,3169,519,26,3706,11,8243,1866,63,3,0,69,4,1934,88,1700,101,9,1808,0,1891,3,286,311,0,597,0,600,0,11,0,4,14,0,20,89,1996,414,10,2421,0,2510,3,0,0,0,0,0,3,1958,2062,417,9,2492,4,4454,822,34,0,0,34,0,852,39,852,49,7,905,0,949,0,148,148,0,295,0,299,0,3,0,3,8,0,8,41,1004,193,11,1210,0,1250,3,0,0,0,0,3,4,866,1034,193,11,1236,4,2105,31555,1703,22,16,1747,27,33333,2202,25347,1117,157,26621,8,28824,62,3388,2132,28,5549,0,5609,25,201,9,64,275,0,303,2286,28931,3260,247,32439,12,34734,49,27,4,3,39,100,182,33887,30666,3285,270,34222,136,68245
LGA21670,0,0,225,3,7,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,7,0,3,0,0,0,0,0,0,3,234,7,0,0,7,0,236,48,3,0,0,3,0,50,0,3,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,4,0,0,0,0,0,0,0,53,3,0,0,3,0,59,12,3,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,3,0,15,1452,11,0,0,11,3,1461,23,30,0,0,30,0,55,0,8,0,0,8,0,8,0,0,0,0,0,0,0,23,41,0,0,41,0,60,3,0,0,0,0,10,12,1471,44,0,0,44,10,1529
LGA21750,5,0,416,3,9,0,0,9,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,5,0,13,0,0,0,0,0,0,3,415,10,0,0,11,3,428,96,3,0,0,3,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,96,3,0,0,5,0,98,19,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,23,2969,34,0,0,34,10,3017,60,110,8,0,113,0,172,3,15,12,0,30,0,32,3,0,0,0,0,0,3,66,123,19,0,145,0,209,17,0,0,0,0,10,25,3051,161,19,0,182,20,3247
LGA21830,0,0,416,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,420,3,0,0,3,0,427,96,3,0,0,3,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,5,0,0,5,0,105,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,20,2580,9,0,0,9,6,2596,38,38,0,0,38,0,74,3,0,0,0,0,0,3,0,0,0,0,0,0,0,47,38,0,0,38,0,79,11,0,0,0,0,3,12,2633,47,0,0,47,11,2694
LGA21890,85,0,1321,116,704,53,8,766,0,885,0,69,66,0,136,0,142,0,0,0,3,3,0,3,117,780,124,8,905,0,1023,0,0,0,0,0,0,3,1348,865,122,8,991,0,2348,678,43,0,0,45,0,724,73,486,42,0,525,0,602,0,57,61,0,116,0,121,0,0,0,6,5,0,5,75,546,101,6,649,0,725,0,0,0,0,0,0,0,754,582,107,3,692,0,1447,342,21,0,0,22,0,369,36,238,27,0,268,0,300,0,36,38,0,79,0,79,0,0,0,0,5,0,5,37,279,70,0,353,0,382,0,0,0,0,0,0,0,380,302,70,3,373,0,756,12187,880,11,9,899,15,13096,1251,6434,403,41,6873,4,8132,11,863,527,0,1388,5,1402,7,24,16,24,59,0,66,1266,7318,942,67,8320,9,9598,13,4,0,0,4,31,49,13464,8202,952,77,9229,53,22745
LGA22110,7,6,728,9,17,0,0,17,0,26,0,0,0,0,0,0,3,0,0,0,0,0,0,0,12,17,0,0,15,0,28,0,0,0,0,0,0,3,726,26,0,0,22,6,761,152,0,0,0,0,0,152,7,3,0,0,9,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,9,0,8,0,0,0,0,0,0,0,153,3,0,0,5,0,162,23,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,28,5279,58,0,0,62,32,5370,118,137,10,0,149,0,267,0,8,12,0,17,0,18,0,3,0,0,3,0,3,121,143,17,0,165,0,284,11,0,0,0,0,5,16,5409,207,17,5,229,37,5672
LGA22170,56,0,2140,71,296,16,0,306,0,380,0,26,12,0,38,0,43,0,0,0,0,0,0,3,71,316,30,0,351,0,421,3,0,0,0,0,0,8,2161,375,30,3,407,0,2572,812,22,3,0,21,0,832,28,196,6,0,201,0,230,0,15,10,0,19,0,19,0,0,0,0,0,0,0,28,212,9,0,222,0,256,0,0,0,0,0,0,0,841,231,10,3,242,0,1090,370,14,0,0,14,0,386,23,72,4,3,78,0,94,0,6,6,0,17,0,17,0,0,0,0,5,0,5,23,81,15,3,93,0,118,0,0,0,0,0,4,3,394,86,13,3,104,4,500,17318,523,10,17,546,25,17890,894,2566,108,15,2691,3,3583,15,195,101,3,299,0,312,14,21,0,11,31,0,43,923,2781,206,34,3015,3,3939,14,3,0,0,3,28,48,18256,3303,212,44,3561,58,21881
LGA22250,4,0,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,3,0,0,3,0,277,47,0,0,0,0,0,47,0,3,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,4,0,0,0,0,0,0,0,49,3,0,0,3,0,49,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,1499,6,0,0,6,11,1521,22,36,0,0,36,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,37,0,0,37,0,53,16,0,0,0,0,7,17,1531,42,0,0,42,18,1596
LGA22310,106,0,2226,127,692,33,3,732,0,859,5,51,38,0,89,0,87,3,3,0,0,4,0,7,134,745,75,3,823,0,953,0,0,0,0,0,0,3,2251,848,75,3,923,4,3185,1292,52,0,0,47,0,1345,68,462,26,0,485,0,554,0,26,33,0,57,0,55,5,0,0,0,3,0,4,71,485,60,0,547,0,621,0,0,0,0,0,0,3,1366,539,61,0,594,3,1963,747,22,0,0,23,0,775,46,265,7,0,266,0,318,0,11,15,0,25,0,29,0,0,0,0,0,0,0,51,271,23,0,294,0,345,0,0,0,0,0,0,0,803,296,23,0,319,0,1124,17226,942,13,3,966,17,18203,1368,7076,220,26,7328,0,8701,7,320,219,0,549,0,552,20,21,3,5,29,0,48,1397,7421,446,27,7901,0,9305,16,7,0,0,8,9,36,18640,8374,462,38,8875,25,27538
LGA22410,0,0,404,5,4,0,0,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,4,0,14,4,0,0,0,0,0,5,418,5,0,0,5,0,427,81,0,0,0,0,0,81,0,3,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,4,0,0,0,0,0,0,0,80,3,0,0,3,0,80,8,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,14,0,0,0,0,0,16,2531,14,0,0,14,10,2551,53,54,0,0,54,0,110,0,6,3,0,8,0,10,3,0,0,0,0,0,3,61,59,3,0,59,0,123,4,0,0,0,0,7,12,2594,72,3,0,72,14,2684
LGA22490,14,0,624,3,14,0,0,14,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,0,0,16,0,23,0,0,0,0,0,0,0,611,30,0,0,29,0,645,201,5,0,0,5,0,200,3,3,0,0,3,0,6,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,7,0,0,5,0,9,0,0,0,0,0,0,0,203,11,0,0,8,0,209,62,3,0,0,3,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,5,0,0,5,0,61,4592,79,0,0,83,16,4688,83,81,3,0,88,0,165,0,6,3,0,11,0,11,0,0,0,5,5,0,4,85,88,4,5,98,0,176,7,0,0,0,0,3,19,4686,165,4,3,176,20,4884
LGA22620,18,5,2185,31,56,9,0,57,0,94,3,6,37,0,47,0,44,0,0,0,0,0,0,4,33,62,46,0,106,0,139,3,0,0,0,0,5,11,2202,77,49,0,127,10,2337,695,3,0,0,3,4,705,6,19,0,0,16,0,26,0,8,20,0,29,0,28,0,0,0,0,0,0,0,13,21,22,0,45,0,56,0,0,0,0,0,0,0,708,24,22,0,50,4,760,214,3,0,0,3,0,216,0,6,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,12,0,12,0,0,0,0,0,0,0,214,14,0,0,11,0,223,16223,169,4,0,169,32,16428,260,694,35,6,742,0,1002,7,76,264,0,339,0,349,4,4,0,6,12,0,16,276,771,302,18,1087,0,1364,39,0,4,0,4,26,69,16540,941,307,18,1264,60,17861
LGA22670,44,0,478,77,1298,170,7,1467,0,1548,3,391,556,0,947,0,948,0,14,0,0,17,0,17,80,1699,726,7,2427,0,2506,0,0,0,0,0,0,0,519,1734,724,11,2469,3,2993,237,14,0,0,14,0,250,49,910,118,3,1028,0,1076,0,320,418,0,739,0,741,0,6,0,4,11,0,11,49,1233,537,3,1778,0,1832,0,4,0,0,4,0,6,286,1254,537,3,1798,4,2088,117,6,0,0,6,0,126,16,482,59,0,549,0,561,0,173,262,0,431,0,432,0,4,0,0,7,0,7,20,655,322,8,982,0,1002,0,0,0,0,0,0,0,134,665,322,8,988,0,1126,3858,491,18,3,516,3,4373,876,13049,1176,82,14304,13,15199,41,3400,3544,41,6984,3,7034,11,91,20,39,146,0,154,932,16535,4738,158,21437,19,22386,6,20,3,0,25,35,68,4796,17053,4765,166,21982,54,26835
LGA22750,87,8,4044,116,330,17,0,350,0,461,4,35,72,0,114,0,117,0,0,0,5,5,0,7,124,368,88,5,465,0,584,9,0,0,0,0,3,12,4079,460,88,5,551,5,4638,1730,35,0,0,35,3,1761,58,202,13,0,219,0,275,0,16,37,0,56,0,56,0,0,0,0,3,0,3,60,220,50,0,272,0,326,5,0,0,0,0,0,5,1785,259,50,0,308,3,2095,708,15,0,0,15,0,729,24,92,6,0,100,0,123,0,12,26,0,36,0,36,0,0,0,0,0,0,0,24,105,32,0,139,0,166,0,0,0,0,0,0,0,737,122,32,0,156,0,892,32035,740,3,3,750,27,32811,956,3096,115,7,3217,6,4181,19,308,418,7,739,0,756,5,10,0,17,31,0,34,976,3419,536,33,3984,12,4968,55,0,0,3,4,41,98,33061,4157,540,35,4738,78,37874
LGA22830,42,3,1248,26,172,17,4,199,0,225,0,59,66,0,122,0,122,0,0,0,0,0,0,0,26,228,79,4,317,0,346,0,0,0,0,0,4,5,1238,265,79,4,357,7,1596,315,3,0,0,3,0,326,10,52,5,0,54,0,67,0,27,29,0,55,0,55,0,0,0,0,0,0,0,10,74,39,0,110,0,121,0,0,0,0,0,0,0,328,81,39,0,118,0,448,58,3,0,0,3,0,62,3,10,0,0,15,0,15,0,13,10,0,22,0,22,0,0,0,0,0,0,0,3,22,12,0,38,0,41,0,0,0,0,0,0,0,59,25,12,0,43,0,96,7908,211,0,3,212,22,8145,215,1516,172,24,1708,0,1927,3,403,372,0,773,0,774,3,3,3,5,15,0,16,224,1923,549,28,2493,0,2719,6,0,0,0,0,30,34,8135,2132,548,31,2709,52,10898
LGA22910,3,0,219,3,3,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,6,0,0,0,0,0,0,0,222,6,0,0,6,0,231,51,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,57,0,0,0,0,0,54,16,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,22,1829,37,0,0,37,6,1876,44,49,0,0,49,0,92,0,4,0,0,4,0,4,0,0,0,0,0,0,0,47,52,0,0,52,0,91,9,0,0,0,0,0,7,1881,81,0,0,81,10,1973
LGA22980,0,3,134,3,0,0,0,0,0,3,0,0,4,0,6,0,6,0,0,0,0,0,0,0,3,0,4,0,6,0,6,0,0,0,0,0,0,0,135,0,4,0,6,3,141,22,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,25,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,732,0,0,0,0,0,738,12,25,4,0,31,0,46,0,0,31,0,29,0,29,0,0,0,0,0,0,0,12,28,33,0,59,0,73,3,0,0,0,0,0,3,758,29,33,0,65,0,818
LGA23110,49,0,1124,80,412,30,4,442,0,523,3,41,52,0,88,0,92,0,3,0,0,3,0,3,82,453,85,3,541,0,622,0,3,0,0,3,0,3,1156,499,85,4,589,0,1741,619,20,0,0,20,0,641,55,276,21,0,290,0,348,3,22,39,0,62,0,63,0,4,0,0,3,0,3,51,297,54,3,358,0,410,0,0,0,0,0,0,0,673,318,54,3,378,0,1051,357,12,0,0,12,0,369,17,131,5,3,141,0,163,0,23,10,0,34,0,36,0,0,0,3,5,0,5,20,152,23,3,177,0,201,0,0,0,0,0,0,0,374,170,23,3,197,0,568,9697,510,9,5,518,14,10236,862,3941,222,20,4181,6,5045,10,357,334,3,691,0,706,0,24,0,17,41,0,36,874,4316,552,44,4909,6,5794,4,9,0,0,9,4,21,10576,4831,560,50,5441,23,16044
LGA23190,0,0,384,3,15,0,0,15,0,15,0,0,0,0,3,0,3,0,0,0,0,0,0,0,4,16,0,0,16,0,20,4,0,0,0,0,0,3,392,17,0,0,15,0,410,71,0,0,0,0,0,71,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,8,0,0,0,0,0,0,0,70,4,0,0,3,0,76,11,0,0,0,0,0,11,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,12,2842,21,0,0,21,3,2869,44,149,0,0,146,0,192,0,13,9,0,27,0,27,0,3,0,0,3,0,3,45,163,9,0,175,0,221,9,0,0,0,0,0,13,2892,190,9,0,197,5,3100
LGA23270,131,0,2192,158,2004,189,16,2198,0,2355,0,401,368,0,774,0,774,0,17,7,11,27,0,27,161,2424,561,23,3003,0,3159,0,3,0,0,3,9,11,2221,2546,562,21,3132,9,5367,1072,61,0,0,61,0,1138,76,1259,106,6,1369,0,1442,4,264,255,0,524,0,531,0,5,3,10,10,0,13,82,1527,364,10,1910,0,1987,3,0,0,0,0,3,4,1155,1590,364,10,1972,3,3126,470,18,0,0,18,0,486,47,601,77,3,677,0,721,0,133,189,0,325,0,325,0,3,3,3,6,0,6,47,735,271,5,1011,0,1054,0,0,0,0,0,0,0,515,755,271,5,1025,0,1544,15368,1201,16,14,1224,11,16607,1323,18056,1739,98,19893,23,21236,41,2961,2405,17,5384,0,5424,11,109,36,71,211,3,222,1373,21124,4175,184,25486,25,26887,26,18,0,0,16,59,99,16763,22342,4193,197,26733,101,43589
LGA23350,3,0,346,4,3,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,3,0,5,0,0,0,0,0,0,0,353,6,0,0,6,0,355,68,3,0,0,3,0,71,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,74,4,0,0,4,0,74,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,20,2428,21,0,0,27,7,2461,44,37,0,0,37,0,85,0,0,0,0,0,0,0,0,3,0,0,3,0,3,44,40,0,0,40,0,86,15,0,0,0,0,6,23,2491,62,0,0,68,17,2572
LGA23430,87,0,2203,135,647,31,5,686,0,821,0,47,67,0,117,0,117,0,0,0,3,4,0,4,135,700,101,6,807,0,940,0,0,0,0,0,0,5,2251,786,101,6,888,4,3146,1176,39,0,0,39,0,1213,74,510,41,0,549,0,626,0,52,41,0,87,0,88,3,0,0,0,0,0,3,81,555,80,0,642,0,719,0,0,0,0,0,0,3,1258,594,80,0,681,0,1933,583,17,0,0,17,0,597,36,290,17,0,312,0,346,3,17,35,0,50,0,51,0,0,0,0,0,0,0,41,312,47,4,361,0,405,0,0,0,0,0,0,3,619,328,47,4,379,0,1000,18086,865,5,20,891,21,19003,1385,6015,270,41,6317,3,7705,23,469,308,8,777,0,806,15,18,0,12,27,0,45,1422,6496,578,53,7129,3,8550,20,14,3,0,15,12,43,19530,7371,583,72,8028,32,27598
LGA23670,79,0,2679,134,894,60,3,955,0,1089,3,77,70,0,149,0,148,3,4,0,0,8,0,10,141,974,127,4,1110,0,1249,0,0,0,0,0,0,5,2739,1051,130,7,1186,0,3930,1439,41,0,0,45,0,1482,75,763,49,0,813,0,891,0,65,79,0,142,0,140,0,3,3,0,8,0,6,75,830,129,3,963,0,1043,0,0,0,0,0,0,5,1521,876,130,3,1004,4,2528,687,11,0,0,12,0,702,48,410,31,3,444,0,490,0,41,55,0,95,0,93,0,0,0,0,5,0,3,50,449,81,6,538,0,584,0,0,0,0,0,0,3,741,464,81,8,547,0,1295,18434,642,8,9,659,14,19108,1148,7387,372,28,7791,0,8938,26,646,477,0,1129,0,1153,5,38,4,9,52,0,63,1180,8076,853,35,8972,0,10150,23,5,3,0,7,20,50,19644,8721,867,45,9632,28,29312
