LGA_CODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
LGA21270,0,0,9,12,3,30,3,52,5,121,13,13,37,13,7,17,5,27,0,134,64,86,60,23,26,23,17,38,5,329,101,72,42,36,46,34,27,47,5,397,201,77,51,68,74,42,46,65,5,614,224,92,48,53,44,28,53,69,11,622,100,12,19,22,15,4,6,19,6,204,28,3,0,4,3,0,0,6,3,41,13,0,0,0,0,3,0,7,0,17,740,350,261,218,216,176,165,326,41,2486
LGA21370,36,14,161,144,31,384,18,239,16,1051,70,94,333,194,79,127,57,244,25,1222,347,509,467,297,205,211,134,351,29,2561,539,486,440,298,314,245,192,397,38,2944,735,486,463,421,473,313,367,542,46,3843,703,412,382,340,362,245,323,488,53,3294,303,86,64,61,74,52,79,96,16,831,93,12,9,6,6,9,4,15,10,165,16,3,3,3,3,0,0,3,4,33,2838,2109,2320,1756,1551,1586,1174,2374,236,15950
LGA21450,45,27,433,359,105,849,54,600,47,2518,199,317,1045,694,456,730,232,587,64,4325,953,1820,2343,1104,1419,950,736,1000,156,10472,1386,1862,1770,977,1576,758,893,878,152,10238,1491,1403,1558,971,1625,742,939,943,147,9825,867,894,901,558,921,468,680,623,88,5997,270,202,137,91,192,106,161,167,34,1369,92,13,15,6,12,6,7,20,12,183,6,8,3,0,6,3,0,5,9,36,5304,6540,8196,4760,6320,4603,3708,4813,707,44955
LGA21610,95,120,865,989,313,2936,193,1403,132,7052,618,1239,2676,2020,1553,2685,900,1761,281,13739,3129,6068,5961,3467,4573,2722,2601,3089,602,32206,4131,6416,5401,3404,5107,2314,3085,3256,564,33685,3728,4029,4556,3116,4984,2087,3555,3319,482,29862,1974,2398,2592,1726,3056,1249,2365,2293,274,17928,383,414,442,233,513,235,371,460,69,3119,52,46,20,13,32,8,23,57,18,279,9,4,3,3,0,3,6,12,7,49,14126,20726,22514,14972,20139,14243,13115,15651,2426,137913
LGA21670,7,3,26,30,12,122,3,63,3,268,27,37,98,55,9,55,8,78,5,373,66,92,125,80,52,54,40,123,11,631,108,82,136,113,78,73,60,115,8,776,118,115,155,158,137,90,87,189,17,1072,128,131,151,103,90,73,85,164,14,938,65,31,17,22,24,19,13,31,9,234,17,0,0,4,3,4,0,10,9,43,0,0,0,0,0,0,0,3,0,11,538,491,725,557,403,491,300,774,73,4352
LGA21750,20,10,94,74,19,186,6,174,6,583,47,52,152,110,40,84,32,240,21,781,212,234,292,166,133,114,105,351,34,1648,308,246,257,184,169,108,147,294,28,1740,389,270,232,323,231,148,173,336,30,2133,363,272,237,223,211,142,171,272,36,1923,226,76,34,41,56,33,51,68,10,601,59,12,9,6,3,4,3,12,6,108,10,0,0,3,0,0,0,6,7,22,1626,1171,1310,1128,868,821,695,1745,177,9545
LGA21830,33,0,67,59,4,125,14,147,9,458,57,45,112,71,26,46,35,138,4,533,200,167,144,78,61,73,61,172,10,970,353,182,144,103,116,71,96,183,24,1267,546,191,196,153,153,104,151,224,27,1748,486,204,143,136,117,81,117,214,23,1517,270,30,39,17,46,25,41,53,18,545,72,0,3,4,7,3,3,13,6,111,12,3,0,0,0,0,3,0,3,19,2023,822,843,629,530,526,520,1141,129,7164
LGA21890,20,63,151,415,90,1014,38,375,30,2195,307,936,741,1396,800,1406,199,796,128,6700,2166,7280,2650,2288,2503,1571,657,1407,306,20842,2901,6543,1737,1309,2236,923,574,875,256,17357,2234,4238,1478,1169,2144,845,706,961,223,13998,970,2140,817,639,1148,461,552,777,130,7636,160,337,162,115,197,95,110,182,41,1398,14,31,20,9,15,5,10,34,17,153,4,10,3,3,4,3,0,5,8,38,8774,21580,7757,7345,9128,6326,2846,5408,1142,70311
LGA22110,22,9,110,148,19,359,14,220,22,935,70,89,295,200,79,168,54,201,12,1171,296,452,531,368,235,221,151,366,37,2649,392,530,494,408,343,259,189,376,50,3034,602,630,527,551,547,299,277,546,52,4031,692,614,442,421,496,292,263,494,74,3798,361,159,90,88,128,83,83,133,32,1161,109,20,8,8,11,8,4,13,15,203,11,3,0,0,0,0,0,3,0,24,2566,2506,2502,2189,1857,1696,1040,2351,298,17003
LGA22170,47,41,406,493,129,1356,59,741,54,3338,328,488,1277,1002,585,1176,269,716,95,5925,1279,2847,2985,1596,1762,1314,759,1079,232,13858,1948,2802,2428,1450,2015,1081,937,1099,232,13976,1873,2244,2090,1647,2313,1112,1199,1374,237,14089,1191,1544,1448,1080,1698,832,941,996,142,9875,236,388,249,201,369,195,202,246,51,2142,30,29,20,11,18,10,5,26,11,162,8,0,7,0,3,4,4,0,10,30,6944,10387,10913,7481,8893,7080,4375,6279,1055,63406
LGA22250,15,3,39,29,9,85,3,55,12,241,27,23,79,41,26,35,18,58,5,318,103,100,107,59,53,41,47,90,3,616,204,109,89,73,71,51,48,94,6,738,279,127,116,91,123,91,79,150,3,1067,262,107,99,94,116,60,91,149,9,998,151,26,27,25,28,16,25,41,7,350,38,3,3,0,4,0,4,5,3,69,3,0,0,0,0,0,0,0,0,7,1095,499,567,409,430,378,321,648,53,4404
LGA22310,29,106,112,609,131,883,35,362,31,2291,256,1045,558,1118,690,1204,128,525,80,5602,2096,6581,1787,1543,2126,1418,297,795,288,16932,3567,6578,1280,973,1997,938,253,411,267,16251,3357,5265,1230,1065,2267,993,351,493,207,15225,1675,3387,940,742,1622,645,343,452,157,9957,439,996,226,209,477,281,103,178,57,2975,45,97,17,12,59,39,13,35,21,342,14,9,3,0,12,3,0,3,15,66,11481,24063,6149,6276,9382,6395,1526,3249,1123,69634
LGA22410,13,7,69,76,15,204,7,132,8,532,27,39,134,107,31,59,62,103,12,574,94,197,234,118,95,73,143,140,13,1107,193,238,260,180,170,98,195,181,24,1550,337,298,288,211,233,113,328,297,43,2145,375,273,184,163,190,102,235,230,32,1780,190,56,28,37,44,21,46,61,13,501,61,10,3,0,13,7,4,7,13,109,6,0,0,0,0,0,0,0,4,14,1304,1112,1203,886,797,675,1023,1153,155,8311
LGA22490,18,8,110,75,15,194,8,142,15,574,44,58,177,100,64,113,37,115,9,707,165,308,401,174,213,116,118,140,15,1646,359,426,495,227,324,167,186,212,39,2437,378,408,396,318,344,163,253,258,52,2574,275,294,246,176,216,115,192,204,36,1764,151,63,33,32,38,20,31,46,12,423,32,3,0,0,0,0,3,7,3,51,7,0,0,3,4,0,0,4,0,14,1420,1567,1864,1100,1218,889,826,1129,192,10196
LGA22620,52,40,324,450,114,1175,64,706,46,2968,238,553,995,969,381,919,198,806,76,5134,927,2524,1942,1110,1123,756,501,1086,121,10093,1282,2451,1332,1030,1329,697,577,927,149,9775,1405,2139,1349,1223,1593,773,773,1083,141,10494,1056,1701,931,956,1219,595,681,943,128,8205,311,348,163,157,235,157,147,172,47,1745,73,33,19,10,21,15,8,33,15,218,7,3,4,6,9,0,0,3,3,41,5349,9794,7064,5904,6033,5100,2947,5758,729,48675
LGA22670,37,54,164,256,70,914,65,464,44,2058,229,641,942,871,685,1316,514,1244,202,6647,1380,3287,2976,1900,2145,1408,1781,2501,413,17785,1255,2153,2268,1388,1558,868,1637,2037,317,13487,999,1123,1688,1122,1224,672,1828,2255,249,11157,609,697,1095,741,934,410,1256,1537,170,7441,130,180,217,149,264,119,196,291,52,1592,13,19,12,6,13,8,10,23,15,114,0,0,5,0,0,0,0,3,3,17,4651,8157,9360,6428,6899,5710,7285,10350,1465,60306
LGA22750,68,85,671,1023,209,2341,120,1307,100,5922,475,1049,2010,2125,883,2002,436,1373,141,10501,1933,5721,4167,2638,2385,1803,1104,1792,326,21865,2931,5672,3248,2432,2868,1556,1241,1816,365,22128,3012,4659,2966,2875,3255,1572,1638,2128,355,22460,2055,3497,2095,1945,2462,1257,1371,1748,242,16664,511,755,335,353,545,275,278,428,97,3581,82,80,33,11,46,25,18,66,33,392,18,15,5,0,8,4,0,7,18,70,11089,21526,15528,13400,12657,10838,6204,10666,1672,103580
LGA22830,35,34,204,208,100,747,21,349,45,1740,148,248,480,309,215,348,91,376,39,2253,578,1215,964,524,527,384,270,726,71,5267,879,1079,735,577,670,386,345,662,97,5426,1040,1017,737,608,885,485,486,797,77,6138,832,811,469,485,623,319,445,656,70,4703,301,192,87,101,133,98,126,173,32,1234,85,13,12,9,14,9,14,18,9,172,14,3,0,3,5,0,4,4,10,39,3911,4613,3685,2821,3176,2774,1806,3759,440,26976
LGA22910,0,3,47,47,4,62,3,56,3,233,24,20,89,78,30,40,18,64,7,377,106,133,193,97,73,45,33,85,6,767,222,266,208,131,155,84,52,128,21,1266,274,325,218,214,183,107,95,197,25,1636,280,358,218,170,174,80,81,164,29,1550,144,102,30,30,53,21,19,51,6,448,34,8,0,4,3,3,0,5,3,58,4,0,7,0,0,3,0,0,0,13,1077,1213,1005,772,681,452,303,749,97,6346
LGA22980,3,0,13,9,0,26,0,41,3,95,10,20,41,18,13,13,10,55,4,187,49,74,54,28,25,18,15,62,3,331,112,50,41,35,41,27,36,57,6,401,152,60,55,64,62,25,57,59,10,545,142,87,52,54,43,26,50,82,4,539,73,3,3,9,15,7,8,17,3,148,27,3,0,0,3,0,3,8,3,42,6,0,0,0,0,0,0,0,0,6,577,303,257,225,208,136,176,375,40,2298
LGA23110,9,40,138,270,75,638,36,315,28,1548,161,430,530,603,401,655,197,380,78,3428,1157,2826,1464,923,1363,712,591,657,175,9862,1959,3160,1102,752,1450,636,547,519,180,10308,1726,2240,1109,813,1583,577,709,680,181,9606,860,1369,718,496,1001,327,569,567,97,6000,136,273,115,91,167,66,96,118,29,1103,14,18,12,5,14,5,9,10,7,98,0,3,3,0,3,0,3,3,3,17,6022,10360,5186,3945,6062,3623,2757,3245,771,41978
LGA23190,14,7,91,87,23,200,4,154,11,587,34,108,202,113,77,119,31,112,12,805,171,411,348,192,175,157,92,173,24,1740,297,349,201,185,209,163,110,140,21,1686,377,333,236,233,272,187,133,172,24,1974,349,288,181,202,250,143,127,185,21,1749,153,56,39,35,51,29,36,51,14,458,56,0,12,0,4,3,3,10,9,96,8,0,0,0,3,0,0,0,0,19,1468,1568,1305,1041,1059,1021,533,992,125,9111
LGA23270,57,65,448,529,176,1775,115,792,97,4054,368,811,1543,1385,1021,1765,646,1085,219,8837,1848,3677,3695,2444,2947,1630,1968,1862,428,20501,2047,3245,2790,2113,2792,1159,1959,1703,346,18154,2012,2080,2451,2015,2936,1273,2255,1991,316,17326,1113,1297,1321,1077,1801,743,1402,1249,177,10173,200,250,219,175,276,154,242,267,48,1838,21,19,14,10,12,6,5,17,14,119,3,0,4,3,0,4,0,3,3,27,7668,11438,12484,9752,11953,8510,8603,8972,1638,81025
LGA23350,5,10,56,77,16,130,6,87,7,412,24,31,121,62,26,56,30,80,9,435,91,186,206,100,88,58,68,125,19,931,224,372,216,150,171,79,87,180,15,1495,338,365,261,222,254,120,151,212,30,1956,323,385,174,177,195,89,119,202,28,1682,188,73,31,30,46,28,41,49,9,491,43,3,4,3,5,3,0,5,8,76,7,5,0,0,0,0,0,0,0,18,1240,1428,1070,826,798,569,498,935,125,7492
LGA23430,34,76,301,584,150,1391,64,567,47,3212,283,792,986,1068,742,1376,213,629,82,6173,1793,4794,2496,1441,2002,1307,543,842,237,15465,3218,5469,2294,1448,2667,1228,601,769,275,17971,3040,3962,2124,1487,3030,1318,838,1043,282,17121,1601,2325,1378,946,2131,871,767,940,158,11114,356,554,303,194,535,242,190,290,41,2712,41,59,35,19,36,24,12,38,17,280,10,12,4,0,5,0,0,5,14,49,10367,18034,9927,7185,11292,7763,3240,5126,1155,74103
LGA23670,59,94,418,634,159,1714,75,740,54,3952,390,910,1345,1202,888,1584,288,703,121,7416,1619,4574,2803,1566,2295,1430,610,917,259,16073,2499,4264,2513,1348,2556,1121,830,971,251,16353,2645,3337,2582,1665,3237,1335,1162,1365,269,17597,1707,2437,1714,1174,2512,972,1038,1239,186,12981,321,534,360,206,488,237,241,310,39,2730,29,35,24,7,33,14,3,39,29,210,6,4,6,0,4,0,0,3,8,31,9282,16184,11764,7813,12170,8410,4239,6274,1215,77348
LGA23810,27,15,247,223,53,773,30,359,36,1766,131,287,697,510,334,487,92,331,50,2921,426,1209,1273,684,839,523,397,590,113,6062,622,988,954,625,872,466,478,649,107,5755,733,939,1110,755,1034,458,633,752,111,6525,574,842,791,589,741,311,573,660,112,5187,200,189,152,102,129,75,91,143,39,1112,48,19,12,7,13,11,3,10,9,142,12,0,0,3,0,0,4,0,4,25,2778,4490,5237,3505,3999,3102,2307,3498,575,29490
LGA23940,6,0,9,9,3,41,3,39,3,112,17,9,33,15,9,13,8,33,0,137,81,56,42,23,23,10,20,71,7,335,166,59,45,29,45,24,32,65,13,486,210,83,61,82,77,31,59,95,7,699,310,78,55,53,50,26,66,93,11,738,150,17,4,12,20,4,11,19,6,244,44,0,3,0,9,3,0,4,3,65,9,0,0,0,0,0,0,0,0,8,992,304,251,226,238,155,198,420,52,2838
LGA24130,13,7,156,202,44,365,20,277,12,1100,57,116,432,291,143,232,74,204,24,1573,279,697,695,366,369,184,132,294,46,3061,844,1423,752,450,647,250,227,294,63,4956,1029,1320,773,647,868,361,303,365,84,5756,654,982,541,398,599,260,233,305,48,4007,252,259,128,85,156,69,86,89,23,1146,47,18,6,9,3,8,4,11,4,117,10,0,0,4,3,0,0,3,6,27,3181,4833,3485,2449,2827,1730,1071,1839,315,21741
LGA24210,30,96,145,480,130,978,39,405,45,2344,249,839,547,768,600,1185,100,379,82,4748,1311,3527,1123,787,1302,940,201,398,200,9798,2287,3690,1062,710,1471,771,194,372,183,10736,2672,3494,1411,1053,2085,988,356,650,192,12896,1701,2462,940,676,1461,721,334,573,123,8991,513,783,247,214,466,247,115,173,58,2818,96,128,45,16,62,53,13,25,17,446,10,7,3,0,6,0,0,3,7,42,8860,15032,5527,4705,7580,5885,1347,2977,908,52818
LGA24250,3,6,45,41,3,58,9,45,0,213,11,12,70,35,15,35,12,31,0,226,74,106,109,73,23,42,15,58,3,513,121,120,132,86,77,54,43,71,11,713,167,132,113,90,98,86,38,117,18,863,183,140,134,55,112,77,55,113,19,889,94,50,31,25,31,23,14,30,4,313,28,4,7,0,3,0,0,0,0,43,3,0,0,0,3,0,0,0,0,12,683,573,639,411,368,372,193,471,65,3781
LGA24330,17,23,56,226,48,439,14,178,19,1025,192,567,387,813,496,886,179,548,77,4154,1575,4659,1566,1525,1829,1106,550,1136,274,14220,2020,3751,1005,801,1327,536,412,612,183,10653,1219,1906,713,587,967,452,502,582,125,7057,482,898,391,323,551,239,385,512,59,3836,72,150,41,58,79,52,58,96,16,626,9,11,11,0,0,0,4,14,3,60,0,5,3,0,0,0,4,7,0,13,5586,11966,4170,4334,5309,3712,2110,3698,764,41648
LGA24410,36,57,316,498,119,1182,40,535,34,2816,218,631,1015,843,561,978,184,483,68,4982,1299,3641,2177,1212,1570,909,402,702,166,12074,1957,3639,1749,1060,1848,818,448,699,181,12395,1876,2670,1672,1243,2226,906,554,825,173,12150,1160,1879,1003,813,1572,663,492,647,90,8328,281,430,216,158,358,186,115,192,43,1983,27,39,20,12,33,14,14,26,15,189,6,3,0,0,0,0,6,0,5,23,6849,12994,8162,5837,8287,5669,2249,4110,783,54940
LGA24600,30,159,73,499,119,496,20,243,28,1662,426,2082,753,2347,1097,1537,140,912,148,9441,3371,13433,2473,3023,3201,1984,316,1571,476,29861,2366,5043,792,733,1268,532,158,345,189,11437,1725,2406,350,397,880,341,123,238,139,6600,1061,1714,216,231,550,224,103,148,78,4336,369,695,51,56,180,77,24,56,35,1534,59,112,3,6,26,13,3,13,9,234,8,18,0,3,7,7,0,0,3,49,9407,25656,4725,7298,7328,5216,894,3521,1118,65156
LGA24650,56,39,418,405,145,1314,86,619,47,3136,260,487,1042,821,694,1019,378,631,106,5439,1380,2781,2497,1542,2381,1228,1403,1077,303,14594,2197,3127,2331,1593,2807,1248,1731,1358,337,16727,1422,1548,1619,1361,2138,932,1610,1300,223,12160,718,757,859,785,1156,524,1033,875,119,6828,115,136,106,109,170,97,158,156,29,1080,0,6,4,8,9,7,14,8,11,62,0,0,0,0,0,0,0,0,5,11,6158,8877,8883,6622,9504,6369,6414,6031,1176,60028
LGA24780,30,21,195,151,43,638,17,296,24,1416,109,208,377,329,163,346,86,350,28,1995,411,874,818,501,456,384,285,602,74,4405,711,878,564,491,510,372,299,464,94,4382,891,825,543,562,680,434,410,606,73,5013,761,624,442,447,546,290,395,562,62,4141,296,120,85,82,114,64,76,130,28,994,61,6,5,6,8,3,3,15,13,123,15,0,3,0,4,3,0,0,3,29,3288,3564,3038,2572,2523,2538,1573,3026,396,22501
LGA24850,25,10,177,164,38,372,33,226,24,1069,94,98,355,331,132,253,106,263,22,1659,395,542,820,499,469,268,320,389,64,3774,519,566,694,448,557,239,352,354,51,3777,561,572,661,479,696,304,484,494,68,4323,402,423,423,297,475,214,377,379,56,3043,133,97,80,48,106,52,61,63,22,664,25,10,5,3,10,9,0,5,12,87,3,0,4,0,3,0,0,0,0,15,2159,2314,3215,2268,2495,1706,1745,2180,320,18406
LGA24900,19,8,137,104,31,249,13,211,17,785,53,77,245,165,49,101,44,193,21,956,293,312,363,194,162,117,117,359,36,1953,438,316,314,178,235,166,149,348,32,2173,574,324,312,292,318,191,240,441,48,2742,532,295,234,242,238,155,261,427,29,2404,230,72,39,42,61,46,66,72,18,653,56,5,0,8,16,6,8,16,11,121,13,0,0,0,0,0,0,4,3,22,2206,1404,1650,1221,1120,1029,888,2064,229,11806
LGA24970,32,166,136,641,190,1393,60,502,62,3184,318,1488,832,1416,1015,1841,253,815,157,8134,2070,7207,2174,1527,2647,1651,543,1181,323,19318,3282,6441,1786,1182,2389,1089,534,823,307,17837,3275,5110,1872,1339,2759,1136,756,1043,277,17552,1616,3105,1239,855,1814,759,588,857,154,10980,365,808,291,216,537,207,153,260,55,2891,58,101,37,19,77,29,13,45,30,410,14,15,3,3,11,7,0,0,10,67,11025,24446,8366,7195,11435,8117,2895,5522,1369,80373
