SED_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
SED27208,4157,3290,3477,3127,2496,2182,1700,3786,425,24644
SED27305,3886,5970,4224,2739,4770,3522,1518,2146,433,29211
SED27406,5809,9006,2542,2613,3970,2845,525,1092,399,28813
SED27504,4228,4832,3992,3084,3378,2977,2038,4213,498,29239
SED27608,4239,8342,4726,4078,4125,3684,1286,2507,467,33450
SED27708,4042,4808,4046,3130,3014,2923,2245,3957,451,28611
SED27807,1953,3775,4187,3236,3388,2661,3597,5077,778,28639
SED27907,3127,4617,4620,3433,4920,3079,2369,2529,475,29178
SED28007,3992,5849,5186,3556,6023,4222,3305,3615,677,36432
SED28107,4018,7694,5438,5147,6624,4176,5456,4280,867,43703
SED28203,2110,3683,4079,2928,3527,2856,3092,3748,581,26597
SED28301,4885,8066,3186,2656,4140,3079,690,1534,445,28675
SED28408,2756,5833,3457,3080,3172,2712,1243,2544,377,25176
SED28507,2865,4498,4482,3620,4786,3132,3601,3448,531,30961
SED28607,6228,11104,3660,3057,4794,2871,1340,1987,582,35618
SED28704,4847,7050,6863,4528,6141,3989,2486,3048,642,39601
SED28803,3907,5624,5810,4390,5792,4121,4264,4275,780,38954
SED29494,178,405,297,277,182,134,200,307,57,2033
SED29797,0,4,7,0,0,0,0,3,0,23
