SED_CODE_2016,D_10_12_FPNLF_MPET,D_10_12_FPNLF_MPULFTW,D_10_12_FPNLF_MPULPTW,D_10_12_FPNLF_MPUT,D_10_12_FPNLF_MPTLF,D_10_12_FPNLF_MPNLF,D_10_12_FPNLF_MPLFSNS,D_10_12_FPNLF_T,D_10_12_FPLFSNS_MPEFT,D_10_12_FPLFSNS_MPEPT,D_10_12_FPLFSNS_MPEAW,D_10_12_FPLFSNS_MPEHNS,D_10_12_FPLFSNS_MPET,D_10_12_FPLFSNS_MPULFTW,D_10_12_FPLFSNS_MPULPTW,D_10_12_FPLFSNS_MPUT,D_10_12_FPLFSNS_MPTLF,D_10_12_FPLFSNS_MPNLF,D_10_12_FPLFSNS_MPLFSNS,D_10_12_FPLFSNS_T,D_10_12_FPT_MPEFT,D_10_12_FPT_MPEPT,D_10_12_FPT_MPEAW,D_10_12_FPT_MPEHNS,D_10_12_FPT_MPET,D_10_12_FPT_MPULFTW,D_10_12_FPT_MPULPTW,D_10_12_FPT_MPUT,D_10_12_FPT_MPTLF,D_10_12_FPT_MPNLF,D_10_12_FPT_MPLFSNS,D_10_12_FPT_T,D_13_14_FPEFT_MPEFT,D_13_14_FPEFT_MPEPT,D_13_14_FPEFT_MPEAW,D_13_14_FPEFT_MPEHNS,D_13_14_FPEFT_MPET,D_13_14_FPEFT_MPULFTW,D_13_14_FPEFT_MPULPTW,D_13_14_FPEFT_MPUT,D_13_14_FPEFT_MPTLF,D_13_14_FPEFT_MPNLF,D_13_14_FPEFT_MPLFSNS,D_13_14_FPEFT_T,D_13_14_FPEPT_MPEFT,D_13_14_FPEPT_MPEPT,D_13_14_FPEPT_MPEAW,D_13_14_FPEPT_MPEHNS,D_13_14_FPEPT_MPET,D_13_14_FPEPT_MPULFTW,D_13_14_FPEPT_MPULPTW,D_13_14_FPEPT_MPUT,D_13_14_FPEPT_MPTLF,D_13_14_FPEPT_MPNLF,D_13_14_FPEPT_MPLFSNS,D_13_14_FPEPT_T,D_13_14_FPEAW_MPEFT,D_13_14_FPEAW_MPEPT,D_13_14_FPEAW_MPEAW,D_13_14_FPEAW_MPEHNS,D_13_14_FPEAW_MPET,D_13_14_FPEAW_MPULFTW,D_13_14_FPEAW_MPULPTW,D_13_14_FPEAW_MPUT,D_13_14_FPEAW_MPTLF,D_13_14_FPEAW_MPNLF,D_13_14_FPEAW_MPLFSNS,D_13_14_FPEAW_T,D_13_14_FPHNS_MPEFT,D_13_14_FPHNS_MPEPT,D_13_14_FPHNS_MPEAW,D_13_14_FPHNS_MPEHNS,D_13_14_FPHNS_MPET,D_13_14_FPHNS_MPULFTW,D_13_14_FPHNS_MPULPTW,D_13_14_FPHNS_MPUT,D_13_14_FPHNS_MPTLF,D_13_14_FPHNS_MPNLF,D_13_14_FPHNS_MPLFSNS,D_13_14_FPHNS_T,D_13_14_FPET_MPEFT,D_13_14_FPET_MPEPT,D_13_14_FPET_MPEAW,D_13_14_FPET_MPEHNS,D_13_14_FPET_MPET,D_13_14_FPET_MPULFTW,D_13_14_FPET_MPULPTW,D_13_14_FPET_MPUT,D_13_14_FPET_MPTLF,D_13_14_FPET_MPNLF,D_13_14_FPET_MPLFSNS,D_13_14_FPET_T,D_13_14_FPULFTW_MPEFT,D_13_14_FPULFTW_MPEPT,D_13_14_FPULFTW_MPEAW,D_13_14_FPULFTW_MPEHNS,D_13_14_FPULFTW_MPET,D_13_14_FPULFTW_MPULFTW,D_13_14_FPULFTW_MPULPTW,D_13_14_FPULFTW_MPUT,D_13_14_FPULFTW_MPTLF,D_13_14_FPULFTW_MPNLF,D_13_14_FPULFTW_MPLFSNS,D_13_14_FPULFTW_T,D_13_14_FPULPTW_MPEFT,D_13_14_FPULPTW_MPEPT,D_13_14_FPULPTW_MPEAW,D_13_14_FPULPTW_MPEHNS,D_13_14_FPULPTW_MPET,D_13_14_FPULPTW_MPULFTW,D_13_14_FPULPTW_MPULPTW,D_13_14_FPULPTW_MPUT,D_13_14_FPULPTW_MPTLF,D_13_14_FPULPTW_MPNLF,D_13_14_FPULPTW_MPLFSNS,D_13_14_FPULPTW_T,D_13_14_FPUT_MPEFT,D_13_14_FPUT_MPEPT,D_13_14_FPUT_MPEAW,D_13_14_FPUT_MPEHNS,D_13_14_FPUT_MPET,D_13_14_FPUT_MPULFTW,D_13_14_FPUT_MPULPTW,D_13_14_FPUT_MPUT,D_13_14_FPUT_MPTLF,D_13_14_FPUT_MPNLF,D_13_14_FPUT_MPLFSNS,D_13_14_FPUT_T,D_13_14_FPTLF_MPEFT,D_13_14_FPTLF_MPEPT,D_13_14_FPTLF_MPEAW,D_13_14_FPTLF_MPEHNS,D_13_14_FPTLF_MPET,D_13_14_FPTLF_MPULFTW,D_13_14_FPTLF_MPULPTW,D_13_14_FPTLF_MPUT,D_13_14_FPTLF_MPTLF,D_13_14_FPTLF_MPNLF,D_13_14_FPTLF_MPLFSNS,D_13_14_FP_T,D_13_14_FPNLF_MPEFT,D_13_14_FPNLF_MPEPT,D_13_14_FPNLF_MPEAW,D_13_14_FPNLF_MPEHNS,D_13_14_FPNLF_MPET,D_13_14_FPNLF_MPULFTW,D_13_14_FPNLF_MPULPTW,D_13_14_FPNLF_MPUT,D_13_14_FPNLF_MPTLF,D_13_14_FPNLF_MPNLF,D_13_14_FPNLF_MPLFSNS,D_13_14_FPNLF_T,D_13_14_FPLFSNS_MPEFT,D_13_14_FPLFSNS_MPEPT,D_13_14_FPLFSNS_MPEAW,D_13_14_FPLFSNS_MPEHNS,D_13_14_FPLFSNS_MPET,D_13_14_FPLFSNS_MPULFTW,D_13_14_FPLFSNS_MPULPTW,D_13_14_FPLFSNS_MPUT,D_13_14_FPLFSNS_MPTLF,D_13_14_FPLFSNS_MPNLF,D_13_14_FPLFSNS_MPLFSNS,D_13_14_FPLFSNS_T,D_13_14_FPT_MPEFT,D_13_14_FPT_MPEPT,D_13_14_FPT_MPEAW,D_13_14_FPT_MPEHNS,D_13_14_FPT_MPET,D_13_14_FPT_MPULFTW,D_13_14_FPT_MPULPTW,D_13_14_FPT_MPUT,D_13_14_FPT_MPTLF,D_13_14_FPT_MPNLF,D_13_14_FPT_MPLFSNS,D_13_14_FPT_T,D_15_17_FPEFT_MPEFT,D_15_17_FPEFT_MPEPT,D_15_17_FPEFT_MPEAW,D_15_17_FPEFT_MPEHNS,D_15_17_FPEFT_MPET,D_15_17_FPEFT_MPULFTW,D_15_17_FPEFT_MPULPTW,D_15_17_FPEFT_MPUT,D_15_17_FPEFT_MPTLF,D_15_17_FPEFT_MPNLF,D_15_17_FPEFT_MPLFSNS,D_15_17_FPEFT_T,D_15_17_FPEPT_MPEFT,D_15_17_FPEPT_MPEPT,D_15_17_FPEPT_MPEAW,D_15_17_FPEPT_MPEHNS,D_15_17_FPEPT_MPET,D_15_17_FPEPT_MPULFTW,D_15_17_FPEPT_MPULPTW,D_15_17_FPEPT_MPUT,D_15_17_FPEPT_MPTLF,D_15_17_FPEPT_MPNLF,D_15_17_FPEPT_MPLFSNS,D_15_17_FPEPT_T
SED21401,287,8,0,8,297,37,0,332,0,0,0,3,3,0,0,0,3,0,3,3,1208,142,10,15,1381,44,8,48,1430,88,3,1520,216,20,0,0,241,10,0,9,254,17,0,276,313,60,3,5,380,3,0,5,386,18,0,409,6,3,0,0,7,0,0,0,7,0,0,10,3,0,0,7,10,0,0,0,10,0,0,6,542,82,7,11,636,14,3,15,653,44,0,698,5,0,0,0,5,0,0,0,10,0,0,10,10,5,0,0,18,4,0,4,19,0,0,19,20,5,0,0,20,3,0,3,24,0,0,24,556,87,7,11,659,22,3,24,683,44,0,725,147,23,0,3,174,3,0,3,177,18,0,199,0,0,0,0,0,0,0,0,0,0,3,3,711,108,3,12,833,26,3,26,860,58,3,924,340,40,3,0,377,21,3,25,404,22,0,425,429,83,0,8,520,8,3,10,530,28,0,556
SED21503,271,3,0,6,275,60,3,340,4,0,0,0,3,0,0,0,3,0,3,9,1142,147,18,20,1327,21,9,28,1356,103,10,1467,201,37,3,3,242,4,7,14,253,6,0,261,329,36,7,0,365,3,3,9,370,12,0,386,11,0,0,0,11,0,0,0,17,0,0,18,5,0,0,6,13,0,0,0,13,0,0,11,548,68,7,7,636,13,8,18,652,19,0,673,3,0,0,0,8,3,0,3,13,0,0,12,12,5,0,0,20,0,0,3,18,3,0,21,19,3,0,0,24,8,0,5,29,3,0,37,565,72,7,13,656,16,5,25,680,24,0,709,116,21,4,9,147,3,0,3,153,38,0,187,4,0,0,0,4,0,0,0,4,0,0,4,676,96,12,18,805,22,12,28,839,63,0,900,360,54,4,0,414,8,4,16,430,12,0,443,436,57,6,5,509,4,0,4,513,21,0,531
SED21608,249,16,0,16,267,56,0,323,0,0,0,0,3,0,0,0,3,0,3,4,1188,160,32,25,1412,33,9,37,1451,122,6,1583,232,32,0,3,273,0,0,0,275,11,3,289,334,45,3,0,387,0,3,7,392,15,0,405,9,3,0,0,10,0,0,0,9,0,0,14,0,0,0,4,8,0,0,0,8,0,0,9,580,80,10,12,678,3,3,4,683,28,3,712,10,0,0,0,13,0,0,0,16,0,0,16,13,3,0,0,16,0,0,0,16,4,0,21,22,3,0,0,27,0,0,0,28,4,0,32,598,82,7,12,705,4,3,11,715,33,3,747,133,19,3,4,158,3,0,3,167,42,3,212,0,0,0,0,0,0,0,0,3,0,4,6,735,100,15,17,866,11,6,12,882,78,11,965,342,37,0,0,385,9,0,7,390,21,3,420,441,61,3,3,508,7,0,14,519,33,0,554
SED21706,300,9,3,10,316,27,0,343,3,0,0,3,4,0,0,0,4,0,0,8,1610,145,8,18,1776,40,14,50,1830,71,0,1907,334,39,0,3,376,11,0,8,388,16,0,411,447,35,8,4,493,6,3,12,501,9,0,510,5,5,4,0,15,0,0,0,15,0,0,15,9,0,0,3,11,0,0,0,11,0,0,11,798,77,8,15,897,19,4,21,916,30,0,950,15,0,0,0,15,0,0,0,10,0,0,12,18,0,0,0,22,0,0,3,24,3,0,25,33,0,0,0,33,3,0,3,39,6,0,40,828,82,8,15,931,20,3,20,954,34,0,993,116,14,3,3,136,4,3,5,145,21,3,168,0,0,0,0,3,0,0,0,3,0,0,3,947,96,11,18,1071,22,4,31,1099,52,5,1161,484,50,3,3,538,19,0,25,562,39,0,604,549,63,7,3,625,11,3,15,641,12,0,653
SED21805,316,12,0,10,327,44,0,375,0,0,0,0,3,0,0,0,3,0,4,4,1321,157,23,18,1509,30,3,34,1548,89,4,1645,226,32,0,10,265,3,0,3,265,18,0,288,321,39,3,6,369,10,0,10,378,11,0,385,11,0,8,0,15,0,0,0,13,0,0,13,0,0,0,0,3,0,0,0,3,0,0,3,553,69,12,15,649,12,0,12,657,31,0,687,15,0,0,0,15,4,0,4,20,0,0,20,13,0,0,0,19,0,0,0,17,0,0,24,32,0,0,0,30,7,0,7,37,0,0,40,586,65,12,15,679,18,0,18,696,32,0,729,126,21,5,4,153,3,0,3,158,35,0,198,0,0,0,0,0,0,0,0,0,0,0,3,710,84,14,21,837,23,0,23,861,62,3,929,364,32,0,3,403,7,0,7,413,23,0,443,408,53,3,3,471,0,0,0,476,27,0,496
SED21906,303,3,0,3,313,37,0,345,6,0,0,5,8,0,0,0,8,0,0,13,1338,166,7,29,1541,39,3,44,1580,72,6,1662,241,25,0,0,265,9,3,12,279,14,0,292,383,48,0,3,438,6,0,6,446,10,0,457,9,4,0,0,10,0,0,0,10,0,0,10,6,3,0,5,11,3,0,3,14,0,0,14,630,79,0,14,729,18,3,19,749,24,0,776,9,0,0,0,9,0,0,0,9,0,0,11,13,0,0,0,15,0,0,0,15,0,0,15,24,3,0,0,21,0,0,0,21,0,0,25,656,86,0,14,749,18,3,19,772,29,0,798,130,22,0,0,156,3,0,3,160,17,0,178,0,0,0,0,5,0,0,0,5,0,3,6,783,105,0,15,913,21,0,22,934,44,4,979,297,35,3,0,344,8,0,8,345,14,0,361,478,65,4,4,556,7,0,7,566,20,0,586
SED22005,275,4,3,10,289,120,0,407,0,0,0,0,0,0,0,0,0,0,0,6,1097,185,19,24,1323,32,14,52,1375,174,5,1559,237,33,3,3,272,11,0,9,285,17,0,302,247,52,0,0,301,5,0,9,307,22,0,329,4,0,0,0,5,0,0,0,5,0,0,5,0,0,0,3,4,0,0,0,4,0,0,4,493,90,4,3,588,16,6,17,602,40,0,643,3,0,0,0,3,0,0,0,6,3,0,10,10,5,0,0,17,0,0,3,19,0,0,23,15,5,0,0,24,0,3,0,28,3,0,28,510,92,4,3,612,13,5,21,630,45,0,673,140,25,0,0,166,3,0,7,169,65,0,232,0,0,0,0,0,0,0,0,0,0,3,3,646,123,4,8,778,15,7,27,804,103,4,908,338,50,5,3,400,9,0,10,406,25,0,430,307,74,4,0,379,7,0,11,390,26,0,417
SED22105,694,22,4,25,722,103,3,826,7,3,0,3,13,0,0,0,13,0,9,24,2281,336,32,46,2695,90,10,94,2791,185,17,2994,456,55,4,5,526,13,3,19,542,26,0,567,424,81,7,5,518,8,7,11,528,24,3,557,10,3,0,0,10,0,0,0,10,0,0,10,9,4,0,8,23,3,0,0,23,0,0,27,900,141,13,21,1077,24,7,32,1105,50,0,1164,24,3,0,0,23,8,0,8,30,5,0,42,37,3,0,0,41,0,0,0,38,0,0,40,55,6,0,0,65,8,0,8,72,11,0,83,960,153,13,24,1143,29,7,36,1178,63,5,1243,317,41,4,8,366,4,4,10,375,73,0,449,0,0,0,0,3,0,0,0,3,0,11,16,1273,192,16,27,1514,39,9,49,1560,137,14,1710,663,79,9,4,745,16,5,20,765,32,3,796,505,83,8,0,607,11,0,11,618,34,0,650
SED22201,258,13,0,9,264,48,0,311,4,0,0,0,4,0,0,0,4,0,0,6,1163,120,18,14,1315,32,8,35,1353,79,0,1438,226,22,4,0,248,3,0,8,255,7,0,267,350,35,3,0,391,4,3,4,401,5,0,410,10,0,3,0,12,0,0,0,12,0,0,12,6,0,0,4,12,0,0,0,12,0,0,12,585,59,14,4,666,11,5,15,680,16,0,696,3,3,0,0,6,9,0,9,12,0,0,12,14,0,0,0,14,0,0,0,10,0,0,10,13,3,0,0,19,9,0,6,25,0,0,28,604,63,14,4,683,16,3,18,709,17,0,725,96,20,0,0,114,11,0,8,130,30,0,157,0,0,0,0,3,0,0,0,3,0,0,3,706,79,14,4,805,26,3,31,836,49,0,884,324,28,7,0,361,7,3,7,372,15,4,391,493,50,13,5,557,6,0,8,565,18,0,588
SED22305,515,48,15,68,584,225,4,807,4,0,3,0,5,0,0,0,5,3,11,20,942,280,14,43,1280,89,36,125,1409,295,15,1720,179,34,3,0,215,5,0,11,222,14,0,237,152,33,0,5,191,5,4,10,205,14,0,215,3,0,0,0,9,0,0,0,9,3,0,6,9,3,0,11,17,3,0,3,22,3,0,25,342,72,6,14,428,17,6,24,449,35,3,487,9,0,0,0,13,10,0,10,26,5,0,27,19,4,0,0,25,8,3,7,35,4,0,43,31,9,0,0,40,13,3,23,65,5,0,67,375,74,5,16,470,34,5,45,512,42,3,557,164,65,3,6,239,11,9,25,270,148,3,420,3,0,0,0,3,0,0,0,3,3,9,14,542,145,11,23,715,45,20,69,786,197,10,990,227,46,3,0,269,9,3,10,283,29,0,320,221,55,3,5,281,10,3,10,289,35,0,328
SED22404,268,5,0,9,275,48,4,321,3,3,0,0,3,0,0,0,3,0,7,12,1150,173,28,23,1387,28,4,26,1413,94,17,1524,215,23,3,0,242,0,0,0,242,22,0,259,325,45,3,6,379,4,0,4,385,25,3,411,8,3,3,0,19,0,0,0,19,0,0,18,3,0,0,8,14,0,0,0,14,0,0,14,551,72,13,14,646,4,0,4,649,40,3,695,6,0,0,0,6,0,0,0,6,0,0,5,12,0,0,0,11,3,0,3,14,0,0,14,14,0,0,0,20,3,0,3,21,0,0,23,565,72,9,14,664,4,0,4,671,42,3,718,109,16,0,10,137,3,0,7,148,43,0,189,3,0,0,3,6,0,0,0,6,0,3,12,682,98,10,18,810,15,0,14,822,85,9,915,269,35,8,3,313,0,0,3,318,16,0,331,454,86,13,3,558,9,0,9,564,20,3,589
SED22501,258,6,0,6,264,17,0,277,0,0,0,0,4,0,0,0,4,0,0,6,1528,125,15,23,1702,28,5,31,1730,47,3,1771,289,36,7,0,330,8,3,8,338,17,0,354,536,43,0,0,582,3,0,3,588,17,0,598,19,0,3,0,20,0,0,0,20,0,0,20,11,0,0,6,16,0,0,0,16,0,0,16,849,81,9,6,944,13,5,15,958,30,0,990,11,0,0,0,11,0,0,0,11,0,0,11,19,0,0,0,19,0,0,0,20,0,0,20,26,0,0,0,27,0,0,0,29,0,0,29,874,78,9,6,973,13,3,16,991,30,0,1018,143,12,0,3,162,3,0,0,164,12,0,175,4,0,0,4,7,0,0,0,7,0,0,9,1023,98,9,15,1139,14,4,21,1163,43,0,1203,438,35,4,0,481,10,5,13,492,20,0,507,716,55,7,3,783,7,0,5,791,19,0,810
SED22607,246,10,0,5,250,42,0,291,0,0,0,0,4,0,0,0,4,3,0,8,1325,126,17,17,1484,44,4,50,1535,65,6,1606,294,29,4,0,327,4,0,9,340,9,0,343,418,45,0,3,466,6,0,6,466,12,0,482,6,0,4,0,11,0,0,0,16,0,0,16,5,0,0,5,9,0,0,0,9,0,0,9,722,77,8,11,814,14,0,10,829,23,4,853,13,5,0,0,12,5,3,5,18,0,0,23,5,3,0,0,11,0,0,0,10,0,0,12,21,8,0,0,25,6,3,10,28,3,0,31,742,82,8,11,842,14,4,18,863,20,4,887,112,19,0,8,142,6,0,6,148,19,0,165,0,0,0,0,0,0,0,0,0,4,4,3,854,94,11,21,985,25,4,23,1006,42,3,1056,427,43,0,0,478,9,3,11,492,25,0,513,527,48,5,0,585,9,0,9,596,19,0,612
SED22704,267,10,0,10,279,48,0,329,0,0,0,4,4,0,0,0,4,0,0,9,1140,128,40,30,1333,28,6,34,1369,103,6,1484,243,21,7,4,272,0,0,0,268,13,0,284,313,46,9,3,369,4,0,3,370,19,0,391,20,0,5,0,26,0,0,0,24,3,0,30,6,0,0,4,12,0,0,0,12,0,0,14,576,71,21,7,671,3,3,5,679,38,0,716,4,0,0,0,7,0,0,0,10,4,0,14,10,0,0,0,17,0,0,0,17,3,0,18,17,3,0,0,22,0,0,0,22,8,0,28,597,69,21,12,695,5,3,5,704,42,0,743,145,26,3,3,178,7,0,7,183,35,0,221,0,0,0,0,0,0,0,0,0,0,0,0,745,94,25,10,873,15,3,19,890,74,4,966,374,42,12,7,438,5,3,3,442,17,0,460,407,61,15,6,493,3,0,3,496,11,0,508
SED22802,347,6,6,11,363,18,3,382,0,0,0,0,0,0,0,0,0,0,3,5,1386,143,22,28,1579,29,10,32,1613,57,12,1679,241,22,3,0,269,5,0,5,274,10,0,281,488,58,9,6,553,3,0,3,560,17,0,573,9,0,0,0,14,0,0,0,14,0,0,15,9,0,0,11,13,0,0,0,13,0,0,13,742,81,7,14,850,11,0,7,854,27,0,880,9,0,0,0,9,0,0,0,9,0,0,9,19,0,0,0,21,0,0,0,21,0,0,24,31,0,0,0,27,0,0,0,28,0,0,32,770,83,7,14,877,11,0,13,888,23,0,911,166,19,3,3,194,3,0,3,199,22,0,222,0,0,0,0,0,0,0,0,0,0,0,0,942,105,12,16,1075,14,0,15,1084,46,0,1138,411,38,9,3,464,7,0,10,474,22,0,492,615,51,10,7,682,5,0,8,690,16,0,709
SED22901,275,3,0,5,281,44,0,323,0,0,0,0,0,0,0,0,0,0,0,3,1080,128,17,17,1243,22,10,30,1270,85,4,1358,230,29,0,7,262,4,4,10,269,6,0,281,361,34,5,0,404,10,0,9,415,14,0,432,9,0,0,0,12,0,0,0,12,0,0,12,3,0,0,7,10,0,0,0,10,0,0,16,601,64,8,11,690,16,4,20,709,24,0,731,7,0,0,0,6,0,0,0,10,0,0,6,21,0,0,0,23,0,0,0,24,0,0,22,27,5,0,0,28,4,0,4,30,0,0,36,628,69,8,11,721,13,4,22,740,24,0,763,135,19,3,0,165,4,3,3,173,21,0,190,0,0,0,3,4,0,0,0,4,0,3,4,766,91,9,17,885,17,4,26,914,49,4,962,345,46,3,6,401,19,4,29,425,24,0,450,478,62,3,3,552,18,6,22,569,31,0,599
SED23007,297,31,5,34,327,94,3,425,6,3,0,4,12,0,0,0,12,0,5,20,897,174,8,26,1114,65,12,75,1192,150,13,1352,198,26,0,0,223,12,3,18,243,20,0,265,192,31,0,0,227,7,3,4,236,16,0,251,8,0,0,0,8,0,0,0,8,0,0,8,0,3,0,9,15,0,0,0,15,0,3,13,397,60,3,10,469,20,3,22,495,41,3,542,9,8,0,0,17,6,0,9,23,3,0,24,16,8,0,3,26,7,3,11,34,3,0,33,25,14,0,3,42,13,3,18,51,4,0,58,420,75,3,12,509,28,10,40,548,45,3,598,115,35,0,9,160,20,6,22,184,48,0,233,0,3,0,0,8,0,0,0,8,0,3,11,539,113,4,23,681,45,9,59,739,95,8,841,275,33,6,3,315,18,3,21,338,29,0,364,212,62,4,3,282,9,0,12,296,28,0,326
SED23101,312,3,3,5,318,34,0,349,0,0,0,0,0,0,0,0,0,0,0,3,1399,152,15,20,1581,30,11,38,1620,70,3,1697,297,29,0,0,326,17,3,20,348,16,0,366,389,46,7,3,442,8,3,7,449,13,0,468,3,0,0,0,3,0,0,0,3,0,0,3,7,0,0,4,12,0,0,0,12,0,0,12,692,76,11,11,785,23,3,30,816,29,0,845,8,3,0,0,14,0,0,3,15,0,0,15,21,0,0,0,26,3,0,3,27,0,0,27,32,5,0,0,34,4,0,7,39,0,0,39,720,82,11,12,821,33,3,39,858,29,0,886,156,17,7,3,177,4,0,5,191,10,0,202,3,0,0,0,3,0,0,0,3,0,0,3,883,94,15,14,1004,40,3,44,1044,44,0,1087,395,43,3,0,445,16,0,19,463,26,0,488,536,82,11,0,620,3,0,8,631,26,0,652
SED23205,236,12,3,16,259,55,0,314,3,0,0,5,8,0,0,0,8,0,0,9,936,149,20,27,1128,43,8,44,1177,96,0,1273,173,27,0,0,198,8,0,8,206,22,0,226,254,23,3,0,277,4,0,3,280,14,0,298,8,0,7,0,14,0,0,0,14,0,0,14,0,0,0,0,3,0,0,0,3,0,0,3,434,50,8,3,495,7,0,8,503,36,0,539,10,0,0,0,10,0,0,0,10,0,0,6,11,0,0,0,18,4,0,4,18,4,0,21,21,0,0,0,22,6,0,6,30,7,0,32,451,52,8,4,516,17,0,16,535,36,0,570,90,19,0,0,109,5,0,5,110,39,0,153,0,0,0,0,3,0,0,0,3,0,0,3,546,67,8,3,624,17,0,18,645,78,0,725,259,40,5,3,313,3,4,10,320,18,0,335,361,35,3,5,402,7,3,5,408,11,0,422
SED23308,188,8,4,10,196,23,3,218,0,0,0,0,0,0,0,0,0,0,3,3,1037,101,23,9,1171,16,10,28,1197,58,10,1273,168,18,6,0,194,10,0,13,205,8,0,215,359,29,3,4,394,0,0,0,395,15,0,413,11,0,4,0,11,0,0,0,11,0,0,13,3,0,0,3,9,0,0,0,9,0,0,9,542,50,15,4,607,10,0,15,618,26,0,648,8,0,0,0,9,0,0,0,8,0,0,8,8,0,0,0,11,0,4,3,13,0,0,16,14,0,0,3,16,3,4,3,18,0,0,22,556,50,15,8,627,11,4,18,639,29,0,669,99,13,0,3,111,9,3,12,119,24,0,149,0,0,0,0,0,0,0,0,0,0,0,0,648,65,16,11,738,18,7,24,760,56,4,821,304,26,7,3,338,4,0,4,347,16,0,361,442,43,3,3,496,8,0,8,498,17,0,519
SED23402,351,14,3,16,368,44,0,409,0,0,0,4,3,0,0,0,3,0,0,6,1669,170,12,22,1875,20,9,32,1910,113,4,2024,353,36,0,0,388,3,3,5,386,15,0,402,522,38,6,3,568,3,3,6,577,11,0,590,16,0,0,0,14,0,0,0,14,0,0,14,3,0,0,8,8,0,0,0,8,0,3,9,891,68,7,10,981,6,8,11,991,29,3,1023,6,3,0,0,10,0,0,0,10,0,0,17,20,3,0,0,24,0,0,0,25,0,0,25,31,3,0,0,39,0,0,0,34,3,0,41,921,74,13,9,1014,3,8,9,1031,34,3,1059,162,28,0,4,188,0,0,6,194,24,0,219,0,0,0,0,0,0,0,0,0,0,0,0,1083,102,13,16,1208,10,8,13,1220,53,5,1282,568,43,3,3,624,9,0,9,633,31,0,658,701,69,5,0,783,3,3,5,784,23,0,813
SED23502,179,11,0,11,185,60,0,248,4,0,0,0,3,0,0,0,3,0,3,9,905,145,31,23,1106,18,8,26,1136,126,7,1267,184,31,3,4,226,3,8,6,238,15,0,257,301,40,12,3,363,3,0,0,363,26,0,386,8,6,4,0,14,0,0,0,14,0,0,14,4,0,0,4,8,0,0,0,5,0,0,6,499,79,21,14,610,7,7,11,626,43,0,671,4,3,0,0,8,0,0,0,11,0,0,11,0,4,0,0,4,0,0,0,4,0,0,4,6,6,0,0,15,0,0,0,13,0,0,13,506,84,24,14,624,10,7,17,638,43,0,680,78,14,5,4,95,6,0,6,101,43,0,147,0,0,0,0,0,0,0,0,0,0,3,7,583,99,29,20,730,12,7,17,747,86,6,837,287,30,8,0,329,8,0,9,335,14,0,360,382,52,12,4,455,7,0,7,457,27,0,486
SED23602,239,10,0,6,244,57,0,299,7,0,0,0,8,0,0,0,8,0,3,10,1059,145,26,27,1261,26,11,34,1293,102,10,1404,231,26,3,3,258,3,4,4,264,9,0,272,339,49,5,3,401,7,0,7,406,22,0,430,7,0,7,0,16,0,0,0,18,0,0,21,0,0,0,9,16,0,0,0,16,0,0,16,581,72,10,17,689,13,4,15,702,34,3,740,3,3,0,0,4,0,0,0,6,3,0,10,6,0,0,0,13,0,0,0,14,0,0,14,8,5,0,0,11,4,0,4,21,3,0,23,590,77,10,17,703,18,4,20,721,32,3,758,118,20,3,4,142,0,0,3,147,23,0,171,0,0,0,0,0,0,0,0,0,0,3,3,709,100,16,23,843,19,4,25,868,59,5,934,328,26,4,3,362,4,0,4,367,16,0,379,401,52,11,8,475,7,3,13,488,25,0,513
SED23702,319,0,0,3,325,34,0,360,3,3,0,0,3,0,0,0,3,0,4,6,1487,132,40,33,1686,28,7,30,1716,68,5,1792,266,19,3,3,291,0,0,3,293,13,0,305,478,53,7,3,540,3,0,5,549,11,0,558,9,3,5,0,16,0,0,0,16,0,0,16,8,3,0,4,17,0,0,0,17,0,0,17,763,78,11,14,869,4,3,8,874,31,0,901,4,0,0,0,4,0,0,0,4,0,0,4,11,3,0,3,17,0,0,0,16,0,0,23,18,3,0,3,25,0,0,0,23,0,0,28,783,81,12,14,889,5,3,4,902,30,0,930,178,10,3,3,199,5,0,5,204,28,0,233,0,0,0,0,0,0,0,0,0,0,3,4,963,90,12,18,1092,10,3,14,1108,55,3,1165,399,32,8,6,443,0,0,0,444,21,0,459,617,52,10,3,685,9,0,9,692,21,3,714
SED23806,303,14,0,15,319,23,3,344,0,0,0,0,3,0,0,0,3,0,0,6,1434,140,13,14,1604,35,9,43,1646,65,5,1717,292,35,5,0,331,9,0,10,346,12,0,359,421,39,0,3,471,5,0,10,482,7,0,485,7,3,0,0,7,0,0,0,7,0,0,6,11,0,0,6,14,0,0,0,14,0,0,18,730,80,3,13,824,20,3,18,847,25,0,870,11,0,0,0,13,0,0,0,12,0,0,12,20,0,0,0,18,0,0,0,18,0,0,18,32,4,0,0,36,0,0,0,38,0,0,38,760,78,3,13,860,19,3,22,882,25,0,906,184,14,0,0,198,7,0,7,204,11,0,214,0,0,0,5,4,0,0,0,4,0,0,5,945,94,3,19,1061,25,3,26,1086,38,3,1127,406,44,10,3,464,14,3,21,480,29,0,509,543,47,4,3,594,13,0,12,611,23,0,628
