SED_CODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
SED21106,66,131,98,56,107,68,27,559,8,3,0,4,6,6,4,35,0,0,0,0,3,3,0,15,122,265,215,148,266,162,87,1267,0,20,6,3,6,11,0,47,3,8,4,6,4,10,3,43,8,25,10,10,16,15,3,91,130,293,229,160,276,178,88,1353,74,85,68,44,65,48,29,414,0,4,0,0,0,0,3,7,203,380,294,200,347,228,119,1774
SED21203,89,146,121,77,118,60,32,643,13,7,11,10,4,3,0,45,10,11,12,7,13,0,5,59,159,294,234,163,245,135,73,1310,20,46,23,24,23,8,4,150,26,52,24,21,20,9,3,156,50,89,45,42,48,16,12,306,207,382,276,210,293,156,85,1614,508,521,367,207,313,154,90,2154,15,14,8,3,3,0,3,43,728,920,647,421,610,315,174,3812
SED21303,75,128,77,53,66,37,29,473,6,7,6,0,4,0,0,19,3,0,0,0,0,3,0,7,120,219,166,120,166,114,64,971,3,5,10,0,8,7,0,31,9,23,13,5,13,3,0,73,14,29,23,5,18,12,3,103,134,247,186,132,187,127,70,1073,107,68,61,33,54,42,26,390,0,0,0,0,0,0,0,4,241,312,250,169,237,164,93,1465
SED21401,40,134,77,64,87,57,40,502,13,4,0,3,0,7,4,25,5,0,0,0,0,8,0,15,92,244,176,145,231,166,107,1151,8,16,3,7,6,4,3,42,3,11,7,9,11,7,3,56,10,25,8,17,19,10,11,99,96,270,180,162,254,179,111,1249,101,113,56,48,80,59,41,499,3,0,0,3,0,0,0,14,195,384,241,210,337,238,153,1764
SED21503,70,156,121,83,118,52,28,624,14,7,5,3,14,0,3,44,7,4,4,6,4,7,3,38,120,264,209,165,250,150,91,1244,3,6,3,3,9,6,3,31,5,12,9,6,3,9,3,52,6,25,14,14,16,19,7,88,128,288,216,177,263,165,92,1332,157,171,92,60,79,29,26,621,0,6,3,0,0,0,0,11,289,465,312,236,350,195,115,1961
SED21608,127,216,140,98,131,43,13,761,17,16,10,11,6,3,6,72,0,3,3,3,4,0,3,13,176,339,234,175,293,91,39,1357,3,28,15,16,10,7,0,79,24,59,28,23,25,6,0,161,31,90,46,40,31,5,0,243,206,426,285,218,325,96,39,1601,366,339,184,108,116,27,8,1139,7,0,0,0,0,0,0,10,578,770,472,321,445,118,45,2751
SED21706,51,138,107,78,113,82,43,613,8,5,7,3,7,3,3,31,3,0,0,0,0,0,0,16,86,257,206,158,271,224,115,1315,3,6,5,10,10,8,8,50,10,15,5,8,10,3,6,51,10,23,18,16,17,10,12,100,97,276,219,173,288,233,134,1416,99,127,93,64,113,74,42,613,0,0,0,0,0,0,0,4,202,411,312,236,402,305,170,2035
SED21805,128,253,156,103,154,79,26,896,22,16,10,9,14,0,0,76,13,9,4,7,6,8,0,44,240,458,331,227,395,195,82,1929,4,15,18,7,19,3,3,69,21,36,29,17,15,4,0,129,22,50,42,25,39,5,3,198,267,508,378,254,430,200,89,2125,306,251,137,82,101,40,28,941,10,11,8,0,4,0,0,27,582,768,518,338,542,240,118,3096
SED21906,60,117,79,47,78,55,37,480,8,3,0,0,0,0,0,13,0,0,3,0,0,3,0,8,119,222,176,117,190,158,108,1096,3,4,5,5,4,4,5,32,3,9,4,3,3,0,0,22,9,16,13,5,3,3,3,56,128,243,188,120,195,156,118,1150,62,82,50,38,42,38,41,361,0,0,0,0,0,0,0,0,191,325,238,159,241,196,158,1506
SED22005,61,141,105,86,105,82,32,596,7,5,3,4,10,3,4,40,5,9,12,3,16,7,3,53,143,266,231,179,259,225,95,1389,5,10,6,6,13,8,4,57,17,30,14,3,6,14,6,85,23,34,25,14,19,26,6,143,167,304,249,191,278,249,98,1531,218,224,120,99,114,83,46,902,3,7,10,5,0,0,0,32,385,530,380,292,397,334,149,2461
SED22105,189,313,230,144,193,71,23,1163,29,16,16,3,6,0,4,82,19,17,6,11,10,8,5,64,360,603,423,338,452,188,87,2446,28,54,44,18,40,14,3,202,60,62,34,14,24,4,0,202,84,113,82,36,63,20,3,403,452,714,507,373,515,206,95,2850,548,520,215,142,168,73,34,1706,8,11,10,6,8,3,0,59,1008,1252,728,523,689,282,132,4610
SED22201,103,214,149,111,137,74,30,808,6,8,6,6,10,3,0,44,4,5,3,3,7,0,4,28,153,367,288,219,342,187,110,1663,0,7,9,0,4,3,4,29,8,20,21,6,11,3,0,73,13,28,26,9,12,9,4,101,161,396,317,228,354,198,111,1764,183,150,96,57,87,39,19,641,5,5,0,0,4,0,0,14,352,554,417,285,448,233,133,2420
SED22305,87,147,106,73,107,55,29,598,10,3,0,3,5,0,5,21,3,6,8,4,8,8,0,40,191,300,228,163,245,141,69,1339,19,39,16,11,26,15,6,137,27,44,33,22,20,18,5,173,44,88,47,31,49,29,14,314,237,388,280,194,291,173,84,1658,444,393,276,205,236,142,79,1775,13,12,10,4,4,0,0,46,696,801,567,398,531,318,169,3478
SED22404,88,241,151,95,139,39,8,764,12,17,9,3,11,0,0,53,0,8,3,5,7,0,0,23,137,375,266,192,279,86,24,1360,0,13,18,15,8,3,0,56,16,32,20,10,6,5,0,91,19,47,37,23,16,3,0,146,157,420,296,216,301,88,28,1503,193,213,114,66,85,27,7,706,3,5,7,5,4,0,0,33,347,641,411,292,389,122,36,2239
SED22501,54,176,115,82,114,75,32,644,3,3,0,0,6,4,3,20,0,4,3,3,4,3,0,25,88,316,245,200,294,174,109,1422,0,7,4,0,7,3,0,23,4,16,14,6,8,0,0,46,4,22,16,7,14,3,3,69,89,342,255,206,311,180,108,1496,68,115,53,40,39,23,14,351,4,0,0,0,0,0,0,6,164,455,312,247,351,203,129,1857
SED22607,62,118,87,57,81,57,33,503,4,3,7,4,0,0,0,27,3,8,9,7,4,3,3,30,111,252,192,123,202,150,98,1132,11,12,6,4,13,8,6,65,9,19,4,10,12,11,8,76,18,38,12,15,21,16,7,135,129,291,208,145,223,165,108,1271,199,200,117,74,82,51,32,745,4,5,3,3,3,0,0,24,332,489,327,216,312,220,132,2039
SED22704,96,174,157,113,152,29,5,725,7,6,5,5,5,7,0,35,0,4,5,3,8,0,3,26,163,296,305,222,327,79,17,1410,9,30,22,14,16,0,0,96,19,29,20,10,11,0,0,92,31,61,44,20,24,0,3,184,192,362,351,242,351,76,22,1596,388,363,143,124,118,36,8,1179,3,3,3,3,3,0,0,24,580,729,493,373,481,118,26,2793
SED22802,87,211,150,85,154,70,19,778,16,6,3,3,12,5,0,34,5,6,4,0,5,3,3,24,146,336,254,188,350,172,54,1499,4,10,12,9,11,3,0,51,16,18,19,6,11,0,3,72,14,31,32,14,19,7,5,120,164,368,282,200,368,177,56,1622,187,174,85,57,81,37,13,636,0,0,0,0,4,0,0,6,356,547,375,254,452,214,77,2270
SED22901,82,140,112,107,118,61,36,651,6,8,5,3,9,3,3,40,3,7,3,0,0,0,0,11,154,264,228,192,291,145,100,1384,4,4,9,3,10,8,3,37,9,29,17,4,11,5,0,78,15,34,26,11,18,12,4,117,169,295,256,204,316,154,111,1498,148,152,79,73,88,38,25,606,0,0,0,0,0,0,0,5,318,453,337,276,406,194,130,2108
SED23007,84,164,124,90,127,91,41,727,17,14,0,4,3,7,0,51,4,5,11,6,8,6,3,60,198,340,271,180,302,194,116,1601,22,40,27,23,38,23,12,180,24,71,38,15,20,21,18,207,44,107,66,39,58,43,23,389,249,448,336,221,358,239,140,1999,376,347,188,125,187,100,67,1396,9,11,3,6,5,3,0,44,629,809,525,355,554,342,213,3435
SED23101,44,112,100,75,122,68,35,558,3,0,3,0,4,3,3,19,0,4,0,3,3,4,3,18,76,228,211,158,284,179,100,1248,0,3,10,5,12,4,4,43,10,11,8,10,10,13,8,66,10,11,20,19,18,18,12,107,94,246,225,175,306,200,115,1361,95,90,79,64,85,54,39,510,0,0,0,0,0,0,0,7,187,334,303,240,396,254,158,1870
SED23205,117,249,174,125,167,68,20,917,20,12,3,4,9,3,0,45,8,10,5,3,5,3,0,33,211,407,320,241,391,168,73,1810,26,28,28,11,19,7,0,125,27,55,30,20,15,10,0,153,51,80,59,28,35,20,3,274,260,483,383,265,425,191,79,2089,404,361,192,116,158,45,23,1301,11,16,9,4,3,0,0,43,674,864,583,390,588,240,97,3433
SED23308,100,198,147,110,171,60,22,803,23,12,9,6,14,3,4,66,3,4,5,3,4,0,0,26,177,352,273,215,391,143,67,1619,3,29,13,6,19,6,0,78,18,23,10,5,13,3,3,75,22,51,27,13,27,9,3,155,194,401,300,231,420,155,68,1771,268,231,123,103,114,34,14,889,4,3,5,0,5,0,0,19,466,636,427,331,536,187,87,2677
SED23402,147,252,186,121,171,61,22,959,13,18,3,8,14,0,3,59,6,6,3,4,3,3,0,23,239,439,321,260,413,153,59,1887,13,29,14,10,11,7,0,80,33,33,17,21,14,3,0,122,40,65,34,30,27,12,0,206,277,501,354,298,439,165,60,2095,330,251,119,65,86,31,13,895,3,0,6,3,5,0,0,14,612,752,476,366,532,202,75,3005
SED23502,99,213,166,99,144,28,4,753,15,13,9,10,13,0,0,54,7,9,0,3,5,0,0,30,158,327,266,207,296,54,5,1309,6,19,4,12,20,4,0,62,18,42,23,14,8,0,0,105,24,57,28,32,26,5,0,170,177,384,289,234,321,59,5,1479,306,291,145,90,115,16,3,961,4,7,0,8,0,0,0,20,492,681,437,328,442,77,10,2464
SED23602,97,183,109,90,142,43,4,673,10,13,10,4,3,0,0,32,4,3,3,4,3,0,0,23,145,275,197,181,283,68,15,1162,7,21,14,7,18,0,0,67,17,37,15,3,17,0,0,95,20,60,31,16,34,3,0,165,167,333,229,194,316,70,16,1330,272,276,106,83,93,25,3,854,0,6,4,9,0,0,0,20,442,613,343,289,413,97,17,2211
SED23702,151,304,194,152,189,52,21,1063,9,14,5,11,15,4,0,62,4,5,10,9,6,0,0,38,235,456,328,280,416,148,60,1918,6,13,15,11,20,3,0,76,29,47,31,22,10,0,0,144,36,58,45,36,34,3,3,221,275,517,377,318,443,153,65,2136,306,318,168,89,122,25,7,1035,3,5,5,4,0,0,0,18,587,836,547,410,571,176,70,3191
SED23806,42,97,76,49,93,55,33,442,13,3,3,4,0,0,0,19,0,5,0,0,0,3,5,14,80,216,143,115,219,140,93,1008,0,8,3,3,8,3,0,26,3,8,0,3,9,6,3,40,5,13,7,4,16,11,3,65,88,229,154,119,237,156,96,1069,47,77,58,47,78,40,36,388,0,4,0,3,0,0,0,6,137,311,207,170,310,194,126,1463
SED23901,69,150,112,70,108,63,29,599,4,0,5,3,3,6,0,20,4,5,0,3,3,4,3,21,124,248,219,165,257,185,104,1299,4,13,8,9,5,7,3,48,10,25,14,7,6,6,6,75,15,40,17,18,16,14,5,125,136,287,239,183,273,200,108,1430,155,156,105,61,68,61,28,639,3,0,3,0,0,0,0,8,296,445,347,245,343,262,144,2079
SED24006,40,113,103,77,122,93,52,616,5,5,3,3,4,4,3,25,0,11,4,0,3,7,0,21,72,249,240,197,319,233,131,1441,4,10,6,10,8,7,4,57,5,11,9,7,9,4,3,54,6,21,16,22,21,17,9,105,80,268,253,217,335,250,142,1542,76,114,105,77,139,71,50,637,0,0,0,0,0,0,0,4,156,385,359,294,471,318,189,2189
SED24105,81,206,138,89,151,79,40,783,10,3,3,6,7,3,3,29,5,6,9,9,9,7,4,45,188,387,294,209,329,209,112,1729,26,28,17,11,27,12,3,119,19,35,28,11,19,14,9,129,42,59,47,22,46,33,8,254,224,448,341,228,370,243,124,1985,328,293,160,113,160,81,64,1196,13,19,3,3,4,0,3,45,566,761,505,350,534,323,185,3230
SED24207,134,266,172,128,187,97,48,1035,13,13,12,7,11,6,3,62,16,17,9,6,12,3,3,71,298,558,388,265,422,232,118,2284,18,43,25,22,27,15,9,160,24,72,43,31,28,18,6,224,37,113,65,61,55,32,19,384,337,674,454,320,480,269,141,2674,509,544,295,172,237,129,56,1952,13,18,9,5,0,0,0,48,862,1234,765,503,717,395,197,4667
SED24308,171,250,192,119,159,52,25,969,22,18,10,5,18,3,0,73,6,5,3,4,5,0,0,24,255,424,322,248,364,131,55,1796,15,44,29,16,33,0,3,145,34,65,45,23,23,5,0,199,53,110,79,44,55,10,4,352,303,530,400,290,415,142,62,2145,578,546,255,183,227,72,40,1908,12,18,12,8,4,3,3,50,896,1099,664,487,650,219,99,4102
SED24408,77,203,146,105,129,36,3,688,8,10,6,6,7,3,0,41,0,6,6,0,3,0,0,21,107,284,238,176,245,60,6,1119,4,16,13,10,6,7,0,55,8,38,11,17,14,3,0,89,14,56,23,23,17,8,0,145,121,338,256,205,264,64,6,1259,287,236,150,89,99,13,7,880,3,9,6,3,5,3,0,27,408,589,414,294,373,81,13,2174
SED24504,89,192,131,101,139,51,17,728,9,11,7,6,9,0,0,37,4,3,0,3,3,0,0,14,134,282,237,173,301,107,31,1278,0,10,14,6,15,3,0,49,3,10,4,3,11,3,0,37,6,18,16,13,23,5,0,83,144,306,255,187,328,111,36,1359,137,147,90,47,60,21,7,513,3,3,0,3,0,0,0,9,280,450,351,236,388,136,45,1885
SED24606,51,106,70,42,62,56,45,422,8,3,0,0,4,6,0,17,0,3,3,0,5,0,0,13,89,208,154,120,196,141,110,1026,3,7,0,3,3,6,3,28,0,8,7,9,9,0,3,30,5,16,7,6,12,7,9,61,92,224,167,130,204,147,116,1083,42,81,60,45,62,40,31,365,0,3,3,0,0,0,0,8,136,313,226,171,266,193,151,1464
SED24703,51,77,60,32,64,54,39,384,11,5,3,3,3,9,0,33,7,0,3,0,0,3,0,10,140,186,118,92,156,136,107,932,5,13,5,12,10,7,4,61,19,35,15,10,12,10,5,96,20,43,16,20,20,20,12,157,161,233,136,110,175,151,124,1088,218,199,95,75,132,123,69,918,12,12,4,5,0,7,0,36,386,441,236,192,315,280,195,2036
SED24808,181,299,191,143,176,63,23,1076,32,12,6,9,16,7,3,86,4,14,3,9,4,0,0,35,339,554,372,278,421,155,58,2178,33,72,44,18,30,9,3,214,45,98,54,33,32,3,7,273,82,176,100,48,60,12,9,488,416,730,473,329,482,172,64,2661,861,772,377,182,230,68,51,2541,15,22,10,3,3,3,0,54,1295,1522,858,519,711,245,114,5257
SED24904,117,211,135,95,145,37,3,752,20,7,4,3,8,0,0,40,4,10,6,3,8,3,0,32,207,366,272,231,328,82,14,1499,13,33,27,7,12,5,0,100,22,44,19,16,12,3,0,127,34,81,48,30,22,7,0,225,240,451,323,256,353,90,20,1731,463,462,199,131,144,20,7,1428,10,6,12,5,3,0,0,39,715,917,531,389,504,116,28,3194
SED25003,86,194,143,109,125,45,27,730,6,3,3,3,3,3,5,27,9,6,12,4,11,5,0,53,168,322,291,222,300,157,93,1545,12,9,8,12,16,10,4,69,12,33,23,17,13,4,0,106,32,47,35,26,23,10,3,175,197,362,323,243,320,170,96,1716,290,298,153,99,116,54,30,1048,9,9,11,3,0,0,0,28,499,671,481,348,441,223,126,2797
SED25102,92,195,142,99,144,56,16,743,0,6,3,3,3,0,3,20,3,3,4,0,5,0,0,12,130,297,253,173,294,135,65,1349,3,7,4,4,8,5,3,33,16,22,10,6,9,0,3,61,12,36,12,10,14,9,4,98,139,329,265,188,305,144,71,1448,148,127,89,50,58,26,5,502,0,5,9,0,0,3,0,16,294,464,355,239,364,168,80,1969
SED25205,79,167,127,92,127,60,34,689,6,4,0,4,5,3,0,24,3,9,0,3,3,0,0,24,143,317,247,216,320,187,94,1520,0,7,7,5,14,0,0,31,3,26,14,9,3,4,0,59,3,32,20,13,16,8,3,93,142,350,266,223,340,192,102,1617,126,93,63,33,48,24,11,403,0,0,0,0,0,0,0,3,269,445,330,261,388,216,116,2022
SED25302,69,201,161,97,156,50,20,752,8,5,7,3,5,4,3,33,5,9,8,0,5,0,3,27,125,355,286,204,318,123,53,1459,4,8,7,3,12,3,0,32,13,20,13,7,9,3,0,64,15,24,16,14,14,3,0,93,136,386,303,217,335,123,53,1553,119,120,88,46,59,23,6,463,0,0,3,0,3,0,0,10,252,507,396,265,396,152,63,2035
SED25402,136,270,164,146,168,36,15,933,28,18,3,8,14,0,4,76,3,9,4,0,5,0,0,24,229,425,287,262,355,93,34,1694,22,58,47,20,39,7,0,194,34,76,59,23,44,7,0,241,60,139,102,41,81,18,0,435,291,560,386,304,436,112,37,2132,552,431,202,141,146,39,10,1512,9,10,3,5,0,0,0,34,851,997,590,456,580,147,46,3675
SED25501,30,94,94,76,102,87,44,531,6,3,4,3,0,5,9,30,6,0,5,6,4,5,4,26,90,203,196,178,276,237,138,1314,3,7,3,3,13,7,3,49,9,15,12,13,16,11,6,77,7,27,15,13,25,20,11,124,100,228,210,199,297,261,147,1437,88,129,88,72,149,101,56,681,0,3,0,5,0,0,0,10,184,356,301,276,456,361,205,2130
SED25605,57,126,111,80,96,56,38,567,12,8,7,0,3,9,7,44,3,5,0,5,5,0,10,30,130,253,222,173,241,169,114,1306,16,28,16,8,19,10,6,89,14,17,8,8,11,14,0,64,22,45,22,20,26,22,5,155,154,295,242,190,265,188,122,1465,193,190,116,72,105,67,38,785,0,3,0,3,0,0,3,14,353,489,357,262,375,255,163,2259
SED25704,114,209,152,100,129,27,3,734,10,9,8,4,8,0,0,33,4,3,4,5,3,3,0,26,175,337,276,190,298,69,12,1357,5,20,14,7,9,3,0,63,19,36,12,10,15,0,0,99,29,62,27,16,24,3,0,167,205,402,300,209,324,73,12,1525,324,288,151,104,97,22,0,987,12,10,3,5,4,0,0,35,539,698,453,316,428,95,12,2549
