SED_CODE_2016,M_0_4_yrs_Need_for_assistance,M_0_4_No_need_for_assistance,M_0_4_Need_for_assistance_ns,M_0_4_yrs_Tot,M_5_14_Need_for_assistance,M_5_14_No_need_for_assistance,M_5_14_Need_for_assistance_ns,M_5_14_yrs_Tot,M_15_19_Need_for_assistance,M_15_19_No_need_for_assistnce,M_15_19_Need_for_assistnce_ns,M_15_19_yrs_Tot,M_20_24_Need_for_assistance,M_20_24_No_need_for_assistnce,M_20_24_Need_for_assistnce_ns,M_20_24_yrs_Tot,M_25_34_Need_for_assistance,M_25_34_No_need_for_assistnce,M_25_34_Need_for_assistnce_ns,M_25_34_yrs_Tot,M_35_44_Need_for_assistance,M_35_44_No_need_for_assistnce,M_35_44_Need_for_assistnce_ns,M_35_44_yrs_Tot,M_45_54_Need_for_assistance,M_45_54_No_need_for_assistnce,M_45_54_Need_for_assistnce_ns,M_45_54_yrs_Tot,M_55_64_Need_for_assistance,M_55_64_No_need_for_assistnce,M_55_64_Need_for_assistnce_ns,M_55_64_yrs_Tot,M_65_74_Need_for_assistance,M_65_74_No_need_for_assistnce,M_65_74_Need_for_assistnce_ns,M_65_74_yrs_Tot,M_75_84_Need_for_assistance,M_75_84_No_need_for_assistnce,M_75_84_Need_for_assistnce_ns,M_75_84_yrs_Tot,M_85_over_Need_for_assistance,M_85_ov_No_need_for_assistnce,M_85_ov_Need_for_assistnce_ns,M_85_yrs_over_Tot,M_Tot_Need_for_assistance,M_Tot_No_need_for_assistance,M_Tot_Need_for_assistance_ns,M_Tot_Tot,F_0_4_yrs_Need_for_assistance,F_0_4_No_need_for_assistance,F_0_4_Need_for_assistance_ns,F_0_4_yrs_Tot,F_5_14_Need_for_assistance,F_5_14_No_need_for_assistance,F_5_14_Need_for_assistance_ns,F_5_14_yrs_Tot,F_15_19_Need_for_assistance,F_15_19_No_need_for_assistnce,F_15_19_Need_for_assistnce_ns,F_15_19_yrs_Tot,F_20_24_Need_for_assistance,F_20_24_No_need_for_assistnce,F_20_24_Need_for_assistnce_ns,F_20_24_yrs_Tot,F_25_34_Need_for_assistance,F_25_34_No_need_for_assistnce,F_25_34_Need_for_assistnce_ns,F_25_34_yrs_Tot,F_35_44_Need_for_assistance,F_35_44_No_need_for_assistnce,F_35_44_Need_for_assistnce_ns,F_35_44_yrs_Tot,F_45_54_Need_for_assistance,F_45_54_No_need_for_assistnce,F_45_54_Need_for_assistnce_ns,F_45_54_yrs_Tot,F_55_64_Need_for_assistance,F_55_64_No_need_for_assistnce,F_55_64_Need_for_assistnce_ns,F_55_64_yrs_Tot,F_65_74_Need_for_assistance,F_65_74_No_need_for_assistnce,F_65_74_Need_for_assistnce_ns,F_65_74_yrs_Tot,F_75_84_Need_for_assistance,F_75_84_No_need_for_assistnce,F_75_84_Need_for_assistnce_ns,F_75_84_yrs_Tot,F_85_over_Need_for_assistance,F_85_ov_No_need_for_assistnce,F_85_ov_Need_for_assistnce_ns,F_85_yrs_over_Tot,F_Tot_Need_for_assistance,F_Tot_No_need_for_assistance,F_Tot_Need_for_assistance_ns,F_Tot_Tot,P_0_4_yrs_Need_for_assistance,P_0_4_No_need_for_assistance,P_0_4_Need_for_assistance_ns,P_0_4_yrs_Tot,P_5_14_Need_for_assistance,P_5_14_No_need_for_assistance,P_5_14_Need_for_assistance_ns,P_5_14_yrs_Tot,P_15_19_Need_for_assistance,P_15_19_No_need_for_assistnce,P_15_19_Need_for_assistnce_ns,P_15_19_yrs_Tot,P_20_24_Need_for_assistance,P_20_24_No_need_for_assistnce,P_20_24_Need_for_assistnce_ns,P_20_24_yrs_Tot,P_25_34_Need_for_assistance,P_25_34_No_need_for_assistnce,P_25_34_Need_for_assistnce_ns,P_25_34_yrs_Tot,P_35_44_Need_for_assistance,P_35_44_No_need_for_assistnce,P_35_44_Need_for_assistnce_ns,P_35_44_yrs_Tot,P_45_54_Need_for_assistance,P_45_54_No_need_for_assistnce,P_45_54_Need_for_assistnce_ns,P_45_54_yrs_Tot,P_55_64_Need_for_assistance,P_55_64_No_need_for_assistnce,P_55_64_Need_for_assistnce_ns,P_55_64_yrs_Tot,P_65_74_Need_for_assistance,P_65_74_No_need_for_assistnce,P_65_74_Need_for_assistnce_ns,P_65_74_yrs_Tot,P_75_84_Need_for_assistance,P_75_84_No_need_for_assistnce,P_75_84_Need_for_assistnce_ns,P_75_84_yrs_Tot,P_85_over_Need_for_assistance,P_85_ov_No_need_for_assistnce,P_85_ov_Need_for_assistnce_ns,P_85_yrs_over_Tot,P_Tot_Need_for_assistance,P_Tot_No_need_for_assistance,P_Tot_Need_for_assistance_ns,P_Tot_Tot
SED21106,12,1559,99,1670,75,3758,221,4057,34,1746,86,1863,19,1452,93,1571,39,3097,302,3444,40,3675,330,4041,46,4290,315,4651,69,3382,240,3689,104,2358,170,2633,201,1030,111,1341,268,328,48,639,910,26680,2014,29598,7,1339,96,1438,34,3679,189,3901,22,1650,102,1773,22,1536,108,1667,36,3735,344,4119,49,4360,333,4736,74,4957,335,5366,99,3624,248,3978,158,2537,199,2890,316,1264,144,1720,710,475,129,1314,1523,29157,2225,32899,21,2903,187,3113,107,7444,406,7956,49,3400,186,3637,40,2991,201,3235,78,6832,648,7556,85,8033,661,8780,122,9245,652,10020,165,7010,491,7667,265,4891,372,5527,515,2293,249,3058,981,796,172,1952,2426,55835,4237,62498
SED21203,51,2528,303,2883,223,4628,437,5288,82,2294,190,2571,44,2712,263,3027,139,5474,564,6175,205,4041,389,4637,400,3796,384,4583,457,2505,271,3232,524,1422,178,2125,491,903,114,1501,245,201,38,483,2861,30493,3133,36488,37,2434,240,2706,133,4510,399,5038,47,2341,171,2562,48,2312,174,2525,135,4900,467,5498,226,3895,361,4482,505,3670,344,4517,602,2452,253,3307,623,1704,199,2524,780,995,164,1940,501,218,50,759,3628,29425,2803,35861,85,4960,541,5581,352,9133,838,10326,136,4636,365,5133,96,5026,436,5552,273,10369,1033,11675,435,7940,751,9122,909,7466,732,9099,1059,4953,521,6540,1147,3126,372,4647,1265,1901,280,3442,742,413,82,1242,6494,59921,5941,72350
SED21303,19,1685,102,1806,94,2548,149,2788,32,1198,85,1316,37,2864,196,3096,76,8430,654,9159,89,5255,405,5752,109,3547,245,3902,155,2388,196,2740,218,1446,120,1789,348,780,113,1247,267,203,81,553,1442,30350,2353,34147,12,1625,113,1747,43,2500,148,2691,27,1212,74,1316,43,3476,230,3755,90,8845,662,9594,94,5373,387,5850,111,3714,263,4085,187,2724,208,3113,282,1665,135,2084,656,927,165,1748,471,252,200,920,2003,32318,2578,36906,30,3313,214,3554,131,5055,291,5477,63,2408,160,2635,78,6340,429,6846,159,17273,1316,18752,181,10632,790,11601,220,7263,507,7985,335,5113,402,5849,495,3112,258,3872,1003,1714,279,2999,738,456,279,1473,3447,62669,4929,71047
SED21401,18,1411,55,1482,115,3024,120,3262,46,1771,74,1888,31,1844,80,1953,48,3488,172,3709,48,3300,160,3504,68,3750,189,4006,121,3161,173,3452,171,2711,159,3043,396,1983,154,2536,349,426,80,855,1408,26875,1406,29688,12,1367,52,1433,45,2924,125,3095,30,1624,53,1707,23,1752,66,1837,35,3510,170,3720,58,3623,164,3844,78,4216,205,4493,168,3593,188,3950,252,3290,206,3747,649,2031,171,2843,690,473,147,1309,2031,28398,1547,31976,28,2777,105,2908,161,5953,242,6355,72,3392,124,3596,54,3597,146,3790,86,6995,345,7423,100,6919,320,7342,141,7961,398,8501,294,6755,359,7405,424,6006,360,6788,1045,4016,322,5378,1043,900,225,2171,3439,55269,2952,61657
SED21503,25,1762,88,1876,159,3146,137,3448,53,1808,117,1978,39,2815,185,3039,99,4507,279,4885,117,3779,210,4109,143,3302,180,3622,156,2752,159,3065,248,2069,140,2456,281,1012,95,1389,183,216,55,446,1505,27167,1650,30320,17,1638,81,1741,62,3011,128,3207,32,1798,91,1927,31,2771,184,2988,55,4499,292,4850,73,3880,205,4161,148,3564,214,3924,209,3004,167,3384,283,2324,168,2782,429,1175,129,1736,353,277,128,754,1692,27953,1797,31444,40,3401,171,3617,224,6155,270,6653,85,3610,211,3903,72,5589,364,6025,154,9007,573,9738,188,7664,422,8268,283,6864,389,7541,371,5754,327,6451,531,4394,313,5237,716,2184,227,3127,528,492,177,1204,3198,55123,3451,61764
SED21608,26,1712,125,1863,229,3517,247,3996,85,1722,108,1918,68,1969,160,2201,87,2934,240,3264,108,3208,260,3581,149,3462,278,3895,257,3253,269,3781,275,2376,278,2929,207,936,107,1250,162,189,51,401,1654,25283,2134,29077,16,1669,118,1805,93,3455,224,3772,56,1687,144,1885,42,1925,161,2127,56,3112,279,3445,138,3433,266,3833,195,3719,300,4215,243,3378,322,3942,238,2539,263,3044,278,1020,135,1432,317,266,58,640,1668,26207,2266,30145,42,3384,245,3674,325,6973,471,7773,143,3408,248,3799,111,3897,324,4325,145,6045,515,6705,251,6640,523,7417,341,7188,583,8107,498,6632,593,7715,516,4919,537,5969,481,1953,244,2684,476,459,110,1043,3324,51494,4403,59223
SED21706,32,1701,87,1814,142,3767,157,4058,40,2029,96,2170,31,3186,179,3395,61,4379,270,4707,51,3684,213,3952,73,3990,236,4305,128,3040,182,3354,147,1930,134,2221,240,965,103,1308,263,343,50,652,1209,29021,1704,31937,19,1593,92,1702,50,3845,140,4040,34,2332,101,2473,24,2923,163,3114,36,4232,283,4554,53,4190,204,4456,111,4497,228,4828,152,3384,209,3742,220,2295,158,2671,408,1266,126,1801,683,566,112,1369,1793,31131,1823,34747,49,3290,176,3518,194,7611,292,8096,80,4361,201,4642,55,6105,342,6505,95,8615,550,9260,111,7875,419,8405,179,8491,466,9136,283,6423,395,7096,371,4228,293,4891,647,2230,228,3109,948,912,163,2020,3007,60147,3531,66686
SED21805,41,2237,142,2419,221,3725,230,4181,68,1704,105,1879,64,1747,130,1940,77,4104,292,4482,93,4690,352,5135,121,4257,312,4691,204,3442,299,3938,239,2198,239,2674,221,920,123,1266,162,245,67,483,1518,29264,2301,33084,23,2179,138,2346,85,3553,212,3851,44,1674,116,1839,28,1774,116,1918,60,4623,321,4996,117,4734,340,5198,174,4384,309,4862,251,3575,286,4104,250,2522,256,3034,357,1128,185,1671,374,331,113,816,1768,30475,2383,34627,69,4417,280,4767,307,7278,442,8027,111,3376,222,3712,95,3515,248,3854,136,8730,614,9476,217,9424,686,10327,295,8641,620,9553,452,7017,581,8049,488,4722,491,5706,582,2054,310,2938,537,575,184,1300,3286,59743,4683,67718
SED21906,23,1818,106,1945,83,3496,170,3747,32,1482,64,1575,22,2136,150,2312,40,5749,477,6265,44,4182,291,4515,60,3407,252,3728,108,2968,213,3290,144,2190,147,2483,217,836,93,1143,319,310,75,709,1098,28564,2053,31716,18,1866,112,1998,24,3320,158,3502,22,1491,66,1578,13,2380,126,2517,49,5977,442,6466,58,4290,300,4648,87,3737,247,4071,133,3157,237,3528,195,2314,165,2677,408,1058,130,1593,723,439,109,1262,1732,30021,2083,33840,36,3685,223,3943,109,6817,325,7251,52,2968,137,3156,42,4516,280,4833,87,11722,911,12726,108,8467,596,9169,147,7147,503,7791,241,6125,454,6812,341,4505,310,5156,628,1893,217,2739,1042,747,183,1968,2825,58591,4136,65552
SED22005,22,2152,137,2310,142,3534,180,3855,43,1949,110,2104,43,3553,218,3808,92,6321,403,6813,84,4707,255,5046,161,3861,215,4235,243,3080,200,3519,316,2209,171,2696,447,1258,123,1830,378,344,79,799,1954,32976,2084,37020,12,2079,111,2203,36,3333,140,3509,26,1802,95,1915,26,2969,144,3143,58,5895,350,6305,97,4571,232,4903,168,3989,247,4397,294,3355,197,3838,410,2513,187,3112,714,1394,191,2300,677,469,159,1313,2517,32374,2060,36946,30,4232,248,4513,177,6862,317,7362,70,3749,203,4022,69,6522,363,6948,146,12220,752,13118,185,9280,489,9954,321,7846,459,8634,530,6437,396,7365,724,4729,359,5807,1156,2657,315,4131,1060,818,237,2116,4477,65349,4141,73961
SED22105,56,4621,308,4986,374,6789,401,7571,121,2696,139,2961,84,2816,214,3114,122,7773,511,8409,146,7569,498,8210,194,4965,313,5470,255,3236,263,3753,272,1815,171,2258,182,743,93,1020,109,174,47,334,1922,43200,2965,48085,39,4500,289,4827,198,6643,385,7228,77,2570,151,2795,54,2837,210,3099,107,8857,537,9503,159,7157,402,7717,278,4817,335,5429,321,3295,274,3891,304,2082,188,2576,328,860,112,1295,299,199,94,587,2158,43823,2976,48955,97,9123,599,9815,574,13431,794,14802,197,5265,295,5754,139,5654,424,6210,232,16629,1048,17906,306,14720,902,15928,472,9785,647,10903,573,6532,534,7648,577,3901,362,4829,514,1600,199,2319,404,373,140,920,4078,87021,5936,97040
SED22201,32,1907,92,2039,190,3206,168,3562,71,1671,76,1814,44,1680,72,1804,75,3695,196,3964,74,3590,168,3829,95,3344,199,3639,155,2960,160,3268,161,2080,133,2371,201,1062,84,1341,216,283,44,546,1316,25474,1394,28184,19,1786,79,1886,88,3167,134,3393,38,1570,71,1679,35,1733,77,1850,71,4052,233,4352,85,3738,202,4018,134,3801,194,4128,185,3340,177,3702,187,2636,169,2997,345,1399,129,1871,465,439,93,997,1644,27657,1566,30871,56,3693,177,3924,278,6368,303,6947,110,3236,151,3496,77,3416,152,3653,143,7749,426,8319,154,7326,368,7850,228,7145,397,7768,331,6303,332,6970,350,4719,302,5363,546,2456,210,3214,688,720,139,1545,2958,53128,2964,59049
SED22305,38,2531,273,2833,150,3966,345,4462,60,1964,164,2191,81,3072,247,3400,139,6529,572,7236,198,5285,446,5929,234,3837,332,4407,392,3163,297,3846,384,2136,209,2729,388,990,149,1526,227,220,61,507,2280,33692,3100,39077,13,2379,215,2614,72,3845,307,4219,40,1883,118,2042,44,2159,173,2371,104,5688,496,6281,200,4146,375,4722,314,3349,286,3952,473,3207,286,3963,423,2251,225,2897,618,1129,169,1911,467,293,92,857,2768,30319,2739,35833,52,4906,485,5449,225,7807,653,8682,102,3847,290,4233,125,5231,420,5772,239,12217,1066,13514,394,9439,822,10655,549,7183,622,8357,870,6370,577,7816,812,4381,438,5631,1003,2119,314,3440,688,516,161,1363,5053,64015,5842,74906
SED22404,19,1402,122,1544,139,3378,267,3776,57,1605,117,1779,35,1282,105,1419,55,2351,234,2633,71,2979,293,3343,142,3824,343,4315,232,3881,370,4481,276,3151,321,3754,233,1151,121,1504,157,259,30,450,1416,25259,2333,29004,15,1358,125,1494,67,3257,256,3582,27,1545,129,1700,32,1213,83,1331,57,2462,230,2742,81,3210,304,3595,132,3854,341,4324,187,4009,368,4569,206,3029,290,3521,277,1174,125,1579,343,285,52,679,1419,25397,2304,29115,33,2764,246,3046,202,6635,523,7358,82,3145,252,3479,68,2492,188,2745,109,4810,456,5380,152,6186,594,6937,274,7681,691,8640,424,7893,737,9052,484,6178,612,7270,506,2329,244,3088,502,542,84,1127,2840,50654,4630,58119
SED22501,28,1678,56,1759,154,3725,104,3978,53,1862,53,1959,45,1699,68,1809,63,2803,110,2973,66,3601,142,3807,66,3893,192,4156,89,3789,158,4030,151,2592,123,2861,140,839,57,1039,129,161,36,327,972,26635,1090,28698,22,1662,60,1741,73,3572,117,3760,37,1742,51,1827,24,1659,52,1735,56,2893,124,3069,40,4005,163,4211,85,4368,191,4644,131,4234,172,4538,136,2608,151,2900,241,968,89,1301,333,218,66,621,1178,27934,1228,30348,45,3342,113,3504,229,7294,216,7735,83,3604,103,3787,68,3362,113,3543,116,5693,231,6044,102,7603,304,8017,153,8259,382,8796,215,8027,331,8570,284,5201,282,5765,384,1808,144,2335,466,381,100,949,2152,54569,2325,59042
