SED_CODE_2016,Ireland_2011,Ireland_2012,Ireland_2013,Ireland_2014,Ireland_2015,Ireland_2016,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1946,Italy_1946_1955,Italy_1956_1965,Italy_1966_1975,Italy_1976_1985,Italy_1986_1995,Italy_1996_2005,Italy_2006_2010,Italy_2011,Italy_2012,Italy_2013,Italy_2014,Italy_2015,Italy_2016,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1946,Japan_1946_1955,Japan_1956_1965,Japan_1966_1975,Japan_1976_1985,Japan_1986_1995,Japan_1996_2005,Japan_2006_2010,Japan_2011,Japan_2012,Japan_2013,Japan_2014,Japan_2015,Japan_2016,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1946,Korea_Rep_Sth_1946_1955,Korea_Rep_Sth_1956_1965,Korea_Rep_Sth_1966_1975,Korea_Rep_Sth_1976_1985,Korea_Rep_Sth_1986_1995,Korea_Rep_Sth_1996_2005,Korea_Rep_Sth_2006_2010,Korea_Republic_South_2011,Korea_Republic_South_2012,Korea_Republic_South_2013,Korea_Republic_South_2014,Korea_Republic_South_2015,Korea_Republic_South_2016,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1946,Lebanon_1946_1955,Lebanon_1956_1965,Lebanon_1966_1975,Lebanon_1976_1985,Lebanon_1986_1995,Lebanon_1996_2005,Lebanon_2006_2010,Lebanon_2011,Lebanon_2012,Lebanon_2013,Lebanon_2014,Lebanon_2015,Lebanon_2016,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1946,Malaysia_1946_1955,Malaysia_1956_1965,Malaysia_1966_1975,Malaysia_1976_1985,Malaysia_1986_1995,Malaysia_1996_2005,Malaysia_2006_2010,Malaysia_2011,Malaysia_2012,Malaysia_2013,Malaysia_2014,Malaysia_2015,Malaysia_2016,Malaysia_Yr_arrival_ns,Malaysia_Tot,Malta_Before_1946,Malta_1946_1955,Malta_1956_1965,Malta_1966_1975,Malta_1976_1985,Malta_1986_1995,Malta_1996_2005,Malta_2006_2010,Malta_2011,Malta_2012,Malta_2013,Malta_2014,Malta_2015,Malta_2016,Malta_Yr_arrival_NS,Malta_Tot,Netherlands_Before_1946,Netherlands_1946_1955,Netherlands_1956_1965,Netherlands_1966_1975,Netherlands_1976_1985,Netherlands_1986_1995,Netherlands_1996_2005,Netherlands_2006_2010,Netherlands_2011,Netherlands_2012,Netherlands_2013,Netherlands_2014,Netherlands_2015,Netherlands_2016,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1946,New_Zealand_1946_1955,New_Zealand_1956_1965,New_Zealand_1966_1975,New_Zealand_1976_1985,New_Zealand_1986_1995,New_Zealand_1996_2005,New_Zealand_2006_2010,New_Zealand_2011,New_Zealand_2012,New_Zealand_2013,New_Zealand_2014,New_Zealand_2015,New_Zealand_2016,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,Pakistan_Before_1946,Pakistan_1946_1955,Pakistan_1956_1965,Pakistan_1966_1975,Pakistan_1976_1985,Pakistan_1986_1995,Pakistan_1996_2005,Pakistan_2006_2010,Pakistan_2011,Pakistan_2012,Pakistan_2013,Pakistan_2014,Pakistan_2015,Pakistan_2016,Pakistan_Yr_arrival_NS,Pakistan_Tot,Philippines_Before_1946,Philippines_1946_1955,Philippines_1956_1965,Philippines_1966_1975,Philippines_1976_1985,Philippines_1986_1995,Philippines_1996_2005,Philippines_2006_2010,Philippines_2011,Philippines_2012,Philippines_2013,Philippines_2014,Philippines_2015,Philippines_2016,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1946,Poland_1946_1955,Poland_1956_1965,Poland_1966_1975,Poland_1976_1985,Poland_1986_1995,Poland_1996_2005,Poland_2006_2010,Poland_2011,Poland_2012,Poland_2013,Poland_2014,Poland_2015,Poland_2016,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1946,Singapore_1946_1955,Singapore_1956_1965,Singapore_1966_1975,Singapore_1976_1985,Singapore_1986_1995,Singapore_1996_2005,Singapore_2006_2010,Singapore_2011,Singapore_2012,Singapore_2013,Singapore_2014,Singapore_2015,Singapore_2016,Singapore_Yr_arrival_ns,Singapore_Tot
SED21106,32,45,23,33,19,9,9,458,14,130,134,73,19,15,18,13,9,18,12,13,16,7,20,499,0,0,0,7,8,17,32,24,11,3,21,16,25,31,18,213,0,0,0,0,6,13,23,5,5,0,3,3,3,15,0,74,0,3,0,17,14,8,8,6,4,0,0,0,0,0,4,57,0,0,12,50,56,69,49,19,8,6,8,6,4,3,10,284,0,15,16,3,3,3,3,0,0,0,0,0,0,0,0,45,0,30,34,14,11,9,19,24,5,14,3,7,5,0,3,179,14,10,31,100,172,166,302,174,45,58,64,40,52,25,36,1287,0,0,3,4,3,0,0,8,0,8,0,0,0,0,0,28,0,3,0,8,16,30,21,21,3,11,7,5,14,9,5,147,3,54,92,24,87,58,19,14,0,0,3,4,6,0,5,369,3,0,7,19,16,21,37,27,13,6,3,11,18,5,4,182
SED21203,0,0,0,0,0,0,7,66,15,470,997,509,73,32,16,12,5,6,19,11,6,4,126,2301,0,0,3,0,0,0,8,13,0,0,0,0,0,0,0,28,0,0,0,0,0,0,7,10,0,8,0,3,3,3,4,39,0,3,14,292,566,553,507,362,66,59,97,74,60,31,160,2850,0,0,3,3,12,23,13,26,0,7,12,5,12,10,25,144,0,161,238,101,18,3,4,0,0,0,0,0,0,0,22,547,0,17,16,3,0,0,0,5,0,0,3,0,0,0,5,56,0,0,0,10,53,107,210,141,32,56,53,38,28,16,36,783,0,0,0,4,9,72,349,566,202,257,253,353,345,214,90,2703,0,0,4,10,76,342,132,153,22,21,55,42,52,24,21,951,0,19,19,5,34,38,4,0,0,0,0,0,0,0,3,124,0,0,0,0,3,9,28,17,0,9,6,3,0,3,0,77
SED21303,30,24,30,10,19,3,3,317,17,590,1205,614,72,19,32,49,16,47,60,48,55,24,97,2933,0,0,3,3,12,29,58,35,7,11,10,7,13,8,12,209,0,0,0,0,3,13,38,26,5,3,9,7,14,6,17,146,0,4,33,242,218,106,35,23,3,0,5,15,11,3,34,738,0,0,8,17,102,95,121,91,12,21,46,20,36,11,13,604,0,31,72,27,16,4,0,0,0,0,0,0,0,0,3,156,0,9,4,9,7,5,13,16,6,3,3,15,6,11,3,109,0,3,8,44,112,163,355,347,102,133,128,123,95,55,55,1717,0,0,0,0,3,14,19,60,30,40,21,28,44,22,14,293,0,0,0,9,33,69,54,34,12,11,14,20,20,26,14,321,0,10,11,8,28,23,16,3,8,3,8,3,4,0,5,125,0,0,3,4,21,24,38,33,9,7,5,9,6,10,6,182
SED21401,5,0,0,0,0,0,5,77,22,733,967,287,33,32,19,19,4,10,5,3,4,5,128,2269,0,0,0,11,13,13,47,17,0,6,4,3,0,0,3,114,0,0,0,0,14,75,152,134,21,17,12,8,10,13,16,477,0,9,32,90,74,51,22,3,0,0,3,0,0,0,9,282,0,0,35,114,301,417,363,308,51,65,44,58,79,51,59,1937,0,51,30,3,4,4,4,0,0,0,0,0,0,0,4,97,0,40,21,12,6,4,6,0,3,0,0,0,0,0,10,99,3,4,18,36,80,87,184,68,18,16,10,14,8,6,19,572,0,0,3,7,8,15,27,38,12,10,9,19,17,22,10,185,0,0,4,12,49,68,40,48,13,3,11,18,10,13,9,301,0,21,18,4,22,27,4,0,0,0,0,0,0,0,3,109,0,0,3,18,41,72,159,83,9,7,15,8,11,11,4,440
SED21503,6,6,3,3,4,0,4,167,0,277,533,256,34,21,20,7,6,6,0,7,7,0,62,1238,0,3,0,0,3,3,25,19,0,4,3,3,3,3,0,71,0,0,0,0,3,3,20,38,5,6,10,6,0,3,4,94,0,4,8,54,53,47,15,26,5,0,0,3,0,0,17,244,0,0,4,9,76,132,105,83,25,16,56,44,41,44,24,665,0,46,57,23,5,3,0,0,0,0,0,0,0,0,9,149,0,26,31,8,4,3,8,7,0,0,0,3,0,0,3,92,0,3,6,34,75,67,136,73,47,30,21,13,7,10,19,532,0,0,0,0,6,10,9,25,7,16,28,21,20,30,4,168,0,0,0,10,67,147,71,75,21,29,21,26,53,26,14,566,0,10,12,12,33,33,7,4,3,0,0,6,0,0,5,128,0,0,3,9,8,15,41,35,4,12,7,9,11,9,6,164
SED21608,3,3,4,3,0,0,6,109,0,36,44,18,3,3,4,11,0,0,0,0,0,0,5,123,0,0,0,0,0,3,3,9,0,0,0,0,0,0,3,27,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,17,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,9,0,0,6,6,12,9,13,4,0,0,3,3,4,0,0,70,0,34,38,27,4,7,0,3,0,0,0,0,0,0,12,123,0,145,143,19,16,3,3,11,0,0,3,0,0,0,20,355,0,5,13,67,92,99,88,55,11,12,21,7,7,4,18,497,0,0,0,0,0,0,0,19,0,3,6,3,5,0,0,33,0,0,0,3,12,23,28,31,5,15,13,14,11,0,8,163,0,8,5,0,8,10,3,0,0,0,0,0,0,0,3,43,0,0,4,3,0,0,3,5,0,0,0,0,0,0,0,25
SED21706,3,3,8,4,0,0,7,171,7,117,181,64,14,7,8,13,0,5,5,6,0,0,21,454,0,0,3,4,9,28,32,20,3,10,7,7,4,11,3,142,0,0,0,0,15,34,126,116,10,13,3,21,17,11,7,374,0,0,9,18,12,6,8,8,0,0,0,0,0,0,3,65,0,0,19,74,190,336,240,163,40,44,42,58,75,81,26,1396,0,17,15,8,0,0,0,0,0,0,0,0,0,0,0,43,0,41,29,19,6,3,13,6,5,0,0,9,0,4,3,136,3,8,19,73,115,135,218,128,38,40,31,23,20,14,27,897,0,0,0,3,7,4,14,20,8,8,23,36,27,8,4,169,0,0,0,11,35,64,32,27,12,11,21,18,31,34,7,311,3,16,23,19,55,47,18,14,0,0,0,0,0,0,8,201,0,0,3,23,35,41,102,44,6,12,18,8,16,10,4,324
SED21805,17,17,4,3,0,3,3,223,5,71,89,72,18,7,8,13,3,5,3,3,0,0,26,316,0,0,0,0,3,3,18,7,0,3,0,3,0,0,0,43,0,0,0,0,4,7,5,8,0,6,0,0,0,0,0,23,0,0,0,4,12,13,17,5,0,0,0,3,0,0,0,64,0,4,4,17,30,41,39,26,11,5,3,4,3,0,3,177,3,22,35,5,7,0,0,0,0,0,0,0,0,0,0,77,0,94,116,27,28,3,7,6,4,3,0,0,0,3,50,333,4,8,16,86,244,337,393,268,112,66,68,36,32,19,65,1757,0,0,0,5,0,17,17,10,0,0,0,3,5,3,0,54,0,0,0,4,73,187,146,155,17,40,34,42,22,11,23,754,0,10,12,12,59,59,30,8,0,3,0,0,0,0,3,199,0,0,0,3,8,20,12,10,0,0,0,4,0,0,0,61
SED21906,55,50,35,32,32,20,4,480,6,83,100,43,23,7,11,14,7,26,16,30,16,9,18,399,0,0,0,9,10,29,60,45,9,10,23,33,45,20,36,330,0,0,0,3,3,16,22,39,13,8,8,5,12,6,6,143,0,3,0,13,14,7,3,3,0,0,0,0,0,0,0,41,3,0,0,35,75,58,72,55,6,17,26,15,25,29,8,433,0,12,7,11,3,0,0,0,0,0,0,0,0,0,0,36,0,22,16,3,7,13,12,15,5,0,3,6,5,6,5,119,5,0,32,57,167,148,240,190,85,62,58,35,49,26,31,1183,0,0,0,3,4,9,15,21,8,4,9,4,12,9,4,90,0,0,0,6,34,66,21,59,14,15,40,41,33,29,10,377,74,360,270,56,99,56,15,13,3,0,9,8,6,3,41,1006,3,3,7,15,26,15,38,18,7,7,6,8,24,6,3,182
SED22005,15,6,7,6,0,3,0,155,10,205,546,265,39,10,17,14,0,3,14,5,11,11,50,1195,0,6,0,3,5,17,79,37,10,10,3,6,11,9,11,213,0,0,0,0,6,28,116,195,20,35,35,39,42,20,10,543,0,0,3,42,58,21,16,11,0,3,0,0,0,3,11,166,0,0,5,26,85,142,140,110,32,44,79,52,105,57,37,912,3,39,37,17,6,0,4,0,0,0,0,0,0,0,4,111,0,27,23,5,9,0,15,13,0,0,0,0,0,0,3,92,0,3,13,38,98,114,248,87,53,36,26,11,19,14,24,798,0,0,0,7,11,12,67,54,17,36,45,59,57,18,12,404,0,0,0,13,115,250,148,156,45,60,56,42,46,43,28,1000,0,15,31,24,86,56,28,16,0,0,0,0,3,3,9,276,0,0,0,10,7,28,49,47,9,18,11,11,3,4,3,205
SED22105,8,4,16,4,3,0,6,189,0,57,133,68,8,8,5,14,3,6,7,0,0,4,11,329,0,0,0,0,0,3,10,6,0,4,0,0,0,3,0,29,0,0,0,0,0,0,21,32,9,4,4,3,8,0,4,80,0,3,0,18,22,25,36,6,3,3,3,3,4,3,3,130,0,0,0,8,25,63,94,102,9,12,13,19,10,8,13,367,0,25,32,18,11,3,0,0,0,0,0,0,0,0,3,105,0,112,137,38,26,11,5,6,0,0,0,0,0,0,13,352,0,5,8,53,205,367,758,581,151,239,153,92,74,55,97,2834,0,0,0,0,0,34,103,204,52,76,63,89,42,14,10,676,0,0,0,6,61,280,394,779,125,91,80,66,52,36,29,2010,0,6,8,0,58,55,50,16,3,0,0,0,8,0,5,208,0,0,0,4,6,28,50,53,11,10,7,8,8,4,0,196
SED22201,0,0,3,0,0,0,4,125,0,67,106,62,4,0,4,3,3,4,4,6,5,0,17,283,0,4,0,3,6,6,10,9,0,0,0,0,3,0,3,49,0,0,0,0,8,13,28,19,3,0,0,3,3,3,0,81,0,0,0,9,13,12,5,5,0,0,0,0,0,0,0,49,0,0,5,29,32,53,87,111,15,22,24,20,28,14,13,458,0,34,23,4,3,0,3,0,0,0,0,0,0,0,3,76,0,131,150,39,26,6,12,0,0,0,0,7,0,0,5,368,3,12,20,78,112,124,144,48,23,17,17,20,13,4,26,665,0,0,0,0,0,6,6,12,4,3,0,0,3,0,0,45,0,0,0,8,25,76,51,79,13,5,11,7,4,11,6,292,0,0,14,8,34,21,11,0,0,0,0,3,0,0,0,89,0,0,3,11,10,13,41,10,3,3,3,0,0,0,7,107
SED22305,5,4,0,0,9,0,0,98,4,160,416,227,22,12,11,4,0,3,6,0,7,3,29,910,0,0,0,3,0,3,12,6,0,0,0,0,3,0,0,35,0,0,0,0,0,9,25,22,6,3,4,0,0,0,0,71,0,0,7,93,119,94,73,28,8,8,9,3,9,9,8,479,0,0,4,9,47,97,94,77,12,28,41,27,24,9,11,488,0,23,30,12,3,5,3,0,0,0,0,0,0,0,7,85,0,128,121,17,6,4,3,3,0,0,0,0,0,3,9,294,0,0,9,46,126,194,316,198,70,96,71,48,37,22,54,1280,0,0,0,6,8,29,102,290,136,292,333,181,152,68,42,1633,0,0,0,7,93,225,176,210,40,43,66,53,58,44,32,1056,0,31,22,43,155,174,44,10,3,0,0,0,3,0,20,515,0,0,0,3,10,41,32,12,0,0,0,0,0,0,3,103
