POA_CODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
POA3097,181,4,3,3,0,0,0,201
POA3099,634,44,26,6,0,0,3,711
POA3101,2804,118,42,19,0,0,4,2990
POA3102,925,25,14,0,0,0,0,973
POA3103,1930,79,32,26,0,0,0,2078
POA3104,2999,128,45,35,0,0,0,3204
POA3105,1387,52,21,19,0,0,3,1484
POA3106,2265,110,36,26,3,3,13,2451
POA3107,1778,83,28,21,3,0,3,1918
POA3108,2375,117,27,21,0,3,3,2552
POA3109,3930,145,64,45,4,0,3,4197
POA3111,1625,67,30,16,0,0,5,1751
POA3113,1221,81,35,11,0,0,0,1348
POA3114,619,24,8,7,0,0,0,659
POA3115,570,36,20,0,0,0,3,625
POA3116,1170,86,61,7,4,0,7,1329
POA3121,1856,124,36,18,0,0,4,2033
POA3122,2023,103,30,10,0,0,0,2167
POA3123,1474,53,17,7,0,0,3,1564
POA3124,2804,117,41,26,3,0,0,2993
POA3125,1340,61,31,9,0,0,6,1444
POA3126,1077,49,11,12,0,0,0,1147
POA3127,2572,115,27,12,0,0,0,2729
POA3128,1955,85,26,18,0,0,5,2093
POA3129,2204,88,32,16,3,0,3,2346
POA3130,4115,171,73,25,0,0,6,4389
POA3131,2732,130,45,30,0,0,3,2933
POA3132,1999,86,35,9,3,0,4,2147
POA3133,2998,143,77,34,3,0,8,3266
POA3134,4090,227,104,43,0,0,4,4463
POA3135,2390,139,49,14,0,0,3,2599
POA3136,5010,369,187,41,3,3,14,5620
POA3137,1503,120,67,18,0,0,6,1723
POA3138,2609,213,120,33,0,0,14,2997
POA3139,1601,149,94,11,6,0,9,1879
POA3140,1850,172,70,15,8,0,6,2117
POA3141,1099,93,18,3,0,0,3,1214
POA3142,1109,75,21,6,0,0,8,1216
POA3143,782,38,16,3,0,0,0,838
POA3144,1227,61,23,0,0,0,0,1319
POA3145,2801,105,26,21,0,0,3,2960
POA3146,3366,123,41,23,0,0,0,3558
POA3147,1857,81,38,11,0,0,8,1989
POA3148,882,37,16,9,0,0,3,947
POA3149,4443,152,65,53,5,0,5,4734
POA3150,8221,302,108,108,7,3,11,8770
POA3151,1245,40,25,7,0,0,3,1325
POA3152,4341,230,99,56,0,0,9,4744
POA3153,2182,158,72,29,9,0,5,2445
POA3154,525,48,25,4,3,0,0,605
POA3155,2223,198,102,21,3,0,10,2561
POA3156,4638,334,182,35,7,3,12,5216
POA3158,821,70,35,11,3,0,0,936
POA3159,349,30,14,3,0,0,0,390
POA3160,1142,66,33,7,0,0,0,1257
POA3161,1624,62,10,13,0,0,0,1714
POA3162,2116,104,35,5,0,0,4,2264
POA3163,3526,128,38,19,0,0,9,3713
POA3165,3749,207,78,15,4,0,8,4055
POA3166,2784,117,30,25,0,0,4,2975
POA3167,1190,63,23,24,0,0,6,1304
POA3168,1474,60,12,19,0,0,7,1576
POA3169,2393,93,49,42,0,0,11,2591
POA3170,2494,105,56,41,3,0,8,2696
POA3171,2256,116,58,94,6,0,10,2550
POA3172,2816,181,94,67,11,0,13,3180
POA3173,3577,163,82,89,7,6,12,3929
POA3174,3915,257,133,93,12,3,20,4433
POA3175,5726,271,119,97,7,9,27,6259
POA3177,991,85,38,21,4,3,5,1147
POA3178,5085,266,133,42,0,0,14,5551
POA3179,796,52,27,11,0,0,8,892
POA3180,899,68,22,8,0,0,0,1002
POA3181,1022,64,23,3,0,0,3,1117
POA3182,1041,73,24,0,0,0,3,1139
POA3183,1438,61,17,3,0,0,3,1530
POA3184,1183,73,19,7,0,0,0,1288
POA3185,1361,60,20,7,0,0,0,1443
POA3186,2801,140,48,10,0,0,3,3003
POA3187,2138,106,35,14,0,0,3,2291
POA3188,2361,132,41,4,0,0,4,2542
POA3189,680,41,22,5,3,0,0,744
POA3190,1246,55,27,9,0,0,0,1342
POA3191,1277,62,17,0,0,0,4,1365
POA3192,2665,132,64,17,3,0,8,2887
POA3193,2631,121,50,13,0,0,10,2827
POA3194,1385,100,26,10,0,0,0,1524
POA3195,4780,257,125,28,4,0,4,5200
POA3196,2624,222,88,12,3,0,11,2967
POA3197,1218,103,46,7,4,0,3,1385
POA3198,1456,146,56,11,3,0,8,1688
POA3199,4891,501,261,52,8,3,22,5732
POA3200,330,41,33,16,0,0,3,431
POA3201,2073,212,136,24,5,0,11,2473
POA3202,367,26,20,3,0,0,0,420
POA3204,4138,191,63,39,5,0,8,4438
POA3205,701,47,8,0,0,0,0,760
POA3206,1108,73,13,3,4,0,3,1206
POA3207,1341,96,21,5,0,0,3,1465
POA3211,148,15,0,0,0,0,0,169
POA3212,1818,180,102,21,4,0,9,2127
POA3213,542,29,17,4,3,0,0,595
POA3214,1626,190,151,26,4,3,20,2014
POA3215,1938,140,65,15,0,0,8,2169
POA3216,5895,390,191,41,10,4,17,6546
POA3217,795,62,50,3,0,0,3,917
POA3218,1325,74,25,3,0,0,3,1433
POA3219,1536,151,75,10,9,0,15,1800
POA3220,1613,76,27,4,0,0,4,1729
POA3221,105,10,0,0,0,0,0,110
POA3222,1473,123,68,6,0,0,15,1686
POA3223,454,41,14,6,3,0,4,524
POA3224,1468,154,84,7,0,0,6,1719
POA3225,299,22,6,0,0,0,3,325
POA3226,1581,113,53,8,0,0,7,1765
POA3227,559,29,6,0,0,0,0,596
POA3228,2232,124,72,3,0,0,5,2436
POA3230,225,15,4,0,0,0,0,248
POA3231,94,7,0,0,0,0,0,108
POA3232,74,0,4,0,0,0,0,81
POA3233,144,8,6,0,0,0,0,158
POA3234,11,0,0,0,0,0,0,10
POA3235,28,3,0,0,0,0,0,34
POA3236,15,0,0,0,0,0,0,15
POA3237,19,3,0,0,0,0,0,22
POA3238,20,0,0,0,0,0,0,20
POA3239,40,0,0,0,0,0,0,42
POA3240,284,14,8,0,0,0,0,306
POA3241,217,24,10,3,0,0,0,255
POA3242,82,3,8,0,0,0,0,89
POA3243,36,0,0,0,0,0,0,38
POA3249,312,29,16,3,0,0,3,362
POA3250,1019,89,50,10,0,0,3,1180
POA3251,44,3,3,0,0,0,0,53
POA3254,32,0,0,0,0,0,0,37
POA3260,404,25,19,3,0,0,0,450
POA3264,181,18,14,0,0,0,0,215
POA3265,302,18,11,0,0,0,0,333
POA3266,294,19,25,3,0,0,0,338
POA3267,31,0,0,0,0,0,0,33
POA3268,253,12,18,0,0,0,3,282
POA3269,66,3,3,0,0,0,0,81
POA3270,18,0,0,0,0,0,0,22
POA3271,19,5,0,0,0,0,0,23
POA3272,115,10,7,0,0,0,0,136
POA3273,15,0,0,0,0,0,0,16
POA3274,21,0,0,0,0,0,0,25
POA3275,59,3,3,0,0,0,0,69
POA3276,48,0,7,0,0,0,0,53
POA3277,215,11,10,0,0,0,0,237
POA3278,26,5,5,0,0,0,0,35
POA3279,37,4,0,0,0,0,0,39
POA3280,2774,194,132,17,3,0,18,3139
POA3281,221,19,10,3,0,0,0,249
POA3282,250,21,8,0,0,0,0,278
POA3283,143,11,3,0,0,0,3,163
POA3284,294,21,10,0,0,0,3,326
POA3285,130,11,9,0,0,0,0,152
POA3286,55,0,3,0,0,0,0,58
POA3287,49,3,3,0,0,0,0,57
POA3289,77,0,0,0,0,0,0,79
POA3292,5,0,0,0,0,0,3,9
POA3293,22,3,3,0,0,0,0,31
POA3294,99,5,0,0,0,0,0,108
POA3300,869,55,44,8,0,0,7,984
POA3301,155,3,3,0,0,0,0,165
POA3302,35,3,0,0,0,0,0,37
POA3303,36,3,0,0,0,0,0,39
POA3304,202,31,21,0,0,0,3,257
POA3305,1052,108,64,6,0,0,13,1250
POA3309,11,0,0,0,0,0,0,10
POA3310,20,0,5,0,0,0,0,26
POA3311,106,0,8,0,0,0,3,119
POA3312,98,6,0,0,0,0,0,108
POA3314,57,3,3,0,0,0,0,65
POA3315,136,6,10,4,0,0,0,149
POA3317,14,0,0,0,0,0,0,19
POA3318,99,12,7,0,0,0,0,118
POA3319,31,0,0,0,0,0,0,28
POA3321,209,12,10,0,0,0,0,233
POA3322,13,0,0,0,0,0,0,14
POA3323,5,0,0,0,0,0,0,9
POA3324,40,8,3,0,0,0,0,47
POA3325,46,5,3,0,0,0,0,50
POA3328,224,16,10,0,0,0,0,257
POA3329,37,3,0,0,0,0,0,39
POA3330,18,0,3,0,0,0,0,24
POA3331,779,48,30,0,0,0,4,863
POA3332,122,8,7,3,0,0,0,147
POA3333,80,4,5,0,0,0,0,97
POA3334,44,6,0,0,0,0,3,56
POA3335,717,48,21,5,0,0,0,796
POA3337,3692,336,233,65,11,9,21,4367
POA3338,2463,201,141,36,3,5,11,2861
POA3340,2291,203,148,27,7,0,20,2687
POA3341,211,9,5,3,0,0,0,234
POA3342,350,25,13,5,0,0,0,394
POA3345,117,10,5,4,0,0,0,143
POA3350,5390,411,238,34,5,0,17,6092
POA3351,926,81,44,12,3,0,5,1078
POA3352,1876,125,75,18,3,4,7,2108
POA3355,883,98,68,15,3,0,8,1071
POA3356,1198,136,112,19,3,0,11,1484
POA3357,440,17,12,0,0,0,0,468
POA3360,55,7,5,3,0,0,0,73
POA3361,54,3,4,0,0,0,0,60
POA3363,278,20,22,5,0,0,0,325
POA3364,200,13,14,0,0,0,0,225
POA3370,110,17,9,4,0,0,3,144
POA3371,64,11,0,0,0,0,5,86
POA3373,175,13,16,7,0,0,0,207
POA3374,35,9,0,0,0,0,0,44
POA3375,23,0,0,0,0,0,0,24
POA3377,659,59,55,9,3,0,4,794
POA3378,21,0,0,0,0,0,0,25
POA3379,56,7,4,0,0,0,0,62
POA3380,437,42,25,3,0,0,8,507
POA3381,109,7,0,3,0,0,4,118
POA3384,45,3,4,0,0,0,0,54
POA3385,53,6,0,0,0,0,0,56
POA3387,30,3,3,0,0,0,0,37
POA3388,45,3,0,0,0,0,0,55
POA3390,86,4,5,0,0,0,0,91
POA3391,15,0,0,0,0,0,0,16
POA3392,42,0,0,0,0,0,0,42
POA3393,199,16,10,0,0,0,3,220
POA3395,27,0,4,0,0,0,0,35
POA3396,45,3,3,0,0,0,0,50
POA3400,1156,100,99,7,3,0,14,1379
POA3401,538,28,19,8,0,0,3,592
POA3407,46,3,4,0,0,0,0,54
POA3409,86,3,6,0,0,0,0,103
POA3412,26,0,0,0,0,0,0,24
POA3413,25,3,0,0,0,0,0,27
POA3414,122,16,7,0,0,0,3,148
POA3415,4,0,0,0,0,0,0,3
POA3418,260,19,8,0,0,0,5,295
POA3419,67,3,3,0,0,0,0,70
POA3420,30,0,3,0,0,0,0,36
POA3423,27,0,0,0,0,0,3,34
POA3424,59,3,3,0,0,0,0,65
POA3427,299,27,7,6,0,0,0,339
POA3428,83,7,0,3,0,0,0,91
POA3429,4249,339,204,28,8,3,18,4850
POA3430,31,4,0,3,0,0,0,35
POA3431,542,28,23,3,0,0,0,592
POA3432,19,0,0,0,0,0,0,26
POA3433,24,3,0,0,0,0,0,32
POA3434,612,34,31,8,0,3,5,698
POA3435,303,17,15,0,0,0,5,342
POA3437,1386,72,42,11,0,0,3,1513
POA3438,328,17,16,0,0,0,0,358
POA3440,258,8,9,3,0,0,0,280
POA3441,156,18,4,0,0,0,0,175
POA3442,896,52,32,3,3,0,3,982
POA3444,844,67,32,12,3,0,5,954
POA3446,98,4,5,0,0,0,0,113
POA3447,41,4,0,0,0,0,0,42
POA3448,80,6,3,0,0,0,0,86
POA3450,510,40,19,3,0,0,0,579
POA3451,456,35,14,3,0,0,3,514
POA3453,184,15,6,0,0,0,0,208
POA3458,142,18,6,0,0,0,0,165
POA3460,168,9,8,0,0,0,0,188
POA3461,345,28,14,0,0,0,4,388
POA3462,101,5,0,0,0,0,0,114
POA3463,167,16,7,0,0,0,0,187
POA3464,106,7,11,0,0,0,3,126
POA3465,656,69,47,8,3,0,9,787
POA3467,84,6,10,0,0,0,0,100
POA3468,19,0,0,0,0,0,0,23
POA3469,18,0,0,0,0,0,0,21
POA3472,83,9,6,0,0,0,0,97
POA3475,23,7,0,0,0,0,0,30
POA3477,76,3,3,0,0,0,0,83
POA3478,185,11,6,0,0,0,0,202
POA3480,144,11,12,0,0,0,0,163
POA3482,13,0,0,0,0,0,0,17
POA3483,83,5,3,0,0,0,0,91
POA3485,30,0,0,0,0,0,0,31
POA3487,12,0,0,0,0,0,0,12
POA3488,12,0,0,0,0,0,0,12
POA3489,4,0,0,0,0,0,0,4
POA3490,91,8,8,0,0,0,0,107
POA3491,15,0,0,0,0,0,0,15
POA3494,44,3,9,0,0,0,0,55
POA3496,559,65,32,4,0,0,0,667
POA3498,599,40,18,12,0,0,5,680
POA3500,2519,248,154,39,10,5,22,2990
POA3501,262,18,4,0,0,0,0,289
POA3505,471,43,28,5,0,0,4,556
POA3506,3,0,0,0,0,0,0,3
POA3507,7,0,0,0,0,0,0,10
POA3509,21,0,3,0,0,0,0,23
POA3512,38,3,0,0,0,0,0,39
POA3515,226,18,13,3,0,0,0,262
POA3516,77,5,0,0,0,0,0,84
POA3517,97,10,3,0,0,0,0,106
POA3518,88,7,4,0,0,0,0,97
POA3520,8,0,0,0,0,0,0,12
POA3521,67,6,7,7,0,0,0,83
POA3522,28,3,0,0,0,0,0,33
POA3523,222,30,12,4,0,0,3,273
POA3525,90,4,7,0,0,0,0,106
POA3527,52,6,0,0,0,0,4,57
POA3529,12,0,0,0,0,0,0,20
POA3530,10,0,0,0,0,0,0,10
POA3531,20,0,0,0,0,0,0,22
POA3533,60,7,0,0,0,0,0,64
POA3537,82,4,5,0,0,0,0,89
POA3540,20,0,0,0,0,0,0,23
POA3542,15,0,0,0,0,0,0,15
POA3544,23,0,0,0,0,0,0,19
POA3546,31,0,9,0,0,0,0,36
POA3549,295,14,11,5,0,0,4,328
POA3550,3059,257,143,15,4,5,22,3507
POA3551,3692,270,176,25,4,0,17,4184
POA3555,1547,151,107,9,4,0,8,1823
POA3556,962,97,89,16,3,0,18,1183
POA3557,86,13,7,0,0,0,0,106
POA3558,72,7,5,0,0,0,0,86
POA3559,58,3,4,0,0,0,0,66
POA3561,389,22,26,3,0,0,3,446
POA3562,30,0,3,0,0,0,0,35
POA3563,69,6,7,0,0,0,0,82
POA3564,1398,132,69,12,0,0,9,1615
POA3565,8,0,0,0,0,0,0,10
POA3566,50,5,3,0,0,0,0,55
POA3567,62,0,0,0,0,0,0,68
POA3568,240,17,15,0,0,0,3,273
POA3570,70,12,3,0,0,0,0,94
POA3571,30,0,0,0,0,0,0,33
POA3572,18,0,3,0,0,0,0,20
POA3573,26,0,3,0,0,0,0,31
POA3575,61,4,3,0,0,0,0,71
POA3576,7,0,0,0,0,0,0,7
POA3579,453,27,29,4,0,0,7,519
POA3580,73,5,0,0,0,0,3,84
POA3581,24,3,0,0,0,0,0,28
POA3583,25,0,0,0,0,0,0,27
POA3584,114,11,3,3,0,0,0,128
POA3585,937,77,44,16,0,0,3,1070
POA3586,99,3,4,0,0,0,0,110
POA3588,35,0,0,0,0,0,0,42
POA3589,40,0,0,3,0,0,0,46
POA3590,38,0,0,0,0,0,0,47
POA3591,17,3,0,0,0,0,0,16
POA3594,38,9,0,3,0,0,0,49
POA3595,42,6,4,0,0,0,0,46
POA3596,11,0,0,0,0,0,0,9
POA3597,46,0,0,0,0,0,0,42
POA3599,12,0,0,0,0,0,0,10
POA3607,15,0,0,0,0,0,0,15
POA3608,183,19,7,0,0,0,0,216
POA3610,119,12,12,0,3,0,0,142
POA3612,99,9,8,0,0,0,3,128
POA3614,112,4,7,0,0,0,0,119
POA3616,515,38,23,7,0,0,0,588
POA3617,16,0,0,0,0,0,0,21
POA3618,69,0,6,0,0,0,0,82
POA3620,770,61,36,8,0,0,4,873
POA3621,227,12,21,0,0,0,0,260
POA3622,41,3,0,0,0,0,0,46
POA3623,60,4,3,3,0,0,0,72
POA3624,50,6,4,0,0,0,0,59
POA3629,711,61,41,6,3,0,9,833
POA3630,2648,211,133,40,3,3,22,3062
POA3631,1434,76,53,19,0,0,8,1597
POA3633,85,0,4,0,0,0,0,91
POA3634,206,21,9,0,0,0,0,238
POA3635,48,6,4,0,0,0,0,56
POA3636,442,38,19,3,0,0,4,515
POA3637,70,5,3,0,0,0,0,81
POA3638,176,13,8,0,0,0,0,194
POA3639,39,0,0,0,0,0,0,41
POA3640,114,10,6,0,0,0,0,128
POA3641,108,7,8,0,0,0,3,133
POA3644,751,51,43,3,3,0,10,858
POA3646,62,7,3,0,0,0,0,73
POA3647,0,0,0,0,0,0,0,0
POA3649,38,3,0,0,0,0,0,45
POA3658,596,59,34,7,0,0,4,700
POA3659,71,5,3,0,0,0,0,82
POA3660,542,58,26,6,4,0,8,640
POA3662,141,4,10,0,0,0,0,159
POA3663,14,0,0,0,0,0,0,17
POA3664,95,12,3,0,0,0,0,113
POA3665,32,4,0,0,0,0,0,31
POA3666,329,30,13,0,0,0,4,374
POA3669,85,4,4,0,0,0,3,98
POA3670,46,8,0,0,0,0,0,64
POA3672,685,73,41,7,0,0,0,809
POA3673,146,11,4,6,0,0,3,176
POA3675,187,14,6,4,0,0,0,216
POA3677,1446,117,91,19,3,0,19,1686
POA3678,674,42,32,8,0,0,6,768
POA3682,68,4,0,0,0,0,3,77
POA3683,150,22,11,3,0,0,3,191
POA3685,239,20,8,3,0,0,3,271
POA3687,98,11,7,0,0,0,3,123
POA3688,140,8,4,0,0,0,0,155
POA3690,2895,300,223,21,0,0,12,3458
POA3691,1080,67,57,11,0,0,6,1223
POA3694,0,0,0,0,0,0,0,0
POA3695,61,6,3,0,0,0,0,64
POA3697,64,0,0,0,0,0,0,67
POA3698,64,7,0,0,0,0,0,75
POA3699,62,5,4,0,0,0,3,74
POA3700,101,11,4,0,0,0,0,119
POA3701,94,0,4,0,0,0,0,101
POA3704,0,0,0,0,0,0,0,0
POA3705,24,0,0,0,0,0,0,20
POA3707,137,6,8,3,0,0,0,159
POA3708,4,0,0,0,0,0,0,4
POA3709,15,4,0,0,0,0,0,22
POA3711,34,0,0,0,0,0,0,43
POA3712,20,0,0,0,0,0,0,27
POA3713,48,8,3,0,0,0,0,59
POA3714,279,29,12,3,0,0,0,324
POA3715,14,3,3,0,0,0,0,21
POA3717,195,18,18,0,0,0,3,238
POA3718,5,0,0,0,0,0,0,10
POA3719,26,0,0,0,0,0,0,29
POA3720,39,4,0,0,0,0,0,43
POA3722,457,36,20,5,0,0,0,512
POA3723,180,11,6,0,0,0,0,199
POA3725,54,8,6,0,0,0,0,70
POA3726,32,3,0,0,0,0,0,37
POA3727,29,3,0,0,0,0,0,37
POA3728,44,4,0,0,0,0,0,52
POA3730,655,65,39,10,0,0,5,770
POA3732,51,4,4,0,0,0,0,63
POA3733,19,0,0,0,0,0,0,20
POA3735,59,4,0,0,0,0,0,69
POA3737,355,25,22,0,0,0,0,406
POA3738,20,0,0,0,0,0,0,16
POA3739,14,3,0,0,0,0,0,17
POA3740,103,5,0,0,0,0,3,111
POA3741,229,11,14,0,0,0,0,257
POA3744,46,3,0,0,0,0,0,50
POA3746,31,8,0,0,0,0,0,36
POA3747,363,40,12,5,0,0,3,421
POA3749,198,11,9,0,0,0,3,225
POA3750,1383,51,29,20,0,0,0,1484
POA3751,31,3,0,0,0,0,0,35
POA3752,3527,187,117,31,4,3,11,3878
POA3753,320,16,17,9,0,0,0,363
POA3754,5191,351,237,35,6,3,4,5833
POA3755,24,0,3,0,0,0,0,32
POA3756,1374,126,94,17,0,0,10,1627
POA3757,1047,69,55,3,3,0,0,1178
POA3758,286,15,18,3,3,0,0,331
POA3759,139,9,6,0,0,0,0,153
POA3760,58,3,0,0,0,0,0,66
POA3761,149,8,10,3,0,0,0,170
POA3762,16,0,0,0,0,0,0,16
POA3763,160,17,10,0,0,0,0,192
POA3764,920,98,43,12,0,0,8,1078
POA3765,780,85,24,16,3,0,4,912
POA3766,135,21,4,4,0,0,0,166
POA3767,135,9,0,0,0,0,0,147
POA3770,378,39,11,9,0,0,0,437
POA3775,436,40,15,5,0,0,0,500
POA3777,1039,106,61,7,0,0,5,1214
POA3778,20,0,9,0,0,0,0,22
POA3779,17,8,0,0,0,0,0,25
POA3781,498,55,47,3,0,0,3,603
POA3782,966,77,32,7,0,0,3,1083
POA3783,292,26,16,3,0,0,0,334
POA3785,4,0,0,0,0,0,0,11
POA3786,180,13,10,0,0,0,0,205
POA3787,137,10,0,3,0,0,0,158
POA3788,191,17,3,0,0,0,0,215
POA3789,25,3,0,0,0,0,0,32
POA3791,179,15,4,0,0,0,0,202
POA3792,124,9,3,0,0,0,0,137
POA3793,395,38,26,3,0,0,0,457
POA3795,157,10,6,0,0,0,0,169
POA3796,1179,100,67,11,3,3,4,1367
POA3797,346,20,17,4,3,0,0,388
POA3799,450,53,44,3,0,0,8,547
POA3800,3,0,0,0,0,0,0,3
POA3802,3297,157,76,52,5,0,10,3599
POA3803,1296,89,47,31,3,0,8,1466
POA3804,1203,73,24,12,0,0,7,1319
POA3805,7786,497,306,133,4,7,21,8750
POA3806,6686,421,235,69,3,7,15,7445
POA3807,1008,76,42,12,0,0,4,1144
POA3808,443,13,22,0,0,0,3,476
POA3809,913,85,32,10,0,0,0,1044
POA3810,5214,478,376,66,11,3,33,6182
POA3812,274,19,15,0,4,0,0,311
POA3813,101,3,4,0,0,0,3,112
POA3814,271,17,10,3,0,0,0,300
POA3815,348,34,7,0,0,0,3,400
POA3816,252,28,22,4,0,0,3,315
POA3818,1329,122,77,8,0,0,5,1548
POA3820,1471,105,80,8,3,0,13,1675
POA3821,337,11,13,0,0,0,0,364
POA3822,118,7,6,0,0,0,0,137
POA3823,167,18,5,3,0,0,4,195
POA3824,449,53,30,0,0,0,4,537
POA3825,1560,150,127,24,0,0,10,1872
POA3831,167,9,5,3,0,0,0,184
POA3832,16,3,0,0,0,0,0,17
POA3833,14,0,0,3,0,0,0,16
POA3835,46,0,3,0,0,0,0,55
POA3840,1195,117,78,16,4,3,16,1430
POA3842,345,27,28,5,0,0,9,414
POA3844,2658,277,141,23,5,3,18,3115
POA3847,206,21,6,0,0,0,0,240
POA3850,1302,115,77,6,0,0,11,1513
POA3851,404,38,20,3,3,0,6,479
POA3852,7,0,0,0,0,0,0,7
POA3854,179,14,12,0,0,0,3,204
POA3856,112,13,10,0,0,0,0,135
POA3857,42,0,0,0,0,0,0,50
POA3858,271,16,20,3,0,0,3,314
POA3859,82,12,0,0,3,0,0,96
POA3860,631,46,42,8,0,0,9,735
POA3862,314,23,18,3,0,0,4,366
POA3864,13,3,0,0,0,0,0,19
POA3865,45,0,3,0,0,0,0,46
POA3869,168,19,9,0,0,0,3,197
POA3870,117,15,5,0,0,0,4,145
POA3871,263,22,10,5,0,0,9,303
POA3873,42,0,0,0,0,0,0,40
POA3874,31,4,3,0,0,0,0,42
POA3875,1495,123,87,16,5,3,12,1737
POA3878,69,10,3,3,0,0,0,84
POA3880,208,24,14,3,0,0,0,253
POA3882,88,12,7,0,0,0,0,111
POA3885,166,13,13,0,0,0,0,196
POA3886,31,0,3,0,0,0,0,42
POA3887,27,3,0,3,0,0,0,29
POA3888,238,25,17,8,0,0,3,281
POA3889,4,0,0,0,0,0,0,4
POA3890,19,0,0,0,0,0,0,19
POA3891,7,0,0,0,0,0,0,7
POA3892,61,5,0,0,0,0,0,69
POA3893,4,0,0,0,0,0,0,4
POA3895,12,0,0,0,0,0,0,11
POA3896,32,3,0,0,0,0,0,40
POA3898,52,3,4,0,0,0,0,57
POA3900,8,0,0,0,0,0,0,8
