POA_CODE_2016,Sme_Usl_ad_1_yr_ago_as_2016_M,Sme_Usl_ad_1_yr_ago_as_2016_F,Sme_Usl_ad_1_yr_ago_as_2016_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
POA3013,5550,5884,11431,162,192,359,20,34,55,659,684,1339,28,25,49,11,14,27,18,21,30,3,3,7,3,7,7,3,0,4,0,0,0,740,781,1520,98,129,228,12,14,27,1018,1115,2128,537,608,1143,7103,7609,14709
POA3015,6542,6872,13410,237,269,508,41,39,77,773,799,1573,25,34,53,5,0,8,28,27,55,3,3,9,7,3,8,0,3,7,0,0,0,884,903,1789,124,125,256,16,29,42,1263,1333,2596,585,581,1166,8393,8781,17176
POA3016,5949,6187,12132,254,254,513,40,41,84,539,532,1072,27,30,55,5,12,18,11,8,20,6,5,10,4,3,9,3,12,13,0,0,0,639,642,1284,124,127,248,12,7,18,1023,1041,2062,585,615,1202,7563,7836,15400
POA3018,4740,5104,9843,183,195,384,18,16,26,456,509,963,20,16,39,6,10,15,10,8,16,0,3,6,0,0,0,3,3,8,0,0,0,511,559,1072,66,82,151,5,5,13,768,849,1621,535,538,1069,6044,6487,12532
POA3019,3483,3452,6930,132,119,250,6,8,19,404,358,758,7,4,6,7,5,14,5,0,8,0,0,3,3,0,3,0,0,0,0,0,0,437,373,813,156,149,308,8,11,21,729,658,1390,376,369,749,4589,4479,9068
POA3020,17162,17054,34220,637,511,1144,54,51,100,1967,1674,3645,55,46,104,28,29,59,32,27,55,12,10,22,17,5,20,6,10,15,0,0,0,2164,1846,4011,519,579,1096,53,50,105,3381,2981,6358,1902,1702,3610,22444,21740,44188
POA3021,20935,21177,42104,558,479,1040,87,64,151,2047,1916,3964,32,36,69,36,22,57,29,14,36,3,6,12,3,4,4,7,3,9,0,0,0,2234,2071,4305,628,611,1240,42,46,88,3464,3208,6672,2471,2246,4725,26864,26638,53501
POA3022,1182,1225,2405,25,17,41,5,8,12,148,123,274,6,5,9,3,0,3,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,167,137,308,25,25,51,3,9,15,223,184,410,125,114,241,1534,1521,3052
POA3023,24846,25490,50335,574,578,1150,118,100,214,2129,2210,4341,48,63,113,41,29,67,32,25,54,13,17,27,14,15,26,15,17,33,0,0,0,2413,2471,4886,496,575,1068,31,39,64,3509,3662,7175,2962,2534,5495,31319,31683,63004
POA3024,8917,9180,18103,390,421,815,55,64,119,1032,1085,2114,30,21,55,18,14,36,18,15,38,10,13,14,8,5,10,3,0,5,0,0,0,1167,1223,2391,183,215,397,23,16,37,1756,1882,3631,866,799,1671,11542,11863,23407
POA3025,4633,4837,9473,168,172,337,17,14,35,443,456,897,16,11,24,3,9,11,7,5,11,0,0,0,3,4,7,3,0,3,0,0,0,487,509,994,50,66,119,14,22,38,722,765,1493,480,516,997,5837,6124,11957
POA3026,34,16,50,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,7,3,4,14,4,14,56,20,73
POA3027,2320,2296,4609,77,73,149,25,28,56,483,445,924,11,18,38,8,11,20,6,9,20,0,0,0,0,0,0,3,0,3,0,0,0,537,513,1051,120,134,246,5,0,9,736,722,1455,207,191,396,3269,3200,6467
POA3028,11371,11636,23010,305,335,638,42,56,100,1093,1037,2125,23,30,60,13,13,24,23,28,48,5,11,15,3,0,4,5,0,10,0,0,0,1210,1181,2391,290,289,582,14,17,33,1826,1822,3650,1103,1054,2160,14302,14514,28820
POA3029,35065,35129,70197,1174,1177,2352,258,256,514,4244,4042,8291,124,117,240,97,89,189,87,78,168,46,34,78,30,30,63,26,28,56,0,0,0,4916,4686,9598,1146,1361,2505,73,76,150,7308,7296,14602,4255,3042,7295,46629,45467,92099
POA3030,37729,38321,76047,1209,1315,2530,315,291,613,4663,4644,9312,205,204,417,91,90,184,103,111,208,24,15,42,24,32,61,30,40,74,0,0,0,5466,5443,10903,1099,1273,2379,68,53,117,7843,8079,15922,3350,3342,6694,48919,49748,98669
POA3031,6054,6688,12741,225,274,499,44,51,94,1037,1081,2117,34,42,74,28,26,57,28,18,45,9,13,18,10,10,16,10,19,31,0,0,0,1201,1253,2456,228,282,508,21,27,46,1674,1830,3508,967,1029,1997,8697,9545,18246
POA3032,10384,10750,21138,329,337,663,88,87,172,1594,1600,3200,60,70,137,30,30,55,35,32,66,7,13,19,6,3,10,25,24,48,0,0,4,1845,1861,3709,443,468,907,36,32,64,2646,2700,5340,1262,1310,2568,14287,14760,29048
POA3033,5789,6179,11968,151,155,304,16,16,32,438,433,871,16,19,36,5,10,16,3,5,11,0,0,0,0,3,3,4,0,3,0,0,0,486,484,970,46,64,110,5,3,10,688,709,1392,474,531,1004,6941,7415,14357
POA3034,4612,4875,9482,163,145,307,15,9,27,348,358,707,6,6,14,0,3,3,5,7,14,3,0,3,0,0,0,0,0,0,0,0,0,371,394,765,66,83,149,11,6,17,609,627,1231,384,405,785,5604,5898,11503
POA3036,2482,2550,5028,33,38,75,0,0,3,176,187,359,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,193,375,17,14,31,3,0,3,231,246,481,173,185,362,2890,2977,5872
POA3037,20935,21686,42626,275,297,569,44,39,84,1546,1623,3171,30,34,62,27,23,50,25,22,48,3,3,6,3,3,6,9,5,14,0,0,0,1688,1751,3438,333,345,682,24,27,55,2321,2418,4746,1542,1584,3131,24803,25694,50497
POA3038,11707,11848,23560,126,118,238,25,15,36,669,655,1323,19,15,37,12,3,13,3,3,8,3,0,3,8,7,18,0,3,5,0,0,0,736,712,1443,95,105,203,16,21,33,967,953,1916,784,781,1561,13459,13577,27038
POA3039,5147,5606,10748,123,128,247,36,42,84,707,730,1433,26,35,56,13,13,26,12,14,30,6,7,16,4,0,5,0,6,4,0,0,0,800,853,1651,160,172,335,16,15,33,1104,1160,2266,534,529,1070,6784,7298,14086
POA3040,9442,10310,19748,355,389,747,48,50,92,1161,1221,2388,45,52,100,16,28,44,17,22,41,15,9,21,9,6,14,13,10,20,0,0,0,1320,1394,2718,234,284,525,29,17,50,1940,2094,4033,926,986,1911,12311,13384,25694
POA3041,4797,4968,9766,130,135,265,30,18,47,513,548,1061,4,20,24,4,7,11,12,11,27,3,3,9,3,0,4,7,8,10,0,0,0,579,615,1195,77,83,157,7,6,15,790,834,1628,444,453,898,6032,6253,12287
POA3042,6110,6493,12601,123,128,246,6,13,19,630,704,1332,20,17,32,0,7,7,7,8,12,0,0,0,3,3,9,3,6,10,0,0,0,666,758,1423,64,68,136,16,11,26,877,957,1836,531,585,1124,7519,8039,15558
POA3043,6897,7304,14203,178,153,329,15,23,35,640,600,1238,21,14,26,8,9,20,5,4,12,0,4,4,0,0,0,0,3,3,0,0,0,692,651,1342,102,120,222,13,10,22,982,930,1912,731,689,1424,8612,8926,17537
POA3044,10042,10661,20704,276,276,551,39,48,86,1308,1285,2598,43,37,78,21,25,51,17,17,39,6,6,16,3,7,8,4,8,13,0,0,0,1449,1440,2888,228,246,474,19,26,42,1973,1988,3956,1045,1053,2101,13054,13699,26752
POA3045,11,11,25,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,0,0,0,0,0,3,4,4,39,31,73,57,47,104
POA3046,12536,12935,25477,548,465,1014,46,43,92,1542,1492,3035,36,37,69,13,16,28,24,17,42,4,5,11,9,11,18,0,3,3,0,0,0,1672,1624,3303,484,451,936,49,56,101,2753,2593,5351,1395,1343,2737,16691,16873,33561
POA3047,7808,7501,15306,311,261,577,26,30,53,792,681,1473,19,21,42,11,17,29,12,7,19,3,4,7,4,3,3,0,0,3,3,0,3,869,759,1632,319,341,660,11,12,26,1516,1381,2897,1222,1111,2336,10541,9997,20535
POA3048,7167,7321,14491,184,202,385,20,13,38,519,525,1042,17,14,26,9,13,27,6,3,10,0,0,3,0,0,0,0,0,3,0,0,0,580,571,1148,177,180,355,8,19,28,949,965,1914,701,684,1388,8817,8967,17792
POA3049,3739,3919,7656,97,92,189,3,14,15,263,282,546,3,0,3,4,3,11,3,0,9,0,0,0,0,0,4,3,6,5,0,0,0,281,312,593,30,47,76,5,4,8,413,452,863,298,354,652,4452,4727,9177
POA3050,22,20,42,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,7,0,0,0,0,0,0,5,3,7,27,23,49,58,46,102
POA3051,3918,4089,8009,250,289,542,68,87,160,1144,1272,2421,49,58,103,26,32,54,31,47,72,17,20,35,0,10,10,16,21,40,0,0,0,1356,1545,2899,647,756,1403,19,18,31,2268,2613,4876,963,964,1925,7148,7666,14812
POA3052,1486,1631,3119,55,71,122,26,35,63,420,439,858,21,40,62,7,16,23,24,13,39,11,4,13,3,0,5,18,19,34,0,0,0,530,564,1097,200,233,439,11,10,14,796,875,1674,358,488,845,2640,2999,5641
POA3053,4246,4885,9132,435,577,1017,90,112,203,1069,1283,2353,46,63,108,22,27,46,66,72,137,15,23,37,8,17,25,24,36,58,0,0,0,1342,1632,2970,1444,1829,3271,25,27,57,3247,4065,7312,981,1013,1992,8468,9961,18429
POA3054,2773,3055,5832,74,91,167,21,27,51,525,623,1146,23,23,37,9,6,16,6,9,19,0,3,3,5,5,17,3,9,15,0,0,0,592,709,1299,129,168,294,18,13,34,806,989,1791,341,374,717,3921,4416,8340
POA3055,4854,5199,10051,123,134,260,49,55,101,836,901,1733,41,51,97,20,20,39,27,24,57,7,11,13,3,3,8,9,11,17,0,0,0,999,1072,2069,211,264,471,20,15,34,1347,1484,2828,526,600,1121,6729,7275,14005
POA3056,7988,8413,16402,365,375,746,135,99,238,1565,1748,3308,84,92,174,33,38,68,48,52,104,22,12,27,6,10,11,27,36,62,0,0,0,1916,2081,4002,458,496,956,37,28,67,2779,2982,5763,1024,1011,2038,11791,12408,24201
POA3057,3421,3841,7266,156,164,318,63,56,117,912,1020,1930,40,40,78,28,22,47,30,25,50,3,6,15,5,3,4,15,19,30,0,0,0,1091,1193,2285,217,275,492,17,11,27,1476,1643,3123,481,519,1003,5380,6007,11386
POA3058,12436,13345,25779,306,303,610,88,76,166,1528,1557,3079,69,70,132,18,29,50,51,39,92,19,18,34,3,3,11,8,9,18,0,0,0,1785,1807,3597,394,392,784,49,40,87,2536,2540,5077,1166,1254,2425,16139,17143,33281
POA3059,6384,6295,12680,136,121,262,21,15,36,664,684,1349,14,15,31,3,3,3,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,697,722,1421,51,83,129,9,5,11,893,929,1827,386,371,760,7671,7596,15264
POA3060,5400,5363,10758,325,256,587,18,14,34,469,397,857,17,11,26,11,10,19,4,3,13,0,0,0,5,3,10,6,10,15,0,0,0,535,440,976,216,212,429,4,3,13,1080,909,1991,554,535,1088,7031,6812,13847
POA3061,2121,2047,4167,46,54,105,3,7,7,133,125,258,3,4,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,136,279,44,46,85,4,4,10,241,238,476,211,150,356,2577,2426,5000
POA3062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3063,240,266,508,0,0,3,0,0,0,10,14,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,24,0,0,0,0,0,0,17,12,28,21,11,30,282,292,570
POA3064,28504,28720,57221,766,733,1500,228,219,449,3936,3932,7864,67,67,138,36,28,64,43,32,68,7,12,21,14,6,22,10,16,18,4,0,4,4345,4305,8646,954,1046,1998,68,53,121,6127,6139,12268,2339,2256,4591,36966,37119,74083
POA3065,3203,3391,6592,118,118,240,46,53,97,598,648,1251,34,42,72,16,11,27,18,17,42,7,6,12,7,3,9,6,13,20,0,0,0,734,794,1525,186,181,370,10,5,21,1053,1106,2155,807,762,1570,5059,5263,10319
POA3066,2361,2414,4777,104,89,195,58,62,116,744,760,1502,45,49,91,20,10,34,33,29,64,8,5,15,7,3,7,17,11,25,0,0,0,933,925,1857,177,205,381,9,8,19,1224,1233,2454,602,599,1200,4189,4251,8433
POA3067,2476,2450,4926,114,96,217,39,45,80,710,722,1434,45,33,82,18,10,25,19,18,39,8,6,14,0,3,6,4,6,10,0,0,0,847,846,1691,184,200,380,12,10,22,1155,1153,2311,442,440,878,4074,4042,8110
POA3068,6239,6961,13197,151,178,334,90,96,182,967,1147,2113,41,49,84,9,12,28,28,27,57,7,10,18,9,10,16,16,9,26,3,0,3,1164,1362,2526,218,288,515,28,33,63,1563,1870,3429,882,972,1858,8681,9800,18480
POA3070,8705,9635,18338,252,302,559,51,88,138,1071,1358,2431,32,53,82,8,19,30,29,32,61,10,9,11,3,9,17,9,16,18,0,0,0,1221,1578,2797,206,265,473,35,47,83,1715,2195,3914,989,1072,2059,11410,12905,24314
POA3071,6514,7232,13751,178,191,373,53,57,104,959,1132,2093,29,38,65,15,23,34,17,19,41,5,7,11,3,3,5,5,9,17,0,0,0,1083,1287,2373,151,160,311,19,20,41,1441,1661,3096,721,765,1492,8673,9660,18335
POA3072,11761,12236,23997,292,289,585,69,77,139,1669,1767,3436,56,47,103,45,40,84,28,28,55,11,6,20,3,8,13,3,9,12,0,0,0,1882,1984,3862,411,446,856,48,40,83,2627,2758,5390,1515,1558,3077,15900,16557,32454
POA3073,18669,19566,38228,551,547,1097,71,70,146,2150,2147,4293,53,54,105,30,22,47,32,23,54,11,9,25,18,6,22,9,11,22,0,0,0,2373,2344,4719,594,636,1233,63,67,130,3584,3590,7179,2150,2216,4374,24408,25375,49780
POA3074,8227,8314,16539,209,170,380,19,13,35,732,675,1410,11,18,31,10,14,23,12,13,28,5,4,8,4,3,10,3,0,5,0,0,0,800,745,1540,200,226,422,11,8,22,1222,1148,2366,685,667,1350,10125,10131,20259
POA3075,8844,8988,17830,281,254,539,27,30,55,821,818,1634,23,12,41,17,13,32,9,4,19,0,0,3,6,4,7,4,0,3,0,0,0,912,882,1794,225,257,486,16,6,27,1437,1402,2836,817,788,1608,11095,11178,22277
POA3076,12581,12929,25511,236,200,430,63,57,121,1432,1336,2767,24,27,52,30,26,54,23,25,48,0,0,4,13,6,19,3,3,10,0,0,0,1592,1475,3070,325,352,675,19,7,27,2165,2032,4201,1066,1090,2151,15814,16054,31871
POA3078,4114,4482,8597,87,76,161,29,32,57,678,720,1397,21,18,36,3,12,11,15,10,29,7,7,10,0,4,9,8,3,12,0,0,0,761,807,1568,130,132,261,12,9,26,986,1026,2013,454,465,924,5554,5980,11533
POA3079,6035,6583,12616,159,161,318,29,31,66,638,741,1377,32,26,53,3,11,14,14,14,28,0,3,9,3,0,5,0,5,4,0,0,0,716,837,1553,120,158,279,14,13,25,1014,1165,2173,532,525,1055,7574,8273,15845
POA3081,4729,5042,9770,181,160,344,15,12,29,598,560,1158,16,19,31,3,4,4,8,11,17,0,4,7,4,6,9,3,5,7,0,0,0,655,618,1272,125,124,251,13,9,25,969,919,1891,719,831,1544,6415,6788,13204
POA3082,12135,12523,24659,135,139,277,30,28,57,1049,1070,2121,32,25,57,19,15,32,13,11,26,0,0,4,5,3,9,4,4,6,0,0,0,1152,1156,2311,186,201,385,17,14,30,1497,1509,3007,836,892,1726,14468,14925,29393
POA3083,11744,11964,23713,313,318,624,47,33,83,1546,1459,3006,38,40,74,17,16,33,20,20,37,16,15,24,3,4,9,9,14,17,0,0,0,1692,1600,3288,659,668,1331,43,31,73,2699,2618,5319,1090,1097,2182,15534,15679,31210
POA3084,9885,10520,20404,255,234,490,39,40,88,1001,1128,2125,13,22,31,10,7,14,7,15,20,0,7,7,0,8,3,8,7,6,0,0,0,1075,1226,2305,198,212,405,22,9,25,1546,1676,3224,783,798,1587,12217,12994,25214
POA3085,5307,5577,10882,83,115,200,62,28,96,524,538,1059,87,42,135,16,10,21,19,22,35,9,5,15,13,11,25,21,10,31,0,0,0,756,669,1422,114,112,231,7,9,16,958,902,1866,451,499,954,6721,6981,13698
POA3086,136,196,332,10,35,40,14,34,51,78,150,231,4,5,11,3,0,4,4,0,3,9,8,12,4,3,7,0,0,0,0,0,0,118,202,320,63,54,115,0,0,0,189,288,474,43,58,96,366,536,900
POA3087,3657,3815,7469,43,47,90,13,8,21,360,337,698,11,7,14,0,0,0,3,3,6,0,0,0,3,3,3,0,0,0,0,0,0,388,357,742,26,39,64,3,11,16,456,456,909,257,265,525,4374,4536,8906
POA3088,10846,11597,22447,167,189,356,15,18,37,913,981,1889,16,18,40,10,6,24,9,17,28,3,5,7,4,6,8,5,4,10,0,0,0,981,1059,2037,83,99,181,14,17,27,1245,1361,2609,713,765,1477,12808,13725,26536
POA3089,4973,5020,9990,95,128,222,3,3,9,321,334,656,3,4,13,0,3,3,3,5,4,0,0,0,0,0,3,3,3,6,0,0,0,333,355,691,23,28,47,13,11,21,465,521,981,331,307,645,5766,5851,11618
POA3090,1006,1000,2007,16,14,29,0,0,0,73,79,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,79,153,11,4,21,4,0,3,104,97,200,76,64,141,1184,1166,2350
POA3091,710,640,1347,0,3,4,0,3,3,51,44,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,45,103,0,6,3,0,0,3,59,56,116,62,49,114,830,750,1580
POA3093,1520,1623,3138,31,46,83,4,4,6,192,201,392,0,4,3,3,3,8,0,3,3,4,3,4,0,0,0,0,0,0,0,0,0,204,218,419,9,18,23,0,0,4,245,285,528,83,112,191,1848,2018,3860
POA3094,3561,3756,7318,94,105,204,9,7,16,322,363,685,5,10,9,3,3,5,5,5,8,0,0,0,0,0,3,0,0,0,0,0,0,351,387,735,25,41,65,3,6,9,478,541,1013,244,277,521,4284,4572,8851
POA3095,11533,12043,23580,174,189,359,17,28,45,799,869,1668,24,31,53,3,6,9,8,8,15,0,4,9,0,0,0,3,8,7,0,0,0,857,961,1818,91,101,189,8,9,16,1129,1255,2384,747,799,1549,13409,14100,27509
POA3096,842,870,1710,11,13,18,0,0,0,41,50,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,49,89,3,8,10,3,4,8,51,76,124,50,58,114,945,1001,1951
POA3097,622,598,1218,7,10,17,0,3,6,39,39,74,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,45,87,7,3,17,0,0,0,53,67,120,57,50,106,729,712,1441
POA3099,2072,2093,4170,21,21,45,3,3,4,133,151,284,5,3,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,141,159,299,8,3,8,0,0,0,176,181,357,140,180,316,2384,2453,4836
POA3101,8862,9770,18632,302,340,642,43,46,95,1073,1159,2228,41,47,85,13,18,30,14,7,22,6,6,10,3,10,9,7,11,21,0,0,0,1205,1295,2502,250,340,589,14,12,22,1774,1987,3763,1012,1003,2018,11647,12765,24414
POA3102,2622,2714,5341,48,40,88,4,4,5,257,242,499,4,4,14,8,4,11,0,3,8,4,0,3,0,0,0,0,0,3,0,0,0,274,267,540,63,72,132,3,0,4,385,377,764,236,233,470,3248,3326,6577
POA3103,5575,6353,11926,179,187,374,11,18,34,616,739,1355,19,28,44,13,12,26,4,9,15,7,3,7,3,3,9,11,10,22,0,0,0,686,819,1507,223,302,525,3,4,12,1100,1310,2407,432,476,910,7104,8142,15246
POA3104,8098,8534,16631,245,256,501,11,9,16,671,733,1406,17,18,37,12,8,22,17,14,24,4,3,3,5,4,9,3,3,10,0,0,0,737,785,1524,230,285,514,11,9,18,1214,1338,2552,541,555,1100,9855,10420,20277
POA3105,4384,4639,9021,66,60,126,11,12,21,351,346,696,8,11,17,0,4,7,0,0,0,3,5,7,0,0,0,0,0,0,0,0,0,378,377,754,86,69,157,4,3,9,535,513,1048,369,359,729,5283,5511,10789
POA3106,6636,7182,13814,100,89,193,14,16,30,548,614,1166,14,10,25,9,5,11,8,19,25,0,0,0,0,6,11,4,3,5,0,0,0,602,674,1275,130,158,289,0,6,9,833,924,1763,448,463,916,7921,8572,16488
POA3107,5361,5839,11203,80,93,175,13,10,23,476,553,1034,14,16,26,3,5,7,5,9,10,0,0,0,0,0,0,3,3,4,0,0,0,512,596,1110,77,89,169,6,3,12,679,778,1457,363,392,751,6403,7009,13415
