POA_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
POA3018,82,208,48,48,10,501,70,51,181,99,88,15,501,9,3,31,28,23,3,98,13,9,25,19,72,3,142,4,3,38,21,70,21,163,476,254,1451,761,1239,142,4324
POA3019,11,49,21,10,6,128,31,16,140,51,66,11,316,0,0,5,6,8,0,32,5,3,18,22,37,5,87,11,4,26,16,29,34,120,256,60,830,381,486,133,2147
POA3020,104,365,112,92,19,838,129,76,522,280,329,51,1388,9,5,72,44,54,11,192,25,5,82,89,245,29,473,37,5,163,115,188,125,628,919,345,3423,1943,2979,580,10198
POA3021,86,304,134,122,25,772,100,49,475,350,439,77,1487,6,3,51,34,44,18,154,22,10,70,117,330,34,588,27,4,155,158,234,165,742,701,241,3048,2256,3646,756,10658
POA3022,15,30,14,18,3,79,13,7,33,26,36,7,128,0,0,5,3,4,4,17,0,0,11,10,28,0,49,0,0,4,4,11,5,40,62,41,207,162,290,43,802
POA3023,169,662,221,159,37,1487,247,145,1142,518,567,115,2732,7,0,83,55,85,17,253,27,12,100,120,367,24,651,49,18,174,143,262,135,777,1463,573,5842,3274,5491,798,17438
POA3024,64,198,94,114,11,573,69,49,289,270,283,29,983,9,6,27,35,46,3,126,7,3,26,34,159,6,243,18,3,39,44,95,46,247,727,200,1565,1381,2737,272,6888
POA3025,51,151,38,26,5,337,35,27,122,67,83,12,344,4,4,13,9,18,3,53,3,5,14,32,79,12,143,16,4,37,22,65,13,160,269,142,1008,505,970,135,3033
POA3026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10
POA3027,19,72,15,6,0,178,47,29,131,48,31,5,285,3,0,27,3,15,0,48,3,0,18,11,25,7,67,29,3,40,13,18,17,113,643,115,1034,365,380,99,2644
POA3028,101,308,102,96,8,755,86,66,378,232,283,37,1084,7,4,39,40,56,9,154,12,12,44,63,224,16,373,32,12,78,72,164,63,423,799,343,2413,1600,2937,422,8514
POA3029,208,768,342,327,51,2155,437,217,1489,1055,937,132,4268,35,9,137,87,137,13,423,54,11,137,195,568,33,997,152,15,277,211,449,209,1303,4105,860,8132,5419,8341,1227,28089
POA3030,293,1050,380,308,53,2659,432,249,1474,858,821,153,3997,51,18,215,100,152,25,565,55,22,165,214,582,44,1076,131,22,332,200,427,199,1320,4079,1204,9663,5651,9280,1293,31172
POA3031,124,405,81,42,9,1020,261,115,508,103,116,19,1121,29,29,150,30,38,3,286,34,18,72,25,57,9,208,33,4,115,26,40,25,251,1534,574,3626,900,948,186,7769
POA3032,203,511,117,72,22,1318,301,147,735,201,177,47,1604,25,21,153,60,69,10,338,24,11,94,75,136,8,350,61,19,143,53,72,54,390,1895,749,4985,1710,2060,335,11729
POA3033,92,239,62,48,11,538,64,30,227,88,102,21,527,0,4,32,17,13,10,81,7,3,18,34,104,4,172,10,0,48,26,53,27,158,352,221,1527,776,1256,174,4307
POA3034,39,144,43,34,6,333,55,18,183,60,77,22,414,0,0,15,17,12,0,45,11,4,26,28,91,14,167,13,0,33,26,40,32,140,279,123,1140,517,924,157,3142
POA3036,29,122,36,24,6,250,24,13,88,26,35,9,199,0,0,12,4,6,0,30,3,0,15,20,60,8,95,3,3,12,10,24,11,73,121,80,625,345,607,93,1878
POA3037,173,574,192,235,31,1397,139,114,633,416,499,87,1886,6,6,64,45,69,5,206,15,4,76,116,393,20,621,27,5,138,109,259,108,650,991,493,4340,2820,5482,633,14764
POA3038,103,371,140,104,34,866,85,59,343,200,194,40,922,5,3,46,17,39,4,117,8,3,39,45,254,14,371,21,6,87,67,162,63,403,467,275,2426,1537,2927,451,8087
POA3039,132,283,66,40,15,735,134,70,372,89,73,30,769,12,9,64,17,32,3,132,19,8,33,30,64,4,164,23,3,71,25,46,9,178,881,414,2462,835,979,154,5720
POA3040,194,578,120,86,19,1274,256,122,609,176,145,46,1353,20,7,89,36,58,3,212,22,7,75,55,125,11,292,40,11,112,49,80,42,330,1367,656,4250,1515,1966,285,10038
POA3041,78,246,68,44,12,560,75,58,283,98,70,16,603,7,0,38,16,22,0,89,6,3,46,23,76,4,164,10,4,45,18,51,12,139,481,286,1748,707,1101,154,4478
POA3042,84,286,76,73,15,632,69,46,233,132,113,22,610,4,0,23,17,20,3,76,9,3,36,38,101,5,191,22,8,43,39,70,27,199,423,225,1603,1025,1637,191,5096
POA3043,71,204,71,83,12,498,50,44,178,132,169,33,599,4,0,22,21,25,3,79,6,0,31,37,147,10,230,12,3,41,26,95,33,206,274,194,1249,962,1942,243,4853
POA3044,173,503,122,104,22,1194,197,133,546,208,197,28,1310,15,6,90,46,48,8,211,11,7,75,55,160,11,325,31,9,96,61,108,52,354,1180,573,3572,1582,2258,300,9461
POA3045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,5,0,17
POA3046,134,421,127,102,25,972,168,99,502,307,259,44,1383,17,12,52,27,37,7,151,24,3,68,83,210,16,402,57,9,123,81,135,82,486,1219,457,3319,1837,2601,491,9927
POA3047,35,106,44,50,15,309,35,10,144,152,169,29,546,0,0,15,3,19,0,39,3,3,28,33,60,9,135,17,3,46,26,81,43,218,278,78,856,669,1171,257,3315
POA3048,37,106,49,48,13,288,15,16,103,116,157,18,420,4,0,8,4,11,0,26,3,4,11,17,66,6,98,4,0,24,42,56,46,171,127,74,643,538,1064,191,2642
POA3049,36,126,44,53,7,307,22,33,137,81,90,11,368,5,0,10,4,18,0,31,0,0,12,16,92,9,123,0,3,16,15,50,26,113,121,107,650,549,1161,134,2719
POA3050,0,0,0,0,0,0,0,0,3,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,11,0,19
POA3051,68,264,36,24,8,738,188,72,445,65,55,16,844,29,9,83,25,15,0,161,23,10,46,27,37,6,149,38,4,74,23,21,22,184,1267,328,2692,549,498,143,5476
POA3052,30,123,11,9,0,379,123,24,211,27,19,5,403,15,3,51,12,6,0,83,7,0,27,9,9,0,52,15,3,28,7,10,7,78,647,115,1098,184,184,39,2262
POA3053,48,236,20,11,6,680,151,50,295,61,40,16,618,27,13,80,15,15,4,163,28,4,35,20,22,3,114,37,0,70,17,20,25,177,1276,255,2385,479,407,134,4936
POA3054,88,253,26,11,6,685,164,38,291,41,16,5,564,24,9,66,16,9,4,136,10,3,31,8,22,3,81,20,6,74,13,21,8,147,1034,285,2065,360,331,70,4145
POA3055,140,382,41,45,12,941,175,89,370,125,83,21,863,22,11,95,24,32,7,198,40,7,75,31,56,4,210,25,5,64,28,36,35,193,1087,472,2559,764,922,176,5973
POA3056,240,664,94,62,24,1775,410,159,646,139,118,31,1491,100,21,262,49,51,13,501,53,20,126,47,84,16,354,50,12,131,45,55,49,343,2418,858,5342,1294,1410,279,11596
POA3057,133,320,57,24,16,858,156,95,334,73,51,8,713,32,9,114,16,17,3,198,23,15,65,35,51,3,197,18,10,73,21,25,17,165,1157,454,2659,648,724,109,5752
POA3058,365,709,143,90,32,1915,317,180,769,235,242,48,1790,41,21,195,55,49,5,371,57,26,117,78,168,16,460,59,10,155,61,100,57,453,1998,981,5044,1834,2280,362,12497
POA3059,52,208,61,68,8,465,54,27,203,107,115,29,539,0,0,33,15,11,3,60,3,3,22,51,154,8,241,9,4,46,37,88,28,211,318,140,1455,955,1719,225,4819
POA3060,45,132,43,29,11,360,55,27,159,88,113,21,463,7,0,20,5,8,3,42,11,0,21,25,73,3,130,23,4,57,17,45,41,186,471,126,1038,533,823,180,3167
POA3061,3,19,7,12,0,57,12,6,20,35,33,8,111,0,0,3,0,4,0,13,4,0,5,12,34,3,59,0,0,10,5,20,5,42,54,15,174,152,308,43,745
POA3062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3063,0,3,3,8,0,14,0,0,4,8,5,0,22,0,0,0,0,0,0,4,0,0,0,0,3,0,11,0,0,0,4,3,0,9,10,3,35,30,91,8,182
POA3064,167,569,256,258,31,1545,272,137,966,758,753,124,3007,15,3,50,45,53,7,176,22,4,81,157,498,30,801,63,12,158,172,358,157,909,1873,551,4942,4031,6777,965,19136
POA3065,62,169,38,19,4,519,179,46,280,48,40,4,606,33,11,106,12,13,7,186,31,3,39,15,26,4,115,31,12,80,18,16,14,177,1020,281,2154,449,436,104,4444
POA3066,39,150,18,18,3,388,102,38,238,48,44,8,477,18,8,64,16,16,4,128,19,4,33,16,29,3,108,22,5,49,20,18,12,129,739,232,1837,445,487,79,3814
POA3067,67,172,29,15,3,438,116,48,308,52,36,9,567,17,10,63,22,10,5,123,15,7,36,20,38,12,132,20,8,66,19,13,13,137,772,265,2115,518,469,95,4236
POA3068,173,435,57,38,4,1231,409,154,653,85,62,20,1388,56,31,160,25,28,3,307,48,21,106,28,61,3,265,44,21,135,29,31,21,282,2092,767,4290,810,815,150,8926
POA3070,279,628,103,56,10,1675,448,186,782,170,116,36,1737,60,40,215,40,37,6,400,64,30,120,46,90,8,354,42,13,118,43,61,50,328,2248,995,4980,1241,1302,236,11004
POA3071,219,475,80,46,15,1166,263,125,549,147,111,9,1206,21,28,125,34,30,4,240,28,11,76,36,92,14,252,29,11,102,57,54,31,284,1295,653,3430,1068,1173,188,7814
POA3072,245,614,149,110,19,1570,275,153,781,299,248,49,1811,37,21,143,51,44,4,298,37,17,74,75,147,22,368,42,10,149,61,93,55,407,1678,786,4545,1870,2301,379,11557
POA3073,234,613,180,135,34,1573,286,153,789,410,433,80,2154,28,20,116,52,44,8,274,27,15,105,116,280,23,572,54,16,173,107,194,135,685,1864,729,4871,2681,3856,651,14654
POA3074,28,108,43,57,13,301,60,22,202,136,192,27,642,3,0,11,14,9,3,42,3,0,22,34,135,15,209,14,0,47,41,104,66,278,356,109,1141,781,1497,290,4170
POA3075,55,152,54,53,12,383,69,36,212,141,177,30,667,6,3,3,5,13,3,38,12,0,22,50,141,11,234,20,3,53,45,110,49,280,409,154,1267,958,1651,297,4731
POA3076,78,238,112,108,16,667,131,69,573,359,375,79,1586,8,0,27,21,33,3,93,14,4,58,71,210,23,383,21,3,84,84,173,78,442,837,270,2394,1783,3067,521,8872
POA3078,125,279,61,28,12,752,221,85,359,78,65,18,817,23,10,75,20,24,0,157,13,7,42,26,45,3,143,14,10,75,18,29,17,154,961,450,2234,618,680,103,5044
POA3079,140,342,53,33,11,871,302,102,527,118,83,34,1166,13,11,62,17,30,0,136,25,10,45,27,64,4,171,28,8,89,17,25,22,194,1330,497,2834,775,849,188,6466
POA3081,76,201,52,42,3,513,108,69,324,111,144,22,783,8,8,42,14,17,3,85,5,9,29,28,73,9,162,12,6,33,32,52,24,155,544,248,1407,643,988,133,3970
POA3082,103,397,141,159,24,954,125,67,518,308,377,61,1463,5,3,26,28,34,6,107,14,9,55,81,255,17,431,22,3,94,54,155,75,401,643,277,2628,1714,3300,461,9018
POA3083,111,397,113,87,25,1015,173,90,576,281,318,53,1490,12,0,46,22,43,0,120,31,10,89,70,176,17,390,62,11,126,56,129,67,451,1326,392,3129,1634,2408,397,9283
POA3084,217,515,105,77,19,1345,330,151,769,200,177,51,1682,14,14,73,22,28,6,159,23,11,74,45,115,6,276,41,8,108,34,56,28,287,1625,712,3918,1219,1587,249,9315
POA3085,91,271,89,53,8,690,122,89,325,130,110,19,795,5,4,35,17,19,0,80,13,4,19,20,68,3,127,12,4,47,20,37,22,147,662,340,1788,831,1201,140,4959
POA3086,0,4,0,7,0,18,0,0,4,0,8,0,13,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,8,13,0,30,10,46,0,104
POA3087,52,181,44,36,3,387,49,49,209,92,113,14,526,3,3,22,10,15,3,57,9,0,18,21,79,3,131,7,3,24,17,31,17,99,278,165,984,554,986,90,3057
POA3088,203,550,162,111,18,1275,176,152,651,284,300,48,1607,13,7,58,46,37,3,167,20,12,49,65,218,17,381,18,10,76,43,104,50,299,922,615,3152,1695,2881,319,9585
POA3089,92,275,82,61,16,615,70,66,239,152,149,19,703,0,5,22,15,28,3,65,11,11,21,34,137,4,220,5,8,30,21,73,17,149,311,272,1265,821,1614,132,4417
POA3090,10,32,10,7,0,74,13,8,46,17,20,4,111,0,0,7,6,3,0,21,0,0,4,16,23,0,48,0,0,3,5,14,4,36,54,41,245,148,307,35,825
POA3091,8,22,6,6,3,55,9,13,16,20,8,0,66,3,0,3,3,4,0,11,0,0,0,9,18,3,30,0,0,3,3,6,3,24,38,23,128,98,219,28,540
POA3093,38,86,20,10,4,204,32,18,86,35,26,3,207,3,0,10,8,5,0,28,3,0,16,16,22,3,58,11,0,18,7,14,8,54,162,96,499,224,336,44,1370
POA3094,79,222,65,46,4,530,74,57,213,94,90,22,543,8,3,35,8,15,4,75,5,3,21,32,60,4,126,9,7,21,10,40,4,80,376,260,1145,561,977,93,3412
POA3095,275,676,165,114,17,1586,246,148,655,305,267,44,1674,25,14,77,44,46,5,212,31,21,64,69,209,16,403,30,7,113,60,121,25,356,1216,788,3758,1781,2750,293,10577
POA3096,12,42,14,20,4,102,6,12,49,18,34,0,119,0,0,4,0,3,0,12,0,0,3,10,14,0,29,0,0,0,3,12,0,17,42,35,173,124,262,13,647
POA3097,7,34,8,3,3,69,21,5,22,13,6,3,69,3,0,3,3,0,0,12,0,0,8,8,7,0,20,3,0,5,6,5,0,25,69,26,181,87,124,16,503
POA3099,48,131,38,28,0,291,27,33,101,59,54,11,280,0,3,14,3,16,0,40,3,0,7,14,64,8,95,6,0,17,13,28,5,66,126,135,510,318,699,65,1854
POA3101,139,398,55,47,15,1025,488,154,934,155,74,57,1864,40,6,94,30,26,5,204,29,15,74,39,75,5,236,76,20,154,50,49,37,387,2034,662,4651,1056,979,272,9651
POA3102,38,138,25,22,0,344,98,43,219,44,32,14,442,8,3,19,3,6,3,42,4,3,16,11,25,4,65,8,3,25,12,14,3,72,482,192,1150,308,309,58,2489
POA3103,67,248,43,20,13,605,205,61,468,99,54,38,924,14,8,35,10,11,0,73,9,6,42,15,35,9,115,35,5,98,32,34,27,231,1074,307,2492,681,549,171,5269
POA3104,130,366,72,37,18,837,241,80,590,138,90,41,1183,15,7,44,21,20,3,113,17,11,65,33,61,4,189,40,14,103,33,34,31,259,1197,436,3348,905,860,231,6968
POA3105,45,128,32,31,6,347,78,35,225,69,69,19,483,3,4,22,8,7,0,50,8,7,30,22,63,3,133,13,3,45,25,26,21,144,481,160,1385,532,680,145,3382
POA3106,80,228,53,37,14,542,139,66,377,111,96,42,829,8,4,24,9,20,3,63,24,7,42,22,105,4,201,33,0,95,44,31,24,224,836,286,2283,778,996,237,5411
POA3107,62,222,54,40,6,503,99,68,280,81,75,30,634,9,0,32,20,16,9,81,15,9,38,21,72,9,162,21,6,75,23,31,12,172,636,242,1807,705,847,165,4408
POA3108,83,271,67,47,3,654,180,64,454,139,113,43,998,4,6,33,14,22,3,85,31,4,68,52,96,7,258,40,5,112,41,50,50,291,1131,333,2795,990,1106,251,6603
POA3109,95,383,94,68,12,890,257,87,608,229,172,50,1401,17,4,58,24,23,4,133,33,4,89,71,151,15,359,66,16,158,53,58,38,381,1485,421,3841,1388,1588,308,9021
POA3111,52,216,39,36,8,462,75,66,300,106,67,19,636,0,7,24,17,17,0,59,10,3,34,27,85,7,165,19,6,65,32,47,23,188,521,245,1717,649,838,131,4101
POA3113,64,176,54,36,6,441,96,55,187,104,67,18,525,4,3,19,15,9,0,51,13,3,23,18,55,3,114,8,10,42,30,33,13,135,400,219,1143,562,780,103,3205
POA3114,22,80,17,15,5,148,37,23,99,32,14,8,205,0,3,12,6,6,3,30,0,3,14,5,32,0,56,0,0,22,16,17,10,61,128,98,567,205,338,49,1380
POA3115,16,61,14,16,3,135,18,10,71,33,46,3,184,0,0,6,0,3,0,18,0,0,7,12,45,0,64,8,0,17,11,34,8,73,92,48,420,236,490,45,1342
POA3116,55,142,55,55,12,349,25,25,138,112,125,12,451,0,0,10,11,18,3,51,9,4,18,26,116,0,176,0,0,21,23,60,19,118,147,126,749,660,1445,119,3246
POA3121,203,544,87,47,12,1315,427,168,1014,191,136,48,1982,47,24,249,62,62,9,455,44,15,121,71,155,5,404,59,18,203,59,73,51,474,2387,948,7622,1772,1918,318,14968
POA3122,144,464,58,40,8,1194,398,131,759,143,82,39,1546,29,17,109,28,30,4,228,30,12,86,38,79,3,247,55,12,132,37,28,32,310,2374,701,5063,1115,1001,232,10492
POA3123,96,313,51,25,3,750,226,74,401,81,32,17,844,15,7,57,20,21,3,119,15,4,55,22,44,0,137,48,13,114,18,27,26,242,1296,450,3041,688,609,142,6226
POA3124,158,406,76,37,23,1020,314,130,625,127,82,34,1317,18,9,79,18,18,0,143,30,10,64,33,67,4,203,45,13,127,34,35,30,285,1719,613,3952,969,827,224,8306
POA3125,57,217,57,20,8,532,97,43,330,97,66,22,652,12,3,24,11,11,3,64,21,6,40,28,44,4,141,34,6,69,24,28,19,182,887,258,1905,677,641,124,4486
POA3126,45,142,26,17,6,328,156,35,273,35,26,21,538,12,3,21,11,8,0,50,10,5,23,12,8,0,62,31,8,53,11,14,5,118,668,181,1428,332,221,86,2920
POA3127,146,424,61,26,13,952,255,113,578,140,84,18,1192,16,10,57,18,11,3,122,31,8,54,32,50,3,183,41,13,104,27,25,18,227,1468,615,3468,847,778,158,7334
POA3128,114,305,64,43,10,786,161,90,536,149,100,35,1072,11,5,47,10,17,3,97,36,12,65,61,67,11,255,40,6,101,53,59,26,287,1278,413,2860,1011,941,175,6675
POA3129,121,296,66,47,11,752,180,107,494,165,113,33,1088,13,4,50,14,15,3,106,23,11,57,40,77,3,208,27,9,89,39,29,15,217,1069,429,2545,902,970,173,6086
POA3130,207,638,123,96,22,1487,267,181,798,291,202,54,1797,23,18,83,29,29,3,188,46,16,116,76,165,8,430,55,17,118,51,73,38,347,1836,819,4625,1670,1898,324,11180
POA3131,122,361,107,55,12,883,164,109,479,194,187,31,1175,8,8,40,15,23,3,98,35,17,78,75,121,16,337,47,6,110,40,67,27,304,1172,462,3120,1271,1499,198,7724
POA3132,120,322,90,47,3,756,108,82,386,162,140,31,916,8,3,28,22,13,3,82,32,16,69,37,82,3,230,27,4,67,32,62,22,214,900,409,2458,967,1217,150,6105
POA3133,116,395,109,87,20,967,146,79,468,205,165,34,1091,10,3,36,19,14,4,91,42,8,68,48,115,6,293,40,5,85,46,63,21,268,1157,387,2926,1198,1418,212,7303
POA3134,204,606,186,132,27,1451,174,150,693,358,389,55,1812,12,9,54,35,50,8,169,36,13,86,94,251,6,495,40,10,114,76,121,78,441,1235,647,3903,2073,3355,343,11549
POA3135,151,391,120,68,17,971,116,102,456,243,228,33,1177,6,4,42,26,36,3,117,27,10,74,39,135,6,295,20,3,70,45,78,27,244,829,424,2439,1235,1957,209,7093
POA3136,264,800,214,199,30,1782,205,176,811,504,615,71,2389,13,15,71,37,74,7,210,37,22,100,143,390,19,708,39,16,105,82,234,72,542,1165,820,4304,2752,5234,509,14780
POA3137,50,204,80,75,13,474,38,49,170,166,239,23,692,0,3,11,10,12,0,42,4,0,17,38,177,10,250,7,0,24,23,106,21,178,189,159,876,857,2121,172,4372
POA3138,89,356,118,127,15,823,62,83,312,301,312,40,1121,4,4,27,15,29,5,90,11,3,34,61,277,8,395,4,3,38,44,163,43,300,388,291,1673,1402,3189,276,7221
POA3139,46,146,79,69,18,401,25,29,154,189,237,29,663,0,3,10,22,20,3,54,5,4,20,31,223,12,293,0,0,24,30,161,55,266,122,140,719,809,2412,249,4451
POA3140,69,214,104,81,10,532,39,60,217,200,246,22,778,0,0,23,21,31,4,79,12,4,24,50,217,7,303,8,0,31,23,133,37,232,215,198,1115,1014,2459,200,5197
POA3141,119,408,61,41,21,1068,374,106,750,84,80,27,1417,47,26,210,59,32,14,387,31,4,97,59,99,6,299,94,18,216,54,56,44,478,2481,643,6408,1321,1237,308,12411
POA3142,39,154,34,15,6,382,196,50,410,82,25,33,800,16,4,68,17,10,5,120,9,5,30,25,47,0,112,52,9,113,37,17,34,258,978,251,2610,640,486,186,5142
POA3143,55,140,27,17,7,367,137,45,288,61,29,23,579,16,0,45,14,12,3,85,13,3,22,23,16,4,81,16,3,93,22,22,16,164,742,236,2031,497,394,114,4005
POA3144,42,167,33,13,6,392,171,63,380,53,34,23,723,14,5,43,15,10,3,92,15,7,30,16,36,0,99,25,3,80,18,8,12,156,857,276,2164,500,369,109,4269
POA3145,122,431,85,50,14,1043,283,104,640,140,86,28,1287,18,12,76,23,27,0,168,19,6,56,36,74,4,200,53,13,112,49,55,32,316,1652,564,4087,1087,1067,222,8677
POA3146,167,498,98,44,15,1154,361,149,825,181,86,46,1646,29,6,104,26,39,0,212,25,23,95,54,86,3,282,49,21,164,47,56,29,363,1990,774,5088,1299,1096,253,10502
POA3147,84,265,56,28,9,635,128,64,368,116,90,18,782,22,7,45,11,10,3,103,15,3,38,31,67,0,154,28,9,81,19,31,23,192,940,387,2345,712,728,121,5239
POA3148,33,137,44,25,6,308,57,25,195,58,57,14,409,7,0,26,7,13,0,63,8,0,8,22,45,3,91,18,0,57,31,29,16,155,498,152,1320,500,556,111,3139
POA3149,189,554,139,90,23,1429,238,130,741,276,193,45,1627,25,11,66,32,39,7,172,37,10,91,56,166,16,379,74,11,208,72,92,54,508,2238,686,4866,1680,1723,351,11549
POA3150,208,839,202,154,41,2123,472,178,1327,432,323,98,2835,24,18,86,38,36,8,209,68,28,176,113,230,25,641,142,19,340,137,147,102,883,3764,899,8223,2895,2889,682,19338
POA3151,38,148,38,37,5,371,62,33,209,93,63,11,476,3,3,13,8,9,0,40,13,3,30,29,68,3,147,12,4,47,24,47,15,147,556,147,1317,512,574,94,3207
POA3152,154,505,145,101,22,1185,177,114,744,357,308,53,1749,8,3,51,37,46,4,148,41,11,83,89,226,9,456,53,11,148,73,136,54,475,1397,522,4096,1922,2794,361,11098
POA3153,92,248,98,76,22,620,80,79,359,223,299,36,1071,3,3,35,28,27,11,103,22,8,40,67,177,3,310,14,3,58,41,128,46,296,526,297,1817,1295,2541,268,6735
POA3154,27,61,24,30,0,169,14,19,73,50,65,6,225,0,0,6,6,11,0,29,3,3,13,16,37,4,70,0,0,12,10,32,15,70,76,77,349,292,630,60,1489
POA3155,103,306,118,101,21,753,77,71,344,278,323,39,1147,10,0,35,36,36,3,118,14,4,37,72,217,16,360,14,3,53,59,147,51,326,503,273,1874,1410,2868,306,7246
POA3156,181,544,195,186,26,1337,157,129,589,421,512,77,1879,10,4,56,45,41,9,164,21,11,85,95,398,16,634,31,9,94,100,239,68,537,896,517,3400,2398,4972,459,12646
POA3158,63,162,36,36,5,384,26,34,129,101,86,8,378,0,3,9,16,13,0,39,3,0,11,19,64,3,103,3,4,21,8,43,4,91,193,152,707,472,904,73,2505
POA3159,25,63,18,17,6,159,13,9,38,28,22,3,115,0,0,4,5,8,0,21,0,3,8,11,19,6,43,3,3,9,6,12,13,43,80,62,273,191,333,41,982
POA3160,90,214,66,65,3,547,53,34,168,126,134,19,526,5,3,27,12,10,0,59,8,5,26,22,92,5,164,15,0,32,33,42,25,149,299,207,921,639,1200,117,3375
