SA2_MAINCODE_2016,D_0_4_FPEFT_MPEFT,D_0_4_FPEFT_MPEPT,D_0_4_FPEFT_MPEAW,D_0_4_FPEFT_MPEHNS,D_0_4_FPEFT_MPET,D_0_4_FPEFT_MPULFTW,D_0_4_FPEFT_MPULPTW,D_0_4_FPEFT_MPUT,D_0_4_FPEFT_MPTLF,D_0_4_FPEFT_MPNLF,D_0_4_FPEFT_MPLFSNS,D_0_4_FPEFT_T,D_0_4_FPEPT_MPEFT,D_0_4_FPEPT_MPEPT,D_0_4_FPEPT_MPEAW,D_0_4_FPEPT_MPEHNS,D_0_4_FPEPT_MPET,D_0_4_FPEPT_MPULFTW,D_0_4_FPEPT_MPULPTW,D_0_4_FPEPT_MPUT,D_0_4_FPEPT_MPTLF,D_0_4_FPEPT_MPNLF,D_0_4_FPEPT_MPLFSNS,D_0_4_FPEPT_T,D_0_4_FPEAW_MPEFT,D_0_4_FPEAW_MPEPT,D_0_4_FPEAW_MPEAW,D_0_4_FPEAW_MPEHNS,D_0_4_FPEAW_MPET,D_0_4_FPEAW_MPULFTW,D_0_4_FPEAW_MPULPTW,D_0_4_FPEAW_MPUT,D_0_4_FPEAW_MPTLF,D_0_4_FPEAW_MPNLF,D_0_4_FPEAW_MPLFSNS,D_0_4_FPEAW_T,D_0_4_FPHNS_MPEFT,D_0_4_FPHNS_MPEPT,D_0_4_FPHNS_MPEAW,D_0_4_FPHNS_MPEHNS,D_0_4_FPHNS_MPET,D_0_4_FPHNS_MPULFTW,D_0_4_FPHNS_MPULPTW,D_0_4_FPHNS_MPUT,D_0_4_FPHNS_MPTLF,D_0_4_FPHNS_MPNLF,D_0_4_FPHNS_MPLFSNS,D_0_4_FPHNS_T,D_0_4_FPET_MPEFT,D_0_4_FPET_MPEPT,D_0_4_FPET_MPEAW,D_0_4_FPET_MPEHNS,D_0_4_FPET_MPET,D_0_4_FPET_MPULFTW,D_0_4_FPET_MPULPTW,D_0_4_FPET_MPUT,D_0_4_FPET_MPTLF,D_0_4_FPET_MPNLF,D_0_4_FPET_MPLFSNS,D_0_4_FPET_T,D_0_4_FPULFTW_MPEFT,D_0_4_FPULFTW_MPEPT,D_0_4_FPULFTW_MP_EAW,D_0_4_FPULFTW_MP_E_HW_NS,D_0_4_FPULFTW_MPET,D_0_4_FPULFTW_MPULFTW,D_0_4_FPULFTW_MPULPTW,D_0_4_FPULFTW_MPUT,D_0_4_FPULFTW_MPTLF,D_0_4_FPULFTW_MPNLF,D_0_4_FPULFTW_MPLFSNS,D_0_4_FPULFTW_T,D_0_4_FPULPTW_MPEFT,D_0_4_FPULPTW_MPEPT,D_0_4_FPULPTW_MPEAW,D_0_4_FPULPTW_MPEm_HW_NS,D_0_4_FPULPTW_MPET,D_0_4_FPULPTW_MPULFTW,D_0_4_FPULPTW_MPULPTW,D_0_4_FPULPTW_MPUT,D_0_4_FPULPTW_MPTLF,D_0_4_FPULPTW_MPNLF,D_0_4_FPULPTW_MPLFSNS,D_0_4_FPULPTW_T,D_0_4_FPUT_MPEFT,D_0_4_FPUT_MPEPT,D_0_4_FPUT_MPEAW,D_0_4_FPUT_MP_E_HNS,D_0_4_FPUT_MPET,D_0_4_FPUT_MPULFTW,D_0_4_FPUT_MPULPTW,D_0_4_FPUT_MPUT,D_0_4_FPUT_MPTLF,D_0_4_FPUT_MPNLF,D_0_4_FPUT_MPLFSNS,D_0_4_FPUT_T,D_0_4_FPTLF_MPEFT,D_0_4_FPTLF_MPEPT,D_0_4_FPTLF_MPEAW,D_0_4_FPTLF_MPEHNS,D_0_4_FPTLF_MPET,D_0_4_FPTLF_MPULFTW,D_0_4_FPTLF_MPULPTW,D_0_4_FPTLF_MPUT,D_0_4_FPTLF_MPTLF,D_0_4_FPTLF_MPNLF,D_0_4_FPTLF_MPLFSNS,D_0_4_FPTLF_T,D_0_4_FPNLF_MPEFT,D_0_4_FPNLF_MPEPT,D_0_4_FPNLF_MPEAW,D_0_4_FPNLF_MP_E_HNS,D_0_4_FPNLF_MPET,D_0_4_FPNLF_MPUEmpLfFTW,D_0_4_FPNLF_MPUEmpLfPTW,D_0_4_FPNLF_MPUT,D_0_4_FPNLF_MPTLF,D_0_4_FPNLF_MPNLF,D_0_4_FPNLF_MPLFSNS,D_0_4_FPNLF_T,D_0_4_FPLFSNS_MPEFT,D_0_4_FPLFSNS_MPEPT,D_0_4_FPLFSNS_MPEAW,D_0_4_FPLFSNS_MP_E_HNS,D_0_4_FPLFSNS_MPET,D_0_4_FPLFSNS_MPULFTW,D_0_4_FPLFSNS_MPULPTW,D_0_4_FPLFSNS_MPUT,D_0_4_FPLFSNS_MPTLF,D_0_4_FPLFSNS_MPNLF,D_0_4_FPLFSNS_MPLFSNS,D_0_4_FPLFSNS_T,D_0_4_FPT_MPEFT,D_0_4_FPT_MPEPT,D_0_4_FPT_MPEAW,D_0_4_FPT_MPEHNS,D_0_4_FPT_MPET,D_0_4_FPT_MPULFTW,D_0_4_FPT_MPULPTW,D_0_4_FPT_MPUT,D_0_4_FPT_MPTLF,D_0_4_FPT_MPNLF,D_0_4_FPT_MPLFSNS,D_0_4_FPT_T,D_5_9_FPEFT_MPEFT,D_5_9_FPEFT_MPEPT,D_5_9_FPEFT_MPEAW,D_5_9_FPEFT_MPEHNS,D_5_9_FPEFT_MPET,D_5_9_FPEFT_MPULFTW,D_5_9_FPEFT_MPULPTW,D_5_9_FPEFT_MPUT,D_5_9_FPEFT_MPTLF,D_5_9_FPEFT_MPNLF,D_5_9_FPEFT_MPLFSNS,D_5_9_FPEFT_T,D_5_9_FPEPT_MPEFT,D_5_9_FPEPT_MPEPT,D_5_9_FPEPT_MPEAW,D_5_9_FPEPT_MPEHNS,D_5_9_FPEPT_MPET,D_5_9_FPEPT_MPULFTW,D_5_9_FPEPT_MPULPTW,D_5_9_FPEPT_MPUT,D_5_9_FPEPT_MPTLF,D_5_9_FPEPT_MPNLF,D_5_9_FPEPT_MPLFSNS,D_5_9_FPEPT_T,D_5_9_FPEAW_MPEFT,D_5_9_FPEAW_MPEPT,D_5_9_FPEAW_MPEAW,D_5_9_FPEAW_MPEHNS,D_5_9_FPEAW_MPET,D_5_9_FPEAW_MPULFTW,D_5_9_FPEAW_MPULPTW,D_5_9_FPEAW_MPUT,D_5_9_FPEAW_MPTLF,D_5_9_FPEAW_MPNLF,D_5_9_FPEAW_MPLFSNS,D_5_9_FPEAW_T,D_5_9_FPHNS_MPEFT,D_5_9_FPHNS_MPEPT,D_5_9_FPHNS_MPEAW,D_5_9_FPHNS_MPEHNS,D_5_9_FPHNS_MPET,D_5_9_FPHNS_MPULFTW,D_5_9_FPHNS_MPULPTW,D_5_9_FPHNS_MPUT,D_5_9_FPHNS_MPTLF,D_5_9_FPHNS_MPNLF,D_5_9_FPHNS_MPLFSNS,D_5_9_FPHNS_T,D_5_9_FPET_MPEFT,D_5_9_FPET_MPEPT,D_5_9_FPET_MPEAW,D_5_9_FPET_MP_E_HNS,D_5_9_FPET_MPET,D_5_9_FPET_MPULFTW,D_5_9_FPET_MPULPTW,D_5_9_FPET_MPUT
206021111,165,33,0,0,200,0,0,0,198,11,0,212,391,94,5,3,491,3,0,3,489,5,0,500,94,14,9,0,114,0,0,0,114,0,0,115,0,0,0,4,3,0,0,0,3,0,0,3,652,134,11,3,802,3,0,5,810,18,3,829,4,0,0,0,4,3,0,3,7,0,0,7,23,0,0,0,23,0,0,0,23,0,0,23,29,0,0,0,29,3,0,3,29,0,0,29,683,134,11,3,830,5,0,11,838,18,3,858,213,32,13,3,259,4,0,4,266,25,0,290,4,0,0,0,4,0,0,0,4,0,0,7,901,166,19,9,1098,14,0,13,1105,45,4,1157,221,37,0,3,262,10,0,10,269,19,0,289,476,60,7,3,545,3,0,3,552,10,0,560,3,3,6,0,6,0,0,0,6,0,0,6,0,0,0,7,7,0,0,0,7,0,0,5,696,101,8,12,825,15,0,15
206021112,99,16,5,0,115,0,3,3,122,3,0,127,330,47,5,0,383,3,3,4,389,7,0,392,94,11,3,0,114,0,0,0,113,3,0,113,5,0,0,0,6,0,0,0,6,0,0,6,517,78,13,3,613,3,7,14,627,14,0,642,3,3,0,0,8,0,0,0,8,0,0,8,5,6,0,0,9,0,0,0,9,0,0,9,15,9,0,0,20,0,0,0,20,0,0,20,533,87,13,3,635,3,7,14,646,14,0,660,191,23,4,3,224,6,3,9,235,13,0,248,0,0,0,3,3,0,0,0,3,0,0,7,719,109,19,12,859,15,9,21,885,28,0,914,136,34,8,0,174,5,5,5,181,10,0,191,344,68,0,0,417,0,0,3,420,9,0,429,12,0,0,0,16,0,0,0,16,0,0,12,3,0,0,3,3,0,0,0,6,0,0,6,488,107,5,5,608,9,3,13
206031113,126,20,0,0,140,4,0,4,147,8,0,156,250,24,3,0,282,0,0,0,282,5,0,282,101,5,4,0,111,3,0,3,108,0,0,108,6,0,0,0,10,0,0,0,10,0,0,10,477,47,6,3,536,6,0,10,547,9,0,558,4,0,0,0,4,0,0,0,3,0,0,3,14,0,0,0,13,0,0,0,13,0,0,11,17,0,0,0,16,0,0,0,19,0,0,16,493,46,6,3,550,8,0,10,564,10,0,571,167,24,0,3,198,9,5,8,210,31,0,245,3,0,0,0,3,0,0,0,3,3,0,3,665,70,10,5,752,13,4,18,775,45,0,826,158,15,8,0,176,4,3,9,185,6,0,194,276,19,3,3,301,3,0,3,301,10,0,310,8,0,0,0,7,0,0,0,7,0,0,7,3,0,0,0,6,0,0,0,6,0,0,5,444,36,9,3,488,7,3,16
206031114,164,16,0,0,178,4,0,4,178,7,0,193,365,29,4,3,402,0,0,6,410,4,0,416,117,7,9,0,135,0,0,0,136,3,0,137,6,0,0,3,7,0,0,0,7,0,0,7,648,55,18,6,723,5,0,10,734,19,0,750,13,0,0,0,12,3,0,3,14,0,0,14,17,0,0,0,18,0,0,0,18,0,0,22,28,0,0,0,27,5,0,5,34,0,0,40,675,57,14,6,753,15,0,18,771,20,0,784,264,38,3,4,310,10,6,13,324,6,0,338,0,0,0,3,3,0,0,0,3,0,0,3,944,95,15,15,1069,22,3,27,1095,29,0,1130,279,22,3,0,307,4,0,4,314,9,0,318,494,39,3,0,539,3,0,3,548,10,0,557,23,0,8,0,29,0,0,0,29,0,0,29,0,0,0,0,7,0,0,0,7,0,0,7,797,65,18,9,881,4,0,4
206031115,37,12,3,0,51,0,0,0,49,8,0,53,101,19,0,3,118,0,3,3,122,9,0,127,30,5,3,0,39,0,0,0,40,0,0,43,0,0,0,0,3,0,0,0,3,0,0,3,167,32,5,3,212,4,3,10,215,12,0,229,4,0,0,0,4,0,0,0,5,0,3,11,7,4,0,0,12,3,3,8,19,0,0,19,12,3,0,0,14,3,3,9,22,0,3,26,178,36,5,3,221,6,5,13,239,15,3,254,77,30,0,3,109,23,3,23,131,36,0,170,3,0,0,0,3,0,0,0,4,4,0,6,255,66,4,5,332,28,7,42,372,55,3,435,43,8,3,0,53,0,0,0,53,3,0,60,82,19,0,0,106,6,0,3,107,3,0,108,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,128,28,8,0,167,6,0,3
206031116,93,7,0,0,102,3,0,0,105,14,0,114,219,27,0,0,246,4,0,3,251,8,0,256,70,3,11,3,88,0,0,0,85,0,0,85,0,0,0,0,3,0,0,0,3,0,0,3,377,39,16,4,434,4,3,7,442,19,0,461,3,6,0,0,9,0,0,0,9,0,0,9,13,0,0,0,13,0,0,0,13,0,0,13,9,6,0,0,19,0,0,0,19,0,0,19,388,42,16,4,452,4,3,7,459,19,0,478,173,12,0,4,190,3,0,3,194,6,0,200,0,0,0,3,3,0,0,0,3,0,0,3,562,54,16,14,645,10,3,9,655,30,3,683,139,19,0,0,156,9,0,9,167,12,0,171,255,30,0,0,283,3,3,4,286,0,0,291,3,3,3,0,10,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,4,397,47,3,0,454,12,3,12
206041117,39,3,0,0,41,0,0,0,44,3,0,45,48,8,0,0,57,0,0,0,57,4,0,59,11,3,0,0,12,0,0,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,95,16,0,0,114,0,0,0,117,6,0,120,4,0,0,0,5,0,0,0,5,0,0,5,8,0,0,0,8,0,0,0,8,0,0,8,14,0,0,0,11,0,0,0,12,0,0,12,108,17,0,0,125,4,0,4,127,6,0,141,62,23,0,3,92,6,11,20,105,42,0,147,0,0,0,0,0,0,0,0,0,6,0,3,171,45,7,3,222,10,11,17,237,49,0,294,28,4,0,0,33,0,0,0,32,8,3,39,29,3,0,0,33,0,0,0,34,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,8,0,0,70,3,0,3
206041118,79,9,0,0,87,3,0,3,92,0,0,95,50,5,0,0,58,0,0,0,61,0,0,60,16,7,12,0,31,0,0,0,31,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,144,22,14,0,179,4,0,4,186,3,0,189,15,0,0,0,15,3,0,3,17,0,0,17,8,3,0,0,8,0,0,0,8,0,0,8,24,3,0,0,26,3,0,3,28,0,0,28,165,19,14,0,200,3,0,3,211,3,0,215,178,12,0,4,189,3,3,9,197,29,0,225,0,0,0,0,0,0,0,0,0,0,0,0,341,28,14,9,393,11,3,15,403,30,0,435,24,3,0,0,29,0,0,3,33,0,0,33,25,0,0,0,25,0,0,0,25,0,0,25,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,53,4,0,0,54,0,0,3
206041119,23,0,0,0,26,0,0,0,27,0,0,23,29,5,0,0,36,0,0,0,37,0,0,37,23,0,5,0,27,0,0,0,26,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,74,3,5,0,86,0,0,5,87,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,3,5,0,83,0,0,5,90,0,0,92,24,0,0,0,27,0,0,0,27,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,99,6,5,0,112,0,0,5,114,0,0,119,9,0,0,0,8,0,0,0,8,0,0,9,16,3,0,0,20,3,3,4,27,0,0,27,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,30,4,0,0,32,3,3,4
206041120,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206041121,118,16,3,0,134,0,0,0,134,6,0,141,184,19,0,0,203,5,0,5,209,3,0,212,60,7,3,0,75,0,0,0,75,4,0,74,0,0,0,5,5,0,0,0,5,0,0,5,363,39,9,4,411,5,0,5,420,12,0,432,3,0,0,0,3,0,0,0,3,0,0,3,5,0,0,0,5,3,0,3,8,0,0,8,11,0,0,0,11,3,0,3,9,0,0,12,374,39,9,4,420,6,0,6,429,13,0,445,113,26,0,0,139,4,0,4,138,12,0,153,0,0,0,0,0,0,0,0,0,0,3,4,484,59,12,9,563,11,0,11,570,29,3,601,76,12,0,0,91,0,0,0,91,3,0,93,126,16,0,0,151,0,0,3,155,7,0,158,8,0,0,0,8,0,0,0,8,0,0,14,0,0,0,0,3,0,0,0,3,0,0,3,215,36,7,3,259,0,0,3
206041122,73,8,0,0,80,6,0,5,90,7,0,100,65,14,0,0,81,3,0,3,81,7,0,86,31,0,0,0,36,0,0,0,36,4,0,35,0,0,0,0,3,0,0,0,3,0,0,3,172,20,0,3,197,8,0,8,204,16,0,225,23,0,0,0,23,0,0,0,23,0,0,19,17,0,0,0,13,0,0,0,14,0,0,14,32,0,0,0,36,0,0,0,39,0,0,38,207,22,0,3,232,12,0,9,246,16,3,259,205,30,3,3,238,6,0,6,247,37,0,281,0,0,0,0,0,0,0,0,0,0,0,3,411,49,6,3,469,22,0,23,493,48,4,546,34,4,0,0,43,3,0,5,53,0,0,50,29,3,0,0,32,0,0,0,32,0,0,32,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,65,12,0,0,80,3,0,5
206041123,61,11,3,0,77,3,3,6,80,4,0,84,111,27,3,0,144,4,0,4,145,9,0,154,33,7,9,0,52,0,0,0,54,4,0,54,3,0,0,3,8,0,0,0,6,0,0,6,212,48,13,11,277,9,3,10,288,16,0,300,6,0,0,0,6,0,0,0,6,0,0,8,9,0,0,0,8,0,0,0,8,0,0,12,13,0,0,0,17,0,0,0,17,0,0,19,226,49,13,11,289,9,3,10,303,18,0,318,114,31,9,0,152,11,0,12,166,31,0,191,0,0,0,0,3,0,0,0,3,3,10,15,341,81,21,11,448,14,3,17,474,48,10,529,101,15,0,0,111,3,0,3,116,8,0,118,99,26,3,0,127,0,0,0,125,5,0,128,3,0,5,0,8,0,0,0,8,4,0,12,0,0,0,5,5,0,0,0,5,0,0,5,205,39,8,5,255,6,0,9
206041124,26,3,0,0,31,0,0,0,33,0,0,32,47,4,0,0,49,0,0,0,49,3,0,50,3,0,0,3,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,76,3,0,0,87,0,0,0,87,8,0,91,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,3,3,7,0,0,7,6,0,0,0,6,0,3,3,9,0,0,9,77,3,0,0,88,0,3,7,95,8,0,94,29,13,0,0,35,4,0,4,42,7,0,53,0,0,0,0,0,0,0,0,0,0,0,0,105,18,3,0,126,4,3,5,135,16,0,147,25,0,0,0,25,0,0,0,27,0,0,27,24,7,0,0,29,0,0,0,29,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,7,0,0,53,0,0,0
206041125,26,0,0,0,26,3,0,3,29,3,0,30,43,3,3,0,49,0,0,0,55,0,0,53,5,0,3,0,5,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,78,6,5,0,89,7,0,7,95,3,0,96,3,0,0,0,3,0,0,0,4,0,0,9,3,0,0,0,3,0,0,0,3,0,0,3,6,0,0,0,6,0,0,0,8,0,0,5,80,6,5,0,92,7,0,7,101,5,0,103,30,3,0,0,36,0,0,0,36,4,0,40,0,0,0,0,0,0,0,0,0,0,0,0,114,13,5,0,129,7,0,7,134,10,0,145,30,4,0,0,31,0,0,0,31,3,0,35,28,4,0,0,28,0,0,0,28,0,0,28,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,59,3,3,0,66,0,0,0
206041126,66,8,0,0,66,3,0,3,74,0,0,73,67,6,0,0,77,0,0,0,76,0,0,81,40,8,7,0,48,3,0,3,47,0,0,48,3,0,0,0,5,0,0,0,5,0,0,5,173,16,9,3,196,6,0,6,205,0,0,211,12,0,0,0,11,0,0,0,11,0,0,11,3,4,0,0,7,4,0,4,8,0,0,9,13,4,0,0,16,4,0,4,23,0,0,19,185,17,8,3,216,10,0,11,227,4,0,227,147,20,3,3,168,8,0,9,180,27,0,205,0,0,0,0,0,0,0,0,0,0,0,0,329,38,7,7,382,17,3,18,402,36,0,440,24,0,0,0,24,0,0,0,28,0,0,26,21,5,0,4,26,0,0,0,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,4,0,4,49,3,0,3
206041127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206051128,113,12,3,3,132,3,0,3,132,7,0,141,162,13,5,0,181,0,0,0,181,4,0,181,46,4,7,4,66,0,0,0,66,0,0,66,0,0,0,4,3,0,0,0,3,0,0,3,326,31,15,6,382,3,0,3,384,13,0,395,7,0,0,0,9,0,0,0,9,0,0,9,7,0,0,0,7,3,0,3,11,0,0,11,17,0,0,0,13,3,0,3,20,0,0,20,344,31,15,9,394,6,0,6,401,13,0,416,181,9,0,3,196,3,0,3,197,11,0,212,0,0,0,0,0,0,0,0,0,0,0,0,529,38,11,10,590,11,0,11,596,26,0,624,146,14,0,0,162,0,0,0,162,14,0,175,191,9,4,0,206,3,0,4,209,7,0,214,3,0,0,0,5,0,0,0,5,0,0,5,0,0,0,9,9,0,0,0,9,0,0,9,336,27,5,10,375,3,0,4
206051129,108,11,0,0,118,0,0,3,116,11,0,131,211,8,0,0,217,3,0,3,225,3,0,229,65,8,4,0,79,0,0,0,78,0,0,80,4,0,0,6,6,0,0,0,6,0,0,6,384,27,4,6,424,7,0,4,430,15,3,445,3,0,0,0,3,0,0,0,3,0,0,3,10,0,0,0,10,0,0,0,12,0,0,12,14,0,0,0,15,4,0,4,14,0,0,14,398,29,4,6,439,6,0,9,444,15,3,458,144,19,3,0,165,0,0,3,170,9,0,180,0,0,0,3,0,0,0,0,0,0,0,7,544,48,12,6,608,10,4,16,619,20,0,643,132,17,3,0,151,0,0,0,151,13,0,164,210,8,0,0,218,0,0,0,219,3,0,222,12,0,3,0,14,0,0,0,12,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,348,28,3,0,382,0,0,0
206051130,151,18,4,3,176,3,0,3,180,4,0,183,213,26,6,3,241,3,0,3,251,5,0,253,98,6,3,0,103,3,0,3,105,3,0,107,3,0,0,4,9,0,0,0,9,0,0,9,467,46,12,4,530,10,0,8,545,12,0,552,9,0,0,0,9,0,0,0,9,0,0,5,13,0,0,0,11,0,0,0,11,0,0,16,15,0,0,0,17,0,0,0,17,4,0,24,484,46,12,4,551,10,0,8,558,17,0,578,179,9,0,0,183,3,0,3,186,8,0,201,3,0,0,0,3,0,0,0,3,0,0,3,667,56,12,9,740,12,0,15,751,27,0,778,120,15,3,0,138,0,0,0,142,5,0,148,163,18,0,0,180,0,0,0,187,7,0,190,5,0,0,0,10,0,0,0,9,0,0,9,0,0,0,0,3,0,0,0,3,0,0,3,288,36,4,3,330,3,0,3
206051131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206051132,74,11,0,3,88,0,0,4,87,5,0,96,131,11,0,0,140,4,0,4,151,0,0,151,49,3,4,0,57,0,0,0,57,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,261,19,4,5,287,9,0,11,297,9,0,311,4,0,0,0,4,0,0,0,7,0,0,7,4,0,0,0,4,0,0,0,4,0,0,4,3,0,0,0,7,0,0,0,10,0,0,10,262,26,4,8,293,8,0,12,310,9,0,314,92,12,3,3,107,4,0,5,113,14,0,120,0,0,0,0,0,0,0,0,0,0,0,0,357,33,7,8,405,13,3,12,415,24,0,438,67,4,0,0,74,4,3,3,80,10,0,85,97,11,0,0,111,0,0,3,114,0,0,114,5,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,169,13,0,0,186,7,3,11
206051133,101,12,0,0,110,3,0,3,116,9,0,122,171,31,0,7,206,0,0,0,206,3,0,209,60,12,5,0,77,0,0,3,78,0,0,81,3,0,0,0,3,0,0,0,3,0,0,3,335,57,5,7,404,5,0,6,408,11,0,423,10,3,0,0,12,0,0,0,10,0,0,11,4,0,0,0,7,0,0,3,9,0,0,9,11,4,0,0,11,3,0,3,14,0,0,19,345,61,5,7,418,7,3,9,426,16,0,440,149,12,3,0,170,7,0,9,174,11,0,186,0,0,0,0,0,0,0,0,0,0,3,3,489,72,10,11,584,12,4,15,595,24,3,624,119,6,3,0,129,6,0,6,137,10,0,150,139,21,0,0,161,0,0,4,167,0,0,167,6,0,3,0,9,0,0,0,9,0,0,9,0,0,0,4,4,0,0,0,4,0,0,4,266,25,3,10,304,4,0,8
206051134,86,9,3,0,101,3,0,3,106,0,0,113,235,66,0,0,302,7,0,5,306,17,0,328,49,15,0,0,66,0,0,0,66,3,0,71,0,0,0,0,0,0,0,0,0,0,3,3,380,85,6,3,476,7,3,13,485,25,3,507,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0,0,0,9,0,0,9,11,0,0,0,11,0,0,0,11,0,0,11,389,85,6,3,484,8,3,12,495,25,3,518,153,30,0,9,186,3,0,3,195,12,0,208,0,0,0,3,4,0,0,0,4,0,0,4,542,117,8,10,673,12,3,15,693,37,3,729,75,28,3,0,109,3,0,3,106,0,0,108,210,46,0,0,259,3,0,3,260,9,0,269,8,0,0,0,15,0,0,0,15,0,0,15,0,0,0,5,7,0,0,0,7,0,0,7,291,76,5,5,380,6,0,6
206061135,43,7,0,0,47,0,0,0,53,3,0,54,113,11,3,0,128,3,0,3,133,3,0,131,37,4,0,0,39,0,0,0,39,0,0,43,3,0,0,0,3,0,0,0,3,0,3,7,197,24,3,0,223,0,0,0,220,11,3,230,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,12,0,0,0,12,3,0,13,12,0,0,0,12,0,0,0,12,3,0,13,203,24,3,0,228,0,0,0,232,12,3,243,111,9,0,0,118,0,0,0,119,4,0,124,0,0,0,0,0,0,0,0,0,0,0,0,318,29,3,3,350,4,0,4,353,18,3,375,61,3,0,0,62,0,0,0,62,0,0,68,96,7,4,0,106,4,0,4,111,3,0,116,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,159,9,4,0,176,4,0,4
