SED_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
SED23007,391,1086,279,197,34,2637,527,277,1405,537,527,102,3359,60,28,264,122,155,19,654,68,27,232,200,381,39,941,114,25,385,207,266,187,1192,3631,1345,10160,4322,5303,999,25755
SED23101,285,999,256,198,43,2428,415,218,1279,529,422,86,2946,31,15,100,51,48,3,252,94,25,181,135,310,19,768,113,15,263,118,179,71,756,3267,1050,7890,3069,3557,552,19383
SED23205,281,809,307,290,32,1990,241,199,1052,747,943,132,3307,8,8,70,73,112,14,290,22,10,68,120,471,37,731,29,17,136,134,384,121,827,1011,779,4213,3559,7354,789,17700
SED23308,387,1180,368,333,43,2810,470,381,1755,697,888,127,4315,19,18,111,56,113,13,332,30,20,101,144,481,26,808,26,9,147,93,262,104,642,1781,1227,6575,3432,6909,725,20646
SED23402,343,1030,394,371,40,2536,243,198,970,733,846,104,3093,7,10,87,79,117,11,322,26,9,92,153,693,30,1004,32,22,157,151,466,117,949,1284,913,4998,4346,9632,851,22014
SED23502,239,698,212,345,51,1671,134,195,696,606,875,116,2629,8,7,51,45,90,5,204,6,7,37,86,498,28,665,8,3,58,85,308,117,578,461,618,2610,2416,7495,910,14513
SED23602,232,647,231,241,27,1507,178,189,735,530,736,117,2482,8,4,40,31,79,16,185,3,5,45,76,455,17,599,7,4,56,71,303,106,555,546,649,2944,2484,7329,848,14791
SED23702,274,827,359,397,54,2093,130,187,768,787,1209,158,3232,3,9,54,72,177,21,331,10,13,85,158,782,39,1093,15,13,93,122,514,140,902,539,687,3454,3964,11479,1009,21136
SED23806,426,1287,201,113,43,3190,1057,356,2020,372,204,112,4125,73,35,260,79,70,15,533,76,35,225,101,207,7,655,167,44,410,103,108,85,920,5923,1933,13287,2995,2593,645,27368
SED23901,490,1233,269,199,41,3184,829,386,1829,531,484,122,4178,35,30,199,73,86,14,440,64,35,163,110,295,23,688,83,33,267,99,161,90,731,3942,1694,9285,3196,4281,652,23046
SED24006,369,1082,190,118,49,2649,1015,319,2111,405,230,143,4231,75,25,184,75,63,8,427,67,31,189,85,168,16,562,153,48,366,120,118,94,903,4576,1529,11072,2766,2478,696,23116
SED24105,179,587,205,142,36,1429,275,136,939,574,595,99,2612,9,4,73,52,79,13,227,38,18,127,190,456,42,864,67,12,214,187,341,169,993,1743,603,5829,3611,5193,945,17924
SED24207,195,761,272,225,45,1755,262,164,1374,655,742,149,3337,11,0,101,68,106,16,310,33,13,131,154,495,40,860,60,18,230,185,355,192,1033,1646,656,7113,4055,6992,1094,21552
SED24308,170,634,277,301,41,1617,132,163,716,583,994,115,2699,7,4,57,43,78,20,201,10,9,69,123,459,17,692,18,9,75,94,318,147,661,680,540,3288,2901,7623,892,15924
SED24408,242,768,211,262,35,1636,171,213,944,701,1021,136,3191,3,6,51,29,99,3,198,9,12,58,80,487,16,666,13,7,36,60,206,107,432,545,654,3176,2710,7378,855,15321
SED24504,383,958,263,268,56,2305,240,281,921,519,579,105,2646,33,18,129,73,112,23,391,27,12,94,97,471,30,735,40,31,149,99,269,97,694,1457,1189,5046,3260,6889,854,18685
SED24606,296,984,216,96,32,2367,845,289,1852,365,188,119,3657,60,25,234,69,72,11,469,52,23,158,106,177,15,530,153,30,416,132,113,87,930,4483,1455,11517,2926,2414,670,23466
SED24703,445,1742,231,133,46,4754,1212,399,2410,395,287,99,4799,205,89,614,167,128,21,1216,150,52,365,193,244,33,1040,284,43,695,207,166,156,1553,9819,2232,21315,4621,3725,1115,42826
SED24808,239,854,306,384,50,2036,148,161,742,742,955,101,2859,17,4,62,67,143,17,300,23,11,62,131,682,34,955,24,5,92,139,426,151,835,920,635,3781,3721,9969,991,20006
SED24904,274,880,322,315,39,1939,173,149,841,604,853,118,2738,6,0,25,23,74,4,139,4,3,35,83,505,35,667,6,7,42,69,312,138,578,465,591,3147,2546,7497,999,15240
SED25003,220,746,297,310,42,1904,273,160,1184,755,898,154,3426,12,3,68,60,69,15,220,33,10,116,178,556,46,938,47,10,185,134,346,164,878,1614,651,5595,3948,7551,1060,20410
SED25102,419,1140,354,319,49,2786,257,243,990,704,745,101,3042,24,19,102,76,98,13,337,38,22,112,132,611,31,944,60,22,173,142,370,97,854,1490,1162,5282,3823,7845,672,20268
SED25205,400,1249,331,245,48,2834,331,292,1228,575,579,87,3095,28,21,145,102,126,11,438,45,26,116,171,463,22,842,88,16,203,145,301,104,859,2143,1271,7373,4212,6487,767,22255
SED25302,355,1124,356,252,61,2520,352,264,1269,648,647,131,3310,22,20,111,95,135,20,410,31,12,102,139,423,16,724,43,24,168,158,291,103,788,1431,1059,5542,3764,6485,770,19054
SED25402,231,734,263,300,49,1784,235,185,981,612,925,140,3076,3,3,33,24,69,10,146,8,14,47,85,536,28,719,11,7,51,51,323,111,548,651,640,3291,2753,8697,856,16895
SED25501,265,900,213,154,44,2352,459,211,1402,495,318,94,2977,31,18,105,32,53,6,245,76,22,169,112,248,23,652,145,24,363,134,149,97,915,4192,1100,8890,2996,2789,692,20660
SED25605,206,713,230,169,33,1801,338,166,1099,524,523,119,2764,18,8,81,45,59,4,210,43,13,165,158,390,33,805,110,14,281,153,244,146,953,2498,710,6909,3398,4364,815,18689
SED25704,231,790,189,268,29,1606,116,173,769,668,899,133,2757,0,6,26,34,89,16,171,4,3,42,85,607,28,775,5,4,53,53,303,142,561,363,562,3006,2541,8149,1037,15653
SED25802,327,922,344,383,55,2277,172,198,839,617,908,114,2853,12,7,36,63,100,13,230,15,13,65,127,680,40,946,5,8,69,104,389,126,699,740,788,3504,3102,9339,955,18427
SED25905,185,672,269,239,30,1694,224,156,928,649,829,127,2909,13,4,56,68,75,17,246,33,10,116,169,657,30,1018,42,10,221,173,421,155,1023,1389,593,4968,3894,7628,955,19429
SED26005,213,751,322,325,45,2002,311,184,1191,945,1094,144,3876,11,5,57,78,120,8,274,26,11,128,204,693,41,1108,55,15,228,208,465,185,1150,1835,733,5841,4908,9215,1134,23666
SED26102,262,795,236,201,53,1767,188,164,714,553,708,97,2434,18,14,97,77,126,24,361,14,9,61,103,438,13,639,22,13,123,116,294,112,668,793,724,3610,2907,6811,833,15668
SED26207,319,1037,283,234,51,2300,298,152,969,382,396,92,2289,14,9,119,68,90,18,325,34,13,112,145,426,28,759,55,17,194,124,237,117,732,1654,888,6538,3350,5466,754,18646
SED26303,728,1633,281,160,45,4202,1020,464,1954,465,370,70,4345,124,89,479,109,105,10,917,121,53,256,132,259,25,856,103,36,357,136,169,105,898,5109,2420,12315,3498,3869,617,27833
SED26406,392,1330,268,198,52,3311,555,250,1490,515,461,87,3360,59,24,170,63,84,9,411,84,24,213,153,333,31,827,156,25,371,135,152,100,934,4781,1439,10515,3585,4232,753,25306
SED26504,220,703,230,237,39,1571,173,228,888,651,784,126,2855,4,7,41,48,93,11,212,14,9,55,81,443,15,617,12,5,63,91,286,90,545,566,676,3204,2746,7249,823,15269
SED26603,499,1249,301,249,64,3111,528,311,1404,600,550,97,3488,54,31,250,101,116,17,577,68,25,209,163,416,33,914,120,23,278,164,289,152,1019,3375,1517,9324,4214,5715,941,25091
SED26708,236,797,257,228,25,1716,143,161,800,575,892,145,2710,12,8,77,49,83,10,240,15,8,46,86,468,24,641,12,16,74,64,288,148,607,634,650,3546,2961,8194,1061,17047
SED26806,380,1297,236,139,50,3180,965,390,2163,399,319,87,4323,134,53,595,172,141,29,1123,84,21,279,207,353,19,963,220,60,592,184,162,131,1345,6304,1958,17648,4435,4308,885,35543
SED26903,372,931,265,205,44,2435,461,237,1275,607,568,109,3258,50,30,190,88,69,13,443,50,22,154,152,350,35,763,77,15,259,141,227,173,898,2861,1154,7423,3769,5011,864,21093
SED27003,498,1393,218,133,29,3661,1157,435,2358,417,316,95,4769,169,79,614,139,121,24,1147,147,47,321,142,299,30,984,171,59,493,149,146,108,1136,6639,2363,17193,3856,3953,721,34731
SED27101,406,1122,320,195,29,2673,386,321,1399,662,675,109,3547,23,10,108,72,69,9,295,89,32,227,172,380,21,914,95,18,251,130,233,103,824,2861,1346,8253,3776,5453,612,22302
SED27208,207,628,219,235,39,1467,125,164,758,639,966,159,2816,6,8,45,61,103,15,244,14,9,34,71,443,30,598,17,11,49,52,281,116,524,491,582,2736,2519,7514,989,14833
SED27305,233,782,263,193,38,1840,264,157,979,566,591,103,2664,10,3,81,67,87,7,261,36,17,135,128,591,31,932,73,11,181,142,319,102,823,1697,754,5779,3557,6360,712,18862
SED27406,377,1166,298,178,44,2671,453,278,1220,461,365,81,2862,50,22,192,80,92,17,451,34,22,140,137,280,17,633,87,30,318,143,185,81,849,2910,1402,8941,3604,4051,646,21549
SED27504,375,807,291,314,42,2026,277,254,1075,854,1015,152,3631,4,0,19,39,81,3,140,9,20,58,128,631,35,875,11,5,53,79,346,151,650,797,860,3605,3146,7960,1013,17393
SED27608,420,1599,438,321,66,3493,395,349,1759,773,833,134,4248,28,9,101,94,124,17,379,32,22,140,166,512,15,887,32,15,151,121,254,82,658,1882,1234,7538,4227,8040,727,23651
SED27708,251,957,256,328,33,2055,227,287,1168,709,1008,163,3570,10,10,41,56,111,9,236,8,14,45,103,508,38,715,15,7,67,67,299,112,564,728,798,3991,2868,8271,928,17581
SED27807,166,512,192,166,41,1283,188,90,773,477,591,103,2232,17,9,94,61,80,21,275,34,15,127,170,470,52,857,56,6,237,203,336,225,1059,1323,474,4951,3309,5324,1060,16438
SED27907,268,831,280,326,54,1988,164,188,734,533,719,106,2450,13,4,71,64,108,18,291,18,3,67,145,600,28,856,28,9,95,94,328,86,640,854,755,4135,3492,8183,818,18237
SED28007,266,953,309,332,50,2214,235,178,1023,637,690,118,2881,14,12,108,69,99,11,318,15,7,113,174,607,31,943,46,8,210,170,390,164,993,1527,767,6889,4394,8136,1020,22724
SED28107,224,811,353,312,49,2237,471,235,1559,1082,928,130,4409,41,8,159,94,146,13,457,55,11,151,200,580,38,1037,179,20,303,210,441,222,1368,4639,945,8891,5646,8383,1271,29772
SED28203,146,469,185,175,42,1241,262,118,889,538,624,116,2546,11,7,36,40,35,9,135,32,3,94,151,434,42,757,63,5,171,150,347,172,901,1626,505,4577,3207,5321,958,16198
SED28301,278,1016,248,180,36,2283,511,257,1368,544,388,103,3177,27,11,131,63,75,18,319,59,14,169,139,404,24,810,102,35,311,149,191,91,872,2725,1124,8118,3304,4459,681,20415
SED28408,348,1005,275,301,33,2387,427,363,1448,621,751,107,3711,18,6,80,49,76,16,249,15,11,58,94,388,20,583,18,8,80,48,170,84,406,1336,1055,4779,2658,6145,621,16593
SED28507,213,668,317,322,44,1844,181,129,796,683,752,107,2643,21,13,104,73,116,10,337,19,12,86,119,483,21,741,46,12,135,126,343,148,817,1623,641,4458,3756,7968,908,19359
SED28607,567,1362,298,205,52,3316,576,352,1397,449,380,81,3239,74,47,280,119,133,20,673,79,55,197,154,335,27,853,88,33,304,119,253,90,892,3721,1952,10858,3971,5326,723,26555
SED28704,437,1266,462,430,69,3068,307,311,1334,959,1117,147,4176,12,12,85,81,137,17,343,31,22,112,208,891,36,1303,41,16,153,157,492,142,1002,1609,1179,6220,5039,11282,1065,26398
SED28803,220,785,323,329,40,2008,325,162,1162,852,863,154,3514,13,10,82,49,78,8,240,27,10,105,198,691,37,1064,65,20,196,198,444,186,1106,2115,699,6348,5009,8699,1178,24054
SED29494,6,38,9,7,7,99,22,17,51,39,34,9,168,4,3,20,7,7,0,47,3,0,14,10,30,4,67,12,0,14,8,27,21,79,138,57,428,187,437,87,1337
SED29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,12,0,22
