SSC_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SSC20785,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,8,9,16,18,19,30,16,13,10,0,136
SSC20786,0,0,0,3,0,0,3,8,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,9,9,36,36,50,54,43,27,6,267
SSC20787,0,0,0,0,0,0,9,3,3,22,0,0,0,3,0,0,0,0,0,3,0,3,3,3,4,5,3,4,0,26,7,15,23,38,47,63,52,20,4,270
SSC20788,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,4,7,8,0,0,27
SSC20789,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,8,9,7,24,24,18,12,6,0,112
SSC20790,0,0,0,0,0,0,0,8,0,10,0,0,0,0,0,0,0,0,0,0,3,3,8,4,8,9,4,3,0,40,8,35,53,68,73,95,83,21,6,446
SSC20791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,10,0,5,3,0,30
SSC20792,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,5,6,0,0,23,6,4,16,48,42,39,42,7,3,206
SSC20793,0,0,0,0,0,0,3,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,6,3,0,3,23,8,6,11,30,27,35,25,8,5,151
SSC20794,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,6,3,4,13,18,26,28,15,0,0,120
SSC20795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,4,14,0,0,0,27
SSC20796,3,0,3,7,4,14,48,70,47,192,0,0,0,4,3,0,0,3,0,11,14,10,8,26,29,27,44,83,81,326,110,190,300,454,560,602,552,414,216,3397
SSC20797,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,11,6,4,0,4,34
SSC20798,0,0,0,0,3,3,13,3,6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,5,6,3,3,37,12,23,30,48,61,73,61,21,9,345
SSC20799,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,4,3,6,6,19,22,10,10,3,77
SSC20800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,0,0,17
SSC20801,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,4,5,6,12,6,9,3,0,42
SSC20802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,3,0,5,9,15,0,3,0,38
SSC20803,0,0,0,3,0,3,3,4,3,22,0,0,0,0,0,0,0,0,0,0,3,3,7,15,18,15,12,10,0,76,7,25,58,95,101,100,84,36,21,526
SSC20804,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,9,3,0,29
SSC20805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,3,3,3,4,5,0,0,14
SSC20806,0,0,0,0,0,0,3,9,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,14,11,18,14,31,34,30,19,19,3,183
SSC20807,0,0,0,0,12,17,40,19,8,99,0,0,0,0,0,0,0,0,0,3,3,0,5,7,17,22,19,19,0,93,12,24,55,58,131,191,175,95,25,770
SSC20808,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,4,8,11,11,12,8,0,57
SSC20809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,7
SSC20810,0,0,3,0,0,3,0,4,0,14,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,4,3,0,0,18,5,16,27,60,76,57,37,20,3,290
SSC20811,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,6,0,0,4,15,3,21,12,0,0,54
SSC20812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,6,0,0,0,3,0,9,0,3,0,15
SSC20813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20814,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,14,0,5,8,10,22,29,14,7,0,94
SSC20815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,7,7,0,0,26
SSC20816,0,0,0,0,4,9,22,12,4,55,0,0,0,0,3,0,3,0,0,9,0,0,3,3,17,26,22,6,9,92,23,34,82,74,152,229,232,84,28,939
SSC20817,3,10,13,13,26,47,86,92,41,340,0,0,5,0,5,8,7,0,0,26,32,34,88,64,86,82,92,66,28,581,169,411,718,647,706,744,594,340,119,4432
SSC20818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5
SSC20819,0,0,0,0,0,6,19,27,16,68,0,0,0,0,3,0,0,7,4,15,6,3,18,15,12,26,28,22,7,139,89,254,373,402,582,633,419,193,91,3045
SSC20820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,12,0,3,11,5,10,26,13,3,0,65
SSC20821,0,0,4,3,4,14,23,20,9,79,0,0,0,0,0,0,4,0,0,10,11,5,17,6,24,29,46,15,3,164,49,67,115,129,181,176,202,79,26,1011
SSC20822,3,0,3,0,9,12,26,37,32,128,0,0,7,0,8,3,0,0,3,19,9,9,10,17,25,31,21,32,12,173,55,170,279,206,285,288,205,166,93,1749
SSC20823,4,6,0,7,9,24,29,29,23,128,0,0,0,0,3,6,9,6,3,21,13,12,30,23,41,37,27,16,11,212,90,273,500,503,639,561,317,151,70,3102
SSC20824,0,3,0,0,0,6,9,9,14,37,0,0,0,3,0,0,0,3,0,9,15,37,176,88,72,69,68,25,33,589,58,343,1407,719,571,664,546,181,146,4630
SSC20825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,30,33,4,8,4,3,0,0,84
SSC20826,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,12,4,4,3,10,14,11,13,4,0,61
SSC20827,0,0,0,3,3,7,5,4,0,32,0,0,0,0,0,0,0,0,0,3,3,0,3,8,16,10,15,6,0,67,16,42,60,103,162,155,104,33,7,680
SSC20828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,3,5,9,0,0,29
SSC20829,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,3,0,15
SSC20830,4,0,0,0,4,15,54,53,19,145,0,0,0,0,0,0,0,0,0,0,12,11,29,35,26,28,59,69,67,339,53,128,298,277,282,281,370,283,143,2110
SSC20831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,5,0,4,0,0,21,13,7,7,6,32,21,21,0,0,104
SSC20832,7,10,30,23,43,108,208,195,128,755,0,3,9,3,3,7,5,6,0,45,39,63,131,114,153,180,193,209,154,1234,372,710,1518,1564,1818,1871,1637,1036,451,10987
SSC20833,0,0,0,0,4,5,9,15,0,34,0,0,0,0,0,0,0,0,0,0,3,0,0,5,10,5,13,0,0,39,15,14,25,54,84,112,88,26,9,419
SSC20834,0,0,0,0,0,0,9,5,0,18,0,0,0,0,0,0,0,0,0,0,3,0,0,8,13,10,0,3,0,33,12,19,25,51,88,72,36,26,0,325
SSC20835,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,10,4,8,14,21,44,22,6,4,3,137
SSC20836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,9,3,3,5,12,18,10,14,10,0,77
SSC20837,0,0,0,4,4,9,22,13,0,48,0,0,0,0,0,0,0,0,0,0,4,5,8,13,22,17,17,5,0,92,29,65,83,160,214,185,126,35,9,906
SSC20838,0,0,0,0,6,10,21,15,11,62,0,0,0,0,0,0,0,0,0,0,0,5,3,8,13,12,24,16,22,100,14,46,76,81,134,135,149,94,57,781
SSC20839,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,17,12,18,12,3,0,71
SSC20840,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,9,19,10,13,6,3,61
SSC20841,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,6,3,3,3,11,18,17,16,6,4,78
SSC20842,0,0,3,3,8,18,34,47,46,152,0,4,3,5,4,0,0,3,3,18,12,19,61,55,55,43,49,55,69,415,100,297,805,885,870,626,475,289,185,4544
SSC20843,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,3,3,0,17,3,9,15,34,32,37,27,8,0,160
SSC20844,0,0,3,0,10,10,28,28,19,89,0,0,0,0,0,0,0,0,0,3,8,3,9,12,20,24,38,23,15,147,23,30,70,85,150,170,189,102,54,871
SSC20845,0,0,3,3,0,3,5,7,3,20,0,0,3,0,0,0,0,0,0,3,0,0,3,0,3,3,3,4,0,20,3,9,17,28,33,32,31,15,12,181
SSC20846,0,0,0,0,0,8,10,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,13,4,0,3,35,7,22,24,43,62,63,74,21,8,318
SSC20847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,11,3,0,0,33
SSC20848,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,9,18,0,0,41
SSC20849,0,0,0,0,0,0,5,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,3,0,5,12,11,4,7,10,0,56
SSC20850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20851,0,0,0,0,0,3,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,5,3,0,17,3,4,29,34,21,21,13,8,0,123
SSC20852,0,0,0,0,3,3,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,3,5,0,0,0,0,0,3,5,8,25,13,28,25,11,6,0,113
SSC20853,0,0,4,11,3,10,45,40,20,137,0,0,0,0,0,0,0,0,0,8,5,4,14,6,26,31,21,23,5,141,65,139,295,365,416,399,253,138,49,2121
SSC20854,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,15,4,14,28,28,42,34,19,5,0,175
SSC20855,0,0,0,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,0,3,22,0,3,6,16,29,39,36,16,3,157
SSC20856,0,0,0,0,0,7,17,26,9,55,0,0,0,0,0,0,0,0,0,3,3,4,3,3,7,8,13,19,9,64,19,41,48,67,116,115,119,90,23,641
SSC20857,0,0,0,0,0,3,4,7,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,9,5,3,3,32,7,25,34,62,97,121,82,20,13,455
SSC20858,3,0,3,3,13,24,48,76,84,248,0,0,0,6,3,11,0,20,8,53,17,40,124,99,73,67,57,34,28,536,182,536,1778,1526,1407,1127,780,441,283,8059
SSC20859,0,3,3,5,21,37,95,77,55,298,0,3,3,5,4,3,3,7,3,26,40,34,57,79,122,104,89,77,61,662,443,1081,1611,2457,2899,2734,1780,675,254,13937
SSC20860,0,0,3,0,3,15,27,30,5,80,0,0,0,0,3,3,3,6,0,10,4,12,22,25,35,45,11,16,6,177,175,495,582,876,1108,1095,534,161,33,5058
SSC20861,3,0,5,7,11,21,32,54,33,166,0,4,12,5,6,4,7,4,3,39,37,79,426,305,207,153,98,47,17,1368,181,848,3986,3051,2272,1527,780,330,132,13105
SSC20862,3,3,3,7,13,10,49,31,17,145,0,0,3,0,0,3,3,0,0,14,8,9,31,42,48,53,51,19,13,281,152,297,484,772,957,824,628,199,97,4411
SSC20863,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,11,11,0,0,32
SSC20864,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,3,0,0,22,11,15,23,47,62,68,33,11,4,265
SSC20865,11,21,60,61,111,250,337,228,78,1148,4,16,52,66,46,63,48,52,25,370,67,85,184,155,159,201,197,142,101,1285,613,1753,3392,3115,3166,3626,2061,854,307,18888
SSC20866,0,0,0,0,0,7,13,0,3,24,0,0,0,0,0,0,0,0,0,0,3,3,0,4,10,3,7,3,0,40,18,23,58,85,87,57,61,12,9,400
SSC20867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0,15
SSC20868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20869,0,0,0,0,0,4,7,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,3,20,24,15,12,3,94
SSC20870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,9,4,3,0,0,17
SSC20871,0,0,0,0,0,6,6,3,3,19,0,0,0,0,0,0,0,0,0,0,0,3,3,11,10,12,10,5,3,57,18,30,48,84,133,95,75,21,13,512
SSC20872,9,23,78,117,159,355,487,340,178,1746,3,5,25,46,51,69,84,68,30,372,92,142,383,307,238,232,174,105,68,1742,801,2221,5840,5017,3946,3137,1855,896,393,24103
SSC20873,0,8,14,6,6,15,37,34,11,127,0,4,3,0,9,3,4,0,0,20,13,24,54,50,35,47,31,20,4,280,117,289,881,583,441,393,258,122,22,3107
SSC20874,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,7,8,13,5,3,3,54
SSC20875,0,0,0,0,3,0,11,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,3,0,13,8,5,6,18,35,44,31,6,7,159
SSC20876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20877,0,0,0,0,0,0,5,5,0,18,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,4,10,3,0,23,4,9,12,17,43,39,44,19,7,201
SSC20878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5
SSC20879,3,0,5,12,23,58,152,217,169,646,0,5,7,7,10,13,15,39,24,116,58,89,279,190,155,159,113,100,79,1224,467,1505,3569,2762,2944,2454,1417,854,551,16512
SSC20880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20881,0,0,0,3,0,3,29,35,21,92,0,4,0,0,3,0,3,7,4,26,4,18,68,46,28,23,34,27,40,293,59,216,617,466,387,297,199,135,92,2459
SSC20882,0,0,3,0,0,3,14,15,14,48,0,0,0,0,0,0,0,0,0,3,4,6,11,3,7,10,12,6,9,79,47,79,187,181,223,157,112,86,47,1107
SSC20883,0,3,18,22,7,22,27,38,22,152,0,11,11,19,8,0,7,4,0,57,3,8,27,17,13,15,30,21,9,147,34,130,332,252,213,193,189,137,42,1516
SSC20884,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,3,5,7,8,8,11,11,0,0,50
SSC20885,0,3,0,3,4,0,13,15,4,41,0,0,0,0,0,0,0,0,0,0,7,6,16,10,5,14,13,5,9,79,17,60,91,73,81,68,68,26,18,503
SSC20886,3,0,9,6,6,35,78,69,36,245,0,0,0,0,0,0,4,0,0,3,5,14,22,25,40,37,51,65,61,320,53,124,262,311,378,536,502,352,181,2697
SSC20887,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,3,3,6,3,3,0,0,24,8,5,12,25,29,46,24,10,0,168
SSC20888,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,3,0,0,23,4,3,14,17,18,34,20,8,0,107
SSC20889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,10
SSC20890,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,4,0,0,11,0,5,15,25,35,33,38,6,0,158
SSC20891,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,5,0,0,3,4,0,0,0,0,17,6,3,11,16,35,28,23,8,0,126
SSC20892,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,4,18,15,19,28,6,3,0,91
SSC20893,0,0,6,4,4,7,12,0,0,36,0,0,0,0,0,0,0,0,0,0,3,3,15,25,12,6,3,0,0,67,33,77,469,594,280,170,95,6,3,1730
SSC20894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,4,3,6,11,4,3,0,31
SSC20895,0,4,6,8,12,20,74,96,47,263,0,3,3,0,4,8,16,28,11,71,14,38,119,89,58,44,31,29,14,434,148,506,1365,1054,902,666,390,269,105,5403
SSC20896,0,0,0,0,0,0,0,3,4,6,0,0,0,0,0,0,0,0,0,0,4,0,0,3,6,5,4,0,0,18,5,14,10,33,56,60,48,18,3,250
SSC20897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,0,0,0,13
SSC20898,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,5,6,3,9,12,24,4,0,3,63
SSC20899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,16,12,4,9,3,0,66,12,38,66,46,39,15,18,5,0,246
SSC20901,0,0,0,0,0,0,7,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,5,16,24,43,34,3,4,129
SSC20902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,3,3,13,6,12,0,0,47
SSC20903,11,9,28,55,72,146,306,522,232,1378,3,5,20,22,30,54,74,100,57,359,39,54,183,143,110,102,126,190,147,1087,322,898,2374,1870,1462,1152,856,1082,527,10540
SSC20904,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,3,0,3,0,23
SSC20905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,8,0,0,21
SSC20906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,10,0,3,10,9,20,20,17,5,0,82
SSC20907,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,15,8,5,13,18,17,37,15,5,3,119
SSC20908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,3,7,9,8,0,3,0,32
SSC20909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,3,5,3,0,0,15
SSC20910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20911,0,3,30,33,64,125,259,254,127,891,0,3,11,8,17,20,22,20,6,105,42,48,150,158,148,129,218,178,147,1224,597,1583,3673,3751,3678,3184,2525,1230,493,20718
SSC20912,0,0,0,0,3,3,8,4,0,18,0,0,0,0,0,0,0,0,0,0,9,4,12,8,17,17,15,8,0,97,42,78,123,191,245,258,173,51,18,1187
SSC20913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,5,3,0,0,19
SSC20914,0,0,0,3,0,0,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,11,13,4,0,38,9,15,45,39,91,115,93,19,3,428
SSC20915,0,0,0,0,0,0,11,14,0,32,0,0,0,0,0,0,0,0,0,3,3,3,4,11,10,6,9,10,0,55,7,31,55,94,115,124,125,57,16,626
SSC20916,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,5,4,0,16
SSC20917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,5,3,0,0,0,10
SSC20918,5,5,27,41,30,53,56,59,30,312,0,6,6,14,37,30,25,25,14,149,40,134,441,236,187,136,94,56,34,1363,167,873,3143,1719,1235,936,580,327,144,9110
SSC20919,3,4,6,5,24,54,83,135,52,363,0,0,3,4,6,4,16,28,19,96,36,75,250,180,131,128,102,69,23,988,174,838,3073,2041,1498,1279,913,520,176,10511
SSC20920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,13,3,4,6,15,19,12,15,3,0,75
SSC20921,0,0,0,0,0,0,5,3,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,3,3,9,16,14,6,17,5,5,79
SSC20922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20923,5,8,17,35,55,67,64,66,48,368,0,6,15,23,38,43,33,44,17,232,54,76,208,149,116,103,62,59,15,838,218,701,1690,1190,867,700,402,273,123,6166
SSC20924,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,12,22,11,4,69,18,31,27,78,113,183,200,98,26,764
SSC20925,3,4,4,10,7,13,24,29,35,126,0,0,3,6,5,4,0,0,0,20,20,27,45,28,20,11,16,21,44,235,232,741,607,441,343,330,214,143,120,3163
SSC20926,3,0,0,0,0,11,8,8,0,32,0,0,0,0,0,0,0,0,0,3,4,5,6,8,13,25,16,3,0,83,12,22,55,88,103,135,90,25,3,528
SSC20927,0,0,0,0,6,3,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,10,24,22,32,23,18,6,0,137
SSC20928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,4,0,3,0,0,9
SSC20929,6,11,35,37,64,106,131,166,136,689,0,16,29,31,37,56,43,43,33,295,64,203,444,255,169,174,122,132,80,1630,437,1935,4859,2578,1554,1290,750,519,341,14261
SSC20930,0,0,3,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,9,3,5,5,10,32,21,31,3,0,101
SSC20931,3,7,3,11,33,48,112,163,100,480,0,3,12,15,23,24,22,20,4,123,10,31,62,67,48,57,56,76,28,441,192,636,1383,1560,1356,1141,968,798,380,8421
SSC20932,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,5,0,0,19,6,7,26,24,44,41,42,18,0,212
SSC20933,0,0,0,0,0,7,3,0,0,7,0,0,0,0,0,0,0,0,0,0,4,3,0,4,3,12,4,0,0,34,5,11,11,19,44,61,32,10,3,202
SSC20934,0,0,0,0,3,11,38,48,42,150,0,0,0,0,0,0,0,0,0,0,5,5,12,4,23,17,41,36,32,164,38,60,100,147,212,321,338,210,131,1561
SSC20935,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,10,3,7,12,14,26,32,33,11,8,148
SSC20936,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,8,10,12,9,10,5,0,57
SSC20937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,7,0,0,19
