SSC_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
SSC20060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,10
SSC20061,0,6,7,4,14,13,11,4,0,56,9,8,8,9,21,9,3,6,22,96,48,130,134,141,278,242,100,135,40,1253
SSC20062,0,0,0,3,0,0,0,3,0,7,3,0,3,0,3,0,0,0,0,14,15,23,19,30,54,27,28,42,3,253
SSC20063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,14
SSC20064,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,5,7,3,11,13,7,13,3,12,3,66
SSC20065,0,23,10,11,19,16,11,15,0,114,6,28,16,17,15,33,7,37,37,209,138,556,470,462,747,946,501,999,73,4890
SSC20066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,11,4,9,4,0,3,0,45
SSC20067,0,14,4,6,25,24,5,9,0,81,0,4,5,3,13,3,7,5,18,69,105,248,216,239,484,467,255,291,28,2325
SSC20068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,7,4,0,11,0,31
SSC20069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8
SSC20070,0,0,3,0,3,6,0,3,0,21,0,3,0,0,0,4,0,3,0,10,10,34,25,20,20,52,18,49,4,230
SSC20071,0,0,0,0,0,0,0,4,0,8,0,4,0,0,0,0,0,0,0,6,8,29,28,23,21,28,11,32,0,178
SSC20072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,4,3,3,5,4,15,0,49
SSC20073,0,7,0,0,11,6,10,3,0,35,0,0,3,0,0,8,0,6,3,20,60,136,83,132,171,151,87,122,22,957
SSC20074,4,20,16,29,41,42,23,32,3,209,3,27,24,16,31,40,20,30,45,240,237,809,810,797,1261,1543,847,1202,103,7609
SSC20075,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,8,13,5,11,10,17,8,18,0,86
SSC20076,0,22,9,14,14,11,10,12,3,99,6,19,12,16,17,36,12,12,23,153,101,553,389,387,462,667,402,642,56,3659
SSC20077,0,10,18,16,19,18,10,12,0,98,7,12,12,11,27,18,7,9,31,133,91,388,331,349,564,654,281,401,50,3118
SSC20078,3,24,17,7,21,27,16,18,0,126,3,17,18,8,18,24,10,23,25,152,111,480,384,329,529,720,365,539,60,3516
SSC20079,0,16,10,10,19,22,12,20,6,113,7,19,11,12,29,33,9,12,22,155,103,495,351,370,609,694,317,422,53,3413
SSC20080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,4,6,4,14,0,26,0,68
SSC20081,7,13,9,12,13,18,10,11,0,84,3,7,13,7,17,13,4,12,23,101,49,223,192,187,352,371,175,245,40,1832
SSC20082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC20083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,8
SSC20084,0,0,0,3,3,6,0,0,0,9,0,0,0,0,0,0,0,0,3,3,8,5,9,9,19,26,9,13,6,106
SSC20085,0,3,3,3,0,0,0,0,0,11,5,0,0,0,0,4,0,8,7,28,30,65,48,56,66,74,44,85,11,481
SSC20086,0,4,0,0,5,3,6,0,0,15,0,0,0,0,3,3,3,0,8,26,18,58,41,43,51,78,19,71,12,402
SSC20087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4
SSC20088,6,33,24,30,49,46,22,23,3,224,9,21,13,25,30,42,8,27,69,244,168,549,477,542,990,985,357,595,130,4798
SSC20089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,7,3,6,0,26
SSC20090,0,0,0,0,4,0,0,0,0,9,0,0,0,0,3,4,0,3,0,13,9,57,38,58,60,101,50,64,9,448
SSC20091,0,0,0,3,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,10,32,16,16,29,22,13,36,0,176
SSC20092,0,3,0,3,0,3,0,0,0,9,0,3,0,0,3,0,3,4,3,18,14,60,28,52,65,62,33,68,3,380
SSC20093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,5,0,23
SSC20094,3,14,7,13,19,18,9,17,0,104,0,7,18,13,12,26,10,12,24,128,98,322,279,294,441,526,259,387,54,2660
SSC20095,0,0,0,0,3,0,0,3,0,11,0,0,0,0,0,0,0,0,3,3,8,22,22,22,34,18,16,10,3,159
SSC20096,0,3,3,6,7,6,4,3,0,43,3,4,0,3,13,11,0,3,4,48,31,88,76,83,148,120,71,94,18,728
SSC20097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,8
SSC20098,0,0,0,0,0,0,0,3,0,7,0,0,0,0,5,3,0,0,0,11,6,17,19,16,33,30,6,20,0,158
SSC20099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,4,3,0,20
SSC20100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,3,3,0,18
SSC20101,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,3,0,0,3,7,0,12,3,11,11,9,3,8,3,62
SSC20102,3,20,7,16,25,23,7,25,0,133,5,13,3,10,18,21,0,13,22,119,144,352,319,415,556,447,217,373,70,2888
SSC20103,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,3,4,3,4,8,10,21,9,8,19,3,79
SSC20104,0,14,13,18,24,15,10,10,3,97,4,0,7,8,15,25,16,16,22,114,73,283,336,334,552,637,377,515,41,3160
SSC20105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,6,6,3,9,6,13,0,53
SSC20106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,7,3,3,0,22
SSC20107,3,3,3,7,8,8,6,0,0,37,3,5,13,4,5,14,0,11,9,68,51,127,144,157,234,228,112,182,26,1257
SSC20108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,20,3,35
SSC20109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9
SSC20110,0,17,3,16,16,15,6,9,0,77,9,6,0,3,13,7,0,12,18,74,105,389,264,356,412,398,238,358,26,2555
SSC20111,0,9,13,10,19,11,10,11,0,77,3,8,8,7,10,10,3,8,12,64,85,290,267,301,446,359,197,262,36,2236
SSC20112,8,9,3,4,7,9,7,3,0,48,3,3,7,3,11,11,3,3,8,51,63,233,179,175,297,313,180,210,20,1679
SSC20113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,7,8,7,4,6,3,15,3,57
SSC20114,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,3,0,0,5,11,4,20,15,14,11,25,14,19,3,122
SSC20115,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,7,5,8,8,20,3,18,3,67
SSC20116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,3,3,9,0,30
SSC20117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,8,3,15,3,20,3,58
SSC20118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,10,23,13,16,9,17,17,28,7,145
SSC20119,0,8,0,3,3,4,4,0,0,24,0,5,0,0,3,9,0,13,3,42,60,179,126,145,140,183,100,145,11,1083
SSC20120,0,0,0,4,0,3,0,0,0,7,0,0,0,0,0,0,0,0,3,5,9,24,15,30,12,25,21,24,5,157
SSC20121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC20122,3,32,18,9,21,21,11,18,0,141,10,31,30,32,32,41,14,36,55,278,176,926,669,631,799,1128,503,1003,98,5940
SSC20123,4,56,37,26,45,46,26,20,0,250,19,59,43,28,37,61,24,47,82,402,236,1509,1070,1002,1349,1765,778,1468,139,9322
SSC20124,0,0,0,0,3,4,0,3,0,7,3,0,0,0,0,0,0,0,3,11,14,23,22,34,26,27,18,70,4,242
SSC20125,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,3,0,0,0,6,3,7,8,12,19,26,5,26,0,116
SSC20126,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,4,8,6,4,4,11,8,12,0,57
SSC20127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,11,4,4,0,27
SSC20128,0,0,3,0,5,3,6,0,4,13,0,0,0,3,4,0,0,4,0,8,15,13,28,21,42,100,62,71,6,360
SSC20129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,3,4,0,9,3,26
SSC20130,0,0,0,0,0,6,0,0,0,10,0,0,3,0,4,3,0,0,0,9,3,17,21,10,32,32,17,20,0,161
SSC20131,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,0,8,0,23
SSC20132,3,15,7,16,15,28,13,15,0,104,3,10,8,10,15,25,10,5,24,114,115,280,259,276,407,499,256,347,47,2480
SSC20133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,12
SSC20134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,9,3,3,0,17
SSC20135,0,4,0,3,3,4,3,8,0,32,5,3,3,3,14,5,4,7,8,47,36,118,96,136,219,172,122,162,23,1083
SSC20136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,3,3,0,6,3,9,0,47
SSC20137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,11,10,18,17,4,13,3,83
SSC20138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,4,12
SSC20139,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,0,0,0,9,0,10,5,11,3,6,3,19,0,60
SSC20140,0,0,0,3,0,0,0,0,0,4,0,0,0,0,3,0,3,0,0,7,7,40,31,30,30,31,18,28,3,225
SSC20141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,3,3,0,0,17
SSC20142,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,3,3,3,3,0,3,0,0,22
SSC20143,0,0,3,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,6,9,3,16,12,9,18,12,9,15,5,97
SSC20144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,0,0,7
SSC20145,0,5,0,0,3,4,8,3,0,30,3,3,0,3,0,0,0,4,3,24,29,44,50,67,84,81,38,71,22,488
SSC20146,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,5,10,10,16,11,11,11,13,3,91
SSC20147,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,11,4,7,9,8,3,15,0,64
SSC20148,0,6,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,13,8,30,25,29,42,27,24,31,3,221
SSC20149,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,4,4,11,9,15,16,7,8,23,3,99
SSC20150,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,3,4,25,15,10,11,25,3,22,0,121
SSC20151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9
SSC20152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
SSC20153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,4,7,0,20
SSC20154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC20155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,14
SSC20156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,11
SSC20157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,10
SSC20158,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,3,4,7,7,9,4,5,9,0,49
SSC20159,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,17,19,12,8,13,4,24,3,100
SSC20160,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,4,4,18,7,14,9,9,3,20,0,68
SSC20161,0,12,6,10,10,3,3,4,0,51,3,10,8,8,4,7,3,8,10,63,70,276,216,249,230,259,161,246,25,1734
SSC20162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC20163,0,3,0,0,4,0,0,0,0,10,0,3,0,0,3,0,0,0,0,11,6,31,21,19,23,22,9,28,5,162
SSC20164,0,4,0,3,3,0,3,6,0,21,0,0,3,0,3,0,0,3,5,23,27,71,53,60,58,68,30,78,16,467
SSC20165,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,3,8,8,3,3,3,0,29
SSC20166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,9,0,15
SSC20168,0,5,4,10,20,13,3,6,0,56,0,3,3,8,8,12,3,4,16,56,36,138,98,142,211,214,96,149,30,1110
SSC20169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,8
SSC20170,0,0,3,3,3,0,3,0,0,11,0,3,0,0,6,0,0,3,0,20,12,23,27,30,36,32,19,46,4,230
SSC20171,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,9,0,8,7,9,0,10,3,12,3,53
SSC20172,3,20,37,23,49,40,24,25,7,230,15,28,25,20,55,54,22,33,56,303,191,607,589,570,1321,1125,492,574,120,5590
SSC20173,4,16,12,12,31,40,21,28,0,170,6,15,18,17,51,52,17,17,33,232,157,473,432,489,983,902,455,501,55,4453
SSC20174,0,26,13,21,31,26,22,25,0,162,0,25,16,14,42,32,9,26,34,206,92,536,380,350,635,646,332,571,57,3603
SSC20175,0,3,11,7,12,18,4,15,0,67,0,8,3,13,6,18,7,16,10,69,62,197,162,188,179,252,128,281,30,1476
SSC20176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,7,3,11,3,3,8,0,46
SSC20177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,11,4,3,5,0,39
SSC20178,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,3,3,6,3,0,6,0,32
SSC20179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,3,0,4,0,9,0,22
SSC20180,0,4,3,0,3,3,3,3,0,23,3,3,0,3,4,3,3,4,3,28,29,73,74,65,89,81,46,64,7,537
SSC20181,3,29,18,10,21,21,15,26,0,146,6,40,21,29,27,50,13,61,37,284,178,974,717,682,653,1131,602,1323,86,6347
SSC20182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,15
SSC20183,0,3,0,0,3,0,0,0,0,7,0,0,0,0,3,0,0,0,0,8,10,12,13,16,28,20,5,47,4,163
SSC20184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,9,5,4,3,0,12,0,43
SSC20185,0,5,0,4,3,10,7,3,4,42,3,7,8,0,7,7,4,4,14,54,81,224,210,238,240,281,135,226,33,1667
SSC20186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,3,0,11
SSC20187,5,6,10,5,26,26,10,13,0,100,3,13,8,11,15,16,11,18,15,100,64,275,237,257,363,390,202,250,21,2068
SSC20188,0,4,3,4,5,6,0,3,0,29,0,0,4,3,9,6,0,3,9,31,27,105,85,86,128,128,69,84,10,719
SSC20189,0,7,3,3,15,9,4,11,0,51,0,4,3,5,11,10,3,10,6,53,36,119,94,80,130,169,82,140,16,876
SSC20190,7,10,9,6,18,18,5,11,0,90,3,7,3,14,23,22,12,7,16,112,67,246,229,263,473,435,163,210,29,2118
SSC20191,4,9,5,12,16,13,9,7,0,82,4,4,11,13,17,19,11,8,15,104,70,276,211,267,432,403,146,210,46,2059
SSC20192,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,17,17,13,3,9,5,9,0,72
SSC20193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20194,0,6,0,0,0,0,0,3,0,8,0,3,0,0,0,0,3,3,0,17,16,66,48,48,33,58,29,68,6,377
SSC20195,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,5,9,19,14,19,31,43,12,25,8,177
SSC20196,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,3,5,4,4,0,13,0,41
SSC20197,0,3,3,5,5,12,0,3,0,25,0,0,4,3,9,4,6,0,5,33,32,98,79,105,171,161,59,71,24,793
SSC20198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,13,16,7,7,12,3,9,0,63
SSC20200,3,34,15,20,48,38,24,18,9,215,10,29,12,20,17,26,12,21,48,195,250,937,758,778,1153,1199,600,713,112,6494
SSC20201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,6,0,0,4,0,24
