SA1_7DIGITCODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
2100706,65,7,4,0,0,0,0,69
2100707,72,5,0,0,0,0,0,84
2100708,55,0,0,0,0,0,0,60
2100709,58,0,0,0,0,0,0,65
2100801,10,3,6,0,0,0,0,22
2100804,24,3,0,0,0,0,0,29
2100805,15,0,0,0,0,0,0,17
2100806,15,6,0,3,0,0,0,25
2100807,20,3,3,0,0,0,0,23
2100808,0,0,0,0,0,0,0,0
2100809,29,0,0,0,0,0,0,28
2100810,41,7,4,0,0,0,0,50
2100811,14,0,0,0,0,0,0,18
2100812,23,0,0,0,0,0,0,25
2100813,20,0,0,0,0,0,0,24
2100814,0,0,0,0,0,0,0,0
2100815,21,3,0,0,0,0,0,24
2100816,33,0,3,0,0,0,0,36
2100818,84,4,3,0,0,0,0,90
2100820,37,4,5,0,0,0,4,46
2100821,37,0,3,0,0,0,0,44
2100822,16,5,0,0,0,0,0,14
2100823,38,0,0,0,0,0,0,45
2100824,25,7,0,0,0,0,0,33
2100825,11,0,3,0,0,0,0,16
2100826,24,9,0,0,0,0,0,35
2100827,25,3,3,0,0,0,0,32
2100828,35,0,0,0,0,0,0,37
2100829,25,0,4,0,0,0,0,29
2100830,31,4,3,0,0,0,0,40
2100831,29,0,0,0,0,0,0,27
2100832,20,3,7,0,0,0,0,28
2100833,29,0,3,0,0,0,0,33
2100834,23,0,0,0,0,0,0,25
2100835,51,4,5,0,0,0,0,61
2100836,60,8,0,0,0,0,0,65
2100837,77,6,7,0,0,0,0,90
2100838,21,0,0,0,0,0,0,23
2100839,0,0,0,0,0,0,0,0
2100840,31,0,6,0,0,0,0,35
2100841,39,3,3,0,0,0,0,40
2100842,34,3,0,0,0,0,0,31
2100843,22,0,0,0,0,0,0,27
2100844,64,0,3,0,0,0,0,74
2100845,20,4,0,0,0,0,0,21
2100901,59,4,0,0,0,0,0,72
2100902,34,0,0,0,0,0,0,32
2100903,53,0,3,0,0,0,0,56
2100904,34,3,3,0,0,0,0,36
2100905,17,5,0,0,0,0,0,24
2100906,25,3,0,0,0,0,0,34
2100907,39,3,0,0,0,0,0,39
2100908,31,0,0,0,0,0,0,36
2100909,40,4,0,0,0,0,0,45
2100910,36,0,0,0,0,0,0,39
2100911,41,0,3,0,0,0,0,48
2100912,34,0,3,0,0,0,0,39
2100913,48,3,3,0,0,0,0,51
2100914,24,0,0,0,0,0,0,24
2100915,23,4,3,0,0,0,0,24
2100916,29,3,0,3,0,0,0,28
2100917,59,3,4,0,0,0,0,61
2101001,43,4,0,0,0,0,0,52
2101002,33,3,4,0,0,0,0,41
2101003,18,0,3,0,0,0,0,21
2101004,30,3,3,3,0,0,0,36
2101005,6,0,0,0,0,0,0,14
2101006,41,3,3,3,0,0,0,51
2101007,39,3,0,0,0,0,0,42
2101008,46,0,3,0,0,0,0,51
2101009,19,0,0,0,0,0,0,22
2101010,22,6,0,0,0,0,0,27
2101011,37,4,0,0,0,0,0,43
2101012,19,7,0,0,0,0,3,27
2101013,23,4,3,3,0,0,0,30
2101014,28,9,0,0,0,0,0,35
2101015,26,3,3,0,0,0,0,34
2101016,25,0,0,0,0,0,0,24
2101017,28,0,3,0,0,0,0,32
2101018,35,3,3,0,0,0,0,33
2101021,16,3,0,0,0,0,0,22
2101022,9,0,3,0,0,0,0,10
2101023,15,0,3,0,0,0,0,24
2101024,29,3,3,0,0,0,0,33
2101025,36,0,0,0,0,0,0,32
2101101,45,7,3,0,0,0,0,56
2101102,25,0,0,0,0,0,0,22
2101103,23,3,0,0,0,0,0,31
2101104,14,0,3,0,0,0,0,24
2101105,17,0,0,0,0,0,0,17
2101106,25,0,0,0,0,0,0,31
2101107,51,0,0,0,0,0,0,51
2101108,7,0,0,0,0,0,0,13
2101109,29,4,0,0,0,0,0,30
2101110,37,4,3,0,0,0,0,50
2101111,25,3,0,0,0,0,0,25
2101112,40,4,0,0,0,0,0,41
2101113,47,0,0,0,0,0,0,52
2101114,30,0,0,0,0,0,0,29
2101115,31,0,3,0,0,0,0,29
2101116,24,0,0,0,0,0,0,27
2101117,18,0,0,0,0,0,0,25
2101118,23,0,0,0,0,0,0,23
2101119,32,3,0,0,0,0,0,35
2101120,31,3,0,0,0,0,0,37
2101121,29,0,0,0,0,0,0,34
2101122,39,8,0,0,0,0,3,49
2101123,15,0,0,0,0,0,0,16
2101124,10,4,3,0,0,0,0,18
2101125,32,0,3,0,0,0,0,33
2101201,35,3,0,0,0,0,0,40
2101202,16,0,0,0,0,0,0,23
2101203,54,7,3,0,0,0,0,70
2101204,20,3,0,0,0,0,0,22
2101205,43,0,0,0,0,0,0,46
2101206,31,0,0,4,0,0,0,40
2101207,28,3,0,0,0,0,0,35
2101208,35,0,0,0,0,0,0,35
2101209,41,4,0,0,0,0,0,42
2101210,55,0,0,0,0,0,0,57
2101211,35,0,3,0,0,0,0,34
2101212,28,0,0,0,0,0,0,28
2101213,38,6,0,0,0,0,0,51
2101214,45,8,3,0,0,0,0,51
2101215,15,3,0,0,0,0,0,20
2101216,40,5,3,0,0,0,0,47
2101217,49,0,3,0,0,0,0,50
2101301,21,8,3,0,0,0,0,29
2101302,27,0,0,0,0,0,0,28
2101303,22,3,0,0,0,0,0,27
2101304,35,0,0,0,0,0,0,34
2101305,30,0,3,0,0,0,0,36
2101306,22,0,0,0,0,0,0,19
2101307,18,0,0,0,0,0,0,16
2101308,42,4,0,0,0,0,0,46
2101309,17,0,0,0,0,0,0,18
2101310,11,3,0,0,0,0,0,16
2101401,29,5,3,0,0,0,0,34
2101402,13,0,0,3,0,0,0,20
2101403,40,3,3,0,0,0,0,51
2101404,32,3,6,0,0,0,0,39
2101405,31,3,0,0,0,0,0,36
2101406,36,0,0,0,0,0,0,35
2101407,31,9,3,0,0,0,0,36
2101408,48,3,0,0,0,0,0,56
2101409,21,3,0,0,0,0,0,29
2101410,16,4,0,0,0,0,0,19
2101411,25,0,3,3,0,0,0,32
2101412,24,0,0,0,0,0,0,21
2101413,0,0,0,0,0,0,0,0
2101501,57,13,3,0,0,0,0,73
2101502,35,0,7,0,0,0,0,35
2101503,57,8,0,0,0,0,0,62
2101504,17,4,0,0,0,0,0,20
2101505,25,10,3,3,0,0,0,40
2101506,22,3,3,0,0,0,0,29
2101507,62,8,0,0,0,0,0,71
2101508,31,3,0,0,0,0,0,32
2101509,56,5,4,0,0,0,0,64
2101510,28,0,0,0,0,0,0,27
2101511,17,4,3,0,0,0,0,26
2101512,28,7,4,0,0,0,0,37
2101601,16,0,0,0,0,0,0,13
2101602,28,5,3,0,0,0,0,36
2101603,22,8,0,0,0,0,0,29
2101604,24,5,0,0,0,0,0,31
2101605,9,3,0,0,0,0,0,12
2101606,21,0,0,0,0,0,0,25
2101607,35,3,5,0,0,0,0,43
2101608,21,3,0,0,0,0,0,25
2101609,15,0,3,0,0,0,0,22
2101610,30,3,4,0,0,0,0,34
2101611,17,4,0,0,0,0,0,25
2101612,38,3,0,0,0,0,0,48
2101613,32,6,0,0,0,0,0,35
2101614,55,4,3,0,0,0,0,65
2101615,8,0,0,0,0,0,0,8
2101616,26,0,3,0,0,0,0,33
2101617,22,3,3,0,0,0,0,24
2101618,7,0,3,0,0,0,0,14
2101619,36,6,0,0,0,0,0,41
2101620,16,0,3,0,0,0,0,24
2101621,25,0,0,0,0,0,0,28
2101701,23,3,0,0,0,0,0,24
2101702,31,3,3,0,0,0,0,38
2101703,26,3,0,0,0,0,0,27
2101704,21,7,0,0,0,0,0,29
2101705,9,3,5,0,0,0,0,17
2101706,26,0,7,0,0,0,0,31
2101707,28,3,0,0,0,0,0,29
2101708,16,4,4,0,0,0,3,23
2101709,33,3,0,0,0,0,0,40
2101710,38,5,3,3,0,0,0,50
2101711,30,0,3,0,0,0,0,41
2101712,41,5,0,0,0,0,0,43
2101713,17,4,0,0,0,0,0,21
2101714,30,3,0,0,0,0,0,34
2101715,26,3,3,0,0,0,0,27
2101801,28,0,3,0,0,0,0,30
2101802,12,0,0,0,0,0,0,21
2101803,29,3,0,0,0,0,0,34
2101804,15,3,0,0,0,0,0,19
2101805,28,0,0,0,0,0,0,30
2101806,26,3,3,0,0,0,0,34
2101807,29,5,0,0,0,0,0,44
2101808,28,4,0,0,0,0,0,27
2101809,22,0,0,0,0,0,0,26
2101810,14,3,3,0,0,0,0,22
2101811,13,0,3,0,0,0,0,18
2101812,10,0,3,0,0,0,0,14
2101813,39,3,0,0,0,0,0,42
2101814,19,3,0,0,0,0,0,22
2101815,41,3,0,0,0,0,0,38
2101816,29,3,3,0,0,0,0,33
2101817,30,8,0,0,0,0,0,42
2101818,23,4,0,0,0,0,4,28
2101819,15,3,0,0,0,0,0,19
2101820,3,0,0,0,0,0,0,7
2101821,20,0,0,0,0,0,0,24
2101822,30,3,0,0,0,0,0,33
2101823,31,0,0,0,0,0,0,35
2101824,41,4,0,0,0,0,0,48
2101825,22,0,3,0,0,0,0,23
2101826,22,0,0,0,0,0,0,24
2101827,43,3,0,0,0,0,0,46
2101828,25,0,0,0,0,0,0,20
2101829,15,0,3,0,0,0,0,20
2101830,46,5,3,0,0,0,0,59
2101831,36,3,4,0,0,0,0,44
2101832,27,0,0,0,0,0,0,28
2101833,32,3,0,0,0,0,0,45
2101834,28,0,0,0,0,0,0,34
2101835,31,0,0,0,0,0,0,31
2101836,13,0,0,0,0,0,0,20
2101837,25,3,3,0,0,0,0,30
2101838,15,4,0,0,0,0,0,22
2101901,28,4,4,0,0,0,0,32
2101902,34,3,10,0,0,0,0,54
2101903,16,0,3,0,0,0,0,21
2101904,33,3,5,0,0,0,0,43
2101905,30,0,3,0,0,0,0,37
2101906,15,0,0,0,0,0,0,13
2101907,80,9,9,0,0,0,0,99
2101908,33,6,0,0,0,0,0,37
2101909,46,3,3,0,0,0,0,52
2101910,32,4,0,0,0,0,0,35
2101911,18,0,0,0,0,0,0,21
2101912,81,15,22,0,0,0,0,119
2101913,32,3,0,3,0,0,0,39
2101914,22,4,0,0,0,0,0,30
2101915,36,0,0,0,0,0,0,40
2101916,14,3,0,0,0,0,0,21
2101917,11,0,0,0,0,0,0,13
2101918,23,0,0,0,0,0,0,30
2101919,37,6,4,3,0,0,0,45
2101920,89,9,3,0,0,0,0,107
2101921,42,0,3,0,0,0,0,49
2101922,60,3,4,3,0,0,0,68
2101923,27,0,0,0,0,0,0,25
2101924,29,0,3,0,0,0,0,32
2102001,16,0,0,0,0,0,0,16
2102002,19,0,0,0,0,0,0,25
2102003,20,0,0,0,0,0,0,24
2102004,25,3,3,0,0,0,0,28
2102005,21,0,0,0,0,0,0,28
2102006,35,0,0,0,0,0,0,38
2102007,16,4,0,0,0,0,0,17
2102008,20,0,0,0,0,0,0,22
2102009,27,0,0,0,0,0,0,35
2102010,49,3,0,0,0,0,0,48
2102011,69,7,3,0,0,0,0,78
2102012,29,0,7,0,0,0,0,31
2102013,24,0,0,0,0,0,0,25
2102014,25,0,3,0,0,0,0,32
2102015,24,0,3,0,0,0,0,27
2102016,17,4,0,0,0,0,0,17
2102017,25,0,0,0,0,0,0,28
2102018,41,3,0,0,0,0,0,42
2102019,39,6,10,0,0,0,0,52
2102020,22,3,0,0,0,0,0,29
2102021,55,0,0,0,0,0,0,55
2102022,23,3,0,0,0,0,0,23
2102023,14,0,0,0,0,0,0,17
2102024,21,3,0,0,0,0,0,26
2102025,46,4,3,0,0,0,0,56
2102026,31,6,0,0,0,0,0,34
2102027,11,0,0,0,0,0,0,11
2102028,35,3,0,0,0,0,0,40
2102029,28,0,0,0,0,0,0,33
2102030,37,3,0,0,0,0,0,38
2102031,34,0,3,0,0,0,0,38
2102032,30,0,0,0,0,0,0,34
2102033,28,4,0,0,0,0,0,37
2102034,42,7,0,0,0,0,0,47
2102035,35,0,0,0,0,0,0,37
2102036,33,4,3,0,0,0,0,39
2102037,0,0,0,0,0,0,0,0
2102038,13,3,0,0,0,0,0,16
2102039,3,0,0,0,0,0,0,3
2102101,30,0,3,0,0,0,0,33
2102102,38,3,4,0,0,0,0,44
2102103,29,0,3,0,0,0,0,35
2102104,35,4,0,0,0,0,0,45
2102105,25,3,0,0,0,0,0,26
2102106,16,0,0,0,0,0,0,13
2102107,35,3,4,0,0,0,0,40
2102108,5,0,0,0,0,0,0,13
2102109,28,9,0,0,0,0,0,35
2102110,53,7,0,0,0,0,0,62
2102111,43,0,0,0,0,0,0,44
2102112,32,3,0,0,0,0,0,39
2102113,21,0,0,0,0,0,0,23
2102114,44,0,0,0,0,0,0,45
2102115,54,3,3,0,0,0,0,59
2102116,29,5,0,0,0,0,0,32
2102117,35,4,0,0,0,0,0,40
2102118,42,4,4,0,0,0,0,48
2102119,37,4,3,0,0,0,0,43
2102120,27,3,0,0,0,0,0,26
2102121,8,0,0,0,0,0,0,8
2102122,30,0,0,0,0,0,0,30
2102123,0,0,0,0,0,0,0,0
2102124,0,0,0,0,0,0,0,0
2102125,28,4,0,0,0,0,0,37
2102126,38,6,0,0,0,0,0,44
2102127,0,0,0,0,0,0,0,0
2102201,25,4,4,0,0,0,0,29
2102202,38,0,3,0,0,0,0,45
2102203,21,3,0,0,0,0,0,21
2102204,37,4,4,0,0,0,0,43
2102205,37,5,0,0,0,0,0,43
2102206,32,0,0,0,0,0,0,31
2102208,40,0,3,0,0,0,0,45
2102209,34,9,4,0,0,0,0,45
2102210,36,4,0,0,0,0,0,38
2102211,45,3,3,0,0,0,0,45
2102212,43,3,5,0,0,0,0,56
2102213,8,0,0,0,0,0,0,12
2102214,26,3,0,0,0,0,0,27
2102215,19,3,3,0,0,0,0,21
2102216,79,11,12,0,0,0,0,96
2102217,26,6,0,0,0,0,0,39
2102218,45,0,4,0,0,0,0,54
2102219,29,3,0,0,0,0,0,29
2102220,4,0,0,0,0,0,0,9
2102221,14,0,0,0,0,0,0,16
2102222,80,11,7,0,0,0,0,98
2102223,36,12,3,0,0,0,0,45
2102224,35,4,0,0,0,0,0,46
2102225,50,6,0,0,0,0,0,58
2102226,29,3,0,0,0,0,0,33
2102227,45,5,5,0,0,0,0,52
2102228,41,3,0,0,0,0,0,40
2102229,58,3,0,0,0,0,0,63
2102230,17,3,0,0,0,0,0,19
2102231,30,3,0,0,0,0,0,34
2102232,33,0,3,0,0,0,0,43
2102233,32,3,4,0,0,0,0,41
2102234,21,3,0,0,0,0,0,30
2102235,37,3,3,0,0,0,0,45
2102236,46,9,8,3,0,0,0,65
2102237,46,6,0,0,0,0,0,51
2102238,31,3,3,0,0,0,0,35
2102239,32,9,0,0,0,0,0,34
2102240,14,0,3,0,0,0,0,15
2102241,45,0,3,0,0,0,0,48
2102242,12,0,3,0,0,0,0,18
2102243,19,0,3,0,0,0,0,20
2102244,38,0,0,0,0,0,0,41
2102245,101,7,10,0,0,0,0,120
2102301,59,12,0,0,0,0,0,74
2102302,85,6,3,0,0,0,0,100
2102305,87,0,4,0,0,0,0,94
2102306,44,0,0,0,0,0,0,50
2102307,45,4,0,0,0,0,0,53
2102308,80,8,4,0,0,0,0,95
2102309,50,3,4,0,0,0,0,57
2102310,108,4,3,0,0,0,0,114
2102311,110,5,6,0,0,0,0,120
2102312,71,4,3,0,0,0,0,79
2102401,24,0,0,0,0,0,0,24
2102402,54,3,0,0,0,0,0,57
2102403,23,7,0,0,0,0,0,27
2102405,104,8,4,0,0,0,0,113
2102407,80,4,0,0,0,0,0,83
2102408,89,10,4,0,0,0,0,100
2102409,88,9,3,0,0,0,0,97
2102410,120,3,3,0,0,0,0,121
2102411,26,3,0,0,0,0,0,35
2102412,65,8,0,0,0,0,0,69
2102413,49,3,0,0,0,0,0,51
2102414,51,3,4,0,0,0,0,58
2102415,26,0,5,0,0,0,0,31
2102417,0,0,0,0,0,0,0,0
2102418,102,6,0,0,0,0,0,114
2102419,66,3,4,0,0,0,0,72
2102420,110,4,3,0,0,0,0,125
2102421,64,3,3,0,0,0,0,69
2102422,30,0,0,0,0,0,0,32
2102501,61,6,4,0,0,0,0,73
2102502,58,4,0,0,0,0,0,61
2102503,73,3,0,0,0,0,0,81
2102504,20,3,3,0,0,0,0,27
2102505,25,0,0,0,0,0,0,31
2102506,17,0,0,0,0,0,0,22
2102507,0,0,0,0,0,0,0,0
2102509,52,9,3,3,0,0,0,63
2102510,46,9,3,0,0,0,0,64
2102511,21,3,0,0,0,0,0,22
2102512,56,6,3,0,0,0,0,69
2102513,105,6,6,3,0,0,0,124
2102514,51,8,0,0,0,0,0,67
2102515,34,4,3,0,0,0,0,34
2102516,72,9,11,0,0,0,0,92
2102517,78,13,3,0,0,0,0,94
2102518,170,19,17,0,0,0,3,208
2102519,35,3,3,0,0,0,0,39
2102520,55,4,3,0,0,0,0,64
2102521,61,0,3,0,0,0,0,76
2102522,39,6,3,0,0,0,0,46
2102523,50,5,0,0,0,0,0,60
2102601,49,0,0,0,0,0,0,52
2102602,39,0,3,0,0,0,0,45
2102603,67,4,5,0,0,0,0,77
2102604,53,8,0,0,0,0,0,64
2102605,41,0,3,0,0,0,0,39
2102606,23,0,3,0,0,0,0,32
2102607,48,4,3,0,0,0,0,52
2102608,114,17,10,0,0,0,0,138
2102609,29,0,0,0,0,0,0,30
2102610,32,3,3,0,0,0,0,39
2102611,67,4,0,0,0,0,0,72
2102612,37,4,3,0,0,0,0,42
2102613,89,0,8,0,0,0,0,93
2102614,29,3,3,0,0,0,0,39
2102615,30,4,0,0,0,0,0,29
2102616,40,0,0,0,0,0,0,43
2102617,14,0,0,0,0,0,0,17
2102618,41,0,0,0,0,0,0,41
2102619,45,4,0,0,0,0,0,47
2102701,21,0,0,0,0,0,0,20
2102702,38,0,0,0,0,0,0,37
2102703,0,0,0,0,0,0,0,0
2102704,23,5,4,0,0,0,0,28
2102705,28,4,3,0,0,0,0,31
2102706,35,0,4,0,0,0,0,39
2102707,31,4,0,0,0,0,0,33
2102708,76,6,4,0,0,0,0,84
2102709,37,0,0,0,0,0,0,40
2102710,29,0,0,0,0,0,0,30
2102711,20,0,0,0,0,0,0,20
2102712,30,0,0,0,0,0,0,26
2102713,37,3,3,0,0,0,0,40
2102714,26,3,3,0,0,0,0,35
2102715,31,3,0,0,0,0,0,35
2102716,13,0,0,0,0,0,0,16
2102717,31,0,0,0,0,0,0,28
2102718,27,3,0,0,0,0,0,31
2102719,38,0,0,0,0,0,0,40
2102720,14,3,0,0,0,0,0,22
2102721,59,3,3,0,0,0,0,61
2102722,18,0,0,0,0,0,0,19
2102723,17,0,0,0,0,0,0,19
2102724,23,0,0,0,0,0,0,26
2102725,34,0,0,3,0,0,0,36
2102726,41,0,0,0,0,0,0,46
2102727,36,3,4,0,0,0,0,45
2102801,25,3,4,0,0,0,0,29
2102802,47,4,0,0,0,0,0,49
2102803,34,4,0,0,0,0,0,36
2102804,17,3,0,0,0,0,0,26
2102805,34,4,0,0,0,0,0,31
2102806,19,0,0,0,0,0,0,22
2102807,35,0,0,0,0,0,0,34
2102808,42,3,5,0,0,0,0,46
2102809,7,0,0,0,0,0,0,13
2102810,20,3,0,0,0,0,0,31
2102811,32,3,0,0,0,0,0,31
2102812,15,0,0,0,0,0,0,14
2102813,29,3,3,0,0,0,0,36
2102814,27,3,0,0,0,0,0,37
2102815,41,3,0,0,0,0,0,42
2102816,40,0,3,0,0,0,0,37
2102817,10,0,0,0,0,0,0,10
