author_name,author_links,nationality,nationality_llm
Jhumpa Lahiri,https://en.wikipedia.org/wiki/Jhumpa_Lahiri,".mw-parser-output .hlist dl,.mw-parser-output .hlist ol,.mw-parser-output .hlist ul{margin:0;padding:0}.mw-parser-output .hlist dd,.mw-parser-output .hlist dt,.mw-parser-output .hlist li{margin:0;display:inline}.mw-parser-output .hlist.inline,.mw-parser-output .hlist.inline dl,.mw-parser-output .hlist.inline ol,.mw-parser-output .hlist.inline ul,.mw-parser-output .hlist dl dl,.mw-parser-output .hlist dl ol,.mw-parser-output .hlist dl ul,.mw-parser-output .hlist ol dl,.mw-parser-output .hlist ol ol,.mw-parser-output .hlist ol ul,.mw-parser-output .hlist ul dl,.mw-parser-output .hlist ul ol,.mw-parser-output .hlist ul ul{display:inline}.mw-parser-output .hlist .mw-empty-li{display:none}.mw-parser-output .hlist dt::after{content:"": ""}.mw-parser-output .hlist dd::after,.mw-parser-output .hlist li::after{content:"" · "";font-weight:bold}.mw-parser-output .hlist dd:last-child::after,.mw-parser-output .hlist dt:last-child::after,.mw-parser-output .hlist li:last-child::after{content:none}.mw-parser-output .hlist dd dd:first-child::before,.mw-parser-output .hlist dd dt:first-child::before,.mw-parser-output .hlist dd li:first-child::before,.mw-parser-output .hlist dt dd:first-child::before,.mw-parser-output .hlist dt dt:first-child::before,.mw-parser-output .hlist dt li:first-child::before,.mw-parser-output .hlist li dd:first-child::before,.mw-parser-output .hlist li dt:first-child::before,.mw-parser-output .hlist li li:first-child::before{content:"" ("";font-weight:normal}.mw-parser-output .hlist dd dd:last-child::after,.mw-parser-output .hlist dd dt:last-child::after,.mw-parser-output .hlist dd li:last-child::after,.mw-parser-output .hlist dt dd:last-child::after,.mw-parser-output .hlist dt dt:last-child::after,.mw-parser-output .hlist dt li:last-child::after,.mw-parser-output .hlist li dd:last-child::after,.mw-parser-output .hlist li dt:last-child::after,.mw-parser-output .hlist li li:last-child::after{content:"")"";font-weight:normal}.mw-parser-output .hlist ol{counter-reset:listitem}.mw-parser-output .hlist ol>li{counter-increment:listitem}.mw-parser-output .hlist ol>li::before{content:"" ""counter(listitem)""\a0 ""}.mw-parser-output .hlist dd ol>li:first-child::before,.mw-parser-output .hlist dt ol>li:first-child::before,.mw-parser-output .hlist li ol>li:first-child::before{content:"" (""counter(listitem)""\a0 ""}IndianAmerican",American
Michelle Obama,https://en.wikipedia.org/wiki/Michelle_Obama,American,American
Douglas Adams,https://en.wikipedia.org/wiki/Douglas_Adams,English,British
Mitch Albom,https://en.wikipedia.org/wiki/Mitch_Albom,American,American
Erskine Caldwell,https://en.wikipedia.org/wiki/Erskine_Caldwell,American,American
Madeleine L'Engle,https://en.wikipedia.org/wiki/Madeleine_L%27Engle,American,American
Nelson Mandela,https://en.wikipedia.org/wiki/Nelson_Mandela,South African, South African
Ernest Hemingway,https://en.wikipedia.org/wiki/Ernest_Hemingway,American,American
Raymond Moody,https://en.wikipedia.org/wiki/Raymond_Moody,American,American
Michael Ende,https://en.wikipedia.org/wiki/Michael_Ende,German,German
Grace Metalious,https://en.wikipedia.org/wiki/Grace_Metalious,American,American
Lois Lowry,https://en.wikipedia.org/wiki/Lois_Lowry,American,American
Jojo Moyes,https://en.wikipedia.org/wiki/Jojo_Moyes,English,British
Haruki Murakami,https://en.wikipedia.org/wiki/Haruki_Murakami,Japanese,Japanese
Albert Camus,https://en.wikipedia.org/wiki/Albert_Camus,French,French
Osamu Dazai,https://en.wikipedia.org/wiki/Osamu_Dazai,Japanese,Japanese
Viktor Frankl,https://en.wikipedia.org/wiki/Viktor_Frankl,Austrian,Austrian
Mark Manson,https://en.wikipedia.org/wiki/Mark_Manson,American,American
Dante Alighieri,https://en.wikipedia.org/wiki/Dante_Alighieri,Florentine,Italian
Kahlil Gibran,https://en.wikipedia.org/wiki/Kahlil_Gibran,Lebanese and American,Lebanese
John Boyne,https://en.wikipedia.org/wiki/John_Boyne,Irish,Irish
William Peter Blatty,https://en.wikipedia.org/wiki/William_Peter_Blatty,American,American
Julia Donaldson,https://en.wikipedia.org/wiki/Julia_Donaldson,English,British
E. L. James,https://en.wikipedia.org/wiki/E._L._James,British,British
Erskine Caldwell,https://en.wikipedia.org/wiki/Erskine_Caldwell,American,American
Astrid Lindgren,https://en.wikipedia.org/wiki/Astrid_Lindgren,Swedish,Swedish
Dr. Seuss,https://en.wikipedia.org/wiki/Dr._Seuss,American,American
Andrew Morton,https://en.wikipedia.org/wiki/Andrew_Morton_(writer),English,British
Kathryn Stockett,https://en.wikipedia.org/wiki/Kathryn_Stockett,American,American
Joseph Heller,https://en.wikipedia.org/wiki/Joseph_Heller,American,American
Albert Camus,https://en.wikipedia.org/wiki/Albert_Camus,French,French
Ken Follett,https://en.wikipedia.org/wiki/Ken_Follett,Welsh,Welsh
Alice Sebold,https://en.wikipedia.org/wiki/Alice_Sebold,American,American
Jung Chang,https://en.wikipedia.org/wiki/Jung_Chang,British and Chinese[1],Chinese-born British
Tomás Eloy Martínez,https://en.wikipedia.org/wiki/Tom%C3%A1s_Eloy_Mart%C3%ADnez,99999,Argentinian
Elie Wiesel,https://en.wikipedia.org/wiki/Elie_Wiesel,American,Romanian-American
Yu Dan,https://en.wikipedia.org/wiki/Yu_Dan_(academic),99999,Chinese
Marabel Morgan,https://en.wikipedia.org/wiki/Marabel_Morgan,American,American
Taichi Sakaiya,https://en.wikipedia.org/w/index.php?title=Taichi_Sakaiya&action=edit&redlink=1,99999,Japanese
Xue Muqiao,https://en.wikipedia.org/wiki/Xue_Muqiao,Chinese,Chinese
Richard Nelson Bolles,https://en.wikipedia.org/wiki/Richard_Nelson_Bolles,No nationality matched,American
Pierre Dukan,https://en.wikipedia.org/wiki/Pierre_Dukan,French,French
Alex Comfort,https://en.wikipedia.org/wiki/Alex_Comfort,British,British
Robert L. Short,https://en.wikipedia.org/wiki/Robert_L._Short,99999,American
Yann Martel,https://en.wikipedia.org/wiki/Yann_Martel,Canadian,Canadian
Patricia Nell Warren,https://en.wikipedia.org/wiki/Patricia_Nell_Warren,American,American
Eliyahu M. Goldratt,https://en.wikipedia.org/wiki/Eliyahu_M._Goldratt,Israeli,Israeli
Ray Bradbury,https://en.wikipedia.org/wiki/Ray_Bradbury,American,American
Frank McCourt,https://en.wikipedia.org/wiki/Frank_McCourt,American,Irish-American
Mohandas Karamchand Gandhi,https://en.wikipedia.org/wiki/Mohandas_Karamchand_Gandhi,British,Indian
Helen Fielding,https://en.wikipedia.org/wiki/Helen_Fielding,British,English
Colleen Hoover,https://en.wikipedia.org/wiki/Colleen_Hoover,American,American
J. K. Rowling,https://en.wikipedia.org/wiki/J._K._Rowling,British,British
R. L. Stine,https://en.wikipedia.org/wiki/R._L._Stine,American,American
Erle Stanley Gardner,https://en.wikipedia.org/wiki/Erle_Stanley_Gardner,American,American
Jeff Kinney,https://en.wikipedia.org/wiki/Jeff_Kinney_(writer),No nationality matched,American
Stan and Jan Berenstain,https://en.wikipedia.org/wiki/Stan_and_Jan_Berenstain,American,American
Various authors,https://en.wikipedia.orgNA,99999,"The term ""Various Authors"" is typically used to refer to works created by multiple authors whose individual contributions may not be separately identified. It is not a nationality."
Francine Pascal and ghostwriters,https://en.wikipedia.org/wiki/Francine_Pascal,American,American
"Wilbert Awdry, Christopher Awdry",https://en.wikipedia.org/wiki/Wilbert_Awdry,English,British
Enid Blyton,https://en.wikipedia.org/wiki/Enid_Blyton,English,British
Various authors as Carolyn Keene,https://en.wikipedia.org/wiki/Carolyn_Keene,No nationality matched,"Carolyn Keene is actually a pseudonym used by numerous authors over the years. The name is most famously associated with the Nancy Drew Mystery Stories, which were created by Edward Stratemeyer and written by multiple ghostwriters, primarily Mildred Wirt Benson in the early books, under the Stratemeyer Syndicate."
Frédéric Dard,https://en.wikipedia.org/wiki/Fr%C3%A9d%C3%A9ric_Dard,99999,French
Dan Brown,https://en.wikipedia.org/wiki/Dan_Brown,American,American
Elisabetta Dami,https://en.wikipedia.org/wiki/Elisabetta_Dami,Italian,Italian
Rick Riordan,https://en.wikipedia.org/wiki/Rick_Riordan,American,American
Ann Martin,https://en.wikipedia.org/wiki/Ann_M._Martin,American,American
Stephenie Meyer,https://en.wikipedia.org/wiki/Stephenie_Meyer,American,American
Various authors,https://en.wikipedia.orgNA,99999,"Many authors worldwide come from diverse nationalities. Here are a few notable ones:

- Haruki Murakami (Japanese)
- Chimamanda Ngozi Adichie (Nigerian)
- Gabriel García Márquez (Colombian)
- J.K. Rowling (British)
- Margaret Atwood (Canadian)
- Khaled Hosseini (Afghan-American)"
Mercer Mayer,https://en.wikipedia.org/wiki/Mercer_Mayer,American,American
Beatrix Potter,https://en.wikipedia.org/wiki/Beatrix_Potter,English,British
E. L. James,https://en.wikipedia.org/wiki/E._L._James,British,British
Various authors,https://en.wikipedia.orgNA,99999,Multiple nationalities
"Jack Canfield, Mark Victor Hansen",https://en.wikipedia.org/wiki/Jack_Canfield,American,American
Norman Bridwell,https://en.wikipedia.org/wiki/Norman_Bridwell,American,American
Gilbert Patten,https://en.wikipedia.org/wiki/Gilbert_Patten,No nationality matched,American
Clive Cussler,https://en.wikipedia.org/wiki/Clive_Cussler,American,American
Eiji Yoshikawa,https://en.wikipedia.org/wiki/Eiji_Yoshikawa,Japanese,Japanese
C. S. Lewis,https://en.wikipedia.org/wiki/C._S._Lewis,British,British
"Roger Hargreaves, Adam Hargreaves",https://en.wikipedia.org/wiki/Roger_Hargreaves,British,British
Gérard de Villiers,https://en.wikipedia.org/wiki/G%C3%A9rard_de_Villiers,French,French
Suzanne Collins,https://en.wikipedia.org/wiki/Suzanne_Collins,American,American
Ian Fleming,https://en.wikipedia.org/wiki/Ian_Fleming,British,British
"Gilbert Delahaye, Marcel Marlier",https://en.wikipedia.org/wiki/Gilbert_Delahaye,Belgian,Belgian
"Stieg Larsson, David Lagercrantz",https://en.wikipedia.org/wiki/Stieg_Larsson,Swedish,Swedish
George R. R. Martin,https://en.wikipedia.org/wiki/George_R._R._Martin,American,American
"Robert Jordan, Brandon Sanderson",https://en.wikipedia.org/wiki/Robert_Jordan,American,American
Terry Pratchett,https://en.wikipedia.org/wiki/Terry_Pratchett,English,British
Dick Bruna,https://en.wikipedia.org/wiki/Dick_Bruna,Dutch,Dutch
James Patterson,https://en.wikipedia.org/wiki/James_Patterson,American,American
Takashi Yanase,https://en.wikipedia.org/wiki/Takashi_Yanase,Japanese,Japanese
Dav Pilkey,https://en.wikipedia.org/wiki/Dav_Pilkey,American,American
R. L. Stine,https://en.wikipedia.org/wiki/R._L._Stine,American,American
Astrid Lindgren,https://en.wikipedia.org/wiki/Astrid_Lindgren,Swedish,Swedish
Anne Rice,https://en.wikipedia.org/wiki/Anne_Rice,American,American
Jean Bruce,https://en.wikipedia.org/wiki/Jean_Bruce,99999,French
A. A. Milne,https://en.wikipedia.org/wiki/A._A._Milne,English,British
Mary Pope Osborne,https://en.wikipedia.org/wiki/Mary_Pope_Osborne,American,American
"Tim LaHaye, Jerry B. Jenkins",https://en.wikipedia.org/wiki/Tim_LaHaye,American,American
Lemony Snicket aka Daniel Handler,https://en.wikipedia.org/wiki/Lemony_Snicket,99999,American
Laura Ingalls Wilder,https://en.wikipedia.org/wiki/Laura_Ingalls_Wilder,No nationality matched,American
"Alf Wight, as James Herriot",https://en.wikipedia.org/wiki/James_Herriot,British,British
Lee Child,https://en.wikipedia.org/wiki/Lee_Child,American,British
Joanna Cole,https://en.wikipedia.org/wiki/Joanna_Cole_(author),American,American
Martin Handford,https://en.wikipedia.org/wiki/Martin_Handford,British,British
John Gray,https://en.wikipedia.org/wiki/John_Gray_(U.S._author),American,American
Various authors as Franklin W. Dixon,https://en.wikipedia.org/wiki/Franklin_W._Dixon,99999,"Franklin W. Dixon is a pen name used by various authors. The Hardy Boys series, for which this pseudonym is most famous, was primarily written by American authors under the direction of Edward Stratemeyer and later under the control of the Stratemeyer Syndicate."
Various authors as Laura Lee Hope,https://en.wikipedia.org/wiki/Laura_Lee_Hope,99999,American
Edgar Rice Burroughs,https://en.wikipedia.org/wiki/Edgar_Rice_Burroughs,No nationality matched,American
Cassandra Clare,https://en.wikipedia.org/wiki/Cassandra_Clare,American,American
Jean M. Auel,https://en.wikipedia.org/wiki/Jean_M._Auel,American,American
Various authors,https://en.wikipedia.orgNA,99999,Unknown
Barbara Park,https://en.wikipedia.org/wiki/Barbara_Park,American,American
Michael Connelly,https://en.wikipedia.org/wiki/Michael_Connelly,American,American
Jo Nesbø,https://en.wikipedia.org/wiki/Jo_Nesb%C3%B8,Norwegian,Norwegian
Erin Hunter,https://en.wikipedia.org/wiki/Erin_Hunter,99999,British
original author: Liu Zhixia [zh],https://en.wikipedia.org/w/index.php?title=Liu_Zhixia&action=edit&redlink=1,99999,Chinese
Yutaka Hara,https://en.wikipedia.org/wiki/Yutaka_Hara,Japanese,Japanese
Michael Bond,https://en.wikipedia.org/wiki/Michael_Bond,English,British
K A Applegate and ghostwriters,https://en.wikipedia.org/wiki/K_A_Applegate,American,American
Veronica Roth,https://en.wikipedia.org/wiki/Veronica_Roth,American,American
Sachiko Kiyono,https://en.wikipedia.org/wiki/Sachiko_Kiyono,99999,Japanese
"Kaoru Kurimoto, Yu Godai",https://en.wikipedia.org/wiki/Kaoru_Kurimoto,Japanese,Japanese
Christopher Paolini,https://en.wikipedia.org/wiki/Christopher_Paolini,American,American
"Robert Kiyosaki, Sharon Lechter",https://en.wikipedia.org/wiki/Robert_Kiyosaki,American,American
Kazuma Kamachi,https://en.wikipedia.org/wiki/Kazuma_Kamachi,Japanese,Japanese
Sōhachi Yamaoka,https://en.wikipedia.org/wiki/S%C5%8Dhachi_Yamaoka,99999,Japanese
Beverly Cleary,https://en.wikipedia.org/wiki/Beverly_Cleary,American,American
Stephen King,https://en.wikipedia.org/wiki/Stephen_King,American,American
Rachel Renée Russell,https://en.wikipedia.org/wiki/Rachel_Renee_Russell,American,American
"Warren Murphy and Richard Sapir, various authors",https://en.wikipedia.org/wiki/Warren_Murphy,American,American
Liu Cixin,https://en.wikipedia.org/wiki/Liu_Cixin,Chinese,Chinese
Jirō Akagawa,https://en.wikipedia.org/wiki/Jir%C5%8D_Akagawa,Japanese,Japanese
Hans Augusto Rey and Margret Rey,https://en.wikipedia.orgcharacter(0),99999,German-American
Terry Brooks,https://en.wikipedia.org/wiki/Terry_Brooks,American,American
Henning Mankell,https://en.wikipedia.org/wiki/Henning_Mankell,Swedish,Swedish
Margit Sandemo,https://en.wikipedia.org/wiki/Margit_Sandemo,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}NorwegianSwedish",Norwegian-Swedish
Terry Goodkind,https://en.wikipedia.org/wiki/Terry_Goodkind,American,American
Diana Gabaldon,https://en.wikipedia.org/wiki/Diana_Gabaldon,American,American
Masamoto Nasu,https://en.wikipedia.org/wiki/Masamoto_Nasu,99999,Japanese
Shōtarō Ikenami,https://en.wikipedia.org/wiki/Sh%C5%8Dtar%C5%8D_Ikenami,99999,Japanese
Various authors,https://en.wikipedia.orgcharacter(0),99999,"The term ""Various authors"" is used to refer to multiple authors from potentially diverse backgrounds and nationalities. Therefore, it does not identify a specific nationality."
Arthur Agatston,https://en.wikipedia.org/wiki/Arthur_Agatston,99999,American
Reki Kawahara,https://en.wikipedia.org/wiki/Reki_Kawahara,Japanese,Japanese
Ryōtarō Shiba,https://en.wikipedia.org/wiki/Ry%C5%8Dtar%C5%8D_Shiba,Japanese,Japanese
Eoin Colfer,https://en.wikipedia.org/wiki/Eoin_Colfer,Ireland,Irish
Brandon Sanderson,https://en.wikipedia.org/wiki/Brandon_Sanderson,American,American
Frank Herbert,https://en.wikipedia.org/wiki/Frank_Herbert,American,American
Lauren Tarshis,https://en.wikipedia.org/wiki/Lauren_Tarshis,American,American
Various authors,https://en.wikipedia.orgcharacter(0),99999,"Various authors come from different nationalities, such as English, American, French, Japanese, and more."
Brian Jacques,https://en.wikipedia.org/wiki/Brian_Jacques,Dutch,British
Lucy Cousins,https://en.wikipedia.org/wiki/Lucy_Cousins,British,British
Various authors,https://en.wikipedia.orgcharacter(0),99999,"The prompt ""Various authors"" is quite broad, so here are the nationalities of some well-known authors:

1. J.K. Rowling - British
2. Gabriel García Márquez - Colombian
3. Haruki Murakami - Japanese
4. Chinua Achebe - Nigerian
5. Agatha Christie - British
6. Leo Tolstoy - Russian
7. Gabriel García Márquez - Colombian
8. Isabel Allende - Chilean-American
9. Stephen King - American
10. Margaret Atwood - Canadian

Each author belongs to their noted nationality, contributing richly to the global landscape of literature."
Kazumasa Hirai,https://en.wikipedia.orgcharacter(0),99999,Japanese
Hiroyuki Itsuki,https://en.wikipedia.org/wiki/Hiroyuki_Itsuki,Japanese,Japanese
Hajime Kanzaka,https://en.wikipedia.org/wiki/Hajime_Kanzaka,Japanese,Japanese
Isaac Asimov,https://en.wikipedia.org/wiki/Isaac_Asimov,American,"American (born in Russia, immigrated to the United States)"
Terry Deary,https://en.wikipedia.org/wiki/Terry_Deary,British,British
Daisy Meadows,https://en.wikipedia.org/wiki/Daisy_Meadows,99999,British
Louis Masterson,https://en.wikipedia.org/wiki/Louis_Masterson,Norwegian,Norwegian
Charlaine Harris,https://en.wikipedia.org/wiki/Charlaine_Harris,American,American
"Lester Dent, various authors",https://en.wikipedia.org/wiki/Lester_Dent,American,American
Nagaru Tanigawa,https://en.wikipedia.org/wiki/Nagaru_Tanigawa,Japanese,Japanese
"Tomiyasu Takahara, Various authors",https://en.wikipedia.orgNA,99999,Japanese
Various authors,https://en.wikipedia.orgNA,99999,Kazuo Ishiguro - British
Shotaro Ikenami,https://en.wikipedia.org/wiki/Shotaro_Ikenami,99999,Japanese
Boris Akunin,https://en.wikipedia.org/wiki/Boris_Akunin,Russian,Russo-Georgian
Anne McCaffrey,https://en.wikipedia.org/wiki/Anne_McCaffrey,American & Irish (naturalised citizen),American-born Irish
Hideyuki Kikuchi,https://en.wikipedia.org/wiki/Hideyuki_Kikuchi,Japanese,Japanese
"Douglas Adams, plus a final book by Eoin Colfer",https://en.wikipedia.org/wiki/Douglas_Adams,English,"Douglas Adams: British
Eoin Colfer: Irish"
