CED_CODE_2016,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_Nthern_Ireland_0_4,M_Nthern_Ireland_5_14,M_Nthern_Ireland_15_24,M_Nthern_Ireland_25_44,M_Nthern_Ireland_45_54,M_Nthern_Ireland_55_64,M_Nthern_Ireland_65_74,M_Nthern_Ireland_75_84,M_Nthern_Ireland_85ov,M_Nthern_Ireland_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot
CED211,0,11,6,54,26,25,28,22,3,182,0,3,3,25,37,79,158,154,52,509,0,21,10,27,9,5,11,0,0,86,0,30,53,138,42,19,5,4,0,297,0,0,0,14,14,9,4,3,0,42,47,121,123,439,179,149,92,37,8,1194,0,0,0,0,6,13,28,12,3,72,0,0,13,29,15,21,8,3,4,84,0,102,159,378,90,32,10,8,0,794,0,7,21,80,0,0,0,0,0,112,0,7,4,22,14,39,75,67,29,260,14,77,82,341,166,142,65,41,4,934,0,3,4,23,13,9,26,7,3,88,9,19,40,137,17,4,3,3,0,228,0,0,3,16,8,8,0,0,0,40,7,25,35,128,40,34,16,7,0,296,0,0,0,24,11,31,29,20,13,141,0,6,8,56,46,66,86,50,19,338,5,53,45,84,31,32,18,12,3,291,0,13,42,134,72,54,23,15,0,355
CED212,7,23,12,84,53,47,52,32,15,325,0,0,6,42,36,50,126,105,17,387,0,3,8,10,5,0,0,0,0,30,0,5,4,16,4,0,0,0,0,24,0,0,0,12,22,17,15,3,0,66,3,7,14,24,25,21,19,7,0,121,0,0,0,0,4,19,25,16,6,68,0,3,7,28,22,25,12,6,0,104,0,0,0,4,3,0,3,6,0,14,0,0,0,7,0,3,0,0,0,13,0,5,3,23,25,71,135,83,28,370,20,94,159,482,260,235,124,53,18,1437,0,5,4,23,26,18,34,20,4,143,0,3,8,21,6,3,3,0,0,47,0,0,0,10,11,7,0,0,0,32,10,20,32,74,34,17,6,0,0,185,0,0,9,36,24,52,34,12,6,180,0,23,10,115,121,147,166,99,42,725,0,3,14,23,11,8,3,0,0,55,3,25,41,116,64,44,27,15,4,346
CED213,0,14,19,55,46,33,43,29,12,246,0,4,0,20,33,110,263,170,77,681,0,3,7,0,3,3,3,0,0,19,0,0,0,3,0,0,3,0,0,12,0,0,0,4,7,4,9,0,0,27,0,0,3,12,4,15,10,5,0,50,0,0,0,0,3,17,55,30,3,111,0,0,0,10,25,19,21,12,0,83,0,0,0,0,0,0,0,0,0,9,0,0,0,5,0,0,0,0,0,7,0,0,3,16,19,97,192,109,31,466,8,40,51,257,216,233,154,61,5,1035,0,3,0,16,17,27,38,16,4,128,0,0,0,3,0,0,0,0,0,5,0,0,0,13,8,3,0,0,0,27,3,24,12,53,5,9,0,0,0,108,0,0,3,9,7,21,14,5,3,67,0,19,21,70,98,129,146,90,28,608,0,4,0,10,3,6,0,0,0,35,0,14,27,73,44,39,46,13,4,257
CED214,0,12,4,177,45,35,23,17,9,328,0,9,9,93,82,182,253,366,164,1151,3,8,11,44,8,0,0,0,0,72,5,6,22,65,5,3,0,0,0,103,4,12,32,236,118,63,58,15,7,539,26,26,48,225,38,30,22,11,0,430,0,0,0,20,40,155,382,263,41,907,0,4,6,55,15,20,3,3,3,106,4,41,47,222,37,4,7,3,0,371,4,7,156,335,6,5,4,0,0,511,0,3,8,31,15,24,34,9,14,140,23,126,167,949,266,150,64,14,4,1759,0,0,0,31,6,10,11,14,3,70,12,24,187,470,14,9,3,0,0,706,0,4,4,21,15,3,0,0,0,43,12,36,88,351,106,101,52,11,3,760,0,0,3,72,21,65,44,21,33,257,0,6,8,86,79,86,59,43,25,391,6,11,9,60,25,18,0,0,0,115,0,11,13,133,35,25,10,3,5,241
CED215,0,6,0,24,14,22,24,20,8,122,0,3,0,6,26,76,131,120,63,436,0,0,0,6,5,0,3,0,0,18,0,3,3,9,0,0,0,0,0,20,0,0,0,4,0,0,3,0,0,14,0,3,8,52,17,10,3,0,0,100,0,0,0,3,3,29,63,23,8,139,0,0,3,5,0,5,5,0,0,14,0,0,0,8,0,0,0,0,0,7,0,0,0,13,0,0,0,0,0,13,0,0,5,17,24,102,243,138,30,565,6,29,50,192,124,169,110,45,6,713,0,0,0,9,6,23,37,12,4,93,0,3,5,17,6,3,0,0,0,35,0,0,3,9,4,3,0,0,0,25,12,34,34,83,25,21,3,3,0,214,0,0,0,14,3,21,17,4,10,73,0,5,4,23,34,86,128,67,9,360,0,7,11,8,3,3,0,0,0,32,0,19,20,37,30,17,15,6,0,147
CED216,3,21,19,205,68,39,27,17,12,407,3,15,11,68,59,73,129,110,76,536,12,54,25,65,39,13,13,0,0,208,3,27,30,56,20,11,0,0,0,151,0,0,0,16,17,21,16,3,3,81,3,7,29,117,64,60,31,15,5,325,0,0,0,4,5,16,16,9,0,44,0,0,7,23,17,12,7,7,0,73,0,0,0,3,3,3,3,3,0,8,0,0,8,46,0,0,0,0,0,53,0,30,7,35,37,24,47,19,11,210,8,110,118,416,289,179,98,30,22,1260,0,3,0,33,16,10,15,9,4,91,0,3,11,37,0,8,3,3,0,65,0,0,0,13,7,3,0,0,0,28,3,17,14,61,19,11,9,0,0,139,0,0,7,58,27,78,134,55,53,413,7,20,29,97,112,102,78,52,18,515,15,61,27,50,22,13,9,10,0,206,5,61,123,326,290,189,116,49,17,1180
CED217,3,10,0,37,16,15,30,14,3,139,3,7,12,65,98,220,247,114,17,784,0,7,7,6,0,0,0,0,0,24,0,9,11,41,6,3,5,0,0,78,3,9,20,108,72,34,26,4,3,288,16,48,38,176,54,43,17,3,0,399,5,15,36,115,165,479,599,203,19,1640,0,7,8,51,26,17,6,0,0,115,3,27,84,131,31,13,3,0,0,296,0,8,23,70,6,4,0,0,0,108,0,7,3,13,11,30,50,21,3,141,74,414,426,669,228,125,57,12,5,2011,0,0,0,7,9,14,20,6,0,59,27,46,99,448,59,42,17,0,0,737,0,0,4,4,3,0,0,0,0,13,17,219,444,1208,641,382,162,26,4,3106,0,0,4,98,62,97,52,15,10,343,3,8,13,43,46,82,76,31,10,302,4,27,22,44,23,24,3,0,0,148,0,18,32,96,44,26,14,4,0,235
CED218,0,9,7,279,24,25,22,17,6,389,0,3,19,133,40,57,90,104,36,488,12,19,27,103,28,13,7,0,0,210,0,8,48,175,18,13,3,0,0,272,0,0,0,21,18,10,14,5,4,71,5,19,104,389,93,117,62,31,9,825,0,0,0,3,6,7,17,8,0,41,0,0,15,70,16,13,10,0,0,129,0,0,7,12,9,3,0,4,0,36,3,0,31,112,3,0,0,0,0,142,0,5,9,48,21,19,35,21,10,168,13,42,143,876,238,164,85,30,15,1602,0,0,3,38,5,6,17,3,0,83,0,3,26,80,7,7,0,0,0,121,0,0,0,18,12,0,3,0,0,36,3,12,23,188,19,19,7,5,0,274,0,5,3,50,11,47,56,37,46,254,0,9,9,128,52,50,51,21,17,334,19,31,60,162,34,21,22,6,0,353,0,9,52,277,84,96,66,29,13,632
CED219,3,14,3,43,25,19,24,20,9,152,0,8,7,34,67,141,185,122,38,591,0,0,3,9,3,0,0,0,0,15,3,10,13,32,14,7,0,0,0,77,3,12,13,54,69,63,33,13,0,251,9,37,58,135,73,97,41,6,0,463,0,0,3,3,10,44,52,23,0,140,0,56,79,402,196,292,149,62,30,1263,0,3,9,28,17,10,4,3,0,74,0,14,23,77,10,4,3,0,0,135,0,3,3,20,19,63,121,69,26,329,68,465,541,942,331,221,82,28,4,2684,0,3,0,15,23,17,20,13,6,94,20,170,196,457,104,41,21,0,0,1024,0,0,3,9,3,6,0,0,0,21,25,170,280,647,306,153,47,17,5,1642,0,5,12,120,63,123,84,18,10,439,0,5,4,57,71,113,110,56,13,435,5,23,32,65,29,39,16,5,0,198,0,21,62,171,114,95,58,18,7,550
CED220,4,16,9,89,37,41,24,19,11,246,0,5,15,60,60,118,226,293,134,911,8,27,14,58,20,6,5,3,0,154,3,36,51,189,41,20,5,5,0,343,0,3,3,37,36,37,32,19,3,161,14,27,94,293,65,77,42,11,4,633,0,0,0,0,8,13,43,37,5,99,0,3,19,97,55,60,66,50,10,355,0,10,62,209,51,10,9,7,0,368,0,5,26,73,6,3,0,0,0,114,0,0,7,19,16,20,36,11,9,126,18,98,140,365,178,135,56,17,5,1009,0,0,0,10,7,8,15,12,3,56,0,11,53,176,13,11,9,0,0,271,0,0,6,11,4,0,0,0,0,21,4,46,74,262,98,71,27,3,3,590,3,0,3,53,26,57,64,28,16,254,3,5,12,64,49,44,46,31,22,275,3,23,24,48,20,17,12,5,0,148,0,42,60,191,132,76,50,19,4,575
CED221,0,3,8,23,12,17,21,6,0,84,0,3,3,15,19,42,170,133,45,427,0,3,4,4,3,4,0,0,0,21,0,3,0,12,0,0,0,0,0,19,0,0,0,0,3,3,0,0,3,17,0,9,0,24,7,10,3,3,0,64,0,0,0,0,3,10,15,5,0,38,0,3,0,12,5,3,3,0,0,21,0,0,3,3,0,0,0,0,0,13,4,10,19,31,0,0,0,0,0,66,0,0,3,16,26,60,153,51,19,329,3,25,48,145,114,109,83,34,12,568,0,0,0,8,3,9,12,6,3,44,0,3,0,21,0,0,0,0,0,25,0,0,0,9,10,4,0,0,0,30,8,35,30,64,15,4,0,0,0,150,0,0,0,7,0,11,15,5,9,44,0,0,6,23,21,67,73,34,25,253,0,3,0,11,4,4,0,0,0,22,0,9,16,36,29,22,17,10,0,142
CED222,0,28,5,111,50,21,42,22,9,291,0,9,7,48,54,83,149,151,51,555,0,9,6,14,11,7,4,3,0,51,0,5,3,33,10,7,0,0,0,57,0,4,3,40,35,28,12,6,3,126,13,28,36,120,43,52,22,10,3,325,0,0,0,3,4,23,29,27,0,93,0,10,12,131,61,81,84,31,11,418,0,4,24,78,15,7,5,7,0,160,0,0,7,39,4,0,3,0,0,52,3,3,3,24,11,36,68,59,32,248,24,170,200,575,262,178,81,26,11,1531,0,0,0,20,20,23,18,25,9,120,7,54,47,174,30,16,9,0,0,347,0,0,0,6,16,4,3,0,0,36,8,44,96,252,127,77,31,6,0,645,0,0,5,66,36,58,57,16,13,250,3,12,14,83,91,102,99,57,19,474,5,11,18,47,20,20,5,4,0,132,3,62,58,235,142,73,46,18,8,647
CED223,0,8,6,107,58,26,38,16,5,261,0,9,5,46,71,219,376,230,120,1077,0,8,15,20,12,10,5,0,0,67,0,11,9,45,7,5,3,0,0,86,0,3,0,34,46,34,36,18,9,169,3,24,35,166,53,76,60,15,0,439,0,0,0,6,8,26,46,21,3,103,0,0,3,23,15,14,5,4,7,64,0,0,7,18,7,4,0,0,0,32,0,4,5,37,3,0,0,0,0,43,0,14,0,36,20,19,55,33,12,193,9,54,86,300,159,114,56,19,7,805,0,6,0,18,9,11,15,9,7,71,0,3,24,64,9,5,7,0,0,111,0,4,3,18,9,5,0,0,0,36,4,9,15,112,22,12,14,3,3,190,0,0,3,29,11,30,18,6,10,102,0,11,15,65,62,68,77,37,12,345,6,13,14,49,11,17,13,4,0,128,0,17,32,114,61,32,22,11,3,281
