UCL_CODE_2016,P_Mng_0,P_Mng_1_15,P_Mng_16_24,P_Mng_25_34,P_Mng_35_39,P_Mng_40,P_Mng_41_48,P_Mng_49over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_15,P_Pro_16_24,P_Pro_25_34,P_Pro_35_39,P_Pro_40,P_Pro_41_48,P_Pro_49over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_15,P_TTW_16_24,P_TTW_25_34,P_TTW_35_39,P_TTW_40,P_TTW_41_48,P_TTW_49over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_15,P_CPS_16_24,P_CPS_25_34,P_CPS_35_39,P_CPS_40,P_CPS_41_48,P_CPS_49over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_15,P_CA_16_24,P_CA_25_34,P_CA_35_39,P_CA_40,P_CA_41_48,P_CA_49over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_15,P_Sal_16_24,P_Sal_25_34,P_Sal_35_39,P_Sal_40,P_Sal_41_48,P_Sal_49over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_15,P_MOD_16_24,P_MOD_25_34,P_MOD_35_39,P_MOD_40,P_MOD_41_48,P_MOD_49over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_15,P_Lab_16_24,P_Lab_25_34,P_Lab_35_39,P_Lab_40,P_Lab_41_48,P_Lab_49over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
UCL215008,6,0,3,4,11,13,19,35,3,99,6,12,25,37,38,20,16,16,0,177,3,10,6,9,27,35,28,33,5,151,5,24,7,20,17,15,9,12,0,103,0,9,13,26,35,20,11,9,0,127,4,29,4,9,20,3,3,3,0,76,0,3,0,0,14,10,4,15,0,56,0,10,9,4,15,14,11,8,0,65,0,0,0,3,0,3,4,0,0,19,32,97,74,111,180,133,98,135,18,870
UCL215009,3,4,0,0,7,3,0,11,0,30,3,0,7,10,0,8,4,3,0,28,0,3,3,0,11,12,8,7,0,43,3,9,6,5,3,6,0,0,0,40,3,5,3,11,0,4,3,3,0,34,0,15,7,7,10,0,0,3,0,40,0,0,4,8,3,13,3,7,0,33,4,14,6,17,11,12,3,4,3,71,0,0,0,0,3,0,0,0,0,6,17,49,39,58,54,47,21,31,11,330
UCL215010,14,9,3,15,14,44,26,66,0,187,6,31,36,35,27,28,21,36,0,208,6,6,15,16,37,46,17,63,8,211,3,30,16,9,8,8,3,9,0,91,4,26,23,29,21,29,11,9,3,166,3,34,12,14,13,11,7,6,3,104,0,0,0,0,12,11,6,11,0,46,0,20,5,7,5,11,0,19,3,70,0,0,0,3,0,3,3,4,6,18,45,161,116,130,140,191,92,207,24,1113
UCL215011,3,7,0,0,3,3,11,11,0,37,3,4,4,8,5,8,0,3,0,32,0,3,0,4,10,12,10,6,0,48,0,8,8,3,8,6,5,5,3,49,4,3,7,3,4,5,0,3,0,34,4,17,7,8,0,0,0,0,0,37,0,0,3,5,6,0,10,10,0,30,0,18,7,10,16,8,3,3,0,60,3,0,0,3,0,0,0,0,4,10,21,55,37,48,58,49,38,40,9,346
UCL215012,8,14,7,14,26,32,23,55,3,185,19,25,58,64,43,57,22,35,6,334,9,23,9,13,30,44,17,20,0,167,14,31,22,38,31,31,15,14,6,198,3,12,16,29,20,14,11,4,0,114,3,27,18,13,7,21,4,10,4,105,3,8,8,5,6,10,4,8,0,53,13,33,18,13,11,12,9,9,0,123,3,3,0,3,0,0,0,0,5,20,61,180,165,201,179,219,110,166,30,1295
UCL215013,0,0,3,5,20,33,19,23,0,93,12,10,7,17,22,27,14,13,0,116,5,0,4,3,32,55,17,27,6,143,3,11,15,22,29,13,11,8,6,106,3,12,10,22,40,37,17,15,3,160,3,17,9,10,22,6,4,6,0,85,0,0,0,5,16,15,11,26,3,75,4,9,5,6,15,12,7,6,3,73,0,0,0,3,10,5,0,0,5,22,30,59,61,99,199,202,93,119,23,883
UCL215014,0,0,0,5,16,7,7,15,0,62,4,6,4,7,10,7,3,7,0,64,6,8,4,4,18,53,16,16,3,134,0,19,15,8,14,7,0,3,0,61,3,17,14,20,21,16,7,3,0,99,0,12,9,7,10,9,4,3,0,49,0,0,4,4,16,22,10,19,3,73,3,6,8,8,21,9,10,11,6,79,0,0,0,0,0,0,0,3,6,12,19,76,66,61,129,131,61,83,13,632
UCL215015,12,10,14,12,24,23,19,51,3,157,5,11,21,14,37,22,16,25,0,155,3,12,12,20,19,26,24,20,0,141,5,26,17,18,12,9,11,5,0,103,6,19,13,19,16,17,3,7,0,97,3,17,11,14,23,8,7,5,0,95,0,0,7,4,8,6,3,13,0,45,8,44,20,19,11,14,7,0,7,125,0,0,3,0,0,0,0,0,5,21,48,145,110,129,152,125,96,136,12,947
UCL215016,3,0,3,14,26,23,16,48,3,145,11,18,21,23,32,25,22,18,0,162,10,17,18,19,69,85,40,40,3,299,10,36,27,36,40,21,17,15,3,208,8,25,19,23,45,34,6,11,0,187,0,40,36,34,22,15,12,13,3,175,3,3,6,14,40,38,30,55,9,196,13,31,27,28,52,52,22,15,7,246,0,5,4,3,7,0,0,7,3,28,68,182,164,199,335,294,166,218,37,1654
UCL215017,3,0,3,10,16,18,15,34,0,101,11,10,14,14,15,16,8,19,3,113,9,4,12,11,30,56,20,35,3,183,4,26,16,18,9,8,3,6,0,86,3,20,21,25,22,19,4,7,3,119,0,21,11,8,12,9,0,3,0,68,3,0,4,6,13,17,23,19,0,84,0,20,6,7,9,11,11,6,3,81,0,0,0,0,0,0,0,0,7,9,39,108,84,105,126,158,82,128,19,851
UCL215018,5,4,3,7,16,29,11,45,0,128,6,17,34,36,24,31,20,23,0,194,3,12,11,14,32,47,27,23,3,176,9,32,34,34,20,10,4,11,3,153,8,20,17,26,20,15,3,3,3,112,4,31,17,15,21,8,8,5,3,117,6,0,3,5,5,16,20,22,3,80,6,46,17,16,25,31,13,17,3,172,0,3,3,0,0,0,0,3,7,19,54,169,141,147,165,186,107,164,28,1153
UCL215019,8,7,6,9,12,6,14,24,0,88,7,16,13,29,28,28,19,16,5,159,9,19,12,21,25,44,20,25,3,170,4,12,17,13,3,9,4,5,0,80,7,4,11,21,12,17,4,4,0,79,6,33,8,15,18,3,3,0,0,80,0,0,3,3,3,3,3,0,0,20,4,13,16,12,7,7,0,9,3,70,0,0,0,0,0,0,0,0,8,6,48,105,88,119,107,117,65,83,18,755
UCL215020,0,3,10,6,3,8,10,20,0,49,5,3,4,9,11,13,3,14,0,55,3,3,0,11,8,10,14,7,0,58,5,20,9,11,3,7,3,3,0,63,3,10,6,7,10,0,3,3,0,40,0,18,6,0,7,4,0,3,0,46,0,0,3,0,4,7,3,17,0,37,0,17,8,18,11,19,5,7,0,83,0,0,0,0,0,0,0,0,5,8,20,69,46,57,56,68,42,67,11,437
UCL215021,0,3,0,3,8,6,5,23,0,47,6,3,10,9,11,12,8,7,0,61,3,6,7,4,24,16,17,8,0,84,3,14,7,19,10,6,4,5,0,65,3,4,5,9,17,6,3,3,3,62,4,19,11,10,9,4,4,4,0,63,0,7,6,15,12,12,3,13,4,57,7,8,8,14,15,22,7,0,0,84,3,0,0,0,0,0,0,0,3,12,28,60,53,81,112,78,44,67,17,538
UCL215022,3,7,11,8,29,20,13,31,0,111,7,24,33,29,49,34,27,30,0,241,15,13,7,21,65,72,36,46,5,278,13,52,43,42,30,15,13,7,3,216,11,27,28,26,59,28,19,3,3,200,7,82,39,19,19,8,4,9,0,196,8,7,5,4,32,18,21,24,0,117,9,61,30,29,37,18,18,18,4,209,0,4,6,3,5,10,4,0,7,38,65,279,201,182,321,224,154,155,24,1604
UCL215023,3,9,0,6,10,7,9,28,0,67,5,4,3,13,11,17,9,8,0,67,3,9,3,3,16,25,14,17,0,90,0,6,14,23,13,6,0,3,0,66,0,9,6,5,7,3,3,4,0,43,4,18,8,3,14,11,0,5,3,69,3,0,3,6,3,19,22,19,0,81,5,35,8,19,13,17,36,8,4,148,6,0,0,0,0,0,3,0,3,14,33,85,53,79,81,114,89,95,9,644
UCL215024,3,8,0,6,9,15,16,28,0,88,3,3,14,10,18,10,3,14,0,79,8,3,7,9,25,26,6,8,6,98,0,13,14,14,10,13,0,3,0,69,4,7,15,14,15,11,0,7,0,76,0,19,9,7,11,4,4,7,0,61,9,4,3,3,6,8,8,12,0,60,3,31,11,8,11,15,10,8,0,95,0,0,0,4,0,0,0,3,3,12,31,94,72,88,106,96,54,92,13,643
UCL215025,3,6,0,5,9,10,6,20,0,53,3,7,8,9,16,12,3,8,0,68,3,3,6,3,12,24,6,16,0,73,3,7,6,11,3,3,3,3,0,48,0,10,5,3,10,3,3,0,0,35,0,10,3,4,4,3,0,0,0,27,7,8,0,0,5,3,0,6,0,32,8,28,8,8,13,3,0,13,4,80,0,0,0,0,0,3,0,0,0,3,25,72,38,49,68,59,32,69,8,422
UCL215026,10,19,12,23,22,46,29,65,0,232,17,25,46,28,28,32,13,30,0,214,21,28,18,33,66,67,29,38,3,292,20,57,37,38,32,21,14,6,3,233,12,35,22,30,39,19,6,14,0,183,19,62,43,37,21,28,4,14,0,227,8,5,4,5,7,10,14,5,0,72,13,70,29,44,24,20,13,12,7,229,4,0,0,0,3,3,6,3,5,31,113,303,218,241,248,250,126,187,22,1707
UCL215027,3,8,6,6,20,15,13,23,3,95,6,8,21,25,23,20,16,9,0,138,10,6,12,18,50,58,12,30,6,194,11,20,22,29,13,6,3,12,0,117,9,12,17,17,38,17,13,4,0,118,3,29,12,13,14,3,5,3,4,87,0,3,6,10,16,12,4,13,0,62,11,19,18,24,22,13,10,8,4,125,0,0,0,0,4,0,0,0,11,14,57,94,112,132,196,157,77,97,27,956
UCL215028,14,19,20,24,25,45,16,71,7,226,12,39,36,55,33,43,23,40,0,286,7,22,24,23,43,42,21,36,4,214,14,45,34,52,24,28,9,11,3,218,6,22,27,27,25,11,6,4,0,138,6,33,18,27,12,6,4,12,3,122,5,5,6,3,6,6,8,10,0,51,8,56,30,39,22,17,9,8,6,199,0,0,5,0,0,3,0,3,5,16,67,238,195,245,192,203,106,189,35,1469
UCL215029,4,0,3,7,21,24,17,33,0,106,11,6,17,17,30,53,15,18,3,166,10,4,8,14,40,47,13,23,4,168,3,20,23,27,27,22,11,4,0,133,6,16,14,25,59,35,23,11,3,201,0,25,23,13,27,9,5,9,0,115,4,3,7,10,31,20,16,18,0,108,3,25,14,10,19,20,3,6,0,99,3,3,0,0,4,0,0,4,12,26,44,100,102,132,262,225,98,126,31,1120
UCL215030,3,0,0,7,9,11,5,16,0,45,3,3,13,14,15,10,8,13,3,74,0,3,3,6,14,15,13,5,0,60,7,12,7,18,8,12,3,0,0,68,0,9,3,5,10,13,0,0,0,45,3,8,5,4,8,5,0,0,0,41,6,5,3,6,16,12,5,17,0,61,3,11,11,3,12,16,4,0,3,57,0,0,0,0,0,3,0,0,6,10,23,52,46,56,87,82,35,52,13,459
UCL215031,4,0,0,4,8,3,12,29,0,70,3,3,12,11,12,16,11,8,0,78,7,5,3,4,8,24,8,9,0,66,0,16,12,13,6,0,0,3,3,53,3,9,13,9,8,7,0,3,0,50,4,8,7,10,7,5,4,0,0,47,0,0,0,3,3,7,10,11,0,45,3,21,6,11,14,11,4,5,0,86,0,0,0,0,0,0,0,0,3,3,24,65,59,65,72,82,52,73,11,492
UCL215032,7,6,7,12,23,21,17,50,4,141,10,9,27,32,20,17,24,25,0,166,10,21,9,17,36,35,12,17,0,159,5,18,26,26,18,16,7,14,3,129,8,10,15,19,26,19,11,7,0,105,5,20,15,23,24,9,3,8,3,111,3,7,5,6,13,19,3,19,3,84,3,47,19,15,35,28,12,13,4,177,0,0,0,0,0,0,3,0,9,18,55,150,123,148,194,157,97,142,23,1089
UCL215033,6,0,5,17,26,43,40,48,6,193,20,10,27,30,60,62,38,49,0,299,3,5,4,8,39,70,35,29,0,198,11,22,23,24,26,30,6,19,0,152,8,16,20,26,68,65,24,21,0,252,6,36,14,10,17,19,5,14,0,120,0,3,0,6,15,18,12,31,0,91,7,13,10,9,11,17,5,9,0,82,0,0,0,0,0,5,0,0,0,12,66,108,105,126,265,324,166,216,13,1391
UCL215034,0,4,3,5,7,16,3,11,3,55,0,8,5,6,8,5,3,6,0,53,3,8,3,3,6,16,0,16,0,62,3,3,12,5,12,5,0,0,0,42,0,8,3,10,3,8,3,0,0,42,0,13,10,9,8,4,0,4,0,42,0,0,3,3,4,3,6,5,3,29,5,26,7,5,0,3,4,3,0,53,0,0,0,0,0,3,0,0,0,3,20,69,43,54,46,56,21,49,15,373
UCL215035,0,0,3,3,8,11,13,13,0,61,6,5,10,16,11,16,4,7,0,81,4,8,9,5,24,33,14,21,3,123,3,7,19,11,7,0,3,4,4,57,0,18,17,10,15,3,3,7,0,79,0,7,6,10,4,3,0,4,0,42,0,3,0,0,5,10,17,13,3,52,0,13,9,7,6,9,3,8,0,64,0,0,3,0,0,3,0,0,6,18,21,68,76,65,87,96,54,86,20,579
UCL215036,3,3,0,4,9,15,6,15,0,53,8,14,14,17,12,20,7,18,4,106,8,9,14,8,29,26,6,24,0,122,0,7,5,13,9,5,3,3,3,48,8,12,9,9,13,8,8,3,0,65,8,12,5,11,10,8,0,3,0,49,0,0,0,5,10,4,3,16,6,43,6,12,5,7,8,12,8,5,0,57,0,0,0,0,0,0,0,0,0,3,35,66,58,66,91,98,42,71,17,551
UCL215037,0,12,7,0,3,16,0,26,0,67,6,3,6,4,12,11,3,8,0,57,5,9,9,5,10,28,3,16,4,93,6,8,9,8,14,4,3,4,0,54,0,3,3,12,5,12,0,0,0,44,6,12,10,10,6,3,0,4,0,51,3,3,5,3,12,4,4,16,3,51,5,18,10,12,17,14,0,7,3,76,0,0,0,0,0,0,0,0,3,10,32,65,58,56,86,86,23,80,14,500
UCL215038,0,3,5,0,3,5,6,13,0,42,4,3,7,4,7,7,3,6,0,43,0,7,4,3,22,22,17,28,0,100,3,10,10,16,9,5,7,3,0,57,3,9,8,11,12,12,5,4,0,63,4,22,9,6,10,7,3,0,0,59,4,3,0,3,18,15,13,17,0,77,4,20,9,14,13,29,9,3,0,103,0,3,0,0,0,3,0,0,4,12,25,66,58,56,96,109,66,78,13,558
UCL215039,0,3,3,4,12,8,8,15,0,51,0,3,0,8,11,4,3,6,0,35,4,5,6,3,21,14,4,10,0,73,0,7,7,20,10,3,3,0,6,60,4,3,4,9,8,9,0,7,0,47,0,18,5,4,10,3,3,0,0,51,6,0,3,0,12,18,19,20,3,81,3,11,9,14,20,9,5,8,0,70,4,3,0,0,0,3,0,3,4,16,26,65,40,73,100,74,47,57,7,481
UCL215040,4,7,11,10,21,32,27,75,3,196,12,14,28,24,27,31,22,36,0,202,13,12,10,9,49,51,27,32,4,209,16,43,29,40,10,17,7,11,3,170,4,19,22,25,28,23,19,8,0,154,3,45,21,24,32,8,7,8,0,146,3,9,5,4,24,29,12,15,0,102,6,42,25,26,38,31,11,14,0,198,0,0,4,3,0,4,0,0,3,14,64,195,155,171,227,216,129,208,22,1387
UCL215041,3,3,4,5,9,16,11,14,0,73,6,9,8,10,13,20,12,16,4,93,11,7,12,8,33,67,13,36,4,202,8,16,19,28,22,14,10,3,3,120,5,8,14,17,43,10,12,10,0,129,3,36,20,11,15,17,6,11,0,124,4,6,6,5,33,28,16,28,0,118,3,15,21,22,21,26,10,17,6,147,0,3,0,0,0,3,3,5,6,18,40,109,105,108,197,197,91,142,25,1022
UCL215042,3,10,0,3,13,10,13,33,0,87,5,9,23,15,16,18,11,7,4,109,5,7,11,10,26,29,10,15,0,122,11,20,13,20,13,10,0,5,0,96,3,16,8,17,14,7,3,3,0,73,0,20,13,7,5,9,0,3,0,64,6,0,3,0,9,9,11,13,0,53,4,34,8,9,18,17,15,9,4,117,6,0,0,0,0,5,0,0,3,14,37,108,88,92,117,109,69,90,16,729
UCL215043,7,11,7,5,16,22,21,43,0,144,10,10,17,32,24,23,15,28,0,161,10,16,7,16,52,70,24,37,3,245,19,47,34,38,22,17,4,5,3,188,9,19,27,34,22,25,5,5,0,143,3,48,22,22,19,21,11,14,6,160,5,5,6,10,18,14,13,31,0,105,5,39,30,27,32,15,14,16,5,193,0,0,3,0,3,0,0,3,16,30,69,198,151,178,214,214,120,183,38,1371
UCL215044,10,13,13,22,23,54,34,78,4,247,20,46,61,56,54,71,37,59,0,406,9,23,17,29,59,81,42,37,3,300,11,40,29,38,42,29,12,17,7,236,9,24,27,41,55,41,22,22,0,232,3,39,24,35,26,11,10,14,3,162,3,6,7,3,6,21,15,19,0,76,10,59,53,50,38,40,6,12,5,282,0,0,3,3,4,4,4,3,20,38,80,250,236,277,308,355,176,263,46,1992
UCL215045,4,0,0,7,14,13,9,22,0,68,8,14,15,15,16,21,4,11,0,108,4,12,10,7,27,48,15,15,4,135,3,13,13,4,10,8,12,9,0,78,3,8,9,17,21,19,5,9,0,91,0,13,8,11,3,4,0,3,0,48,4,0,9,5,8,8,12,14,0,60,5,10,9,18,17,0,3,3,4,65,0,0,0,0,0,3,0,0,3,14,31,73,67,83,121,125,72,82,19,664
UCL215046,0,0,0,0,8,8,5,19,0,42,0,6,3,3,9,5,3,5,3,43,0,5,0,9,26,22,20,17,0,100,0,10,13,8,8,3,0,4,0,58,0,6,4,14,11,4,3,4,0,56,0,19,14,13,8,5,0,0,3,62,3,0,3,0,11,15,16,17,0,69,0,9,12,8,12,18,8,7,0,73,0,0,3,0,3,0,0,0,0,11,17,54,56,60,96,88,60,77,8,511
UCL215047,3,4,0,0,10,7,6,19,0,48,0,3,3,11,14,13,3,7,0,56,0,6,6,9,32,20,28,18,0,119,4,13,21,14,8,7,3,4,3,74,0,9,4,5,17,10,6,4,0,59,4,15,11,3,15,3,8,0,3,67,0,0,3,0,8,15,12,21,0,59,8,16,15,21,25,11,8,11,3,111,3,0,0,3,0,5,0,0,0,11,23,71,64,68,129,85,67,86,10,605
UCL215048,5,8,8,13,11,12,5,42,0,106,8,18,10,8,4,11,7,8,0,74,4,6,5,6,14,25,5,14,0,79,0,7,9,18,11,4,0,3,0,51,0,8,9,8,0,0,0,0,3,38,4,6,6,5,8,3,7,8,0,46,0,0,0,0,3,0,0,0,0,4,9,11,5,12,6,3,3,0,0,53,0,0,0,0,0,3,0,0,0,3,26,59,52,70,63,68,31,76,4,453
UCL215049,6,15,11,12,22,49,30,91,4,243,21,37,46,53,64,77,35,78,5,408,8,13,16,12,23,49,19,29,3,178,6,31,20,20,16,14,10,5,0,127,4,23,23,20,23,22,18,10,0,136,3,28,11,4,9,9,8,15,0,92,0,6,8,3,0,8,6,7,0,32,4,25,11,7,4,8,3,8,0,71,0,6,0,5,0,4,0,0,6,24,63,183,145,127,165,235,124,243,27,1305
UCL215050,11,11,5,17,11,24,25,57,0,165,15,16,33,32,48,33,33,28,3,248,10,20,20,15,65,86,42,49,3,305,15,47,42,48,29,18,13,14,6,230,16,34,30,33,38,34,17,5,4,200,3,34,24,19,16,8,7,4,7,124,14,13,8,3,25,26,18,49,0,159,15,54,29,42,36,37,10,23,7,250,0,3,0,0,6,5,0,6,9,27,111,235,191,198,278,265,173,228,36,1712
UCL215051,3,13,9,7,7,10,10,29,0,79,3,13,32,10,11,19,8,12,0,100,0,10,10,8,20,8,3,11,0,75,3,12,4,10,8,8,0,10,0,51,3,7,10,10,12,6,4,3,0,56,0,5,4,13,11,7,3,4,0,45,0,4,3,0,0,5,3,5,0,16,4,7,6,12,8,13,4,0,0,55,0,0,0,0,0,3,0,0,5,13,11,73,75,66,70,70,37,69,10,482
UCL215052,6,5,12,13,16,34,27,84,7,205,8,28,27,31,39,40,20,35,8,236,18,24,23,30,37,68,33,50,7,284,4,38,23,47,29,20,22,19,0,202,3,22,32,16,37,22,8,13,0,157,7,36,14,33,25,24,16,18,10,186,3,10,0,4,4,21,6,26,0,73,4,57,25,21,38,21,14,8,3,191,0,7,3,0,0,3,0,4,6,29,59,217,163,196,226,250,151,259,36,1560
UCL215053,3,4,3,0,9,8,11,21,0,68,0,11,7,9,17,9,6,7,3,68,7,10,0,14,17,17,14,9,5,91,8,8,16,33,33,10,4,10,0,108,3,8,5,8,25,13,5,10,0,75,9,23,14,8,11,3,7,3,0,79,3,4,5,4,18,17,10,19,0,75,4,17,12,19,23,20,10,5,9,113,0,3,0,0,3,0,0,0,0,10,33,83,68,90,151,97,66,75,17,694
UCL215054,0,0,0,8,9,13,3,6,0,31,3,12,5,9,6,8,4,8,0,57,0,6,14,8,36,31,14,6,3,128,7,14,20,22,5,3,5,0,0,89,0,3,9,14,11,16,0,3,0,65,0,15,13,3,7,3,0,4,0,48,0,4,0,0,14,21,9,11,0,64,4,15,16,10,29,18,14,6,4,113,0,3,0,0,0,0,3,0,0,10,24,70,80,79,124,120,47,40,15,594
UCL215055,0,6,5,5,3,18,16,25,0,73,0,13,19,26,18,13,11,17,0,128,8,3,13,16,22,27,16,25,0,134,3,17,20,14,13,3,3,4,3,73,0,17,11,14,19,6,3,0,0,73,0,17,10,4,5,4,8,0,0,52,3,6,3,0,7,11,9,9,0,45,4,24,10,8,7,3,6,3,4,68,0,0,0,4,0,0,0,0,3,14,23,96,96,90,100,80,67,92,14,660
UCL215056,0,0,4,4,4,9,9,21,0,47,0,6,3,8,7,3,3,0,0,40,0,0,3,3,17,19,4,13,0,69,5,11,9,12,8,3,0,3,0,49,0,0,9,11,13,7,0,0,0,44,0,9,7,6,7,0,3,0,0,36,0,0,0,5,3,6,3,4,0,29,3,17,4,9,8,10,0,5,3,63,0,0,0,0,0,3,0,3,0,11,15,40,50,54,58,74,26,57,9,380
UCL215057,6,6,6,5,12,11,19,40,3,101,5,9,11,19,22,13,14,23,5,128,6,0,8,17,26,24,11,24,4,111,3,18,21,17,18,9,7,6,0,95,11,17,10,9,20,5,0,9,0,70,3,16,10,12,7,7,4,6,0,68,0,0,3,3,7,9,6,3,0,32,3,29,13,10,9,8,3,3,3,84,0,0,0,0,0,3,0,0,0,7,30,96,86,99,120,80,65,109,12,693
UCL215058,0,0,4,9,19,30,11,19,0,95,8,4,21,14,27,23,6,17,0,130,7,7,15,7,43,34,23,38,3,173,9,29,20,28,22,19,7,11,3,144,10,15,23,14,25,13,3,3,0,103,3,52,9,19,17,4,6,3,8,121,8,8,6,3,48,17,15,25,3,124,4,35,18,27,40,19,4,13,3,169,7,0,0,0,0,0,0,0,9,22,54,147,120,122,244,156,83,125,36,1080
UCL215059,6,5,3,9,21,24,11,34,3,112,9,3,11,9,10,12,11,8,0,84,3,4,13,12,25,34,7,25,0,123,3,9,10,21,11,12,4,9,0,76,0,5,7,20,17,9,9,0,4,71,4,18,8,6,4,5,3,3,0,57,0,3,0,0,11,7,4,16,0,48,9,29,10,15,39,16,9,4,4,128,0,3,0,3,4,0,0,3,0,15,32,81,62,93,151,128,60,105,11,714
UCL215060,0,0,7,0,7,12,8,24,0,62,11,13,9,14,11,20,4,12,0,98,8,9,3,6,10,26,6,6,0,76,0,12,15,11,5,9,0,0,3,58,7,6,7,8,9,17,7,5,0,71,6,21,4,3,7,3,0,17,3,60,0,3,0,0,4,10,8,8,0,39,4,23,8,16,13,12,11,5,6,100,0,0,0,0,0,3,0,3,5,17,27,83,48,64,81,107,49,89,18,571
UCL215061,6,8,8,0,11,18,13,29,0,93,0,8,4,13,11,30,7,19,0,97,3,9,5,15,20,32,3,11,0,101,8,6,13,10,7,6,3,3,0,68,0,10,10,9,7,21,3,3,0,77,3,10,7,6,10,6,4,0,0,47,0,6,0,5,14,8,9,5,0,52,0,23,9,21,75,29,14,5,3,180,0,0,0,0,0,5,0,0,3,10,29,78,61,79,155,160,60,80,13,714
UCL215062,3,7,7,3,26,27,19,51,0,144,5,14,18,29,31,38,20,26,3,189,8,12,12,6,57,49,14,27,3,189,7,25,37,31,29,18,11,3,3,169,9,28,16,19,33,27,6,6,0,142,3,42,25,21,26,22,6,11,3,158,9,4,13,6,22,25,20,31,3,132,18,50,27,27,43,48,25,16,3,248,4,0,3,0,5,0,0,3,13,31,66,178,155,148,269,252,134,174,27,1401
UCL215063,4,3,6,7,11,3,8,11,3,56,6,5,10,6,6,12,7,5,0,60,3,8,10,6,11,19,4,15,4,82,7,25,16,27,7,6,3,4,4,96,6,13,9,5,13,10,4,4,0,61,3,18,11,14,13,4,3,0,0,58,3,0,7,3,12,6,0,17,5,47,8,29,8,15,17,8,8,4,5,104,0,0,0,0,0,0,0,0,4,9,27,96,61,89,95,78,38,65,26,573
UCL215064,0,7,4,3,10,16,4,23,0,66,0,0,3,4,12,10,8,8,0,50,4,3,3,4,11,17,7,14,0,58,3,12,12,11,0,9,0,3,0,46,3,7,11,10,0,9,3,0,0,40,0,5,4,6,3,5,0,0,0,28,3,8,3,0,3,11,13,11,0,49,0,21,3,4,5,11,3,7,0,51,0,0,0,0,0,0,0,0,0,4,19,52,42,41,51,79,37,72,6,398
UCL215065,3,4,3,8,18,26,16,41,3,126,5,13,23,32,33,26,16,22,0,173,8,22,16,8,30,45,14,25,3,166,6,24,34,39,14,15,8,13,7,160,11,19,12,14,21,18,10,3,0,113,11,25,10,20,19,12,6,12,4,109,5,6,0,3,11,3,3,16,0,53,7,28,20,18,17,10,3,4,3,113,3,0,0,0,3,0,0,0,7,18,50,142,125,139,161,155,83,131,33,1021
UCL215066,6,21,16,25,15,50,22,62,0,216,29,63,53,64,61,63,28,64,4,417,3,20,15,20,15,46,18,10,3,158,8,42,15,23,16,18,4,4,3,126,11,37,25,29,30,18,14,12,0,160,3,37,15,12,7,14,10,10,0,103,0,7,0,4,5,5,4,9,0,34,0,34,10,14,15,3,8,7,0,93,3,6,3,0,3,4,0,8,9,32,65,254,154,188,163,217,109,177,23,1346
UCL215067,14,8,18,21,33,39,18,60,3,215,22,35,39,43,37,48,16,43,0,284,9,8,8,17,27,41,17,15,3,152,15,35,28,28,16,16,4,12,3,149,7,14,24,18,26,17,3,10,0,112,6,20,13,8,14,8,3,9,3,83,3,0,0,4,14,11,8,13,0,59,10,31,12,16,16,16,11,7,4,120,0,3,3,3,4,0,0,3,3,19,83,150,140,159,177,202,98,163,19,1193
UCL215068,3,5,4,8,9,23,15,23,0,99,4,10,3,23,19,31,16,19,0,120,13,5,5,8,34,39,12,11,4,123,3,14,18,33,14,9,7,8,3,104,0,6,9,13,24,15,6,0,3,89,3,54,21,19,20,9,6,5,5,146,4,3,0,3,26,20,15,25,3,100,5,25,24,25,43,40,19,10,5,194,0,0,0,0,6,0,0,3,9,18,40,125,86,136,192,178,90,102,35,987
UCL215069,10,5,10,14,18,46,30,56,0,195,14,24,38,48,53,66,24,53,4,321,3,14,17,23,68,83,30,53,3,297,19,40,43,33,32,29,18,11,5,221,13,25,46,42,67,38,23,22,9,272,8,50,24,22,15,13,5,7,0,145,0,3,10,0,16,20,14,20,0,78,5,28,19,14,13,20,8,9,3,113,0,0,0,0,0,3,0,0,4,20,70,189,203,190,273,321,155,236,24,1653
UCL215070,3,0,7,8,13,19,16,21,3,86,4,3,7,7,16,22,9,13,0,82,0,3,5,5,15,15,10,4,0,53,3,7,9,11,8,11,0,6,3,55,0,8,4,10,13,11,4,3,0,53,0,10,4,8,19,3,0,0,6,47,3,6,4,6,28,8,9,8,5,74,8,23,6,7,50,46,26,19,6,191,6,0,3,4,4,4,3,0,16,39,27,54,57,64,163,135,70,76,38,681
