CED_CODE_2016,D_10_12_FPNLF_MPET,D_10_12_FPNLF_MPULFTW,D_10_12_FPNLF_MPULPTW,D_10_12_FPNLF_MPUT,D_10_12_FPNLF_MPTLF,D_10_12_FPNLF_MPNLF,D_10_12_FPNLF_MPLFSNS,D_10_12_FPNLF_T,D_10_12_FPLFSNS_MPEFT,D_10_12_FPLFSNS_MPEPT,D_10_12_FPLFSNS_MPEAW,D_10_12_FPLFSNS_MPEHNS,D_10_12_FPLFSNS_MPET,D_10_12_FPLFSNS_MPULFTW,D_10_12_FPLFSNS_MPULPTW,D_10_12_FPLFSNS_MPUT,D_10_12_FPLFSNS_MPTLF,D_10_12_FPLFSNS_MPNLF,D_10_12_FPLFSNS_MPLFSNS,D_10_12_FPLFSNS_T,D_10_12_FPT_MPEFT,D_10_12_FPT_MPEPT,D_10_12_FPT_MPEAW,D_10_12_FPT_MPEHNS,D_10_12_FPT_MPET,D_10_12_FPT_MPULFTW,D_10_12_FPT_MPULPTW,D_10_12_FPT_MPUT,D_10_12_FPT_MPTLF,D_10_12_FPT_MPNLF,D_10_12_FPT_MPLFSNS,D_10_12_FPT_T,D_13_14_FPEFT_MPEFT,D_13_14_FPEFT_MPEPT,D_13_14_FPEFT_MPEAW,D_13_14_FPEFT_MPEHNS,D_13_14_FPEFT_MPET,D_13_14_FPEFT_MPULFTW,D_13_14_FPEFT_MPULPTW,D_13_14_FPEFT_MPUT,D_13_14_FPEFT_MPTLF,D_13_14_FPEFT_MPNLF,D_13_14_FPEFT_MPLFSNS,D_13_14_FPEFT_T,D_13_14_FPEPT_MPEFT,D_13_14_FPEPT_MPEPT,D_13_14_FPEPT_MPEAW,D_13_14_FPEPT_MPEHNS,D_13_14_FPEPT_MPET,D_13_14_FPEPT_MPULFTW,D_13_14_FPEPT_MPULPTW,D_13_14_FPEPT_MPUT,D_13_14_FPEPT_MPTLF,D_13_14_FPEPT_MPNLF,D_13_14_FPEPT_MPLFSNS,D_13_14_FPEPT_T,D_13_14_FPEAW_MPEFT,D_13_14_FPEAW_MPEPT,D_13_14_FPEAW_MPEAW,D_13_14_FPEAW_MPEHNS,D_13_14_FPEAW_MPET,D_13_14_FPEAW_MPULFTW,D_13_14_FPEAW_MPULPTW,D_13_14_FPEAW_MPUT,D_13_14_FPEAW_MPTLF,D_13_14_FPEAW_MPNLF,D_13_14_FPEAW_MPLFSNS,D_13_14_FPEAW_T,D_13_14_FPHNS_MPEFT,D_13_14_FPHNS_MPEPT,D_13_14_FPHNS_MPEAW,D_13_14_FPHNS_MPEHNS,D_13_14_FPHNS_MPET,D_13_14_FPHNS_MPULFTW,D_13_14_FPHNS_MPULPTW,D_13_14_FPHNS_MPUT,D_13_14_FPHNS_MPTLF,D_13_14_FPHNS_MPNLF,D_13_14_FPHNS_MPLFSNS,D_13_14_FPHNS_T,D_13_14_FPET_MPEFT,D_13_14_FPET_MPEPT,D_13_14_FPET_MPEAW,D_13_14_FPET_MPEHNS,D_13_14_FPET_MPET,D_13_14_FPET_MPULFTW,D_13_14_FPET_MPULPTW,D_13_14_FPET_MPUT,D_13_14_FPET_MPTLF,D_13_14_FPET_MPNLF,D_13_14_FPET_MPLFSNS,D_13_14_FPET_T,D_13_14_FPULFTW_MPEFT,D_13_14_FPULFTW_MPEPT,D_13_14_FPULFTW_MPEAW,D_13_14_FPULFTW_MPEHNS,D_13_14_FPULFTW_MPET,D_13_14_FPULFTW_MPULFTW,D_13_14_FPULFTW_MPULPTW,D_13_14_FPULFTW_MPUT,D_13_14_FPULFTW_MPTLF,D_13_14_FPULFTW_MPNLF,D_13_14_FPULFTW_MPLFSNS,D_13_14_FPULFTW_T,D_13_14_FPULPTW_MPEFT,D_13_14_FPULPTW_MPEPT,D_13_14_FPULPTW_MPEAW,D_13_14_FPULPTW_MPEHNS,D_13_14_FPULPTW_MPET,D_13_14_FPULPTW_MPULFTW,D_13_14_FPULPTW_MPULPTW,D_13_14_FPULPTW_MPUT,D_13_14_FPULPTW_MPTLF,D_13_14_FPULPTW_MPNLF,D_13_14_FPULPTW_MPLFSNS,D_13_14_FPULPTW_T,D_13_14_FPUT_MPEFT,D_13_14_FPUT_MPEPT,D_13_14_FPUT_MPEAW,D_13_14_FPUT_MPEHNS,D_13_14_FPUT_MPET,D_13_14_FPUT_MPULFTW,D_13_14_FPUT_MPULPTW,D_13_14_FPUT_MPUT,D_13_14_FPUT_MPTLF,D_13_14_FPUT_MPNLF,D_13_14_FPUT_MPLFSNS,D_13_14_FPUT_T,D_13_14_FPTLF_MPEFT,D_13_14_FPTLF_MPEPT,D_13_14_FPTLF_MPEAW,D_13_14_FPTLF_MPEHNS,D_13_14_FPTLF_MPET,D_13_14_FPTLF_MPULFTW,D_13_14_FPTLF_MPULPTW,D_13_14_FPTLF_MPUT,D_13_14_FPTLF_MPTLF,D_13_14_FPTLF_MPNLF,D_13_14_FPTLF_MPLFSNS,D_13_14_FP_T,D_13_14_FPNLF_MPEFT,D_13_14_FPNLF_MPEPT,D_13_14_FPNLF_MPEAW,D_13_14_FPNLF_MPEHNS,D_13_14_FPNLF_MPET,D_13_14_FPNLF_MPULFTW,D_13_14_FPNLF_MPULPTW,D_13_14_FPNLF_MPUT,D_13_14_FPNLF_MPTLF,D_13_14_FPNLF_MPNLF,D_13_14_FPNLF_MPLFSNS,D_13_14_FPNLF_T,D_13_14_FPLFSNS_MPEFT,D_13_14_FPLFSNS_MPEPT,D_13_14_FPLFSNS_MPEAW,D_13_14_FPLFSNS_MPEHNS,D_13_14_FPLFSNS_MPET,D_13_14_FPLFSNS_MPULFTW,D_13_14_FPLFSNS_MPULPTW,D_13_14_FPLFSNS_MPUT,D_13_14_FPLFSNS_MPTLF,D_13_14_FPLFSNS_MPNLF,D_13_14_FPLFSNS_MPLFSNS,D_13_14_FPLFSNS_T,D_13_14_FPT_MPEFT,D_13_14_FPT_MPEPT,D_13_14_FPT_MPEAW,D_13_14_FPT_MPEHNS,D_13_14_FPT_MPET,D_13_14_FPT_MPULFTW,D_13_14_FPT_MPULPTW,D_13_14_FPT_MPUT,D_13_14_FPT_MPTLF,D_13_14_FPT_MPNLF,D_13_14_FPT_MPLFSNS,D_13_14_FPT_T,D_15_17_FPEFT_MPEFT,D_15_17_FPEFT_MPEPT,D_15_17_FPEFT_MPEAW,D_15_17_FPEFT_MPEHNS,D_15_17_FPEFT_MPET,D_15_17_FPEFT_MPULFTW,D_15_17_FPEFT_MPULPTW,D_15_17_FPEFT_MPUT,D_15_17_FPEFT_MPTLF,D_15_17_FPEFT_MPNLF,D_15_17_FPEFT_MPLFSNS,D_15_17_FPEFT_T,D_15_17_FPEPT_MPEFT,D_15_17_FPEPT_MPEPT,D_15_17_FPEPT_MPEAW,D_15_17_FPEPT_MPEHNS,D_15_17_FPEPT_MPET,D_15_17_FPEPT_MPULFTW,D_15_17_FPEPT_MPULPTW,D_15_17_FPEPT_MPUT,D_15_17_FPEPT_MPTLF,D_15_17_FPEPT_MPNLF,D_15_17_FPEPT_MPLFSNS,D_15_17_FPEPT_T
CED211,682,17,5,25,702,85,0,790,7,0,0,0,6,0,0,0,6,0,4,13,3218,355,41,57,3672,77,17,98,3768,192,5,3970,562,61,0,3,628,28,4,30,660,42,0,702,946,111,11,11,1078,17,3,16,1096,34,0,1134,15,0,8,0,25,0,0,0,25,0,0,24,19,0,0,11,28,0,0,0,28,0,0,29,1539,172,19,15,1749,47,7,49,1805,82,0,1881,13,8,0,0,21,4,3,6,27,0,0,31,38,8,0,0,45,7,0,7,51,3,0,50,56,17,0,0,68,5,3,12,81,0,0,84,1597,189,19,17,1821,52,9,65,1881,80,0,1967,319,38,3,6,369,15,3,21,386,54,0,442,0,0,0,0,3,0,0,0,3,0,8,10,1917,229,25,27,2194,71,13,81,2277,138,9,2418,772,84,11,5,867,29,5,37,901,56,0,964,1288,151,25,6,1472,26,3,27,1497,44,0,1541
CED212,600,18,9,26,625,99,0,731,3,3,0,4,14,0,0,0,14,0,4,14,2803,326,52,47,3226,76,14,87,3309,201,8,3521,513,60,8,8,580,11,0,11,595,32,0,626,820,99,7,3,930,9,0,15,941,27,0,972,20,3,6,0,31,0,0,0,31,0,0,31,15,0,0,8,21,0,0,0,21,0,0,21,1370,159,25,12,1565,21,0,22,1592,62,0,1649,10,0,0,0,10,0,0,0,12,0,0,18,31,3,0,0,36,8,0,8,42,4,0,50,47,3,0,0,49,6,0,6,60,7,0,62,1413,166,25,15,1618,27,0,32,1648,64,0,1719,268,39,4,3,314,8,0,12,326,66,0,393,0,0,0,0,3,0,0,0,3,0,0,3,1685,207,23,25,1939,37,0,37,1973,132,3,2111,831,95,13,9,944,11,4,20,960,41,0,1000,1076,98,9,9,1196,25,3,28,1223,46,0,1267
CED213,632,16,4,18,649,86,0,734,7,0,0,0,7,0,0,0,7,0,14,23,2954,423,67,80,3519,68,10,73,3589,201,16,3811,534,67,4,4,604,5,3,9,614,34,0,647,992,129,16,8,1144,12,0,9,1160,42,0,1197,18,4,9,0,33,0,0,0,31,0,0,34,13,3,0,6,24,0,0,0,24,0,0,24,1558,204,21,20,1807,18,3,18,1825,73,0,1898,17,0,0,0,17,0,0,0,17,3,0,21,23,4,0,0,25,7,0,7,31,3,0,32,34,4,0,0,41,7,0,7,47,6,0,54,1598,212,23,20,1850,23,3,22,1874,78,0,1949,282,31,10,8,333,15,3,18,349,58,0,409,5,0,0,0,5,0,0,0,5,0,9,10,1886,241,31,31,2184,35,5,38,2220,138,9,2372,797,89,12,13,913,15,0,18,928,43,0,976,1180,171,16,9,1383,11,0,11,1392,52,0,1447
CED214,612,31,8,36,650,135,4,795,6,3,0,3,15,0,0,0,15,4,14,28,2436,357,40,56,2883,89,18,106,2990,264,20,3278,482,75,4,0,559,17,5,22,586,36,3,621,602,71,13,3,695,6,10,15,705,27,0,732,14,0,9,0,26,0,0,0,26,0,0,26,10,6,0,8,22,0,0,0,21,0,3,27,1107,157,22,14,1303,27,9,32,1335,59,4,1401,13,10,0,0,22,9,0,9,32,5,0,36,19,8,0,0,26,7,0,11,33,3,0,34,36,12,0,0,48,11,0,16,60,9,0,69,1137,174,22,14,1351,40,10,53,1399,67,4,1471,243,65,3,15,325,26,3,26,356,104,3,463,3,0,0,4,8,0,0,0,8,0,9,15,1387,236,28,29,1683,62,19,80,1756,172,18,1943,742,107,12,7,861,17,8,27,890,70,0,958,714,127,12,9,856,14,4,17,877,48,3,928
CED215,500,30,5,30,535,140,3,680,5,0,0,3,14,0,0,0,14,0,7,24,2359,305,63,73,2796,86,20,105,2900,269,16,3187,465,54,10,10,533,13,5,23,555,33,0,595,776,84,33,13,905,19,3,15,920,45,0,968,16,7,4,0,33,3,0,3,32,3,0,40,5,0,0,13,15,0,0,0,21,0,0,23,1267,143,45,27,1485,35,12,45,1531,87,4,1620,13,5,0,0,18,5,0,5,25,0,0,25,24,3,0,0,28,0,3,3,35,0,0,36,35,11,0,0,49,7,3,9,63,0,0,61,1301,151,49,27,1534,46,9,52,1590,88,4,1682,225,30,8,12,275,14,4,21,297,89,0,380,0,0,0,0,3,0,0,0,3,0,6,10,1532,179,54,45,1815,61,14,78,1888,173,7,2077,708,67,11,6,795,22,3,24,817,42,0,862,998,109,34,11,1152,15,0,18,1173,60,0,1233
CED216,876,15,4,19,888,56,3,949,3,0,0,0,6,0,0,0,6,0,3,14,4127,323,30,53,4534,77,17,90,4628,184,15,4824,822,75,7,5,906,17,0,17,926,34,3,959,1186,100,4,15,1305,14,0,14,1321,32,0,1355,18,5,4,0,26,0,0,0,29,0,0,32,17,0,0,12,28,6,0,6,31,0,0,31,2045,175,15,26,2261,43,0,43,2307,67,4,2371,23,3,0,0,28,3,0,3,32,0,0,32,57,0,0,0,61,6,0,6,64,0,0,64,83,3,0,0,88,8,0,8,96,0,0,96,2124,183,15,24,2351,53,0,53,2401,67,4,2467,430,47,7,3,483,11,0,16,493,35,0,527,3,0,0,0,3,0,0,0,3,0,4,4,2556,228,23,29,2830,66,0,67,2894,100,9,3005,1157,107,10,5,1276,31,3,33,1314,51,3,1366,1559,159,9,12,1738,27,0,34,1769,55,0,1826
CED217,1402,77,6,79,1480,350,8,1836,7,0,0,11,21,0,0,0,21,4,33,50,4342,672,93,117,5224,197,37,231,5460,551,44,6053,904,92,13,10,1019,13,7,23,1041,48,0,1087,949,143,12,18,1118,28,3,31,1145,56,3,1205,31,3,11,0,42,0,0,0,50,0,0,48,11,9,0,26,44,0,0,0,50,3,0,54,1903,247,30,55,2228,43,16,57,2289,103,3,2390,31,6,0,6,45,16,3,17,60,3,0,65,59,18,3,7,81,10,10,13,99,8,0,103,90,22,3,9,127,25,9,38,156,5,0,170,1996,268,30,57,2352,70,23,96,2445,113,3,2562,604,137,16,21,785,46,5,48,835,229,5,1067,7,0,0,5,11,0,0,0,11,0,13,23,2603,404,52,89,3146,118,31,143,3293,345,18,3654,1233,115,16,20,1382,41,8,50,1435,92,0,1525,1212,186,14,22,1432,22,9,28,1460,87,0,1551
CED218,681,11,4,13,692,47,0,734,0,0,0,0,3,0,0,0,5,0,3,8,2897,224,21,37,3170,53,18,63,3236,115,9,3362,562,44,0,0,613,21,4,21,637,30,4,670,773,60,3,4,850,15,0,15,861,24,0,887,10,4,5,0,19,0,0,0,19,0,0,18,13,0,0,4,15,0,0,0,19,0,0,21,1363,113,9,15,1493,35,6,38,1537,57,4,1593,18,0,0,0,18,0,0,0,25,4,0,22,24,0,0,0,24,0,0,0,24,3,0,32,44,0,0,0,44,0,0,0,52,4,0,56,1412,113,9,15,1539,40,6,45,1583,60,4,1650,275,28,5,4,310,6,0,10,318,22,0,344,0,0,0,3,4,0,0,0,4,0,0,8,1679,143,14,18,1852,44,6,52,1908,85,5,1995,821,64,3,0,883,24,0,23,910,40,0,950,1024,102,10,7,1147,14,6,18,1167,23,0,1193
CED219,1563,79,19,97,1657,404,8,2064,12,3,0,3,17,0,0,0,17,3,27,46,4302,750,65,107,5218,204,37,245,5466,617,47,6127,846,115,14,4,979,23,8,31,1005,54,0,1062,863,160,15,9,1046,18,15,35,1084,52,4,1141,27,5,0,0,31,0,0,0,34,0,0,32,18,4,0,26,49,4,0,7,50,6,3,58,1753,283,27,46,2102,50,18,73,2174,109,6,2291,49,5,0,3,56,14,0,14,69,12,0,80,66,8,0,0,78,3,0,7,84,5,0,92,119,19,0,3,138,18,0,24,157,13,0,171,1865,301,26,44,2238,69,22,91,2334,122,4,2465,670,140,7,21,838,33,7,34,878,262,4,1145,4,0,0,0,3,0,0,0,3,4,16,28,2540,444,38,69,3085,99,26,129,3214,392,24,3630,1329,166,13,3,1512,30,6,36,1548,82,3,1630,1172,200,23,9,1403,26,7,28,1431,97,3,1532
CED220,614,26,6,35,649,187,0,837,3,0,0,4,9,0,0,0,9,0,4,16,2884,374,32,54,3345,98,21,125,3468,297,11,3774,642,81,3,3,728,23,3,23,749,49,0,798,735,113,9,3,863,15,3,16,876,37,0,913,18,0,0,0,18,0,0,0,24,0,0,24,10,0,0,8,11,0,0,0,11,3,3,17,1402,194,13,14,1620,38,6,43,1661,90,3,1756,20,4,0,0,21,4,0,4,30,7,0,33,27,7,0,0,30,5,0,7,36,5,0,43,43,11,0,0,57,7,4,8,62,4,0,68,1443,204,18,12,1680,39,12,48,1728,95,3,1825,339,53,0,3,398,15,6,20,417,120,0,534,0,0,0,0,0,0,0,0,0,0,0,3,1784,260,18,19,2074,55,14,71,2146,216,9,2365,903,110,7,4,1026,28,6,35,1059,69,0,1127,925,137,10,8,1081,24,3,29,1113,57,0,1164
CED221,489,24,0,26,515,115,0,629,5,3,0,0,9,0,0,0,9,0,12,30,2656,353,78,58,3143,53,3,55,3203,246,23,3473,604,66,12,3,681,0,0,0,685,25,3,707,810,99,14,13,934,4,4,5,942,43,0,985,19,3,6,0,33,0,0,0,33,3,0,39,7,0,0,14,24,0,0,0,24,0,0,24,1445,171,27,32,1669,6,4,6,1682,69,3,1758,12,0,0,0,14,4,0,4,15,4,0,17,20,0,0,0,25,0,0,3,27,0,0,32,31,4,4,0,40,3,0,8,45,3,0,51,1472,173,30,30,1709,7,5,14,1725,79,3,1802,208,35,8,8,261,15,0,15,276,74,0,349,3,0,0,5,12,0,0,0,10,0,5,22,1690,211,39,43,1983,29,6,32,2011,152,12,2171,885,86,15,10,1004,0,4,4,1005,41,3,1048,1048,131,22,12,1211,5,0,12,1221,64,3,1286
CED222,821,30,8,36,856,145,0,1002,4,0,0,0,5,0,0,0,4,0,6,12,3346,444,40,74,3901,94,12,106,4012,262,8,4282,747,78,4,3,837,14,3,15,853,46,0,896,846,94,13,15,959,19,0,19,978,42,0,1025,17,5,9,0,26,0,0,0,29,0,0,28,0,4,0,15,23,4,0,4,25,0,0,25,1608,182,23,35,1850,31,3,35,1883,89,0,1976,32,5,0,0,36,8,0,8,45,5,0,47,31,4,0,0,33,4,3,6,39,3,0,47,57,8,0,0,71,18,3,15,84,11,0,94,1672,189,23,35,1912,47,4,54,1969,97,0,2067,342,68,4,6,421,16,6,23,441,108,0,552,3,3,0,0,4,0,0,0,6,0,6,15,2009,269,27,38,2343,60,13,77,2422,214,3,2634,1047,114,15,8,1186,26,3,35,1218,60,0,1277,1039,140,15,14,1205,11,4,15,1215,49,0,1265
CED223,617,13,0,14,630,60,0,693,5,0,0,3,9,0,0,0,9,0,8,19,3282,297,37,49,3670,57,12,72,3741,148,13,3893,601,74,12,5,690,11,8,19,707,36,0,745,1008,89,12,3,1109,8,3,11,1125,31,0,1153,23,3,7,0,24,0,0,0,30,0,0,32,17,0,0,11,25,0,0,0,25,0,0,25,1649,159,29,16,1853,21,10,30,1881,72,0,1954,11,3,0,0,15,0,0,0,15,0,0,17,36,6,0,0,42,3,0,3,41,3,0,46,50,10,0,0,59,3,0,3,63,3,0,65,1693,169,29,20,1909,23,10,35,1940,75,0,2015,277,45,3,7,337,9,0,9,347,48,0,392,3,0,0,4,6,0,0,0,6,0,0,11,1978,215,31,29,2254,36,13,48,2296,119,6,2420,883,109,6,4,1011,19,3,29,1036,51,0,1089,1335,103,12,11,1465,15,3,19,1483,52,0,1539
CED224,791,34,8,37,836,77,3,913,4,3,0,3,16,0,0,0,16,0,3,19,3548,351,39,44,3984,89,20,107,4089,206,5,4307,755,88,7,3,851,20,7,25,877,41,0,921,1019,97,5,12,1129,25,5,23,1153,37,3,1187,21,3,3,0,25,0,0,0,25,0,0,25,18,3,0,10,34,3,0,3,34,3,0,34,1812,185,14,28,2038,42,12,48,2091,77,3,2172,24,0,0,0,27,3,0,3,31,0,0,31,41,3,0,0,50,0,0,0,53,0,0,51,70,4,0,0,75,3,0,5,80,0,0,84,1882,192,17,26,2114,47,11,58,2171,79,3,2262,463,55,9,4,529,21,4,21,550,57,0,612,3,0,0,4,7,0,0,0,7,0,0,6,2342,244,25,39,2650,64,11,77,2731,137,9,2875,1123,111,14,9,1261,29,7,37,1292,85,0,1376,1359,138,8,10,1514,31,7,31,1546,66,0,1613
CED225,1048,18,9,27,1078,112,0,1188,3,0,0,3,11,0,0,0,11,3,9,19,4372,474,68,69,4980,74,22,99,5078,278,14,5375,875,95,13,5,983,20,3,24,1011,43,0,1055,1240,114,15,13,1383,22,0,23,1405,35,3,1447,36,8,6,0,43,0,0,0,43,0,0,43,12,0,0,14,24,0,0,0,24,0,3,28,2165,213,30,30,2439,40,5,44,2483,82,4,2569,21,6,0,0,28,3,0,3,30,6,0,31,48,7,0,0,58,8,0,8,65,3,0,68,69,9,3,0,84,9,0,9,93,12,0,104,2237,224,32,27,2526,47,5,55,2577,91,4,2677,485,73,5,11,571,13,3,15,589,71,0,663,0,0,0,0,3,0,0,0,3,0,3,7,2717,300,38,42,3106,59,5,69,3172,166,10,3344,1368,144,19,6,1539,20,4,26,1560,70,0,1631,1740,183,16,18,1955,27,5,30,1992,46,0,2038
CED226,1563,87,10,99,1663,355,4,2016,8,3,0,11,22,0,0,0,22,4,21,54,4951,772,77,124,5923,259,38,298,6217,566,40,6826,966,125,12,11,1111,36,3,44,1160,71,0,1232,960,155,10,10,1134,22,6,23,1158,52,3,1213,22,11,7,0,41,3,0,7,49,3,0,47,14,3,0,14,34,0,0,3,32,0,0,38,1970,285,35,39,2320,63,15,79,2395,132,4,2534,66,14,3,3,77,19,4,22,103,10,0,111,67,10,0,0,81,12,5,15,93,3,0,97,135,20,3,7,162,30,6,34,198,10,0,206,2097,309,32,38,2483,93,15,112,2593,140,4,2740,650,124,9,21,808,44,12,58,869,204,9,1077,7,0,0,8,10,0,0,0,11,0,10,27,2759,429,43,71,3302,139,34,170,3477,352,25,3848,1401,151,12,10,1568,49,10,57,1632,96,0,1730,1256,200,33,10,1500,29,9,32,1537,76,3,1611
CED227,505,23,16,40,546,162,10,710,9,0,0,6,14,0,0,0,15,4,6,26,2614,237,55,63,2974,75,25,98,3076,276,24,3370,596,58,13,0,663,10,0,10,677,28,0,703,781,68,9,10,876,14,0,14,891,31,0,928,19,0,8,0,26,0,0,0,26,3,0,32,5,6,0,13,22,0,0,0,22,0,3,25,1409,133,27,29,1588,28,0,26,1620,58,6,1683,16,0,0,0,16,7,0,7,26,0,0,30,17,0,0,0,14,3,8,14,26,3,0,26,31,7,0,0,29,11,8,18,55,6,0,59,1433,133,27,29,1622,40,4,51,1670,65,6,1746,242,36,0,10,294,7,3,9,310,115,3,426,6,0,0,0,6,0,0,0,6,0,0,8,1681,173,28,40,1925,51,9,63,1981,184,14,2176,900,83,21,6,1008,17,0,15,1027,49,7,1079,1084,135,22,15,1252,15,3,23,1275,62,3,1337
CED228,761,48,7,52,815,186,3,1004,0,3,0,5,10,0,0,0,10,3,19,36,2841,395,46,68,3351,126,38,162,3519,308,29,3855,572,72,3,3,652,21,0,23,668,48,0,713,762,82,10,4,853,13,3,15,872,47,0,918,18,3,5,0,33,0,0,0,33,3,0,36,4,3,0,13,19,0,0,0,19,3,0,25,1355,158,19,22,1557,29,7,33,1594,92,3,1689,21,4,0,0,25,8,3,10,40,5,0,43,30,13,0,3,42,7,9,12,59,0,0,58,49,19,0,3,74,14,6,25,93,7,0,99,1405,173,19,27,1633,49,13,57,1689,103,3,1795,369,83,3,16,474,27,7,26,503,130,0,634,3,0,0,4,3,0,0,0,10,8,8,22,1777,259,27,44,2111,72,19,88,2200,240,10,2446,886,88,10,13,991,26,3,28,1022,81,3,1101,1007,140,11,7,1166,26,3,31,1196,68,0,1267
CED229,1288,37,13,48,1342,229,15,1579,10,0,0,3,12,0,0,0,10,0,23,37,5286,600,83,100,6073,119,24,145,6216,406,46,6670,1017,94,20,6,1133,21,4,24,1159,63,0,1225,1328,154,22,12,1514,24,0,28,1540,48,0,1590,42,10,5,0,57,0,0,3,57,8,0,68,19,0,0,21,42,0,0,0,42,4,0,41,2401,254,44,42,2743,48,7,54,2799,118,3,2918,44,5,0,0,47,8,0,8,54,12,0,66,62,9,0,0,73,10,3,11,83,4,0,90,107,12,3,0,126,11,3,15,137,11,0,153,2506,267,49,48,2871,57,12,73,2941,132,3,3074,613,81,9,19,723,30,3,33,762,143,0,900,7,0,0,3,5,0,0,0,5,0,10,17,3124,350,56,70,3605,91,12,106,3710,277,12,3999,1390,149,25,12,1573,40,7,50,1623,99,0,1720,1762,225,23,33,2048,25,3,36,2080,66,3,2140
CED230,822,41,6,48,867,135,0,1005,3,0,3,6,14,0,0,0,14,0,5,16,3429,419,66,73,3985,92,24,116,4101,284,14,4397,654,70,8,6,736,12,4,12,746,31,0,776,989,119,16,13,1143,21,4,18,1165,58,0,1219,38,3,9,0,50,3,0,3,54,0,0,55,3,5,3,14,25,0,0,0,22,3,0,27,1691,193,30,31,1953,35,3,37,1991,91,0,2082,19,5,0,0,26,3,0,3,27,3,0,26,36,7,0,0,43,0,0,0,43,3,0,48,55,9,0,0,64,3,0,5,71,8,0,77,1744,209,30,31,2013,37,6,41,2057,97,0,2156,372,66,17,12,463,13,6,15,484,90,3,573,6,0,0,0,4,0,0,0,6,0,4,12,2118,273,45,48,2487,44,14,60,2546,191,10,2750,936,72,13,8,1027,11,4,17,1047,55,7,1101,1279,160,22,20,1482,19,3,23,1507,80,0,1580
CED231,294,21,6,27,326,114,3,436,0,0,0,0,0,0,0,0,0,3,0,7,1285,211,19,40,1551,55,20,73,1624,179,14,1818,309,35,0,0,346,11,3,13,355,26,0,385,318,60,3,3,382,3,3,6,391,16,0,404,6,0,3,0,13,0,0,0,13,0,0,13,0,0,0,8,12,0,0,0,12,0,0,12,639,91,5,15,750,19,6,23,768,45,0,817,7,3,0,0,11,5,0,5,13,3,0,18,11,7,0,0,14,3,3,7,18,7,0,26,16,9,0,0,25,7,3,11,33,9,0,39,654,97,5,15,771,21,6,29,803,51,0,855,99,34,3,9,136,7,7,12,156,69,3,224,0,0,0,0,0,0,0,0,0,0,5,8,750,134,7,23,912,33,14,50,960,124,7,1094,435,52,3,4,496,6,9,17,511,40,0,548,323,61,0,4,392,12,0,14,398,28,0,432
CED232,388,11,3,12,406,44,0,453,6,0,0,8,10,0,0,0,10,0,0,17,1809,248,12,33,2095,55,14,67,2162,125,5,2293,362,53,5,0,419,12,4,18,434,27,0,464,471,73,5,3,555,11,3,12,563,19,0,579,7,4,0,0,13,0,0,0,13,0,0,13,4,4,0,9,18,0,0,0,15,0,0,15,843,132,9,11,999,27,9,33,1029,40,0,1068,10,0,0,0,12,0,0,3,14,0,0,14,19,3,0,0,24,0,0,0,25,0,0,25,24,3,0,0,28,3,0,3,31,0,0,34,871,139,9,11,1030,24,6,35,1061,44,0,1106,175,29,0,3,202,7,0,8,206,22,0,229,4,0,0,3,9,0,0,0,9,0,3,8,1041,163,9,20,1233,27,11,40,1277,64,5,1347,454,73,0,0,530,8,0,8,537,31,0,572,609,77,6,4,693,12,0,13,702,29,3,729
CED233,760,22,7,25,781,94,0,879,3,0,0,7,11,0,0,0,11,0,3,15,3166,363,30,55,3617,82,19,100,3715,209,3,3930,614,66,9,0,688,19,4,23,718,37,0,754,976,134,8,8,1125,12,7,16,1141,35,0,1174,19,0,5,0,29,0,0,0,29,0,0,32,9,3,0,12,20,0,0,0,20,3,0,31,1623,205,15,20,1862,29,12,39,1902,75,3,1985,18,0,0,0,14,7,0,7,24,6,0,24,31,3,0,0,37,11,0,7,49,0,0,46,50,5,0,0,56,13,3,17,74,5,0,79,1669,214,15,21,1918,42,8,57,1977,81,3,2060,342,48,0,4,398,9,0,13,407,56,0,466,4,0,0,0,4,0,0,0,4,0,4,5,2020,256,23,30,2323,52,16,63,2393,138,9,2537,946,103,15,3,1076,45,4,54,1123,59,0,1183,1346,200,13,17,1574,22,6,25,1601,65,0,1666
CED234,562,18,4,25,582,201,3,788,4,0,0,6,13,0,0,0,13,0,11,23,2803,301,86,69,3254,63,11,77,3331,306,17,3653,678,53,11,9,746,11,3,13,758,31,0,787,819,88,15,16,942,9,0,9,951,31,4,984,43,4,4,0,56,0,0,0,60,0,0,60,9,3,0,14,25,0,0,0,25,0,0,27,1556,148,28,42,1767,20,4,28,1797,64,4,1860,18,0,0,3,17,4,0,4,22,0,0,24,21,4,0,0,23,0,0,0,27,0,0,24,34,3,0,3,45,4,0,5,46,3,0,49,1589,151,32,45,1811,29,5,32,1841,63,4,1912,246,31,17,13,307,15,6,19,323,126,0,449,0,0,0,3,5,0,0,0,5,0,6,14,1832,179,51,56,2119,42,12,49,2172,196,12,2378,1026,89,18,3,1138,15,3,19,1158,42,3,1202,1119,124,26,13,1275,16,8,20,1301,56,4,1355
