CED_CODE_2016,M_15_19_yr_Volunteer,M_15_19_yr_N_a_volunteer,M_15_19_yr_Voluntary_work_ns,M_15_19_yr_Tot,M_20_24_yr_Volunteer,M_20_24_yr_N_a_volunteer,M_20_24_yr_Voluntary_work_ns,M_20_24_yr_Tot,M_25_34_yr_Volunteer,M_25_34_yr_N_a_volunteer,M_25_34_yr_Voluntary_work_ns,M_25_34_yr_Tot,M_35_44_yr_Volunteer,M_35_44_yr_N_a_volunteer,M_35_44_yr_Voluntary_work_ns,M_35_44_yr_Tot,M_45_54_yr_Volunteer,M_45_54_yr_N_a_volunteer,M_45_54_yr_Voluntary_work_ns,M_45_54_yr_Tot,M_55_64_yr_Volunteer,M_55_64_yr_N_a_volunteer,M_55_64_yr_Voluntary_work_ns,M_55_64_yr_Tot,M_65_74_yr_Volunteer,M_65_74_yr_N_a_volunteer,M_65_74_yr_Voluntary_work_ns,M_65_74_yr_Tot,M_75_84_yr_Volunteer,M_75_84_yr_N_a_volunteer,M_75_84_yr_Voluntary_work_ns,M_75_84_yr_Tot,M_85ov_Volunteer,M_85ov_N_a_volunteer,M_85_ov_Voluntary_work_ns,M_85ov_Tot,M_Tot_Volunteer,M_Tot_N_a_volunteer,M_Tot_Voluntary_work_ns,M_Tot_Tot,F_15_19_yr_Volunteer,F_15_19_yr_N_a_volunteer,F_15_19_yr_Voluntary_work_ns,F_15_19_yr_Tot,F_20_24_yr_Volunteer,F_20_24_yr_N_a_volunteer,F_20_24_yr_Voluntary_work_ns,F_20_24_yr_Tot,F_25_34_yr_Volunteer,F_25_34_yr_N_a_volunteer,F_25_34_yr_Voluntary_work_ns,F_25_34_yr_Tot,F_35_44_yr_Volunteer,F_35_44_yr_N_a_volunteer,F_35_44_yr_Voluntary_work_ns,F_35_44_yr_Tot,F_45_54_yr_Volunteer,F_45_54_yr_N_a_volunteer,F_45_54_yr_Voluntary_work_ns,F_45_54_yr_Tot,F_55_64_yr_Volunteer,F_55_64_yr_N_a_volunteer,F_55_64_yr_Voluntary_work_ns,F_55_64_yr_Tot,F_65_74_yr_Volunteer,F_65_74_yr_N_a_volunteer,F_65_74_yr_Voluntary_work_ns,F_65_74_yr_Tot,F_75_84_yr_Volunteer,F_75_84_yr_N_a_volunteer,F_75_84_yr_Voluntary_work_ns,F_75_84_yr_Tot,F_85ov_Volunteer,F_85ov_N_a_volunteer,F_85_ov_Voluntary_work_ns,F_85ov_Tot,F_Tot_Volunteer,F_Tot_N_a_volunteer,F_Tot_Voluntary_work_ns,F_Tot_Tot,P_15_19_yr_Volunteer,P_15_19_yr_N_a_volunteer,P_15_19_yr_Voluntary_work_ns,P_15_19_yr_Tot,P_20_24_yr_Volunteer,P_20_24_yr_N_a_volunteer,P_20_24_yr_Voluntary_work_ns,P_20_24_yr_Tot,P_25_34_yr_Volunteer,P_25_34_yr_N_a_volunteer,P_25_34_yr_Voluntary_work_ns,P_25_34_yr_Tot,P_35_44_yr_Volunteer,P_35_44_yr_N_a_volunteer,P_35_44_yr_Voluntary_work_ns,P_35_44_yr_Tot,P_45_54_yr_Volunteer,P_45_54_yr_N_a_volunteer,P_45_54_yr_Voluntary_work_ns,P_45_54_yr_Tot,P_55_64_yr_Volunteer,P_55_64_yr_N_a_volunteer,P_55_64_yr_Voluntary_work_ns,P_55_64_yr_Tot,P_65_74_yr_Volunteer,P_65_74_yr_N_a_volunteer,P_65_74_yr_Voluntary_work_ns,P_65_74_yr_Tot,P_75_84_yr_Volunteer,P_75_84_yr_N_a_volunteer,P_75_84_yr_Voluntary_work_ns,P_75_84_yr_Tot,P_85ov_Volunteer,P_85ov_N_a_volunteer,P_85_ov_Voluntary_work_ns,P_85ov_Tot,P_Tot_Volunteer,P_Tot_N_a_volunteer,P_Tot_Voluntary_work_ns,P_Tot_Tot
CED211,882,3188,219,4295,810,3410,170,4395,1508,7787,459,9760,2269,7761,456,10484,2322,6626,436,9377,1564,5592,331,7490,1477,4209,321,6011,824,2547,309,3675,163,1153,215,1528,11824,42277,2918,57011,1060,2870,187,4115,1049,2838,166,4050,1880,8029,486,10397,3244,7296,430,10968,2822,6803,398,10018,1849,6181,347,8375,1942,4966,431,7339,1003,3357,544,4898,212,2170,460,2841,15058,44502,3438,63002,1942,6058,412,8412,1860,6248,336,8448,3384,15824,945,20153,5517,15055,878,21451,5142,13425,827,19401,3417,11773,675,15861,3421,9173,754,13342,1826,5899,850,8576,376,3321,676,4369,26879,86779,6358,120018
CED212,597,3359,378,4333,530,3406,292,4224,963,6844,607,8408,1530,7072,619,9229,1817,7374,662,9854,1321,6697,631,8650,1320,5162,572,7055,652,2792,465,3910,113,1072,185,1374,8846,43788,4415,57044,787,3223,329,4341,736,3167,296,4199,1294,6997,587,8878,2348,6960,589,9900,2249,7709,649,10605,1699,7256,612,9569,1828,5770,723,8324,847,3329,651,4822,142,1837,350,2323,11930,46243,4788,62952,1389,6580,708,8675,1267,6566,590,8419,2256,13840,1190,17284,3882,14035,1207,19126,4061,15086,1316,20458,3020,13951,1246,18222,3149,10935,1295,15381,1500,6122,1118,8734,252,2915,538,3702,20768,90029,9201,119996
CED213,641,3477,455,4577,479,3213,273,3965,790,5678,463,6930,1696,6246,580,8521,2088,7318,718,10120,1873,7694,740,10306,2050,6821,896,9760,1033,3528,748,5306,203,1308,356,1873,10851,45287,5225,61363,779,2899,394,4072,577,2732,233,3539,1277,5921,482,7675,2497,6065,600,9163,2614,7555,676,10851,2337,8159,804,11300,2768,6843,934,10547,1186,3538,890,5618,241,1842,584,2671,14280,45551,5598,65436,1420,6380,844,8643,1048,5942,503,7498,2070,11596,947,14605,4191,12317,1183,17685,4699,14871,1394,20969,4210,15851,1545,21612,4821,13670,1829,20310,2217,7067,1635,10923,450,3147,943,4541,25131,90841,10827,126797
CED214,685,3083,336,4102,864,4735,464,6068,1934,12391,1175,15500,2182,10255,965,13395,1965,8021,751,10742,1318,6370,622,8309,707,4193,487,5385,304,2508,456,3272,74,1037,219,1332,10020,52599,5470,68087,726,2822,307,3854,1097,3834,403,5335,2483,11334,1081,14896,2870,9463,825,13154,2440,7750,670,10861,1439,6491,579,8513,939,4446,557,5942,364,3344,511,4224,91,1791,343,2230,12443,51279,5283,69009,1405,5903,646,7953,1960,8572,871,11400,4416,23723,2254,30389,5049,19714,1788,26545,4408,15767,1426,21606,2755,12862,1204,16824,1642,8642,1045,11333,668,5858,965,7489,158,2830,562,3558,22463,103882,10757,137098
CED215,698,2915,551,4170,603,2824,452,3873,1232,5479,972,7679,1712,5057,893,7658,2104,6039,918,9057,2446,6901,976,10322,2272,5924,1032,9235,905,2868,665,4446,167,953,291,1409,12143,38967,6748,57849,780,2663,482,3930,682,2600,352,3634,1646,5674,658,7982,2354,4973,619,7945,2634,6297,827,9759,2726,7214,926,10866,2520,5434,953,8911,1046,2952,901,4900,201,1501,510,2213,14592,39320,6233,60139,1482,5581,1039,8105,1292,5424,799,7512,2877,11157,1628,15661,4062,10027,1513,15605,4734,12337,1744,18811,5174,14119,1897,21189,4798,11362,1983,18142,1949,5821,1570,9345,368,2454,807,3623,26727,78286,12981,117989
CED216,1050,3458,283,4796,829,3103,224,4153,938,5811,490,7234,1959,6612,522,9094,3052,7408,613,11068,2007,6313,499,8822,1479,4545,389,6417,643,2344,292,3276,157,1386,189,1736,12113,40989,3498,56596,1219,2952,241,4403,980,2759,209,3945,1339,6001,447,7786,2955,6965,514,10429,3730,7958,603,12289,2221,6815,491,9521,1801,4955,448,7200,859,3049,392,4299,261,2675,444,3387,15361,44126,3781,63266,2267,6409,522,9201,1803,5859,429,8093,2274,11808,943,15026,4911,13575,1035,19527,6780,15368,1210,23363,4229,13126,988,18340,3282,9496,841,13616,1499,5394,682,7583,423,4061,631,5121,27469,85109,7276,119860
CED217,709,5264,548,6526,612,5307,579,6502,1293,11965,1369,14625,1918,12548,1195,15658,1414,9636,906,11960,868,7547,687,9102,610,4807,501,5922,163,1609,260,2032,28,375,59,462,7615,59068,6107,72792,890,4835,493,6207,923,4851,563,6342,1802,12858,1156,15811,2644,12436,1068,16146,1662,9843,869,12374,1046,8089,693,9829,667,4652,601,5917,170,1826,297,2296,29,725,114,870,9829,60106,5847,75785,1601,10101,1032,12732,1531,10160,1143,12841,3093,24824,2520,30439,4558,24982,2264,31806,3076,19479,1777,24335,1916,15638,1376,18932,1276,9460,1100,11840,336,3432,558,4329,56,1098,179,1332,17444,119180,11959,148579
CED218,957,2481,250,3682,1210,4553,421,6190,2324,12227,1337,15885,2114,7698,759,10572,2379,6233,621,9229,1723,5029,472,7229,1241,3782,400,5422,598,2198,348,3150,130,1030,140,1305,12689,45234,4747,62669,1102,2469,244,3811,1716,5171,488,7375,3093,12475,1358,16925,2910,7176,687,10771,3037,6215,537,9791,2010,5572,515,8091,1556,4315,443,6307,723,2887,453,4070,172,1778,323,2274,16311,48052,5053,69414,2056,4945,489,7492,2927,9729,910,13562,5413,24704,2696,32810,5023,14877,1450,21348,5412,12447,1160,19024,3730,10603,987,15318,2799,8098,841,11729,1324,5083,806,7216,299,2811,466,3576,28996,93289,9799,132082
CED219,782,5585,546,6919,819,6061,549,7426,1518,13190,1090,15799,1945,12418,944,15306,1636,9956,776,12359,1127,7893,638,9659,665,4547,489,5704,213,1980,347,2536,22,625,104,751,8722,62256,5476,76461,916,4966,475,6364,1059,5297,438,6790,1996,13842,1015,16855,2467,11384,799,14651,1837,9917,760,12521,1285,8073,654,10006,769,4674,553,5999,248,2428,389,3060,36,1149,172,1356,10628,61733,5246,77600,1703,10554,1021,13280,1879,11356,983,14217,3519,27037,2102,32657,4413,23800,1745,29957,3476,19869,1535,24879,2414,15963,1284,19661,1431,9228,1047,11702,459,4406,730,5595,60,1776,274,2108,19354,123990,10717,154064
CED220,726,3452,281,4452,782,4495,360,5635,1191,9149,630,10971,1659,8299,554,10513,1685,7630,512,9825,1089,6563,429,8082,860,4513,417,5787,447,2858,367,3676,108,1279,207,1600,8544,48240,3758,60542,819,3137,248,4206,926,3666,272,4857,1435,8930,574,10949,2211,8203,519,10934,1973,7959,486,10420,1264,6864,426,8553,1079,5151,463,6695,583,3523,516,4619,159,1951,450,2551,10453,49379,3950,63781,1545,6587,532,8662,1706,8160,632,10492,2633,18084,1208,21917,3872,16495,1079,21443,3654,15592,1002,20246,2349,13427,859,16631,1941,9664,877,12479,1031,6380,880,8294,262,3231,655,4156,18996,97615,7710,124324
CED221,981,2811,534,4324,617,2722,334,3671,1184,4968,614,6764,2047,4984,695,7723,2775,5842,771,9389,2785,6592,895,10270,2507,5222,865,8596,881,2570,574,4027,150,970,283,1411,13930,36673,5562,56165,1140,2379,502,4020,633,2278,274,3184,1563,5184,523,7264,2875,4903,613,8393,3156,6053,741,9955,3106,6753,829,10684,2762,4911,836,8507,1082,2737,663,4483,230,1646,469,2343,16540,36841,5451,58829,2118,5192,1036,8349,1248,5002,608,6854,2743,10149,1133,14024,4921,9886,1309,16112,5932,11903,1509,19338,5893,13351,1719,20960,5269,10131,1705,17106,1961,5300,1240,8505,381,2616,757,3755,30468,73518,11014,114998
CED222,668,3784,335,4790,708,4130,324,5172,1145,8955,682,10785,1779,9213,692,11681,1936,8375,650,10966,1246,6819,539,8604,900,4559,489,5945,417,2245,397,3064,94,933,215,1244,8898,49014,4326,62239,893,3365,298,4554,827,3570,253,4644,1534,9143,641,11317,2578,8983,653,12214,2231,8554,562,11343,1431,7068,542,9047,1225,4958,566,6744,530,2898,534,3961,116,1668,437,2218,11354,50214,4480,66041,1558,7154,635,9346,1537,7698,574,9815,2681,18101,1323,22099,4355,18193,1345,23895,4168,16924,1215,22302,2673,13884,1084,17648,2117,9519,1054,12693,944,5150,930,7023,206,2603,654,3458,20249,99230,8803,128284
CED223,851,3220,260,4330,706,3431,229,4365,1283,6817,465,8564,1944,7164,474,9584,2323,6625,530,9478,1731,6355,421,8497,1407,4462,369,6243,560,2178,301,3036,107,928,188,1225,10915,41175,3233,55326,1039,2770,235,4040,996,2960,197,4158,1614,6810,449,8872,2990,6883,421,10296,2895,6958,460,10312,2027,6908,411,9343,1713,4644,453,6818,700,2716,445,3863,141,1615,381,2142,14113,42265,3459,59838,1883,5988,493,8365,1708,6395,425,8520,2902,13629,909,17438,4937,14049,898,19883,5219,13582,987,19791,3754,13257,832,17847,3123,9106,826,13056,1259,4891,745,6897,248,2550,575,3368,25027,83440,6695,115161
CED224,1464,3468,270,5202,1364,4379,331,6074,1688,7677,653,10014,1848,5865,459,8168,2830,6210,536,9578,2024,5334,392,7751,1613,3729,326,5668,724,2136,251,3110,205,1143,155,1496,13757,39932,3383,57065,1671,3254,263,5190,1626,3951,298,5875,2081,7634,615,10329,2879,6220,479,9581,3573,6933,491,11002,2345,5842,424,8607,1845,4329,428,6595,944,2760,362,4071,241,2331,300,2877,17204,43246,3665,64116,3136,6718,534,10388,2987,8331,632,11947,3766,15304,1273,20340,4722,12083,942,17749,6408,13142,1031,20576,4368,11177,820,16356,3457,8056,754,12264,1665,4895,621,7178,448,3469,456,4377,30963,83178,7043,121182
CED225,917,4762,364,6043,710,4063,240,5018,1111,7320,465,8894,2243,8352,540,11137,2459,8694,578,11731,1605,6822,473,8901,1154,4024,378,5553,422,1827,263,2519,71,614,122,810,10699,46477,3425,60605,1216,3983,323,5528,975,3601,225,4805,1540,7464,483,9485,3275,8412,499,12190,2796,8714,571,12073,1817,6873,437,9122,1301,4139,411,5856,508,1961,303,2765,85,988,191,1272,13514,46134,3454,63100,2135,8750,689,11570,1687,7664,472,9819,2649,14777,951,18379,5522,16763,1037,23326,5253,17408,1147,23807,3418,13692,913,18023,2454,8164,789,11413,934,3786,568,5285,162,1605,317,2077,24213,92619,6873,123705
CED226,857,5495,580,6931,868,5952,688,7506,2089,17053,1831,20978,2976,15542,1475,19997,2116,10652,922,13687,1192,7684,668,9544,745,4394,496,5628,223,1706,313,2236,22,441,112,573,11098,68920,7068,87089,1064,5007,500,6573,1185,5334,464,6988,2702,18630,1398,22730,3454,14232,1035,18720,2344,10487,807,13632,1372,8061,644,10077,807,4590,533,5933,236,2065,351,2655,27,802,211,1034,13192,69205,5939,88340,1924,10506,1079,13511,2052,11286,1158,14491,4791,35686,3226,43711,6436,29772,2502,38714,4453,21138,1724,27320,2572,15746,1307,19623,1551,8981,1029,11563,463,3771,662,4894,48,1242,320,1608,24290,138128,13014,175430
CED227,1159,2684,561,4403,755,2601,367,3723,1555,5186,768,7510,2093,4430,634,7163,2802,5423,861,9081,2808,6178,926,9912,2203,4745,964,7911,1073,2588,705,4368,190,1149,321,1661,14636,34993,6106,55735,1138,2420,536,4098,833,2404,323,3561,1810,5174,639,7630,2784,4289,597,7672,3202,5470,767,9444,2840,6017,895,9756,2536,4344,960,7842,1305,2980,880,5171,288,1982,536,2810,16752,35088,6141,57973,2299,5106,1098,8501,1587,5009,695,7289,3370,10367,1409,15144,4881,8720,1229,14831,6004,10891,1631,18522,5654,12196,1822,19671,4742,9089,1919,15751,2378,5577,1585,9536,480,3136,852,4469,31386,70083,12245,113709
CED228,717,3699,436,4852,922,5343,539,6803,1462,11229,1197,13890,1556,8686,803,11037,1671,8238,742,10662,1199,6945,598,8743,782,4976,600,6363,366,3026,459,3855,60,1158,224,1444,8743,53304,5605,67645,853,3464,410,4726,1186,4495,406,6090,1860,10847,1029,13738,2150,8647,756,11550,2078,8185,670,10931,1390,7568,638,9598,955,5475,658,7082,429,3859,625,4914,91,1918,384,2396,11005,54453,5575,71030,1574,7162,844,9577,2106,9838,946,12891,3324,22076,2224,27629,3708,17329,1555,22591,3756,16423,1413,21595,2594,14510,1238,18337,1735,10452,1258,13440,794,6888,1089,8770,157,3070,615,3842,19747,107757,11172,138675
CED229,1019,5378,651,7046,784,5207,432,6426,1573,12568,938,15076,2538,11972,977,15484,2565,10204,858,13625,1774,7962,764,10499,1335,5087,640,7053,449,2004,367,2816,65,637,128,829,12095,61009,5759,78868,1210,4784,607,6600,998,4825,393,6214,2139,13336,989,16468,3691,11544,910,16139,3036,10472,865,14383,2052,8208,732,10993,1550,5066,720,7338,465,2167,454,3085,88,999,241,1327,15238,61396,5916,82548,2233,10161,1259,13648,1786,10033,826,12647,3713,25899,1931,31546,6229,23514,1888,31630,5603,20674,1724,28001,3823,16171,1497,21491,2885,10151,1357,14390,912,4167,818,5905,152,1630,373,2156,27332,122402,11673,161415
CED230,900,3701,585,5185,674,3449,360,4481,1374,7670,714,9757,2045,6860,647,9557,2365,7207,855,10423,2212,7152,831,10190,2105,5776,874,8750,888,2925,636,4447,128,1017,267,1414,12690,45757,5761,64206,964,3363,485,4817,792,3453,350,4596,1959,8107,664,10734,3055,6519,678,10256,2930,7395,781,11101,2863,7286,875,11027,2643,5852,933,9428,1082,3121,770,4972,184,1803,456,2450,16474,46907,5994,69372,1864,7066,1067,9998,1463,6903,707,9076,3334,15775,1371,20488,5106,13381,1327,19819,5291,14600,1635,21524,5071,14440,1704,21214,4747,11624,1808,18180,1972,6051,1407,9420,312,2824,726,3861,29166,92664,11751,133583
