CED_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
CED217,9,42,0,1474,362,75,38,347,43,351,31,147,56,311,1009,2763,42,3,24,40,4,26,5,11,16,56,128,360,5688,917,272,6794,868,6416,259,1694,460,3009,1215,27603
CED218,27,115,7,5831,257,58,12,306,19,242,22,71,22,96,941,2042,31,4,13,36,0,14,5,0,10,16,34,156,3361,552,107,5091,547,3419,139,687,130,941,999,15976
CED219,3,33,0,1136,428,55,27,380,49,405,31,102,60,272,1097,2908,22,5,19,34,6,28,4,6,21,34,104,293,5946,1018,226,7098,838,7101,257,1870,415,2875,1281,28929
CED220,7,45,3,2335,266,45,22,284,23,211,17,78,26,229,881,2080,33,3,12,30,10,28,0,5,3,19,52,196,4246,746,140,5640,548,3888,166,1187,242,2381,981,20162
CED221,8,9,6,671,295,76,22,374,33,139,11,62,20,90,741,1867,19,0,13,33,10,14,0,4,9,17,42,157,2904,676,166,4763,530,2146,201,607,183,915,845,13932
CED222,13,38,0,2277,353,54,26,338,35,212,18,68,28,189,870,2196,23,3,22,36,4,22,3,7,4,20,47,208,4513,767,200,6320,655,4216,191,1009,220,1794,969,20863
CED223,14,33,0,3686,265,64,20,423,37,226,21,69,15,137,884,2154,34,5,16,51,7,11,8,4,9,16,40,194,3568,792,144,7102,718,3433,220,856,150,1232,949,19164
CED224,26,152,7,6948,305,78,19,415,15,250,15,100,15,128,1296,2633,28,0,19,43,12,23,3,7,5,12,36,188,4011,716,124,5826,518,3649,146,924,147,1272,1361,18683
CED225,9,25,3,2309,432,64,28,486,48,266,21,69,27,131,905,2481,41,7,19,60,13,23,5,9,5,14,46,244,4968,870,190,8039,757,4593,250,1012,234,1255,1006,23176
CED226,16,39,4,2333,423,72,30,381,61,355,22,110,54,233,1370,3103,42,3,25,43,8,28,3,4,18,47,110,335,7499,1117,273,8277,1100,8936,283,2003,489,2814,1586,34385
CED227,3,13,3,581,303,47,13,372,36,167,23,46,27,121,755,1903,22,3,14,32,4,10,6,3,10,29,43,181,2743,515,154,4574,474,2131,184,639,174,1136,862,13591
CED228,9,81,3,2885,267,54,19,312,29,234,12,107,37,268,810,2157,15,0,16,33,3,20,5,3,3,51,99,249,3785,751,173,5207,608,4097,150,1353,272,2771,970,20142
CED229,14,25,0,2188,495,85,34,542,51,357,32,110,53,194,1150,3098,61,6,25,67,15,40,11,7,24,40,78,363,6059,1055,271,9512,1178,6527,371,1435,384,1997,1305,30088
CED230,11,21,0,1042,334,54,23,455,41,203,11,86,24,138,787,2163,32,6,27,39,11,17,10,3,9,22,46,223,3233,797,198,6263,658,3637,229,996,262,1310,898,18474
CED231,9,43,4,2990,143,33,9,133,11,96,5,44,16,97,644,1228,10,3,6,17,3,5,0,4,8,14,37,110,2442,460,112,3021,522,2293,93,628,143,1145,717,11591
CED232,22,52,4,4043,174,44,14,210,20,138,7,39,13,78,736,1469,18,5,8,27,3,12,3,4,11,14,36,138,2558,505,103,3739,537,2458,131,558,121,751,790,12254
CED233,15,91,7,3738,315,63,22,414,40,244,20,93,19,203,1042,2489,21,0,23,50,10,22,4,6,3,21,46,208,3816,898,141,6173,533,3943,178,1071,187,1885,1126,19942
CED234,3,15,0,718,425,55,23,362,28,184,34,60,10,151,687,2011,38,4,12,39,5,19,4,0,10,37,45,214,3192,553,173,4756,506,2230,201,704,209,1317,783,14619
CED235,16,50,5,1763,324,71,29,395,48,298,18,132,41,339,919,2596,28,7,14,39,10,27,3,14,11,44,91,287,4333,917,207,6443,740,5139,225,1500,364,3287,1087,24251
CED236,3,8,4,655,340,52,14,393,21,157,23,66,13,90,662,1835,16,3,18,23,10,9,3,0,11,23,23,139,2521,614,174,4674,447,1998,202,632,174,967,741,13146
CED237,3,47,5,2408,178,45,19,275,33,198,14,90,29,216,812,1911,13,0,8,27,7,19,4,5,3,30,61,180,3090,800,143,5410,704,3766,177,1131,249,2154,939,18542
CED294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
