CED_CODE_2016,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot
CED211,0,13,37,251,155,162,80,29,4,732,0,0,0,9,13,17,14,6,4,64,0,3,4,26,13,10,3,0,0,64,13,88,87,463,215,215,214,163,97,1559,156,223,279,914,405,355,401,375,321,3427,4520,8484,8170,21359,10018,8375,7339,4898,2841,76001,0,0,0,32,17,11,3,7,0,65,8434,14550,12617,23143,12308,9479,7811,4907,2620,95876,0,7,12,60,19,10,4,0,0,111,0,3,4,33,10,24,7,5,3,96,0,0,14,124,104,91,42,23,7,399,0,18,26,101,39,35,20,5,0,244,0,3,4,33,33,14,28,11,0,123,84,373,947,4254,1210,925,460,202,55,8517,0,0,0,14,22,45,50,43,15,197,3,18,12,63,27,48,46,35,11,271,22,191,195,741,858,829,983,696,377,4889,0,3,15,66,39,45,25,13,0,199,3,6,4,54,17,19,21,4,9,136,3,19,23,82,75,107,222,151,62,745
CED212,0,4,11,52,13,11,5,0,0,89,0,4,11,35,32,26,35,20,6,172,0,5,8,34,18,11,7,5,0,82,12,80,113,464,235,229,233,142,63,1565,206,441,500,1236,746,660,663,456,202,5109,4229,8530,8536,18776,10605,9569,8324,4822,2323,75708,0,0,12,26,15,14,0,3,0,64,8191,15175,14097,26996,13748,11695,9054,4587,2147,105691,0,0,0,15,3,0,0,0,0,19,0,0,11,48,43,64,13,18,3,201,0,0,3,27,11,5,4,0,0,54,5,16,22,106,43,32,28,11,3,261,0,0,7,38,34,27,26,11,0,139,9,47,244,325,133,102,39,28,10,930,0,0,3,37,58,64,41,51,12,269,0,12,3,11,16,37,51,17,11,159,49,494,473,1404,1962,1892,2082,1455,583,10402,0,3,18,54,37,17,12,3,3,144,0,10,9,30,30,25,24,7,3,139,0,28,50,98,134,141,264,169,61,933
CED213,0,0,0,28,11,3,0,0,0,49,0,3,7,17,21,30,16,6,7,115,0,0,3,14,4,5,3,0,0,34,4,17,35,216,144,156,157,88,58,880,212,429,464,1165,810,929,898,625,390,5921,3984,9027,7608,16835,10851,11300,10547,5618,2671,78445,0,0,0,8,0,0,0,0,0,12,7765,16748,14263,26287,15511,15476,12941,6427,2739,118160,0,0,0,7,0,0,0,0,0,7,0,0,0,11,9,0,8,0,0,23,0,0,10,32,12,0,3,3,0,70,3,20,5,73,39,42,22,14,10,226,0,0,0,15,22,17,17,3,0,76,0,10,25,84,54,33,32,7,0,251,0,0,0,15,26,48,63,66,14,230,0,4,0,9,12,36,56,37,13,160,34,330,373,1012,1727,1747,2277,1418,504,9427,0,3,4,24,8,12,11,7,0,72,0,4,8,31,16,12,24,15,3,116,3,14,15,71,84,124,308,186,55,862
CED214,20,91,467,1932,975,963,320,168,56,4987,0,0,3,19,17,12,3,8,3,60,0,0,5,26,4,3,0,0,0,44,54,141,356,1382,525,411,334,295,155,3652,352,457,575,1854,744,628,508,408,293,5824,5605,8541,9185,28050,10861,8513,5942,4224,2230,83151,5,18,66,183,32,3,0,0,0,299,10227,14333,13158,29560,12101,8089,3946,2061,1296,94764,19,28,85,649,26,9,3,0,0,818,0,3,8,86,44,60,52,42,4,307,0,0,4,56,43,39,20,11,6,183,5,11,23,183,46,28,9,3,3,311,0,4,7,106,61,45,53,15,9,300,12,53,437,1058,340,238,107,103,40,2386,3,3,3,84,109,154,261,242,56,914,3,12,20,34,23,40,80,45,18,281,46,195,140,1413,861,733,542,280,135,4334,0,10,12,117,61,42,19,10,0,270,3,0,17,122,27,9,20,13,4,211,7,18,32,186,89,62,283,101,47,817
CED215,0,0,4,59,15,14,0,0,0,93,0,0,3,4,15,15,12,5,3,60,0,0,3,8,14,5,3,3,0,30,3,42,46,155,101,91,113,69,29,649,266,532,646,1409,965,1076,935,626,348,6811,3899,8297,7569,15927,9759,10866,8911,4900,2213,72339,0,0,0,3,0,0,0,0,0,4,7441,15293,13608,25389,14932,16121,12376,6003,2315,113472,0,5,0,36,10,4,0,0,0,51,0,0,0,3,0,0,3,7,3,13,0,0,8,16,3,0,0,0,0,29,3,11,10,45,27,26,21,7,3,154,0,0,0,14,7,9,10,0,0,44,3,14,72,148,58,38,12,6,0,352,0,0,0,6,19,22,33,29,7,114,0,6,0,23,3,18,16,14,0,73,11,67,69,311,611,914,1333,783,261,4353,0,0,11,29,11,27,4,4,0,88,0,3,8,10,6,14,10,12,0,63,0,6,3,38,52,107,331,166,63,767
CED216,3,9,16,124,38,31,10,3,3,235,0,9,0,15,21,11,16,8,9,94,0,0,3,28,13,9,4,0,0,68,24,166,184,1165,682,601,551,355,192,3918,159,346,349,930,605,523,443,313,302,3961,3933,9804,8349,18222,12289,9521,7200,4299,3387,76996,0,0,3,7,3,3,0,0,0,17,7043,16178,13091,19819,14341,11448,7625,3929,3041,96516,0,0,4,32,9,3,0,0,0,45,0,0,3,30,14,10,9,6,3,73,0,0,0,32,18,5,3,3,0,59,17,60,46,155,113,52,24,7,3,474,0,3,5,48,38,16,11,4,0,128,48,274,865,1543,750,429,171,107,39,4227,0,0,3,22,51,39,53,41,8,216,0,3,8,21,44,60,98,47,34,316,114,767,512,1596,1612,1082,976,518,304,7478,0,0,3,31,36,17,6,0,0,93,11,72,52,153,85,35,60,14,9,493,4,41,64,176,189,97,270,158,100,1097
CED217,25,72,316,2196,1040,639,210,88,33,4617,0,3,0,5,5,16,11,5,4,44,0,6,17,62,12,4,3,0,0,96,47,316,676,2319,1137,809,483,192,97,6081,455,857,759,1973,866,773,548,232,80,6544,7943,14750,12548,31959,12374,9829,5917,2296,870,98479,0,11,54,135,47,12,7,4,0,273,14603,24282,17874,32186,10509,7208,3722,1266,464,112112,7,19,25,214,39,25,9,0,0,331,0,4,75,437,263,159,72,30,8,1043,0,0,3,43,30,30,6,3,4,125,0,8,16,55,26,10,3,0,0,123,0,14,25,240,194,167,142,29,7,825,11,59,128,756,258,210,87,49,12,1582,0,6,25,166,270,311,253,160,26,1216,13,145,68,335,145,158,131,50,12,1068,11,147,98,479,616,645,590,332,102,3029,0,42,56,353,155,87,49,13,0,763,0,0,6,20,19,22,11,4,3,88,0,3,54,67,62,90,297,84,26,683
CED218,3,6,102,245,76,93,41,16,4,583,0,0,7,16,3,10,11,3,0,45,0,0,11,34,9,5,3,3,0,66,21,75,200,1324,342,339,396,350,165,3204,181,278,629,1997,561,528,420,380,252,5224,3516,7255,11190,27702,9791,8091,6307,4070,2274,80188,0,0,3,31,3,3,0,0,0,46,6377,12226,13444,28033,12415,9438,6492,3350,1860,93636,4,3,22,84,3,9,3,0,0,125,0,0,3,48,23,19,18,8,3,120,0,3,8,29,24,13,4,4,0,87,7,19,41,254,65,46,24,8,0,458,3,3,3,81,21,12,14,9,0,142,56,247,2726,3128,816,543,228,165,45,7947,0,0,5,36,25,45,29,31,11,184,4,10,10,34,20,54,64,55,27,269,59,229,351,1805,814,669,632,294,151,5006,3,0,8,82,27,14,14,3,3,145,8,30,62,325,60,34,43,14,9,585,3,14,43,219,65,55,179,85,67,738
CED219,4,21,58,395,148,123,25,15,3,800,0,0,3,12,9,17,9,10,0,61,0,12,26,77,17,16,3,0,0,156,31,305,626,1854,1031,855,460,240,88,5487,438,728,703,1805,790,678,479,251,131,5996,8240,14094,13152,31499,12521,10006,5999,3060,1356,99939,73,599,1964,3516,777,345,145,38,15,7471,15169,21495,16716,24926,9736,7189,3984,1821,836,101864,5,12,18,174,40,16,0,0,0,269,8,10,85,395,220,193,58,36,5,1007,12,45,117,723,308,212,79,26,8,1526,0,20,19,62,15,12,11,0,3,138,0,3,10,202,188,158,150,44,13,766,23,117,227,1190,522,397,176,78,33,2764,0,3,35,211,194,233,196,106,19,999,10,93,86,201,126,139,108,67,23,834,19,161,119,724,886,959,883,531,194,4477,0,40,149,684,356,236,86,38,5,1606,0,5,3,37,24,16,17,10,5,117,0,11,49,90,72,89,166,116,41,639
CED220,23,60,394,1645,1007,855,315,149,87,4527,0,0,0,3,7,0,6,6,3,28,0,6,10,45,3,4,3,3,0,75,61,235,249,1319,661,564,499,311,144,4046,194,272,377,1013,493,450,438,396,277,3912,4596,8438,9065,21879,10420,8553,6695,4619,2551,76814,0,0,39,68,17,8,7,7,0,142,8323,14351,12168,18261,9598,6886,4329,2733,1901,78533,3,9,24,94,35,26,3,0,0,202,0,0,7,67,43,34,21,14,0,192,22,116,431,1641,845,674,366,108,58,4269,9,9,24,77,43,11,8,0,6,190,0,4,7,90,69,58,82,35,5,347,43,173,1334,2826,796,742,251,229,111,6506,0,0,3,30,44,42,121,101,16,350,6,14,15,42,37,98,129,58,37,440,31,177,146,664,561,510,545,327,168,3133,0,0,20,95,70,56,27,8,3,293,3,9,14,76,33,17,17,20,3,202,0,12,23,92,57,46,155,108,58,552
CED221,0,4,3,16,0,0,0,0,0,21,0,0,4,3,13,5,13,3,3,40,0,0,0,11,6,3,3,0,0,23,11,38,45,187,98,103,137,106,45,772,226,475,537,1266,885,974,839,470,290,5961,3813,8539,7204,15653,9955,10684,8507,4483,2343,71186,0,0,0,6,0,0,0,0,0,10,7171,15940,13514,24871,15779,16589,12328,6001,2638,114836,0,4,0,14,3,0,0,0,0,19,0,0,0,7,5,5,8,7,0,33,0,5,5,13,3,3,0,0,0,27,8,6,3,56,27,34,15,11,0,160,0,0,0,6,6,0,3,0,0,20,3,17,37,94,31,13,15,8,0,215,0,0,0,3,21,32,53,57,16,184,0,3,0,9,0,5,10,3,3,35,10,58,84,348,617,740,1021,464,177,3524,0,3,5,27,13,12,5,3,0,64,0,7,7,26,13,19,25,3,3,99,0,6,14,44,78,161,387,168,73,930
