CED_CODE_2016,Canada_Before_1946,Canada_1946_1955,Canada_1956_1965,Canada_1966_1975,Canada_1976_1985,Canada_1986_1995,Canada_1996_2005,Canada_2006_2010,Canada_2011,Canada_2012,Canada_2013,Canada_2014,Canada_2015,Canada_2016,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1946,China_exc_SARs_Taiwan_46_55,China_exc_SARs_Taiwan_56_65,China_exc_SARs_Taiwan_66_75,China_exc_SARs_Taiwan_76_85,China_exc_SARs_Taiwan_86_95,China_exc_SARs_Taiwan_96_05,China_exc_SARs_Taiwan_06_10,China_exc_SARs_Taiwan_2011,China_exc_SARs_Taiwan_2012,China_exc_SARs_Taiwan_2013,China_exc_SARs_Taiwan_2014,China_exc_SARs_Taiwan_2015,China_exc_SARs_Taiwan_2016,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1946,Croatia_1946_1955,Croatia_1956_1965,Croatia_1966_1975,Croatia_1976_1985,Croatia_1986_1995,Croatia_1996_2005,Croatia_2006_2010,Croatia_2011,Croatia_2012,Croatia_2013,Croatia_2014,Croatia_2015,Croatia_2016,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1946,Egypt_1946_1955,Egypt_1956_1965,Egypt_1966_1975,Egypt_1976_1985,Egypt_1986_1995,Egypt_1996_2005,Egypt_2006_2010,Egypt_2011,Egypt_2012,Egypt_2013,Egypt_2014,Egypt_2015,Egypt_2016,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1946,Fiji_1946_1955,Fiji_1956_1965,Fiji_1966_1975,Fiji_1976_1985,Fiji_1986_1995,Fiji_1996_2005,Fiji_2006_2010,Fiji_2011,Fiji_2012,Fiji_2013,Fiji_2014,Fiji_2015,Fiji_2016,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1946,Germany_1946_1955,Germany_1956_1965,Germany_1966_1975,Germany_1976_1985,Germany_1986_1995,Germany_1996_2005,Germany_2006_2010,Germany_2011,Germany_2012,Germany_2013,Germany_2014,Germany_2015,Germany_2016,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1946,Greece_1946_1955,Greece_1956_1965,Greece_1966_1975,Greece_1976_1985,Greece_1986_1995,Greece_1996_2005,Greece_2006_2010,Greece_2011,Greece_2012,Greece_2013,Greece_2014,Greece_2015,Greece_2016,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1946,Hng_Kng_SAR_China_1946_1955,Hng_Kng_SAR_China_1956_1965,Hng_Kng_SAR_China_1966_1975,Hng_Kng_SAR_China_1976_1985,Hng_Kng_SAR_China_1986_1995,Hng_Kng_SAR_China_1996_2005,Hng_Kng_SAR_China_2006_2010,Hong_Kong_SAR_China_2011,Hong_Kong_SAR_China_2012,Hong_Kong_SAR_China_2013,Hong_Kong_SAR_China_2014,Hong_Kong_SAR_China_2015,Hong_Kong_SAR_China_2016,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1946,India_1946_1955,India_1956_1965,India_1966_1975,India_1976_1985,India_1986_1995,India_1996_2005,India_2006_2010,India_2011,India_2012,India_2013,India_2014,India_2015,India_2016,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1946,Indonesia_1946_1955,Indonesia_1956_1965,Indonesia_1966_1975,Indonesia_1976_1985,Indonesia_1986_1995,Indonesia_1996_2005,Indonesia_2006_2010,Indonesia_2011,Indonesia_2012,Indonesia_2013,Indonesia_2014,Indonesia_2015,Indonesia_2016,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1946,Iran_1946_1955,Iran_1956_1965,Iran_1966_1975,Iran_1976_1985,Iran_1986_1995,Iran_1996_2005,Iran_2006_2010,Iran_2011,Iran_2012,Iran_2013,Iran_2014,Iran_2015,Iran_2016,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1946,Iraq_1946_1955,Iraq_1956_1965,Iraq_1966_1975,Iraq_1976_1985,Iraq_1986_1995,Iraq_1996_2005,Iraq_2006_2010,Iraq_2011,Iraq_2012,Iraq_2013,Iraq_2014,Iraq_2015,Iraq_2016,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1946,Ireland_1946_1955,Ireland_1956_1965,Ireland_1966_1975,Ireland_1976_1985,Ireland_1986_1995,Ireland_1996_2005,Ireland_2006_2010
CED211,0,4,7,29,32,44,44,30,9,6,8,9,8,0,4,244,0,8,39,26,97,806,2103,2485,398,488,480,538,549,222,289,8517,0,10,41,102,3,28,0,0,0,0,0,0,0,0,0,197,0,26,53,32,12,23,16,37,9,10,10,21,3,0,11,271,0,0,3,19,29,65,42,22,3,3,0,0,0,0,8,199,3,233,181,84,63,43,50,43,3,7,5,3,0,0,24,745,3,74,302,191,25,17,13,0,3,3,3,0,3,0,16,653,0,0,16,29,144,475,319,128,35,25,41,27,36,31,34,1335,0,25,21,134,83,257,692,1307,161,168,266,286,266,170,101,3930,0,9,13,19,38,60,196,115,14,10,12,13,26,10,11,534,0,0,0,17,38,86,107,176,106,92,135,74,59,35,26,959,0,0,0,0,0,3,26,11,0,3,3,0,9,0,6,64,3,12,35,80,39,71,35,32
CED212,0,0,15,35,37,31,64,33,3,5,15,11,8,10,9,261,3,5,11,8,20,62,190,209,35,40,64,93,91,59,47,930,0,3,49,98,21,45,49,3,0,0,4,0,0,0,8,269,0,20,44,36,6,8,23,7,4,0,0,0,8,0,3,159,0,0,4,3,11,34,57,11,8,9,0,3,0,3,8,144,3,212,213,125,100,55,102,51,14,14,3,12,4,3,24,933,0,43,181,139,19,19,10,7,3,16,7,16,3,0,20,494,0,0,9,7,23,18,20,18,0,5,14,13,14,10,7,163,0,23,14,106,46,61,130,371,58,48,57,65,39,33,34,1075,0,3,10,4,15,18,27,25,3,9,9,6,8,0,6,145,0,0,0,3,6,7,13,13,7,3,13,7,8,0,0,79,0,0,0,0,0,9,8,3,3,0,0,0,0,0,0,24,0,26,59,146,73,97,60,66
CED213,4,3,18,34,27,34,44,30,7,9,4,3,3,3,3,226,6,5,13,5,15,24,41,61,7,8,8,13,18,8,10,251,0,16,53,122,9,12,5,0,0,0,3,0,0,0,9,230,0,35,60,27,3,14,3,8,0,0,9,0,0,0,5,160,0,6,5,10,9,22,10,5,0,0,4,3,0,0,3,72,4,246,231,107,78,39,57,32,3,9,3,13,0,0,23,862,3,67,272,170,14,11,9,6,0,0,7,0,0,0,26,585,0,0,0,10,18,9,5,11,0,4,0,0,3,0,3,58,8,16,22,64,21,31,37,107,6,17,6,11,8,4,8,368,3,13,5,4,3,10,16,14,0,0,8,6,5,6,3,95,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,11,0,0,0,0,0,4,3,3,0,0,0,0,0,0,0,8,0,15,51,103,47,75,67,55
CED214,0,0,8,15,35,43,57,51,20,27,13,12,12,12,8,311,0,0,10,5,68,331,516,547,111,124,123,160,206,106,80,2386,0,18,241,435,30,73,64,9,3,4,0,6,4,0,38,914,0,15,71,63,20,23,36,6,6,0,3,3,10,3,14,281,0,3,3,4,26,76,53,33,11,8,11,14,4,7,16,270,0,298,118,51,35,30,75,79,18,16,19,20,11,12,34,817,5,194,1031,791,92,30,27,10,13,19,14,8,3,3,86,2325,0,0,7,17,54,127,85,48,6,17,14,12,9,6,8,402,3,3,8,131,63,151,406,1722,154,235,474,595,527,377,150,5014,0,3,3,3,24,65,142,97,22,10,32,21,25,13,20,493,0,0,0,5,7,10,18,53,59,113,158,13,19,12,18,493,0,0,0,0,3,18,24,41,17,13,6,0,3,5,3,139,0,18,43,71,34,63,100,132
CED215,0,0,9,28,9,11,23,25,0,0,3,4,10,8,7,154,0,4,5,0,6,22,75,72,15,15,18,27,44,8,46,352,0,8,21,64,5,5,0,0,0,0,0,0,0,0,6,114,0,4,18,11,3,0,9,15,8,0,3,0,0,3,4,73,0,0,0,5,12,19,10,17,3,3,0,0,0,0,7,88,8,350,180,79,51,29,18,13,3,3,0,0,9,0,26,767,3,18,59,49,3,0,0,0,0,0,0,0,0,0,12,143,0,0,3,4,7,12,5,3,0,0,0,8,0,3,18,60,4,10,14,22,11,5,66,272,26,35,34,28,37,11,25,602,0,3,6,4,8,9,7,16,0,0,3,3,0,0,4,69,0,0,0,0,0,0,0,11,0,4,3,4,3,3,3,30,0,0,0,0,0,0,0,3,3,0,3,4,3,0,6,22,0,22,39,46,19,27,7,20
CED216,0,0,12,60,37,48,108,75,17,15,23,18,29,21,10,474,5,21,36,27,56,531,719,907,210,241,278,407,413,201,173,4227,0,3,65,83,7,16,17,0,3,0,8,0,0,0,7,216,3,42,91,92,19,22,21,17,0,0,0,0,0,0,6,316,0,0,0,19,21,28,15,3,0,3,0,3,0,0,3,93,34,244,175,87,83,84,136,86,18,21,20,23,36,14,34,1097,8,107,592,432,28,18,14,4,3,10,12,6,9,5,35,1285,0,3,10,45,63,76,87,57,13,14,24,17,16,8,9,430,0,32,26,203,95,192,343,793,124,169,214,286,288,203,70,3039,0,9,6,16,7,36,67,39,5,5,9,7,9,7,0,222,0,0,0,0,20,20,21,33,6,14,6,3,5,10,4,148,0,0,0,0,0,8,12,7,0,0,0,5,0,0,0,39,3,14,50,71,53,103,111,172
CED217,0,0,3,5,6,23,44,22,6,0,6,0,3,0,0,123,0,3,3,8,33,182,455,486,72,72,57,52,48,30,87,1582,0,12,98,656,70,163,149,14,3,4,3,7,7,0,31,1216,0,27,77,117,44,193,195,188,41,40,64,30,17,7,40,1068,0,0,3,10,33,236,184,191,21,26,21,11,7,10,16,763,3,281,107,75,44,29,70,11,3,3,3,0,6,3,32,683,0,38,215,320,50,29,19,3,4,12,12,11,0,0,30,742,0,0,0,11,45,125,81,28,6,3,0,4,9,8,20,332,0,5,7,215,134,397,1689,3050,251,267,329,426,345,243,221,7574,0,0,4,0,11,92,196,81,4,17,16,11,12,7,11,466,0,0,0,9,8,31,23,30,47,41,45,9,12,9,11,274,0,0,0,5,9,55,112,79,14,14,72,39,47,83,33,558,0,11,29,72,20,43,18,30
CED218,0,0,6,35,50,51,53,75,26,16,34,43,36,26,18,458,4,26,37,35,79,804,1028,1397,326,512,574,1073,1181,542,325,7947,4,12,30,61,6,26,23,0,0,0,3,3,0,0,7,184,0,34,79,70,14,18,13,8,3,4,6,0,8,0,9,269,0,0,4,8,18,42,22,19,0,7,3,4,3,8,7,145,24,165,101,67,37,40,79,52,23,8,27,25,44,12,21,738,3,143,1246,694,62,27,15,17,13,30,25,20,12,4,67,2386,5,10,27,60,117,214,141,93,25,46,33,55,48,21,28,929,8,22,22,196,96,229,509,1441,234,328,376,609,635,474,136,5313,0,5,7,24,25,70,232,92,41,48,28,52,60,51,18,770,0,5,0,3,21,56,37,79,30,52,44,13,43,15,8,405,0,0,0,3,3,5,12,3,5,5,7,3,3,0,0,55,3,11,31,51,34,73,60,172
CED219,0,3,4,4,9,15,45,28,10,5,3,0,3,0,3,138,0,0,57,21,181,329,649,905,100,107,96,97,88,53,80,2764,0,3,63,383,55,114,333,19,0,4,0,0,4,0,21,999,0,16,51,89,37,155,174,143,17,28,55,15,24,0,38,834,0,0,6,14,113,467,500,291,26,37,46,26,21,11,32,1606,0,125,168,78,69,40,62,34,3,7,6,7,4,0,25,639,0,28,175,254,30,35,19,16,5,13,13,9,4,0,29,607,0,0,4,8,52,89,62,55,5,4,9,4,10,10,6,325,0,10,11,338,240,995,3296,6226,579,607,558,580,528,366,385,14717,0,3,7,24,58,77,208,131,21,22,21,16,18,6,17,620,0,0,3,0,6,26,102,125,57,76,188,39,29,13,15,684,0,0,0,5,12,84,143,188,33,8,32,17,25,11,3,561,3,7,28,81,50,34,12,25
CED220,0,5,3,31,19,27,38,29,0,16,4,6,6,0,3,190,0,13,33,33,126,733,1298,1609,334,316,393,486,577,288,262,6506,0,11,96,173,14,26,19,4,7,0,0,0,0,0,4,350,0,29,112,127,35,50,23,20,0,8,14,0,5,3,11,440,0,3,0,9,36,86,78,31,8,7,3,3,0,8,15,293,3,148,129,65,35,32,57,30,11,8,7,9,10,0,14,552,5,177,1511,1672,194,95,44,31,44,118,82,78,40,10,149,4247,0,0,11,23,70,153,113,70,10,11,24,29,20,6,13,561,0,19,21,405,268,634,1121,2658,237,318,472,724,598,440,244,8166,0,4,3,17,44,67,203,86,16,24,36,19,21,17,28,575,0,0,0,0,12,13,20,33,28,22,30,5,21,6,4,193,0,0,0,0,6,19,32,19,5,8,8,4,6,3,5,131,0,19,32,78,30,66,61,73
CED221,0,3,9,32,25,13,30,11,3,4,8,0,3,9,4,160,0,3,5,0,3,15,39,58,12,9,10,23,17,10,15,215,0,8,71,75,7,4,5,0,0,0,0,0,0,0,5,184,0,9,4,3,0,0,4,9,0,0,0,0,0,0,0,35,0,3,3,3,3,12,16,7,3,0,0,5,0,0,4,64,0,356,278,100,49,32,42,17,9,4,3,4,0,0,33,930,0,11,35,35,9,0,0,0,0,0,0,0,0,0,3,100,0,0,0,4,16,6,4,3,3,0,3,0,7,3,0,54,3,8,4,25,4,9,63,252,20,36,18,26,34,17,19,542,0,7,5,5,0,8,7,10,0,4,0,0,0,3,0,48,0,0,0,0,0,6,5,3,4,11,3,4,0,0,0,41,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,6,0,3,22,33,18,27,20,9
CED222,0,0,10,15,26,30,56,35,10,13,7,7,14,3,14,243,0,8,66,23,109,383,626,770,154,134,170,188,238,147,146,3148,0,0,43,164,17,57,81,13,5,3,3,3,0,0,17,417,0,28,68,61,31,52,38,11,11,4,9,3,3,4,9,332,0,0,0,8,49,182,151,72,7,13,13,8,8,9,11,522,0,156,132,97,71,64,87,64,8,10,9,3,19,12,25,756,0,45,364,423,58,35,19,3,3,22,16,8,3,11,40,1052,0,4,3,18,50,103,76,21,4,6,10,9,5,0,4,313,3,13,14,341,194,613,1018,1725,117,185,211,299,241,185,164,5326,0,4,6,7,21,40,104,38,12,7,15,6,5,3,11,288,0,0,0,0,11,10,23,45,30,50,49,22,23,9,13,285,0,0,0,5,6,6,26,18,6,9,14,3,6,6,3,107,0,12,40,101,45,79,66,77
CED223,0,3,6,31,30,39,63,39,13,8,6,0,10,3,8,262,0,11,32,13,29,460,748,781,149,151,173,225,212,135,100,3219,0,9,75,205,8,43,17,0,0,0,0,0,4,0,5,362,0,20,57,44,11,28,20,12,4,0,5,3,3,0,9,223,0,0,3,6,12,22,11,7,6,3,4,0,0,3,0,88,8,212,126,68,49,27,76,56,9,5,4,11,8,5,25,695,5,121,427,274,35,14,10,7,8,11,9,9,11,0,37,973,0,0,12,28,80,128,64,49,3,16,10,20,10,6,6,427,0,9,7,114,57,140,324,498,95,94,123,155,169,121,43,1953,0,11,12,6,12,42,77,31,10,6,8,4,8,6,5,231,0,4,0,7,15,71,56,143,68,71,75,23,23,11,14,579,0,0,0,3,4,14,34,10,0,3,9,4,4,0,3,79,0,14,21,95,44,99,71,56
