CED_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
CED211,1404,1328,2731,4623,4309,8930,974,1049,2030,510,484,995,6105,5845,11947,2980,2694,5674,922,922,1843,858,926,1787,4763,4539,9306,333,267,600,225,316,537,381,137,512,368,533,906,11,11,15,1317,1263,2577,1962,2064,4023,632,755,1384,189,255,446,619,980,1602,14,14,35,3416,4074,7492,231,249,478,337,686,1029,9,10,17,579,948,1520,3129,3647,6772,20711,21643,42358
CED212,1352,1193,2547,4584,4407,8987,821,769,1583,601,615,1222,6007,5787,11792,2867,2723,5589,678,722,1403,936,1048,1982,4482,4492,8975,222,303,527,128,249,378,535,256,791,420,600,1020,9,14,23,1316,1428,2740,973,1341,2314,217,451,664,119,192,302,372,823,1189,11,17,24,1683,2810,4497,158,185,341,252,570,822,11,11,19,414,771,1184,4738,5066,9797,19987,21548,41528
CED213,1219,1128,2340,4753,4527,9277,789,808,1604,670,664,1331,6212,5993,12207,2703,2553,5253,875,877,1750,958,999,1958,4536,4426,8958,232,270,505,111,199,309,538,230,769,314,542,857,19,14,37,1212,1262,2476,589,931,1522,148,324,474,81,130,204,274,722,998,5,8,12,1092,2117,3208,155,126,283,199,480,682,13,12,22,367,616,987,5445,5855,11296,20080,21396,41480
CED214,1393,1250,2646,4085,3851,7936,1415,1505,2922,339,392,726,5831,5748,11584,2376,2181,4562,1162,1355,2517,516,502,1020,4056,4044,8094,399,298,693,352,398,749,273,149,416,443,539,980,16,23,38,1484,1402,2886,2700,2544,5247,1299,1247,2550,195,275,465,839,1379,2213,26,25,51,5051,5475,10528,403,513,914,463,823,1287,13,14,30,882,1348,2224,5830,5790,11621,24530,25054,49581
CED215,1031,944,1976,3897,3590,7494,1316,1310,2627,443,411,856,5661,5314,10973,2385,2389,4771,1285,1299,2585,493,534,1023,4160,4222,8382,162,220,380,84,218,302,371,251,620,268,510,777,3,14,17,885,1209,2094,377,667,1045,149,331,487,63,155,220,294,702,999,4,11,12,896,1870,2766,129,137,266,191,399,588,11,8,21,323,547,874,7221,6789,14012,20177,20897,41070
CED216,1415,1313,2728,3986,3877,7863,1268,1322,2595,1445,1455,2896,6705,6653,13357,1846,1686,3530,959,1115,2068,2870,2537,5403,5676,5334,11008,207,162,367,120,218,330,199,84,279,219,363,587,9,11,12,744,828,1575,2615,2704,5318,545,693,1239,265,234,500,628,1011,1640,17,30,53,4073,4679,8746,127,120,252,242,542,786,3,3,9,375,669,1042,3862,4162,8025,22847,23632,46478
CED217,1823,1808,3635,6720,6301,13025,2262,2356,4621,1006,993,1997,9985,9653,19638,4490,4226,8716,1491,1843,3333,893,854,1741,6872,6925,13795,432,395,831,251,403,654,449,230,677,428,553,981,12,11,24,1580,1597,3172,1987,2442,4431,509,775,1279,228,317,543,501,761,1264,17,24,35,3239,4326,7556,409,535,937,488,968,1451,16,24,40,908,1526,2434,7296,7108,14408,31704,32936,64644
CED218,1197,1101,2292,2899,2669,5566,955,938,1895,1132,1274,2407,4991,4883,9870,757,873,1628,988,957,1949,2039,2129,4163,3778,3959,7736,304,243,540,262,338,595,163,96,261,350,440,791,3,6,14,1078,1122,2203,3761,4723,8481,1414,1588,2998,326,373,702,1070,1454,2526,13,24,35,6582,8158,14740,181,255,443,322,590,913,3,9,13,506,860,1364,5023,5341,10369,23156,25420,48575
CED219,1798,1601,3400,7072,6672,13743,1671,1651,3326,973,967,1934,9719,9283,19005,4859,4610,9471,1329,1426,2755,940,982,1918,7126,7018,14141,600,621,1218,317,515,839,515,329,844,563,827,1389,24,15,35,2015,2305,4323,2011,2252,4266,582,714,1293,222,316,547,495,801,1298,12,22,37,3323,4114,7438,426,569,992,474,1104,1574,18,30,51,911,1702,2614,6411,6396,12803,31303,32415,63725
CED220,1342,1221,2564,4134,3676,7810,1626,1550,3179,459,433,887,6217,5665,11877,2810,2556,5363,1261,1369,2633,570,677,1248,4640,4601,9235,547,400,941,316,365,679,319,124,438,387,439,829,15,9,25,1579,1333,2907,2714,2780,5498,879,874,1761,249,285,533,520,730,1257,19,25,44,4391,4692,9082,335,363,698,395,657,1054,5,11,21,736,1037,1771,3936,4176,8113,22834,22721,45552
CED221,1122,1077,2198,3650,3395,7040,1585,1461,3043,580,641,1221,5806,5494,11304,2636,2490,5120,1238,1298,2541,556,655,1212,4427,4443,8876,277,252,529,113,232,347,501,299,800,325,622,950,11,12,24,1233,1415,2650,250,558,803,133,300,428,52,123,179,294,778,1067,4,10,10,733,1763,2494,178,144,320,169,390,559,13,10,21,358,544,897,6007,6031,12042,19688,20767,40457
CED222,1425,1310,2743,4514,4321,8838,1570,1412,2983,649,690,1342,6732,6428,13165,3012,2912,5929,1195,1172,2372,899,916,1818,5111,5004,10117,406,377,781,218,300,517,422,206,628,413,521,936,14,7,21,1474,1407,2881,1726,2004,3736,482,649,1127,181,262,438,473,901,1377,16,17,33,2880,3833,6715,262,285,551,355,652,1010,10,14,23,631,954,1590,4669,4882,9547,22933,23825,46757
CED223,1314,1313,2623,4386,4104,8491,1242,1230,2476,412,436,852,6044,5775,11823,2702,2373,5073,1129,1204,2335,869,918,1785,4702,4485,9191,260,237,498,123,206,325,395,142,536,337,386,720,9,6,20,1127,969,2098,2009,2335,4348,654,773,1424,218,242,460,652,1026,1682,13,15,28,3547,4394,7940,187,159,350,244,490,731,12,8,19,443,659,1101,3417,3782,7200,20601,21383,41980
CED224,1159,1103,2266,3764,3415,7178,1130,1016,2150,1036,1274,2316,5937,5702,11644,1957,1962,3918,1201,975,2181,2521,2700,5224,5681,5638,11317,255,189,444,188,255,446,141,71,216,280,356,634,7,4,7,873,872,1745,4431,4275,8701,1247,1297,2545,348,390,741,867,1228,2101,19,25,41,6910,7216,14125,170,222,394,263,522,785,6,12,19,440,758,1198,3687,3983,7666,24683,25268,49956
CED225,1473,1359,2836,5318,4900,10219,1269,1238,2507,1294,1226,2518,7881,7360,15244,3288,2924,6213,1376,1361,2738,1697,1678,3375,6365,5960,12319,348,397,739,139,232,372,701,266,971,430,579,1009,15,18,24,1627,1495,3121,1627,2001,3624,289,568,853,179,277,460,421,932,1351,9,12,21,2519,3792,6312,175,220,386,265,594,860,3,11,12,442,820,1257,3875,3967,7842,24189,24756,48939
CED226,2390,2279,4665,7729,7005,14735,2742,2648,5388,1456,1473,2931,11926,11126,23057,4371,4171,8535,1923,2099,4023,1014,1051,2063,7304,7318,14622,516,476,986,341,607,945,528,225,752,530,834,1361,15,20,41,1929,2154,4092,2452,2634,5090,1098,1269,2366,243,341,584,807,1170,1971,19,30,51,4619,5447,10068,590,728,1315,621,1322,1940,16,27,45,1224,2068,3295,8104,7104,15203,37503,37506,75007
CED227,1107,984,2093,4016,3628,7647,1114,1114,2230,453,444,898,5591,5184,10776,3428,3332,6767,822,856,1679,201,223,422,4448,4417,8867,174,179,351,81,138,219,331,238,570,323,462,786,14,6,28,931,1026,1951,223,508,727,99,261,365,62,136,202,205,562,769,0,14,16,597,1485,2080,122,149,275,145,342,488,9,11,26,282,505,780,6559,6536,13095,19506,20133,39640
CED228,1162,1048,2218,2960,2662,5618,2476,2346,4823,536,599,1143,5973,5612,11587,2748,2420,5167,1555,1750,3310,687,794,1485,4992,4971,9957,453,386,839,287,446,733,326,150,479,351,405,762,24,8,29,1448,1393,2838,3033,3178,6208,1020,1049,2068,297,294,584,625,918,1544,24,25,48,4994,5469,10458,447,563,1012,456,837,1298,21,22,45,920,1427,2349,5890,6072,11968,25379,25995,51375
CED229,2281,2064,4347,7598,6918,14514,2307,2339,4644,831,819,1650,10735,10075,20815,4362,4338,8697,2063,1888,3954,1021,960,1981,7449,7185,14636,419,414,840,183,369,551,703,346,1051,516,740,1256,14,21,31,1836,1884,3724,1516,2012,3526,419,718,1137,201,292,495,584,1179,1763,8,23,32,2732,4225,6954,316,352,664,405,836,1240,15,13,28,732,1198,1932,6648,6918,13567,32416,33559,65975
CED230,1496,1395,2893,5208,4940,10151,1396,1396,2787,798,833,1629,7401,7169,14570,3290,3190,6480,984,1062,2048,861,962,1821,5138,5218,10351,295,354,647,113,280,393,546,322,867,342,669,1006,15,14,35,1315,1642,2954,623,968,1590,204,502,705,91,202,297,330,826,1157,4,13,14,1250,2514,3760,188,228,422,247,600,845,9,16,33,448,848,1294,6207,6645,12853,23243,25428,48675
CED231,858,840,1696,2437,2241,4683,651,679,1339,356,455,811,3452,3378,6829,1458,1435,2892,489,497,987,564,668,1232,2509,2597,5112,780,856,1640,828,1119,1940,221,169,387,664,799,1466,18,16,35,2515,2953,5465,11482,15013,26502,4064,4272,8345,419,534,955,1771,2444,4216,38,58,100,17781,22323,40113,790,1265,2058,862,1246,2104,8,34,45,1660,2549,4201,11220,11071,22288,39996,45709,85707
CED232,1079,1013,2089,2119,1997,4118,441,451,885,1381,1290,2665,3936,3731,7672,900,813,1714,318,356,678,1545,1579,3118,2760,2754,5513,249,260,511,326,423,745,134,136,268,422,568,989,4,11,16,1138,1391,2532,2899,3556,6455,1434,1701,3133,233,332,563,1253,1746,3000,20,20,43,5834,7354,13195,339,388,728,476,781,1260,13,14,30,835,1183,2016,7900,8009,15906,23487,25434,48916
CED233,1105,1061,2167,3754,3483,7232,1133,1034,2168,644,604,1248,5529,5120,10648,2661,2399,5059,1123,1067,2184,1405,1342,2748,5191,4802,9991,277,216,499,159,232,387,366,121,484,273,355,632,12,6,16,1085,929,2017,2622,2748,5377,555,639,1191,262,255,514,475,730,1208,14,35,48,3925,4409,8333,172,189,363,323,571,891,4,11,12,501,768,1264,2882,3234,6113,20207,20327,40533
CED234,1096,998,2092,3964,3606,7566,1723,1733,3458,349,325,674,6030,5666,11695,2673,2558,5224,1520,1487,3006,588,538,1122,4772,4578,9355,163,245,406,107,237,344,449,277,724,284,611,899,13,14,27,1015,1388,2403,301,540,842,98,263,365,46,147,197,201,556,753,6,7,13,648,1520,2171,165,174,339,171,413,582,12,3,21,346,596,943,6951,6891,13839,20864,21634,42502
CED235,1439,1267,2706,4764,4397,9164,1867,1805,3674,423,466,885,7054,6670,13720,3321,3126,6441,1711,1710,3418,476,469,950,5507,5305,10814,467,408,869,248,408,661,501,209,711,438,515,952,15,6,27,1670,1553,3219,2442,2859,5298,813,901,1715,233,264,494,463,737,1198,15,21,41,3961,4786,8741,334,392,718,348,638,979,17,20,38,697,1047,1740,4579,4801,9377,24896,25421,50320
CED236,966,892,1856,3639,3257,6896,1443,1493,2929,332,290,621,5411,5037,10446,2548,2378,4925,1201,1360,2565,444,444,890,4198,4183,8378,158,200,360,39,150,191,355,212,570,253,518,769,12,19,28,819,1098,1916,308,579,886,122,248,371,57,114,172,239,551,785,3,10,16,727,1501,2224,72,121,193,167,345,510,11,15,27,251,476,734,6688,5775,12465,19053,18965,38020
CED237,1376,1237,2618,3590,3228,6818,1568,1561,3120,547,638,1184,5704,5424,11127,2353,2130,4484,972,1040,2011,546,609,1163,3879,3780,7659,401,303,702,373,383,756,277,157,432,485,518,1006,13,14,31,1550,1374,2929,3022,3413,6434,1935,2022,3950,256,388,647,1055,1730,2784,22,21,48,6284,7572,13864,383,370,753,443,667,1107,15,20,32,844,1055,1895,5565,5698,11266,25204,26149,51349
CED294,27,25,49,63,82,139,9,10,17,7,8,23,76,101,179,49,53,102,5,3,4,20,8,30,67,66,137,16,25,43,11,22,35,7,4,13,13,27,38,0,3,4,55,82,139,78,125,206,43,45,90,6,15,23,12,29,43,3,0,4,147,220,366,18,26,49,36,30,66,0,0,0,58,63,114,1310,734,2042,1743,1279,3025
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,0,6
