UCL_CODE_2016,P_15_19_Num_chld_evr_brn_Nne,P_15_19_Num_chld_evr_brn_1,P_15_19_Num_chld_evr_brn_2,P_15_19_Num_chld_evr_brn_3,P_15_19_Num_chld_evr_brn_4,P_15_19_Num_chld_evr_brn_5,P_15_19_Num_chd_evr_brn_6_mr,P_15_19_Num_chld_evr_brn_ns,P_15_19_yrs_Total,P_20_24_Num_chld_evr_brn_Nne,P_20_24_Num_chld_evr_brn_1,P_20_24_Num_chld_evr_brn_2,P_20_24_Num_chld_evr_brn_3,P_20_24_Num_chld_evr_brn_4,P_20_24_Num_chld_evr_brn_5,P_20_24_Num_chd_evr_brn_6_mr,P_20_24_Num_chld_evr_brn_ns,P_20_24_yrs_Total,P_25_29_Num_chld_evr_brn_Nne,P_25_29_Num_chld_evr_brn_1,P_25_29_Num_chld_evr_brn_2,P_25_29_Num_chld_evr_brn_3,P_25_29_Num_chld_evr_brn_4,P_25_29_Num_chld_evr_brn_5,P_25_29_Num_chd_evr_brn_6_mr,P_25_29_Num_chld_evr_brn_ns,P_25_29_yrs_Total,P_30_34_Num_chld_evr_brn_Nne,P_30_34_Num_chld_evr_brn_1,P_30_34_Num_chld_evr_brn_2,P_30_34_Num_chld_evr_brn_3,P_30_34_Num_chld_evr_brn_4,P_30_34_Num_chld_evr_brn_5,P_30_34_Num_chd_evr_brn_6_mr,P_30_34_Num_chld_evr_brn_ns,P_30_34_yrs_Total,P_35_39_Num_chld_evr_brn_Nne,P_35_39_Num_chld_evr_brn_1,P_35_39_Num_chld_evr_brn_2,P_35_39_Num_chld_evr_brn_3,P_35_39_Num_chld_evr_brn_4,P_35_39_Num_chld_evr_brn_5,P_35_39_Num_chd_evr_brn_6_mr,P_35_39_Num_chld_evr_brn_ns,P_35_39_yrs_Total,P_40_44_Num_chld_evr_brn_Nne,P_40_44_Num_chld_evr_brn_1,P_40_44_Num_chld_evr_brn_2,P_40_44_Num_chld_evr_brn_3,P_40_44_Num_chld_evr_brn_4,P_40_44_Num_chld_evr_brn_5,P_40_44_Num_chd_evr_brn_6_mr,P_40_44_Num_chld_evr_brn_ns,P_40_44_yrs_Total,P_45_49_Num_chld_evr_brn_Nne,P_45_49_Num_chld_evr_brn_1,P_45_49_Num_chld_evr_brn_2,P_45_49_Num_chld_evr_brn_3,P_45_49_Num_chld_evr_brn_4,P_45_49_Num_chld_evr_brn_5,P_45_49_Num_chd_evr_brn_6_mr,P_45_49_Num_chld_evr_brn_ns,P_45_49_yrs_Total,P_50_54_Num_chld_evr_brn_Nne,P_50_54_Num_chld_evr_brn_1,P_50_54_Num_chld_evr_brn_2,P_50_54_Num_chld_evr_brn_3,P_50_54_Num_chld_evr_brn_4,P_50_54_Num_chld_evr_brn_5,P_50_54_Num_chd_evr_brn_6_mr,P_50_54_Num_chld_evr_brn_ns,P_50_54_yrs_Total,P_55_59_Num_chld_evr_brn_Nne,P_55_59_Num_chld_evr_brn_1,P_55_59_Num_chld_evr_brn_2,P_55_59_Num_chld_evr_brn_3,P_55_59_Num_chld_evr_brn_4,P_55_59_Num_chld_evr_brn_5,P_55_59_Num_chd_evr_brn_6_mr,P_55_59_Num_chld_evr_brn_ns,P_55_59_yrs_Total,P_60_64_Num_chld_evr_brn_Nne,P_60_64_Num_chld_evr_brn_1,P_60_64_Num_chld_evr_brn_2,P_60_64_Num_chld_evr_brn_3,P_60_64_Num_chld_evr_brn_4,P_60_64_Num_chld_evr_brn_5,P_60_64_Num_chd_evr_brn_6_mr,P_60_64_Num_chld_evr_brn_ns,P_60_64_yrs_Total,P_65_69_Num_chld_evr_brn_Nne,P_65_69_Num_chld_evr_brn_1,P_65_69_Num_chld_evr_brn_2,P_65_69_Num_chld_evr_brn_3,P_65_69_Num_chld_evr_brn_4,P_65_69_Num_chld_evr_brn_5,P_65_69_Num_chd_evr_brn_6_mr,P_65_69_Num_chld_evr_brn_ns,P_65_69_yrs_Total,P_70_74_Num_chld_evr_brn_Nne,P_70_74_Num_chld_evr_brn_1,P_70_74_Num_chld_evr_brn_2,P_70_74_Num_chld_evr_brn_3,P_70_74_Num_chld_evr_brn_4,P_70_74_Num_chld_evr_brn_5,P_70_74_Num_chd_evr_brn_6_mr,P_70_74_Num_chld_evr_brn_ns,P_70_74_yrs_Total,P_75_79_Num_chld_evr_brn_Nne,P_75_79_Num_chld_evr_brn_1,P_75_79_Num_chld_evr_brn_2,P_75_79_Num_chld_evr_brn_3,P_75_79_Num_chld_evr_brn_4,P_75_79_Num_chld_evr_brn_5,P_75_79_Num_chd_evr_brn_6_mr,P_75_79_Num_chld_evr_brn_ns,P_75_79_yrs_Total,P_80_84_Num_chld_evr_brn_Nne,P_80_84_Num_chld_evr_brn_1,P_80_84_Num_chld_evr_brn_2,P_80_84_Num_chld_evr_brn_3,P_80_84_Num_chld_evr_brn_4,P_80_84_Num_chld_evr_brn_5,P_80_84_Num_chd_evr_brn_6_mr,P_80_84_Num_chld_evr_brn_ns,P_80_84_yrs_Total,P_85_ov_Num_chld_evr_brn_Nne,P_85_ov_Num_chld_evr_brn_1,P_85_ov_Num_chld_evr_brn_2,P_85_ov_Num_chld_evr_brn_3,P_85_ov_Num_chld_evr_brn_4,P_85_ov_Num_chld_evr_brn_5,P_85_ov_Num_chd_evr_brn_6_mr,P_85_ov_Num_chld_evr_brn_ns,P_85ov_Total,Tot_Nmbr_child_ever_born_None,Tot_Nmbr_children_ever_born_1,Tot_Nmbr_children_ever_born_2,Tot_Nmbr_children_ever_born_3,Tot_Nmbr_children_ever_born_4,Tot_Nmbr_children_ever_born_5,Tot_Nmbr_chidrn_ever_brn_6_mr,Tot_Nmbr_childrn_ever_born_Ns,Total_Total
UCL212005,871,5,0,0,0,0,0,133,1011,758,65,29,6,0,0,3,98,962,546,161,125,47,4,3,3,98,988,280,205,252,85,38,5,4,57,921,181,146,281,162,53,20,13,52,907,149,91,289,232,82,22,13,72,952,143,122,353,236,92,36,14,79,1070,144,94,355,280,110,33,17,65,1097,142,101,329,294,123,26,14,80,1105,94,97,313,247,116,26,14,75,975,75,41,274,274,133,48,14,83,939,56,37,177,185,112,57,34,72,723,44,24,101,128,96,43,69,74,593,27,31,73,100,95,40,83,82,537,53,34,94,126,85,43,74,112,618,3556,1245,3050,2408,1131,412,375,1222,13398
UCL213001,480,3,0,0,0,0,0,51,538,406,31,26,4,0,0,0,34,498,317,98,76,22,6,0,0,33,554,144,114,184,78,19,0,3,23,567,102,99,189,123,34,14,3,45,612,75,59,253,119,41,17,4,34,601,69,79,242,132,44,21,8,30,632,59,49,215,148,45,18,13,38,584,56,61,212,148,41,15,6,29,571,39,37,170,147,59,7,3,16,487,41,39,190,105,53,9,10,37,481,21,18,124,110,63,6,0,26,384,22,11,56,63,32,22,17,28,249,11,9,25,50,28,15,22,26,178,10,8,29,43,28,17,22,52,201,1852,732,1991,1287,500,162,101,505,7138
UCL213002,297,4,0,0,0,0,0,51,352,262,30,24,7,0,0,0,52,381,175,65,60,31,5,0,0,34,379,87,61,109,37,26,0,5,39,363,55,50,106,64,22,15,9,31,351,56,31,114,71,26,5,8,29,341,49,42,127,79,48,18,12,32,402,48,35,146,84,49,13,8,39,427,52,41,135,106,46,11,7,44,446,47,37,152,98,50,21,12,44,457,44,39,131,131,62,20,8,47,476,16,27,143,95,51,10,12,40,402,32,23,71,90,61,24,11,54,360,21,16,41,58,41,20,16,48,268,27,23,64,60,50,29,34,89,371,1274,538,1424,1003,540,174,130,684,5770
UCL213003,289,3,0,0,0,0,0,43,330,249,45,18,3,4,0,0,36,355,155,62,70,28,10,4,0,29,357,73,60,80,52,26,3,0,16,310,45,24,85,78,35,4,7,11,295,31,40,104,76,31,13,3,19,317,46,36,135,88,38,11,7,26,386,50,36,105,96,48,12,12,22,373,57,21,106,121,57,14,10,37,423,36,36,110,104,55,17,11,32,402,39,21,94,97,66,20,16,23,382,42,15,62,69,52,18,17,39,317,19,9,55,82,50,31,24,32,296,15,8,37,54,34,29,28,28,231,23,13,43,64,38,32,35,58,302,1172,432,1096,1005,547,208,165,446,5075
UCL213004,285,6,0,0,0,0,0,32,324,235,38,17,4,0,0,0,31,324,189,79,63,26,6,0,0,25,382,101,71,129,47,25,8,3,18,391,44,36,95,84,27,7,5,34,335,48,33,115,91,20,19,3,23,360,46,41,125,90,43,5,4,34,398,47,30,103,85,40,13,3,30,358,38,33,126,101,49,13,8,30,390,42,19,125,94,56,15,3,20,372,27,23,124,119,42,15,4,33,398,18,17,103,96,49,11,12,27,327,17,6,58,65,46,13,12,21,249,5,8,30,45,31,19,14,25,178,11,12,41,46,37,16,35,15,219,1159,467,1264,994,473,150,106,396,5006
UCL213005,301,3,3,0,0,0,0,37,344,234,22,7,4,0,0,0,20,290,159,55,41,12,0,0,0,23,297,103,69,102,45,11,4,0,14,345,52,55,128,68,22,5,3,20,351,62,52,131,82,31,11,3,15,385,50,49,146,93,41,8,7,21,415,52,52,182,102,40,8,8,27,464,52,38,182,135,57,8,10,22,495,58,40,183,117,41,3,3,17,462,35,42,167,116,49,11,7,36,461,33,21,124,119,48,9,7,29,383,28,14,73,81,53,18,16,25,303,13,14,52,69,34,12,13,24,231,15,22,42,58,19,8,14,39,211,1238,540,1568,1094,442,119,83,366,5443
UCL213006,321,3,0,0,0,0,0,55,379,211,56,19,3,0,0,0,41,335,220,60,55,20,8,0,0,34,404,96,72,88,40,23,6,0,33,357,56,47,108,81,29,5,4,26,348,45,52,126,101,30,9,4,25,390,50,33,161,91,43,14,6,24,414,59,41,156,110,39,6,3,35,456,44,44,144,132,51,9,3,28,453,39,33,166,118,43,12,10,37,453,36,23,148,117,56,8,5,32,433,23,20,109,102,47,17,7,35,366,16,5,62,71,53,32,22,36,301,15,10,40,48,57,31,32,30,254,18,21,49,62,34,24,33,53,286,1251,525,1420,1089,514,176,130,514,5628
UCL213007,390,7,0,0,0,0,0,52,449,359,69,31,4,0,0,0,37,502,296,83,68,29,8,0,0,23,511,140,116,129,70,23,3,4,23,500,61,63,141,82,30,6,6,30,422,57,54,170,126,36,7,9,28,489,50,41,168,120,38,5,9,22,447,60,43,175,141,47,12,7,28,521,60,35,184,147,56,23,7,39,543,58,31,178,127,59,25,9,51,522,42,24,151,142,46,22,15,29,457,24,18,105,114,72,29,6,47,411,23,13,70,94,70,30,22,25,345,30,14,46,78,52,30,21,25,294,32,18,54,87,63,31,38,29,349,1674,616,1674,1353,590,220,153,477,6757
UCL213008,393,0,0,0,0,0,0,38,434,292,38,11,3,0,0,0,27,369,248,83,75,19,4,0,0,21,453,151,115,154,57,11,3,0,26,516,94,87,180,93,22,0,3,19,493,69,65,231,106,35,8,8,26,546,59,52,207,116,38,4,12,30,515,38,34,155,96,30,12,6,16,390,26,31,132,95,39,11,11,16,367,32,34,131,114,29,6,3,15,358,21,29,122,97,31,11,3,12,321,10,16,68,54,33,7,4,11,205,13,7,52,38,25,13,13,10,166,4,9,27,18,22,10,12,18,118,9,4,39,33,27,4,11,16,153,1453,601,1582,937,338,100,87,300,5404
UCL213009,347,0,0,0,0,0,0,37,380,262,35,16,0,0,0,0,19,330,233,101,83,14,7,0,0,19,456,116,127,121,48,11,3,0,16,444,60,55,158,75,14,4,0,13,389,73,53,169,84,26,4,3,14,424,45,48,171,81,27,8,3,19,387,44,38,153,98,35,8,3,16,388,45,39,129,95,37,10,4,16,369,40,28,134,90,28,8,5,23,346,23,25,137,91,25,6,3,28,344,17,17,94,73,30,8,6,11,251,4,13,49,58,38,8,6,15,186,11,9,31,36,21,9,6,19,146,9,6,41,26,33,9,7,13,143,1340,589,1489,866,318,80,46,252,4985
UCL213010,339,15,0,0,0,0,0,50,410,354,74,21,6,3,3,0,53,515,215,104,72,28,9,0,0,36,464,111,80,127,48,22,5,3,29,429,59,57,109,65,38,8,5,26,371,70,55,147,77,30,12,14,22,432,63,52,154,92,46,25,13,41,479,55,62,170,105,45,18,17,40,513,50,45,158,134,57,20,12,41,526,51,38,195,155,56,19,20,45,573,40,39,170,142,66,26,11,52,540,21,27,98,92,48,26,21,48,377,15,15,74,89,55,28,39,34,347,14,14,42,54,49,24,27,32,259,15,25,66,64,61,14,34,66,346,1477,690,1598,1164,597,235,214,603,6579
UCL213011,276,12,4,0,0,0,0,62,360,316,57,34,6,0,0,0,47,450,216,76,84,22,14,0,0,58,475,104,72,79,59,20,8,3,51,399,67,41,85,48,23,12,17,26,327,65,38,103,80,36,16,16,43,396,60,57,115,97,35,8,17,40,419,68,40,149,98,46,15,14,37,462,65,47,144,109,49,24,10,47,484,31,29,145,116,47,13,5,34,427,28,17,144,108,53,12,6,36,405,23,14,96,86,50,21,23,39,359,19,16,69,88,44,24,22,44,326,6,12,49,52,30,22,17,35,226,14,15,70,56,49,11,30,33,271,1359,551,1358,1028,484,187,184,631,5788
UCL213012,431,4,0,0,0,0,0,43,471,259,13,4,0,0,0,0,31,311,239,36,24,5,0,0,0,27,333,177,117,153,56,12,3,3,26,548,98,88,277,100,20,0,0,21,606,79,90,310,178,45,10,7,24,749,92,92,266,136,41,4,3,17,658,107,55,256,142,52,9,4,26,645,92,43,264,179,56,11,11,28,687,81,49,250,187,66,4,3,36,685,55,52,252,177,50,17,6,44,658,49,30,161,127,56,19,6,33,465,14,19,74,82,43,14,11,15,270,15,16,49,44,45,20,17,21,226,11,18,74,57,38,8,19,13,254,1779,724,2418,1480,517,133,84,413,7555
UCL213013,235,9,0,0,0,0,0,47,286,160,30,20,9,0,0,0,26,254,105,37,44,20,3,0,0,23,230,62,60,84,41,14,0,4,19,285,42,39,108,51,13,5,3,21,281,42,40,135,68,22,12,0,23,337,32,30,120,59,24,7,6,19,298,48,53,134,75,28,12,6,25,373,38,26,147,92,35,15,4,40,407,26,38,135,102,39,11,9,36,394,25,28,120,80,31,13,0,34,317,17,13,62,62,37,8,10,24,225,7,9,54,46,46,15,11,24,210,3,5,22,39,28,18,7,25,151,7,15,47,45,33,24,22,20,216,851,431,1230,782,348,134,91,406,4265
UCL213014,322,3,0,0,0,0,0,47,370,275,30,17,8,3,0,0,37,361,238,95,65,19,3,0,0,38,460,109,93,139,45,14,9,0,40,459,66,48,130,81,23,7,4,25,384,55,56,147,93,25,11,7,39,432,54,45,159,116,45,9,8,43,474,55,43,177,102,29,16,7,36,460,43,35,169,132,49,16,7,38,494,42,22,161,104,36,11,10,38,427,23,26,144,99,53,17,5,33,396,17,23,96,81,44,11,15,32,310,22,13,50,70,42,27,21,32,286,18,12,34,41,34,14,18,22,199,26,22,58,48,63,30,16,27,290,1352,567,1550,1045,466,190,115,516,5799
UCL213015,276,7,0,0,0,0,0,58,341,225,51,15,0,0,0,0,33,323,181,75,48,12,4,0,0,40,356,84,66,92,47,15,5,0,27,342,51,44,105,51,22,9,3,41,330,31,29,83,78,38,14,10,21,292,29,28,89,88,27,7,12,36,316,36,24,94,92,31,17,4,26,317,31,18,99,78,40,17,4,34,323,27,8,94,92,27,9,4,30,293,15,17,71,81,44,7,11,40,291,15,9,58,54,50,21,14,30,251,13,6,35,66,48,31,28,28,256,9,7,24,33,44,22,40,25,202,15,12,38,54,45,25,25,35,241,1053,397,948,829,428,175,155,509,4480
