UCL_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
UCL215015,45,381,304,84,47,856,50,912
UCL215016,55,448,495,197,138,1334,67,1400
UCL215017,25,168,234,110,80,622,21,643
UCL215018,115,429,426,123,56,1149,64,1207
UCL215019,20,248,281,64,21,624,20,646
UCL215020,37,236,174,74,31,560,37,593
UCL215021,26,147,180,77,38,468,18,485
UCL215022,92,629,607,175,89,1591,77,1666
UCL215023,34,206,210,87,39,571,38,609
UCL215024,53,297,290,86,21,755,40,794
UCL215025,33,203,151,39,17,443,26,470
UCL215026,141,906,650,139,71,1908,105,2008
UCL215027,60,346,356,141,74,983,74,1051
UCL215028,98,620,488,131,54,1392,93,1488
UCL215029,19,241,336,108,59,763,35,792
UCL215030,39,228,197,67,34,560,27,595
UCL215031,36,211,190,58,24,517,34,554
UCL215032,78,519,422,125,51,1198,58,1255
UCL215033,0,146,507,115,35,803,18,816
UCL215034,50,236,153,48,18,504,16,523
UCL215035,12,125,159,59,52,406,16,418
UCL215036,8,63,173,64,39,353,18,365
UCL215037,56,293,247,78,40,713,55,769
UCL215038,32,255,210,69,33,591,28,615
UCL215039,30,196,177,74,25,503,27,529
UCL215040,107,537,500,142,89,1382,76,1461
UCL215041,42,251,307,106,61,769,36,797
UCL215042,14,184,251,76,32,561,25,587
UCL215043,91,562,483,141,77,1354,54,1408
UCL215044,139,739,602,187,88,1757,75,1832
UCL215045,14,164,237,70,54,535,20,556
UCL215046,19,121,147,88,38,415,22,433
UCL215047,21,154,240,74,25,513,20,529
UCL215048,23,157,119,40,11,355,12,365
UCL215049,13,210,468,155,89,933,23,959
UCL215050,104,595,585,230,100,1618,66,1680
UCL215051,20,263,224,68,26,605,20,627
UCL215052,79,489,456,131,81,1245,83,1326
UCL215053,53,285,266,83,44,732,50,780
UCL215054,29,255,230,66,18,601,32,631
UCL215055,14,213,221,83,56,584,20,600
UCL215056,27,179,168,45,13,436,23,457
UCL215057,34,326,254,61,16,696,23,721
UCL215058,64,438,378,136,52,1059,63,1126
UCL215059,44,288,260,63,39,687,40,736
UCL215060,40,223,187,64,33,550,36,588
UCL215061,51,254,246,91,47,695,34,726
UCL215062,98,583,525,169,78,1451,77,1530
UCL215063,95,345,266,76,19,801,52,848
UCL215064,42,145,144,55,22,408,12,417
UCL215065,54,597,505,133,53,1346,86,1428
UCL215066,53,628,597,132,58,1474,56,1526
UCL215067,76,422,461,108,36,1099,56,1164
UCL215068,85,404,362,107,52,1005,74,1084
UCL215069,20,212,471,196,137,1039,16,1059
UCL215070,69,224,211,67,30,611,72,683
UCL215071,71,394,403,130,67,1060,47,1110
UCL215072,24,276,532,242,173,1244,43,1290
UCL215073,14,142,197,66,27,446,33,481
UCL215074,42,302,327,108,49,835,32,871
UCL215075,31,186,179,44,12,453,27,485
UCL215076,3,120,275,108,76,584,13,602
UCL215077,100,342,318,101,42,893,42,938
UCL215078,24,228,256,108,48,667,33,692
UCL215079,74,503,569,174,90,1412,91,1498
UCL215080,49,277,259,82,44,708,43,756
UCL215081,25,165,194,57,23,466,28,494
UCL215082,10,72,149,63,42,341,17,352
UCL215083,42,443,505,161,79,1228,46,1270
UCL215084,8,87,209,105,94,502,19,520
UCL215085,50,342,253,78,30,748,33,783
UCL215086,66,354,335,91,42,898,43,934
UCL215087,70,434,510,182,122,1319,59,1375
UCL215088,37,187,209,77,52,567,39,601
UCL215089,3,44,179,102,128,461,8,466
UCL215090,67,471,575,143,67,1324,43,1370
UCL215091,31,429,539,219,173,1387,53,1442
UCL215092,19,148,160,64,24,411,25,438
UCL215093,20,194,341,115,76,752,34,782
UCL215094,49,329,392,170,98,1036,49,1082
UCL215095,18,150,189,48,23,426,14,440
UCL215096,66,339,219,60,27,713,27,742
UCL215097,24,210,159,56,18,468,27,492
UCL221001,7,46,109,37,37,224,14,238
UCL221002,5,97,138,43,23,311,15,325
UCL221003,25,165,141,37,24,397,25,422
UCL221004,5,45,90,33,16,185,3,191
UCL221005,0,21,79,51,54,207,8,212
UCL221006,21,92,99,37,15,259,13,273
UCL221007,0,75,96,25,17,210,10,215
UCL221008,13,68,98,24,12,212,5,223
UCL221009,32,95,125,39,15,293,13,309
UCL221010,3,72,82,35,24,223,11,238
UCL221011,10,62,97,23,16,210,18,225
UCL221012,0,22,83,37,23,168,3,166
UCL221013,6,21,64,34,25,146,4,149
UCL221014,0,40,89,37,27,198,9,208
UCL221015,17,144,133,27,10,338,18,352
UCL221016,0,35,79,40,18,178,3,181
UCL221017,14,82,131,57,34,317,15,328
UCL221018,35,163,154,43,20,418,25,438
UCL221019,22,224,204,74,37,560,38,601
UCL221020,25,146,119,38,15,349,29,377
UCL221021,9,105,115,44,16,276,13,289
UCL221022,19,168,119,43,8,361,20,374
UCL221023,10,62,74,26,8,184,9,193
UCL221024,12,144,97,29,12,298,27,325
UCL221025,5,96,143,50,21,321,10,331
UCL221026,7,109,125,67,36,344,12,359
UCL221027,25,122,109,34,8,295,15,310
UCL221028,21,120,90,16,13,262,34,292
UCL221029,19,119,87,34,18,281,27,300
UCL221030,3,78,122,20,18,235,3,238
UCL221031,3,50,101,43,27,225,10,228
UCL221032,13,188,149,40,19,410,21,437
UCL221033,4,34,76,45,28,195,8,208
UCL221034,3,49,92,26,17,185,5,189
UCL221035,17,83,82,27,14,221,8,229
UCL221036,0,21,98,44,57,224,3,225
UCL221037,25,102,91,32,21,276,20,293
UCL221038,5,53,103,50,35,242,3,248
UCL221039,12,94,104,31,14,251,7,263
UCL221040,3,99,185,52,41,388,17,403
UCL221041,3,42,110,57,42,256,13,268
UCL221042,9,65,126,43,17,266,17,280
UCL221043,4,102,98,12,7,222,11,238
UCL221044,0,32,75,39,34,181,8,193
UCL221045,18,213,110,20,7,368,23,395
UCL221046,25,180,165,43,20,426,20,445
UCL221047,3,75,109,38,17,238,9,250
UCL221048,3,47,157,54,23,288,9,295
UCL221049,3,26,60,25,50,161,3,168
UCL221050,13,164,219,62,17,474,19,495
UCL221051,0,20,105,49,29,200,7,206
UCL221052,13,101,99,34,21,272,10,284
UCL221053,17,118,103,44,21,295,18,318
UCL221054,6,43,59,34,36,175,5,186
UCL221055,3,89,132,38,27,290,12,304
UCL221056,0,64,126,33,22,250,4,249
UCL221057,8,102,84,29,24,249,11,261
UCL221058,0,54,94,47,38,232,9,240
UCL221059,0,68,110,24,14,220,16,242
UCL221060,14,92,101,26,6,241,14,253
UCL221061,21,122,90,32,32,302,19,320
UCL221062,22,148,154,45,27,393,24,420
UCL221063,17,95,68,26,13,219,15,236
UCL221064,3,49,88,47,30,215,10,220
UCL221065,0,49,76,48,22,197,11,201
UCL221066,6,75,78,22,17,194,6,200
UCL221067,9,116,138,9,12,282,12,293
UCL221068,10,153,126,43,16,353,23,373
UCL221069,3,90,259,105,78,527,18,545
UCL221070,16,124,136,28,12,314,16,327
UCL221071,0,18,74,37,17,147,3,152
UCL221072,10,114,109,32,19,283,13,298
UCL221073,7,80,108,33,12,245,7,250
UCL221074,14,154,130,20,5,321,17,336
UCL221075,17,115,85,30,18,260,10,269
UCL221076,3,55,81,32,14,189,14,200
UCL221077,28,111,75,33,15,265,27,289
UCL221078,14,87,108,28,20,256,10,261
UCL221079,9,101,136,51,25,326,11,329
UCL221080,23,95,77,32,13,234,15,251
UCL221081,10,118,141,56,22,359,14,371
UCL221082,7,74,85,40,15,213,18,232
UCL222001,0,7,39,21,17,86,0,86
UCL222002,0,26,77,23,7,134,3,136
UCL222003,0,18,37,10,13,87,5,91
UCL222004,0,0,0,0,0,0,0,0
UCL222005,0,30,22,16,12,75,10,88
UCL222006,0,30,56,24,17,129,3,135
UCL222007,0,21,30,11,7,72,3,80
UCL222008,6,41,37,16,7,109,3,111
UCL222009,8,49,43,27,11,137,8,141
UCL222010,0,17,38,23,18,102,0,102
UCL222011,0,16,39,30,23,105,3,105
UCL222012,3,31,49,29,16,121,0,126
UCL222013,0,28,41,10,10,85,3,92
UCL222014,3,34,78,19,3,140,8,146
UCL222015,0,34,42,36,38,144,4,152
UCL222016,0,22,41,31,23,120,6,134
UCL222017,3,77,74,26,3,186,13,196
UCL222018,3,27,49,30,16,126,9,134
UCL222019,3,34,40,15,6,95,9,104
UCL222020,4,38,38,11,3,101,10,111
UCL222021,0,20,18,6,0,43,5,43
UCL222022,0,21,43,30,22,112,9,122
UCL222023,4,19,37,17,12,93,8,97
UCL222024,3,30,44,17,7,109,0,113
UCL222025,3,29,72,31,8,142,3,150
UCL222026,22,15,13,0,0,50,6,51
UCL222027,0,32,30,10,3,74,6,81
UCL222028,0,20,50,26,13,111,3,114
UCL222029,0,30,59,23,7,117,5,128
UCL222030,3,98,73,24,3,196,17,211
UCL222031,0,21,42,18,17,95,3,104
UCL222032,3,32,70,28,18,152,6,160
UCL222033,3,31,39,13,3,89,9,98
UCL222034,3,32,29,16,6,90,3,93
UCL222035,12,32,34,16,9,105,7,112
UCL222036,8,41,45,13,4,108,9,119
UCL222037,0,18,38,15,7,78,10,88
UCL222038,0,35,46,10,3,96,3,100
UCL222039,14,49,57,8,6,138,13,151
UCL222040,0,33,22,12,9,79,7,85
UCL222041,0,36,36,15,6,82,4,86
UCL222042,0,11,34,12,13,67,4,68
UCL222043,0,16,57,12,19,108,3,111
UCL222044,5,54,66,10,6,144,3,144
UCL222045,9,38,43,17,4,100,4,111
UCL222046,3,33,44,15,7,99,6,107
UCL222047,3,52,72,31,11,175,7,185
UCL222048,6,52,74,19,9,154,9,169
UCL222049,9,43,48,15,9,127,7,131
UCL222050,0,15,42,16,4,88,5,89
UCL222051,3,53,61,19,15,146,12,157
UCL222052,6,35,33,13,0,96,0,96
UCL222053,8,34,38,11,3,94,5,100
UCL222054,3,41,27,10,3,89,6,97
UCL222055,6,54,80,18,7,162,12,171
UCL222056,0,63,48,20,6,144,6,153
UCL222057,10,56,64,27,15,175,9,185
UCL222058,3,41,47,15,16,129,4,132
UCL222059,5,46,60,18,26,161,11,164
UCL222060,0,23,54,15,9,92,0,93
UCL222061,8,80,51,11,10,164,8,173
UCL222062,3,9,0,0,0,14,4,18
UCL222063,0,28,35,20,8,89,3,96
UCL222064,15,12,0,0,0,22,3,27
UCL222065,0,31,35,13,6,87,0,86
UCL222066,0,27,43,15,6,90,0,90
UCL222067,0,10,32,12,22,69,3,71
UCL222068,15,61,67,27,10,174,3,176
UCL222069,6,55,62,25,5,149,10,160
UCL222070,3,19,62,35,16,136,12,148
UCL222071,0,12,26,18,12,74,0,71
UCL222072,0,18,23,22,7,73,4,74
UCL222073,4,37,35,19,4,101,11,112
UCL222074,9,62,57,10,8,154,14,162
UCL222075,3,42,23,13,7,87,7,97
UCL222076,0,34,67,22,9,136,7,137
UCL222077,0,11,24,13,16,64,3,65
UCL222078,4,69,77,16,10,176,9,185
UCL222079,0,51,57,23,5,142,3,144
UCL222080,3,51,41,9,3,115,3,119
UCL222081,0,32,34,14,0,76,3,83
UCL222082,0,26,27,16,0,73,3,74
UCL222083,0,29,55,39,26,146,3,148
UCL222084,18,68,59,21,4,176,16,189
UCL222085,11,36,30,9,6,83,4,88
UCL222086,10,76,73,27,12,201,12,215
UCL222087,7,47,35,15,0,101,14,119
UCL222088,3,39,72,23,3,144,3,150
UCL222089,4,81,94,24,12,212,7,220
UCL222090,11,47,54,16,8,135,10,143
UCL222091,0,32,41,0,3,71,4,74
UCL222092,3,31,28,3,0,66,10,75
UCL222093,4,17,35,9,10,73,0,74
UCL222094,0,50,72,22,15,153,7,159
UCL222095,11,82,56,24,12,176,8,182
UCL222096,3,30,36,11,5,79,3,82
UCL222097,6,39,32,21,15,113,3,114
UCL222098,0,22,59,26,15,123,6,131
UCL222099,9,70,69,22,6,178,10,189
UCL222100,9,54,60,18,5,144,12,156
UCL222101,12,35,36,21,11,119,6,126
UCL222102,5,28,30,13,13,86,3,90
UCL222103,0,12,32,26,9,84,6,85
UCL222104,0,42,64,28,13,150,5,148
UCL222105,4,39,50,14,8,115,5,125
UCL222106,0,17,50,29,13,108,3,110
UCL222107,4,33,69,39,21,175,5,182
UCL222108,7,90,58,21,13,187,15,201
UCL222109,11,47,49,19,5,128,4,135
UCL222110,0,32,66,31,14,134,3,143
UCL222111,0,17,34,17,17,90,0,90
UCL222112,4,20,33,13,3,75,4,81
UCL222113,3,40,51,8,8,116,0,115
UCL222114,3,21,32,13,8,69,5,78
UCL222115,10,52,33,7,3,96,9,108
UCL222116,0,23,39,15,8,83,3,85
UCL222117,0,51,61,18,7,131,0,133
UCL222118,0,10,27,19,11,62,0,61
UCL222119,0,12,35,13,9,74,3,75
UCL222120,0,31,39,17,11,103,3,107
UCL222121,0,26,29,19,16,92,4,96
UCL222122,0,18,28,13,12,62,8,65
UCL231777,1896,26273,54396,29062,24733,136358,5342,141696
UCL279997,0,0,0,0,0,0,0,0
UCL299994,0,0,0,0,0,0,0,0
