SA3_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
20505,11795,293,242,84,61,12476,2673,221,144,58,15,3101,397,36,17,6,5,455,14866,541,399,150,77,16030
20601,13485,7578,7594,167,115,28939,2615,793,844,15,18,4290,393,196,217,11,18,829,16496,8572,8652,191,153,34058
20602,8516,4581,3908,101,66,17180,1434,509,653,10,8,2617,244,93,138,4,7,482,10199,5187,4693,121,84,20277
20603,9940,4422,6966,84,80,21493,1227,499,1620,11,11,3370,226,112,367,3,21,724,11394,5032,8951,103,103,25578
20604,1455,6612,42564,91,325,51044,146,462,3612,17,21,4254,54,177,1375,48,43,1707,1657,7253,47554,161,392,57012
20605,3546,9585,25762,437,136,39468,343,939,3139,31,14,4467,82,237,810,13,35,1172,3975,10764,29702,484,188,45114
20606,4019,5258,15563,61,78,24975,327,410,1842,3,8,2585,109,136,492,3,8,752,4454,5800,17895,68,95,28314
20607,4568,12842,14197,195,155,31965,538,960,2034,11,19,3560,128,330,535,14,20,1028,5237,14140,16771,223,191,36553
20701,30749,11009,12051,168,167,54151,2253,1063,1159,11,16,4503,567,197,412,5,13,1201,33568,12272,13622,181,204,59849
20702,19988,5167,2144,12,49,27360,2687,633,332,0,10,3665,479,168,79,0,80,799,23154,5974,2545,15,136,31827
20703,20523,7676,3249,34,81,31566,2515,1093,613,3,8,4233,503,191,146,0,15,851,23543,8963,4013,39,101,36658
20801,20087,7251,3495,177,130,31142,1576,910,671,8,12,3181,383,176,134,3,10,711,22051,8336,4296,193,154,35037
20802,24590,11852,11303,152,140,48035,2844,1381,1542,19,14,5807,552,321,326,4,21,1221,27989,13558,13163,181,180,55064
20803,21569,10189,5637,194,122,37714,2570,1531,1222,73,34,5434,485,273,278,7,32,1071,24623,11993,7138,278,187,44224
20804,6770,2944,3902,167,49,13829,553,266,446,14,6,1292,118,54,101,5,4,289,7443,3266,4448,187,60,15406
20901,30148,5673,2279,47,85,38233,3672,1097,390,5,25,5177,722,191,86,0,21,1022,34541,6962,2749,50,130,44431
20902,16793,7196,2492,158,74,26707,4521,1531,520,24,16,6610,699,311,109,5,18,1141,22009,9034,3111,192,110,34457
20903,18310,558,411,24,54,19354,1135,104,95,5,3,1352,320,16,14,0,7,356,19768,684,516,34,59,21059
20904,49238,6898,1601,29,93,57859,7534,1153,430,10,13,9136,1441,200,70,3,16,1735,58212,8248,2106,43,123,68732
21001,12969,3584,182,95,37,16868,2774,659,48,23,3,3509,406,121,6,3,10,548,16156,4364,234,128,49,20932
21002,8252,341,57,23,29,8696,775,113,19,9,8,924,181,11,0,7,0,202,9212,465,73,39,36,9827
21003,13483,6237,1054,64,63,20901,3793,991,322,15,18,5127,517,243,58,7,4,827,17790,7468,1440,84,81,26861
21004,10829,363,663,5,13,11869,1126,131,222,0,3,1485,233,25,28,0,4,292,12190,519,907,5,20,13641
21005,34282,4184,898,173,76,39607,4935,875,259,125,16,6212,1222,188,59,28,38,1543,40440,5246,1215,325,131,47358
21101,40855,5134,907,188,76,47165,3750,1159,342,65,15,5327,856,217,76,14,15,1174,45462,6516,1322,269,104,53669
21102,7154,281,59,16,13,7521,451,75,58,0,0,584,131,11,9,0,0,154,7736,369,124,18,14,8262
21103,31361,2657,781,20,65,34877,3337,604,128,3,15,4086,689,116,27,0,19,855,35380,3371,942,29,101,39820
21104,14462,4100,466,14,34,19078,1557,715,92,0,3,2374,298,130,22,0,11,463,16309,4947,587,14,50,21908
21105,42606,1863,194,143,155,44966,4720,684,38,110,24,5578,963,101,6,15,21,1102,48290,2647,243,264,198,51646
21201,24949,1767,68,69,63,26917,2824,470,52,56,11,3408,601,96,18,7,14,729,28378,2330,137,128,81,31055
21202,32742,3176,277,115,44,36351,3420,736,190,80,8,4436,876,132,22,17,13,1055,37037,4043,490,205,61,41836
21203,40516,3376,306,34,44,44275,3715,742,133,14,10,4621,1192,154,35,4,18,1396,45421,4270,470,55,72,50285
21204,35686,8072,4139,248,99,48241,6531,1958,1229,160,26,9909,1428,464,267,36,31,2230,43648,10497,5635,445,154,60375
21205,37317,7543,6434,38,152,51483,4803,898,837,4,16,6557,952,273,161,3,32,1416,43073,8712,7431,41,206,59458
21301,38110,6147,1834,63,67,46219,8105,1250,765,14,27,10167,1706,297,136,27,17,2179,47925,7691,2728,109,112,58564
21302,16460,7025,1585,89,81,25243,3182,1086,530,35,10,4842,471,189,107,5,6,782,20110,8305,2224,122,103,30862
21303,13018,6291,5919,145,76,25446,2138,912,1054,25,28,4156,419,221,212,8,24,886,15576,7422,7182,174,131,30481
21304,36725,4104,253,88,82,41249,4078,1056,140,69,6,5348,1097,190,15,3,14,1324,41900,5356,411,156,106,47926
21305,51089,8137,1151,69,58,60500,4831,1157,320,53,14,6374,1396,245,59,4,18,1714,57312,9532,1527,130,87,68588
21401,34321,6350,866,241,49,41823,4034,1885,397,172,5,6497,942,317,76,19,11,1364,39300,8550,1343,436,67,49687
21402,41636,4225,1910,253,113,48135,5797,1333,671,186,38,8015,1243,225,126,32,15,1637,48672,5776,2706,472,167,57791
21501,15887,392,407,106,117,16910,4757,367,369,56,35,5583,595,44,43,14,15,719,21241,807,820,181,165,23215
21502,12907,1019,545,112,78,14659,3191,608,514,102,21,4430,531,85,90,8,17,733,16631,1709,1146,224,106,19817
21503,9110,177,271,102,86,9752,3119,126,261,65,17,3589,431,20,47,12,15,527,12662,322,579,189,122,13869
21601,9639,430,206,63,36,10381,2473,302,217,54,7,3050,380,52,21,7,7,472,12486,786,446,124,52,13899
21602,7453,175,200,64,67,7962,2084,137,261,34,33,2545,320,22,37,3,8,389,9853,329,496,105,108,10899
21603,15859,1321,82,138,33,17434,3384,712,66,135,10,4313,595,123,21,25,7,780,19842,2156,166,303,53,22527
21701,9881,213,192,68,83,10423,2769,144,162,29,28,3133,381,27,21,9,8,432,13029,380,371,100,116,13991
21703,9757,331,91,68,74,10323,2820,298,82,21,21,3247,384,37,21,8,18,465,12961,667,188,103,111,14030
21704,12905,1039,346,88,79,14457,2697,521,246,37,13,3516,394,58,74,0,9,543,15995,1627,666,129,104,18519
29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
