SA3_CODE_2016,M_15_19_yr_Volunteer,M_15_19_yr_N_a_volunteer,M_15_19_yr_Voluntary_work_ns,M_15_19_yr_Tot,M_20_24_yr_Volunteer,M_20_24_yr_N_a_volunteer,M_20_24_yr_Voluntary_work_ns,M_20_24_yr_Tot,M_25_34_yr_Volunteer,M_25_34_yr_N_a_volunteer,M_25_34_yr_Voluntary_work_ns,M_25_34_yr_Tot,M_35_44_yr_Volunteer,M_35_44_yr_N_a_volunteer,M_35_44_yr_Voluntary_work_ns,M_35_44_yr_Tot,M_45_54_yr_Volunteer,M_45_54_yr_N_a_volunteer,M_45_54_yr_Voluntary_work_ns,M_45_54_yr_Tot,M_55_64_yr_Volunteer,M_55_64_yr_N_a_volunteer,M_55_64_yr_Voluntary_work_ns,M_55_64_yr_Tot,M_65_74_yr_Volunteer,M_65_74_yr_N_a_volunteer,M_65_74_yr_Voluntary_work_ns,M_65_74_yr_Tot,M_75_84_yr_Volunteer,M_75_84_yr_N_a_volunteer,M_75_84_yr_Voluntary_work_ns,M_75_84_yr_Tot,M_85ov_Volunteer,M_85ov_N_a_volunteer,M_85_ov_Voluntary_work_ns,M_85ov_Tot,M_Tot_Volunteer,M_Tot_N_a_volunteer,M_Tot_Voluntary_work_ns,M_Tot_Tot,F_15_19_yr_Volunteer,F_15_19_yr_N_a_volunteer,F_15_19_yr_Voluntary_work_ns,F_15_19_yr_Tot,F_20_24_yr_Volunteer,F_20_24_yr_N_a_volunteer,F_20_24_yr_Voluntary_work_ns,F_20_24_yr_Tot,F_25_34_yr_Volunteer,F_25_34_yr_N_a_volunteer,F_25_34_yr_Voluntary_work_ns,F_25_34_yr_Tot,F_35_44_yr_Volunteer,F_35_44_yr_N_a_volunteer,F_35_44_yr_Voluntary_work_ns,F_35_44_yr_Tot,F_45_54_yr_Volunteer,F_45_54_yr_N_a_volunteer,F_45_54_yr_Voluntary_work_ns,F_45_54_yr_Tot,F_55_64_yr_Volunteer,F_55_64_yr_N_a_volunteer,F_55_64_yr_Voluntary_work_ns,F_55_64_yr_Tot,F_65_74_yr_Volunteer,F_65_74_yr_N_a_volunteer,F_65_74_yr_Voluntary_work_ns,F_65_74_yr_Tot,F_75_84_yr_Volunteer,F_75_84_yr_N_a_volunteer,F_75_84_yr_Voluntary_work_ns,F_75_84_yr_Tot,F_85ov_Volunteer,F_85ov_N_a_volunteer,F_85_ov_Voluntary_work_ns,F_85ov_Tot,F_Tot_Volunteer,F_Tot_N_a_volunteer,F_Tot_Voluntary_work_ns,F_Tot_Tot,P_15_19_yr_Volunteer,P_15_19_yr_N_a_volunteer,P_15_19_yr_Voluntary_work_ns,P_15_19_yr_Tot,P_20_24_yr_Volunteer,P_20_24_yr_N_a_volunteer,P_20_24_yr_Voluntary_work_ns,P_20_24_yr_Tot,P_25_34_yr_Volunteer,P_25_34_yr_N_a_volunteer,P_25_34_yr_Voluntary_work_ns,P_25_34_yr_Tot,P_35_44_yr_Volunteer,P_35_44_yr_N_a_volunteer,P_35_44_yr_Voluntary_work_ns,P_35_44_yr_Tot,P_45_54_yr_Volunteer,P_45_54_yr_N_a_volunteer,P_45_54_yr_Voluntary_work_ns,P_45_54_yr_Tot,P_55_64_yr_Volunteer,P_55_64_yr_N_a_volunteer,P_55_64_yr_Voluntary_work_ns,P_55_64_yr_Tot,P_65_74_yr_Volunteer,P_65_74_yr_N_a_volunteer,P_65_74_yr_Voluntary_work_ns,P_65_74_yr_Tot,P_75_84_yr_Volunteer,P_75_84_yr_N_a_volunteer,P_75_84_yr_Voluntary_work_ns,P_75_84_yr_Tot,P_85ov_Volunteer,P_85ov_N_a_volunteer,P_85_ov_Voluntary_work_ns,P_85ov_Tot,P_Tot_Volunteer,P_Tot_N_a_volunteer,P_Tot_Voluntary_work_ns,P_Tot_Tot
20402,284,890,188,1368,194,808,84,1088,370,1480,150,1997,676,1538,188,2403,891,1876,222,2990,921,2147,280,3340,817,1794,303,2920,331,985,218,1535,79,384,142,605,4567,11901,1776,18241,356,750,186,1294,208,722,89,1018,498,1548,128,2175,888,1603,181,2673,1056,2001,255,3308,995,2352,277,3623,951,1750,326,3036,409,1104,244,1758,97,678,257,1031,5464,12503,1951,19918,643,1641,373,2660,401,1526,174,2107,870,3028,274,4177,1567,3137,373,5076,1945,3873,475,6300,1918,4495,560,6968,1774,3550,632,5953,738,2086,460,3290,174,1061,397,1631,10028,24400,3730,38158
20403,530,1512,254,2294,344,1577,191,2111,636,2794,360,3794,1011,2628,371,4008,1356,2970,395,4719,1317,3154,400,4871,1134,2270,347,3752,404,1117,240,1761,47,434,104,587,6778,18457,2664,27900,612,1259,234,2108,328,1254,142,1731,822,2962,300,4077,1439,2596,288,4328,1525,3102,340,4970,1458,3237,373,5067,1214,2245,333,3794,472,1228,297,1991,93,728,167,990,7971,18615,2472,29058,1142,2777,489,4403,676,2837,327,3840,1459,5759,658,7875,2455,5225,660,8340,2883,6072,740,9695,2771,6394,773,9941,2349,4522,678,7542,875,2342,537,3754,146,1162,272,1576,14745,37076,5132,56959
20501,308,1094,162,1554,195,978,109,1283,418,1945,179,2537,648,1728,184,2565,749,2104,255,3108,724,2234,261,3226,709,1824,274,2801,323,911,196,1430,33,278,91,405,4114,13097,1700,18904,309,1010,142,1464,233,916,103,1249,586,2001,157,2748,964,1707,211,2879,966,2195,236,3401,987,2241,297,3520,895,1757,285,2941,351,925,229,1504,61,491,150,707,5356,13246,1812,20417,617,2104,300,3018,436,1892,207,2537,1002,3948,340,5283,1613,3431,399,5443,1715,4296,490,6509,1711,4477,554,6744,1596,3584,559,5739,677,1836,419,2933,96,771,244,1111,9464,26341,3509,39320
20502,183,833,185,1203,158,674,97,929,320,1335,182,1842,510,1335,198,2037,692,1752,276,2726,915,2245,308,3470,990,2470,456,3917,422,1205,252,1879,59,357,140,560,4257,12197,2103,18560,236,717,148,1103,174,629,87,893,443,1364,174,1979,735,1318,193,2245,869,1938,260,3067,1055,2383,321,3764,1124,2108,382,3617,455,1110,373,1934,86,521,231,839,5179,12090,2165,19432,420,1548,336,2302,335,1303,182,1823,762,2697,359,3826,1243,2655,386,4288,1560,3690,542,5789,1971,4625,628,7234,2113,4583,837,7532,875,2308,625,3811,149,875,374,1395,9436,24288,4271,37995
20503,321,1158,223,1702,199,849,92,1142,420,1957,234,2608,793,2004,206,3004,1076,2582,377,4039,1204,3058,392,4650,1265,2847,466,4577,491,1375,356,2221,82,534,134,752,5852,16364,2473,24686,371,960,155,1490,215,823,97,1140,651,1957,209,2815,1239,1879,238,3362,1301,2560,322,4183,1492,3220,401,5109,1558,2757,468,4778,614,1392,398,2401,115,858,229,1204,7548,16405,2524,26481,694,2121,382,3199,420,1667,189,2278,1068,3913,440,5426,2033,3886,447,6360,2376,5146,698,8215,2689,6274,790,9763,2825,5602,931,9358,1106,2764,757,4624,200,1387,366,1954,13401,32765,4999,51170
20504,333,1688,258,2279,355,1775,221,2344,687,3265,377,4332,796,2903,324,4027,940,3355,420,4709,963,3529,455,4944,793,2510,429,3729,323,1268,300,1883,65,473,118,655,5255,20748,2900,28906,337,1544,242,2124,427,1769,225,2420,862,3453,396,4704,1087,2901,306,4289,1139,3429,407,4977,1086,3613,430,5129,904,2538,426,3861,394,1531,405,2336,68,811,231,1106,6298,21586,3069,30954,672,3229,503,4397,779,3541,449,4768,1555,6711,777,9040,1883,5809,630,8315,2080,6783,827,9688,2056,7133,888,10072,1696,5048,851,7593,712,2800,707,4220,128,1280,350,1759,11559,42335,5974,59863
20505,269,850,175,1290,197,826,185,1201,380,1623,492,2492,569,1525,455,2544,683,1762,320,2769,796,2076,324,3195,667,1649,275,2589,262,769,199,1228,60,277,63,395,3877,11350,2487,17710,290,765,157,1215,188,661,87,939,550,1635,167,2358,779,1423,192,2391,900,1802,236,2946,848,2145,275,3275,738,1480,256,2479,305,780,220,1310,72,461,104,638,4670,11163,1702,17540,559,1623,328,2510,380,1487,273,2135,928,3260,658,4853,1349,2946,640,4934,1587,3569,561,5720,1647,4222,601,6470,1408,3132,536,5065,565,1553,414,2536,130,735,171,1029,8544,22513,4188,35249
20601,259,1273,139,1668,694,2659,247,3599,1749,7903,732,10382,1359,5263,460,7083,1061,3689,306,5058,604,2622,233,3459,316,1734,166,2215,109,1322,133,1561,24,587,61,667,6172,27053,2473,35696,348,1199,123,1667,1131,2843,262,4240,2530,7484,716,10726,1890,4899,418,7206,1298,3571,301,5174,792,2899,240,3930,420,1990,175,2584,156,1770,171,2094,32,875,103,1006,8602,27522,2507,38633,608,2471,261,3336,1822,5505,506,7836,4283,15382,1447,21113,3248,10161,882,14286,2361,7267,604,10233,1391,5518,480,7390,739,3723,337,4798,263,3088,307,3654,54,1461,164,1680,14769,54576,4983,74327
20602,218,812,72,1101,291,1181,119,1591,801,3671,388,4859,842,3034,308,4186,865,2381,215,3467,490,1632,157,2282,240,1019,110,1371,74,870,100,1042,14,336,43,393,3837,14942,1522,20301,300,679,84,1063,527,1263,127,1920,1357,3871,412,5636,1255,3142,306,4699,1167,2474,214,3856,629,1718,169,2518,295,1176,126,1596,121,1115,119,1357,24,570,98,692,5667,16000,1659,23327,516,1485,158,2165,814,2442,250,3509,2150,7543,799,10493,2093,6173,612,8883,2031,4859,433,7320,1124,3347,325,4799,534,2197,234,2966,196,1983,224,2403,36,908,145,1089,9506,30942,3184,43625
20603,347,1276,128,1748,445,1918,182,2545,928,4513,533,5979,841,3495,366,4707,996,3062,320,4376,681,2537,244,3463,389,1521,167,2079,132,802,116,1048,32,425,64,525,4801,19562,2119,26479,403,1291,154,1850,645,1788,194,2627,1203,4851,540,6596,1240,3445,358,5041,1243,3099,275,4614,829,2670,252,3752,464,1557,176,2203,194,1166,187,1551,56,779,121,953,6271,20651,2265,29190,753,2570,281,3604,1092,3709,375,5177,2129,9369,1073,12574,2083,6938,729,9750,2237,6165,594,8997,1510,5206,497,7221,858,3078,341,4278,322,1967,307,2597,88,1202,184,1480,11074,40212,4384,55664
20604,895,3132,507,4534,2494,9599,1440,13533,3231,16301,2701,22238,1303,6001,1247,8555,892,3248,699,4840,742,2545,545,3829,558,1683,418,2657,209,690,192,1091,56,276,134,459,10378,43492,7883,61748,1451,4002,605,6059,3735,10869,1618,16225,3898,15851,2430,22188,1581,5002,907,7483,1106,3195,641,4947,874,2590,506,3968,641,1625,360,2623,195,781,227,1206,42,491,265,795,13528,44408,7555,65498,2347,7140,1113,10594,6235,20472,3054,29759,7134,32153,5131,44424,2880,11005,2151,16038,2002,6444,1338,9788,1612,5143,1047,7801,1202,3307,777,5288,405,1472,422,2299,98,766,399,1255,23909,87901,15437,127245
20605,328,936,151,1415,477,2163,332,2968,1865,9224,1490,12568,1561,6491,946,8993,1431,4523,760,6715,1047,3444,606,5097,721,2337,415,3472,213,1081,220,1505,40,439,86,565,7681,30634,4993,43304,379,942,160,1479,701,2487,388,3584,2493,9589,1593,13679,2155,6043,928,9124,1848,4276,648,6773,1292,3303,508,5105,853,2251,369,3474,238,1237,217,1687,41,699,129,868,10009,30834,4933,45774,703,1876,314,2896,1182,4646,722,6555,4358,18811,3083,26249,3717,12527,1876,18115,3276,8803,1404,13486,2342,6749,1114,10205,1576,4588,784,6946,445,2319,434,3197,87,1138,209,1433,17691,61462,9932,89081
20606,232,663,115,1011,472,1810,251,2534,1255,6625,931,8814,731,3256,433,4423,671,2280,305,3256,568,1755,243,2574,460,1559,221,2242,238,921,178,1337,47,416,65,529,4679,19291,2744,26714,314,774,132,1221,748,2300,278,3327,1717,6845,919,9480,962,3022,398,4384,902,2118,287,3302,741,2054,289,3086,610,1793,232,2628,269,1226,226,1712,63,608,154,830,6313,20735,2922,29973,550,1437,245,2233,1220,4113,531,5863,2971,13473,1852,18297,1693,6274,836,8806,1573,4402,583,6556,1309,3814,533,5653,1069,3344,455,4872,506,2143,400,3049,109,1027,222,1352,10993,40024,5666,56683
20607,289,866,174,1333,627,2177,335,3143,2336,9288,1249,12874,1364,5142,691,7197,1136,3446,507,5093,793,2517,402,3710,561,1692,276,2537,160,874,153,1182,23,349,72,445,7301,26354,3857,37511,367,908,140,1415,1095,2473,399,3970,3166,9351,1301,13818,1725,4590,621,6946,1347,3067,457,4872,1040,2648,403,4092,739,1796,291,2827,230,1143,198,1574,43,502,103,640,9750,26484,3916,40156,657,1774,320,2749,1724,4651,738,7114,5506,18639,2553,26691,3093,9729,1313,14137,2486,6512,964,9960,1829,5173,800,7803,1303,3487,566,5358,390,2015,352,2759,68,849,173,1083,17048,52838,7771,77659
20701,1683,3985,296,5968,1529,4925,358,6813,1867,8538,707,11111,2253,6789,522,9568,3395,7272,610,11276,2403,6173,455,9034,1837,4280,363,6483,810,2396,301,3508,225,1240,161,1627,16005,45603,3778,65383,1930,3722,285,5940,1844,4362,329,6532,2311,8445,667,11426,3485,7151,537,11168,4288,8000,537,12823,2716,6762,475,9949,2093,4910,472,7468,1052,3072,404,4526,276,2583,343,3208,19993,49008,4049,73046,3618,7710,588,11910,3375,9283,684,13346,4182,16986,1373,22544,5742,13937,1059,20736,7676,15276,1148,24102,5125,12930,928,18983,3928,9186,832,13951,1861,5469,698,8031,502,3822,508,4829,35999,94607,7825,138430
20702,549,2180,130,2858,481,2284,113,2884,729,4358,265,5350,943,4120,214,5279,1116,4450,249,5812,863,3979,229,5076,842,3305,216,4364,542,2611,306,3463,76,957,146,1178,6145,28248,1868,36258,585,1924,129,2635,649,1910,106,2659,863,4358,244,5464,1424,4180,211,5820,1470,4851,263,6578,1051,4520,243,5816,1142,3895,318,5353,622,2918,369,3908,94,1466,264,1818,7894,30018,2152,40064,1134,4107,259,5499,1126,4199,218,5548,1593,8715,508,10813,2363,8304,426,11096,2583,9293,514,12391,1912,8505,472,10890,1989,7199,533,9717,1165,5530,678,7372,168,2426,408,3004,14035,58266,4019,76324
20703,735,2481,183,3399,880,3949,235,5063,1060,6039,368,7470,1307,4559,278,6146,1648,4347,291,6289,1120,3709,243,5078,869,2421,212,3499,562,1756,226,2543,160,889,161,1211,8349,30153,2188,40697,995,2342,175,3510,1059,3350,199,4615,1323,5807,362,7491,1943,4555,235,6729,1984,4749,277,7010,1320,4119,256,5689,1161,2896,263,4324,763,2381,328,3474,218,1519,326,2063,10767,31715,2422,44904,1732,4821,355,6909,1945,7303,433,9671,2385,11846,734,14963,3249,9111,514,12877,3638,9099,569,13303,2438,7834,495,10767,2027,5318,471,7817,1325,4136,556,6015,379,2414,488,3273,19113,61874,4617,85602
20801,718,2322,182,3212,520,1885,138,2538,491,2986,269,3745,1275,4082,340,5693,2111,4951,436,7489,1423,4277,361,6058,1111,3179,278,4573,510,1651,218,2377,122,972,142,1228,8271,26292,2362,36928,816,1979,173,2964,603,1642,127,2381,722,3252,264,4232,1977,4406,341,6721,2624,5304,438,8364,1597,4631,357,6581,1362,3455,328,5141,636,2051,278,2968,197,1855,343,2393,10528,28566,2642,41741,1531,4299,354,6178,1126,3526,270,4919,1212,6235,528,7980,3248,8484,684,12418,4732,10250,868,15855,3016,8905,716,12636,2469,6635,606,9718,1145,3698,494,5344,317,2824,483,3624,18799,54860,5007,78669
20802,958,2989,239,4192,1020,3866,297,5184,1613,9017,707,11340,2095,7786,553,10438,2394,6645,495,9529,1621,5634,404,7656,1021,3819,315,5155,442,2127,245,2813,123,1303,179,1603,11287,43185,3428,57903,1136,2674,189,3993,1290,3737,273,5302,2184,9153,691,12021,2930,7409,517,10857,2886,7085,460,10436,1772,5970,416,8156,1305,4183,363,5856,671,2954,388,4018,191,2277,333,2801,14371,45445,3635,63451,2094,5666,428,8183,2308,7605,572,10485,3793,18166,1396,23363,5028,15198,1073,21297,5283,13728,956,19961,3397,11604,815,15819,2325,8004,674,11009,1114,5078,638,6832,312,3581,508,4405,25663,88631,7063,121353
20803,532,2426,191,3155,537,2578,197,3315,883,5636,434,6947,1565,6612,489,8668,1782,6066,457,8304,1144,4974,384,6507,799,3380,355,4541,419,2001,332,2758,97,900,236,1235,7762,34586,3077,45419,685,2237,204,3123,634,2165,144,2946,1208,5947,413,7573,2329,6564,464,9356,2075,6385,450,8908,1294,5335,370,6996,1121,3929,428,5481,549,2527,493,3576,148,1514,501,2161,10047,36604,3464,50110,1223,4668,390,6274,1168,4742,347,6263,2090,11580,846,14515,3896,13175,953,18027,3857,12454,899,17215,2440,10312,757,13503,1923,7307,783,10022,971,4533,825,6327,241,2414,737,3393,17804,71192,6537,95538
20804,366,801,65,1237,340,1282,86,1703,511,2425,179,3125,612,1824,139,2580,795,1706,145,2649,523,1412,111,2047,417,1039,92,1543,198,630,77,903,44,322,41,411,3806,11445,949,16193,373,774,62,1217,451,1436,104,1998,635,2423,198,3252,831,1808,133,2773,960,1832,129,2921,624,1566,107,2289,468,1188,101,1757,242,813,123,1174,53,580,78,709,4635,12414,1038,18086,743,1580,134,2451,790,2719,187,3695,1149,4847,378,6376,1444,3634,275,5354,1754,3533,281,5566,1138,2973,221,4338,883,2229,187,3305,446,1442,196,2085,101,904,121,1121,8444,23856,1980,34286
20901,670,2632,228,3518,609,3012,205,3825,1138,6399,434,7975,1630,6428,424,8488,1743,5610,435,7782,1331,5161,354,6847,1146,3963,349,5455,503,2056,281,2839,97,911,178,1188,8868,36177,2886,47926,827,2285,196,3308,840,2563,175,3582,1472,6364,439,8269,2432,6089,367,8887,2211,5840,391,8436,1614,5729,347,7691,1404,4227,428,6058,617,2584,424,3627,131,1569,363,2066,11552,37248,3125,51928,1490,4914,423,6834,1453,5575,379,7410,2610,12762,870,16248,4065,12511,794,17375,3952,11447,822,16224,2948,10889,703,14542,2547,8191,773,11511,1117,4644,711,6470,232,2478,544,3253,20416,73422,6012,99850
