SA2_MAINCODE_2016,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
203021037,4,27,62,41,43,27,11,0,0,211,13,24,48,36,36,32,9,0,3,193,360,735,1711,1316,1229,918,196,14,3,6480
203021038,18,59,80,67,51,38,0,0,0,318,34,72,114,117,124,89,19,3,3,585,512,1067,1922,1775,1890,1389,253,21,9,8825
203021039,4,25,54,45,40,47,19,0,0,232,6,15,53,32,38,22,17,5,0,199,267,685,1524,1178,1300,1075,244,27,5,6301
203021040,3,47,80,72,67,47,13,0,0,329,9,54,78,64,66,38,15,5,0,332,430,1032,2455,2132,2032,1352,240,23,3,9707
203021041,11,59,112,70,80,62,18,3,0,417,22,37,79,80,61,45,15,7,3,350,646,1404,2593,2416,2117,1477,293,27,10,10982
203021042,20,53,66,59,65,43,12,0,0,319,20,43,47,47,69,64,15,3,0,307,802,1175,1776,2272,2393,1751,397,45,3,10614
203021043,16,49,61,63,63,49,10,0,0,301,20,29,53,74,80,65,12,3,0,340,530,781,1652,1990,1935,1217,217,20,4,8334
203021044,6,22,81,62,47,26,9,6,0,250,21,24,40,45,42,31,10,0,0,210,387,490,1428,1283,1300,866,169,18,3,5940
203021045,11,35,58,47,68,36,13,0,0,263,15,31,54,50,73,45,16,3,0,283,342,710,1166,1083,1393,1042,202,19,3,5953
203021046,10,10,38,17,24,27,3,0,0,138,7,13,42,31,31,28,8,4,0,165,296,409,884,1063,1122,869,220,38,12,4909
203021047,7,23,55,60,45,32,9,0,0,234,21,28,69,68,58,48,15,0,0,299,314,591,1463,1317,1259,934,234,17,7,6139
203031048,19,22,46,47,49,37,12,3,0,236,14,27,37,40,56,38,12,3,0,231,346,463,939,1161,1366,1135,232,35,0,5681
203031049,0,10,6,12,20,15,4,0,0,58,3,6,15,13,19,29,7,0,0,94,108,137,317,386,579,564,179,15,3,2277
203031050,12,31,67,82,78,63,20,0,0,354,17,38,50,82,79,78,26,5,3,372,563,792,2040,2701,2438,1934,460,51,5,10989
203031051,3,0,16,6,19,23,6,0,0,74,6,6,13,11,21,28,16,4,0,111,111,160,257,371,625,628,191,23,7,2377
203031052,0,6,7,6,5,8,10,0,0,44,3,0,5,6,8,20,4,3,0,48,80,67,156,251,365,405,156,26,0,1502
203031053,11,20,53,74,64,41,6,0,0,286,25,21,54,87,72,39,25,6,0,317,431,532,1646,2351,2173,1381,348,30,0,8877
204011054,8,8,16,12,20,13,5,0,0,84,5,7,14,10,39,32,13,3,3,117,127,168,371,471,612,622,226,43,13,2652
204011055,7,4,18,13,15,17,12,0,0,88,8,3,11,16,35,29,24,3,0,124,120,135,359,417,567,668,276,57,14,2614
204011056,10,32,58,49,51,29,13,0,0,242,20,25,39,55,66,48,16,4,0,284,340,566,1093,1242,1525,1015,237,29,0,6047
204011057,16,12,20,23,36,32,22,0,0,153,9,15,20,47,44,39,17,9,0,189,215,249,561,740,876,899,316,45,12,3911
204011058,0,3,7,3,9,17,0,0,0,40,5,3,14,13,24,13,4,5,0,79,84,117,284,327,386,433,103,30,6,1764
204011059,5,12,18,23,24,20,6,0,0,100,7,11,15,18,26,27,4,6,0,114,159,214,432,425,567,537,106,19,9,2459
204011060,5,5,12,9,18,7,3,0,0,69,3,9,10,11,16,11,9,0,0,76,166,210,397,401,470,363,128,14,3,2151
204011061,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,8,0,3,13,7,26,10,0,0,0,67
204011062,0,3,13,10,17,24,0,0,0,69,0,7,9,13,23,9,17,8,0,83,63,72,156,279,342,368,142,35,13,1465
204021063,13,17,26,27,34,28,10,5,0,157,9,19,26,28,32,32,17,3,0,168,232,352,639,672,946,869,231,41,12,3993
204021064,0,7,9,10,14,9,3,0,0,58,6,0,7,4,21,20,14,3,0,77,82,79,205,259,405,464,180,21,7,1704
204021065,6,6,16,11,15,13,6,0,0,77,0,8,4,17,10,9,5,6,0,69,99,111,250,372,447,348,104,17,4,1760
204021066,13,42,70,58,63,44,18,0,0,296,31,27,60,52,67,49,17,9,0,316,558,655,1469,1583,1793,1449,296,39,10,7862
204021067,6,11,20,28,36,19,5,0,0,139,8,13,20,43,42,43,18,3,4,192,230,254,523,922,1219,1123,375,98,18,4756
204031068,0,3,7,7,11,11,3,0,0,47,9,7,11,10,6,14,8,4,0,71,101,82,235,400,508,497,159,16,3,1999
204031069,8,9,16,17,27,10,5,0,0,86,14,14,16,15,24,30,15,3,0,132,211,238,522,742,881,801,241,35,8,3678
204031070,4,9,17,15,17,7,0,0,0,64,5,6,9,6,15,21,3,3,0,69,81,103,198,279,407,349,82,17,5,1526
204031071,6,7,16,9,22,11,3,0,0,76,8,3,9,15,21,18,3,7,7,91,136,122,256,339,541,491,120,21,5,2041
204031072,0,8,18,12,34,21,4,0,0,99,7,9,12,12,23,24,12,4,3,103,128,138,329,406,664,639,290,58,14,2649
204031073,8,43,76,55,52,40,7,0,0,294,16,21,44,51,54,31,13,4,0,225,444,665,1455,1463,1560,1120,224,19,3,6955
204031074,39,68,101,74,67,48,13,0,0,409,32,50,86,101,99,57,19,3,0,447,813,1282,2599,2206,2307,1656,338,28,10,11239
204031075,3,3,9,21,24,12,0,0,0,72,4,5,12,15,26,7,5,4,0,77,128,136,247,457,607,493,152,23,0,2248
205011076,21,38,82,61,81,60,14,3,0,353,17,26,61,52,80,59,28,7,0,327,356,607,1516,1290,1483,1179,301,49,6,6782
205011077,12,13,21,18,38,17,5,0,0,117,7,13,13,32,21,19,8,0,0,121,143,187,304,513,699,638,215,44,3,2748
205011078,5,23,23,27,22,29,0,0,0,131,11,8,15,29,35,23,9,3,3,135,175,274,640,695,729,690,186,25,13,3434
205011079,20,39,80,67,95,70,22,3,0,396,12,33,49,50,70,53,19,7,0,303,570,715,1524,1540,2004,1512,402,81,13,8357
205021080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4
205021081,12,29,53,41,49,57,8,0,0,257,16,16,40,38,50,44,19,5,0,230,342,530,1132,1053,1254,1092,271,46,7,5729
205021082,0,7,20,27,38,24,9,0,0,117,8,16,24,25,41,42,13,6,0,170,190,201,488,595,880,775,277,54,7,3479
205021083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205021084,7,16,19,19,32,29,8,3,0,129,12,3,11,30,20,45,15,5,0,142,201,222,477,633,808,819,257,30,3,3452
205021085,0,4,17,14,22,13,5,0,0,76,4,4,11,16,18,35,11,10,0,107,92,98,281,382,600,606,193,44,7,2304
205021086,3,8,5,23,5,14,3,0,0,72,4,12,6,8,23,22,8,0,0,92,106,123,266,366,500,527,172,31,0,2086
205031087,7,13,18,21,23,26,5,0,0,111,15,11,19,20,38,36,14,6,3,161,162,220,473,598,851,829,311,53,10,3508
205031088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,10,7,18,4,3,0,50
205031089,13,22,35,20,32,35,13,0,0,172,11,8,16,43,55,48,14,5,3,200,227,250,589,778,974,891,251,45,13,4012
205031090,13,23,33,24,33,28,9,0,0,160,3,14,32,34,41,37,20,6,0,192,284,325,761,918,1160,952,317,62,6,4781
205031091,5,12,24,19,36,26,10,0,4,124,12,10,21,34,32,26,14,0,0,141,186,212,652,818,973,909,261,29,11,4049
205031092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,12
205031093,10,28,64,81,69,57,12,4,0,325,18,22,63,63,81,94,32,13,7,392,472,513,1398,1569,2012,1793,537,93,15,8395
205041094,8,25,23,25,43,24,6,0,0,157,8,16,24,29,31,43,19,0,0,176,308,432,816,899,1144,989,241,24,7,4857
205041095,9,37,51,40,55,43,13,0,0,242,24,35,52,38,60,50,11,6,0,271,389,667,1205,1122,1350,1096,225,28,5,6085
205041096,6,26,36,29,35,27,10,3,0,174,14,20,50,35,46,36,8,5,0,203,256,455,932,789,982,841,186,35,3,4472
205041097,33,52,109,106,76,51,11,0,0,444,22,39,87,68,74,55,27,6,0,374,691,1164,2744,2517,2517,1836,389,48,9,11911
205041098,9,12,20,14,14,14,5,0,0,76,3,5,12,16,19,17,3,0,0,86,127,187,358,411,515,417,74,3,3,2088
205051099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,3,0,0,17
205051100,4,4,8,13,4,13,0,0,0,52,0,3,5,9,26,20,9,4,0,76,93,98,240,305,425,380,110,20,6,1670
205051101,16,30,45,40,48,43,10,0,0,235,22,30,44,44,56,49,26,9,0,283,346,512,1058,1149,1312,1286,339,58,5,6065
205051102,6,9,11,13,17,5,0,0,0,66,3,10,10,13,13,10,14,3,0,73,70,151,341,362,415,364,122,23,6,1848
205051103,9,35,54,43,33,39,8,0,0,231,15,21,68,25,40,41,4,4,3,219,399,537,1324,1257,1337,1052,212,31,10,6155
205051104,5,7,12,10,17,18,6,0,0,66,9,14,11,11,21,16,3,0,0,99,93,133,285,328,512,557,190,31,11,2144
206011105,3,56,183,98,63,46,12,0,0,454,12,57,219,95,61,36,18,3,0,506,268,1780,6212,3473,1949,1139,257,28,3,15111
206011106,4,29,86,47,46,9,3,0,0,224,3,19,95,49,24,13,7,3,0,214,94,737,2871,1535,857,435,110,9,0,6655
206011107,3,24,99,51,44,24,5,0,0,247,3,22,99,59,38,24,9,3,0,269,169,815,2628,1687,1208,705,159,16,0,7390
206011108,7,39,118,95,97,61,15,4,0,441,7,59,180,145,85,57,21,0,0,551,338,1305,4003,3369,2537,1400,260,27,7,13246
206011109,5,13,28,44,34,14,12,0,0,152,5,19,36,42,48,27,5,0,0,187,201,413,958,1244,1249,634,136,13,0,4851
206021110,3,16,38,34,24,17,3,0,0,144,9,17,54,38,30,21,12,0,0,177,160,467,1326,1082,1106,651,113,13,4,4921
206021111,9,39,125,116,81,53,17,0,0,437,14,46,135,112,96,45,10,3,0,455,333,1109,4196,3343,2822,1445,283,33,4,13574
206021112,5,29,97,77,68,31,15,0,0,317,4,43,131,90,82,37,7,3,0,406,203,841,3022,2735,1875,948,156,26,4,9806
206031113,0,14,76,43,46,27,4,3,0,209,6,14,72,64,46,24,13,3,0,240,214,684,2199,1825,1533,934,200,19,4,7609
206031114,12,49,114,67,93,54,19,3,0,403,17,56,115,116,136,69,25,0,0,543,701,1472,3566,2980,3255,2158,475,45,9,14671
206031115,0,10,46,22,16,19,8,0,0,120,8,23,73,49,27,21,5,0,0,213,115,562,1790,1034,622,421,77,7,0,4631
206031116,11,11,59,33,45,34,6,0,0,210,3,30,68,55,57,25,15,3,0,268,275,784,1968,1730,1585,1013,219,27,5,7599
206041117,3,28,54,24,15,22,8,0,0,150,21,62,103,36,30,15,9,0,0,267,250,1351,2824,965,573,379,134,30,0,6501
206041118,3,20,53,26,18,12,4,0,0,133,8,39,91,32,49,23,13,0,0,256,75,543,2743,1126,740,494,163,16,3,5898
206041119,0,4,23,14,14,13,3,0,0,65,0,9,38,18,16,13,7,3,0,115,29,229,1117,564,431,417,205,29,8,3031
206041120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,11,4,5,0,0,0,38
206041121,3,14,59,37,32,15,6,0,0,162,3,17,87,52,25,20,6,0,0,213,100,556,2585,1562,899,490,98,4,0,6294
206041122,10,89,200,50,48,18,3,0,0,432,28,182,362,106,73,24,9,0,0,783,377,2882,8355,2331,1061,621,187,24,11,15847
206041123,11,38,118,37,43,19,3,0,0,267,12,58,146,76,45,29,5,9,0,377,259,1464,4322,1907,1144,630,190,31,10,9952
206041124,3,23,22,13,15,3,0,0,0,81,3,24,38,18,15,12,3,0,3,111,369,855,1191,407,311,247,111,14,3,3503
206041125,0,13,25,11,4,6,4,0,0,69,0,8,47,12,21,29,15,6,0,143,44,285,1307,602,465,403,219,57,8,3377
206041126,3,35,133,48,26,14,3,0,0,265,9,57,214,77,50,33,13,0,0,451,171,1275,5405,1961,981,657,222,21,3,10711
206041127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206051128,11,15,36,34,29,13,6,0,0,150,9,24,91,91,89,43,19,4,3,376,160,486,2175,1904,1689,1119,475,59,15,8083
206051129,6,24,102,68,53,33,5,0,0,285,3,20,129,94,51,34,7,3,0,340,121,618,3182,2377,1726,988,230,23,7,9276
206051130,6,20,78,58,50,27,15,0,0,266,4,23,99,109,76,50,28,8,0,397,155,443,2459,2463,1793,1157,417,46,5,8931
206051131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,6,0,0,0,0,0,13
206051132,3,17,64,40,28,26,7,3,0,180,3,20,60,51,46,27,14,0,0,226,74,461,2172,1531,1029,594,232,21,4,6116
206051133,7,51,190,109,81,34,3,0,0,481,9,52,256,135,100,66,18,3,0,647,168,1370,6495,3363,2184,1382,358,37,11,15372
206051134,14,26,140,68,50,34,4,0,0,338,8,29,151,83,54,31,5,0,0,360,152,935,4091,2384,1384,751,194,26,3,9924
206061135,7,17,32,19,26,14,4,0,0,110,4,14,67,35,35,17,21,7,0,199,108,433,1534,1004,818,574,287,50,8,4828
206061136,3,45,150,71,49,33,11,0,0,360,5,55,184,93,57,25,10,0,0,444,172,1252,5600,2490,1419,909,276,28,4,12157
206061137,6,45,137,53,42,21,6,0,0,312,5,35,244,94,69,49,25,4,0,535,193,1391,6045,2222,1340,828,394,62,13,12487
206061138,6,16,34,33,23,26,8,0,0,147,0,25,69,49,78,51,49,15,4,349,123,634,1649,1049,1142,1043,707,165,38,6545
206071139,0,22,65,20,18,18,3,0,0,146,0,29,94,39,20,16,7,0,0,199,67,500,2574,997,578,339,103,14,0,5171
206071140,0,15,38,15,18,11,4,0,0,98,3,17,70,28,19,22,9,0,0,174,86,602,1923,929,705,523,244,23,4,5039
206071141,9,12,68,24,21,11,3,0,0,149,3,18,73,41,30,21,3,0,0,197,68,421,2292,1018,544,287,69,7,3,4711
206071142,0,8,66,37,19,16,4,0,0,146,7,26,94,60,30,19,8,3,0,252,77,498,2303,1188,754,445,140,14,3,5427
206071143,3,17,77,41,32,28,9,0,0,205,9,14,91,67,35,35,11,0,0,261,122,579,2552,1620,1128,778,240,11,5,7038
206071144,3,37,226,111,70,54,16,0,0,523,10,54,316,133,97,45,21,3,0,680,326,1735,8458,3889,2401,1441,465,33,12,18752
206071145,0,18,39,31,26,29,0,0,0,144,3,9,56,36,33,14,6,0,0,163,107,359,1527,1208,986,678,200,13,3,5084
207011146,3,11,23,18,21,12,13,0,0,99,4,7,28,41,43,17,4,0,0,153,177,321,577,883,964,584,140,14,3,3659
207011147,10,11,38,26,32,34,12,0,0,162,11,36,52,55,92,49,25,8,0,332,326,753,1204,1238,1777,1260,454,65,8,7076
207011148,11,34,41,39,56,53,12,4,0,248,18,33,53,74,107,79,16,6,3,402,501,932,1288,1723,2632,1636,433,71,12,9234
207011149,8,33,53,39,48,33,18,0,0,245,13,36,65,71,89,62,30,6,3,377,452,1092,1802,1962,2512,1666,593,56,8,10156
207011150,3,19,37,38,54,44,14,0,0,210,12,16,44,64,87,49,15,3,0,296,364,725,1351,1775,2209,1390,418,40,4,8263
207011151,9,49,109,42,48,30,14,3,0,306,15,61,127,78,66,44,31,9,0,426,375,1542,4464,2454,1919,1243,522,75,9,12610
207011152,12,23,68,38,22,27,10,4,0,195,8,38,88,69,57,47,9,4,0,320,235,919,2568,1726,1337,933,338,48,3,8107
207011153,11,37,74,46,70,41,16,0,0,308,17,39,111,105,130,83,37,14,0,532,457,1293,2706,2313,2721,1898,716,127,19,12255
207011154,3,6,15,19,21,16,3,0,0,84,0,9,12,24,36,14,10,3,0,104,154,291,524,673,840,477,176,21,0,3159
207011155,11,18,24,36,48,42,24,3,0,196,13,26,38,36,105,43,27,6,4,298,373,765,1164,1449,1999,1446,480,57,12,7747
207021156,5,9,25,34,54,36,15,0,0,188,4,24,46,51,62,35,17,5,3,247,193,435,956,1034,1266,749,243,34,8,4921
207021157,5,26,80,65,73,43,18,3,0,321,9,40,127,74,105,60,29,8,0,454,332,787,2228,1801,1958,1318,422,92,9,8942
207021159,7,21,56,41,72,60,13,0,0,265,14,24,65,54,85,67,34,10,3,358,321,702,1325,1363,1776,1522,511,70,7,7602
207021160,6,14,38,44,48,39,16,3,0,211,6,18,57,63,47,45,20,3,0,263,201,471,1034,1423,1459,903,335,53,3,5883
207021424,5,23,33,53,76,44,11,0,0,246,7,24,53,62,67,56,11,3,0,280,313,651,1163,1306,1641,1292,350,33,5,6754
207021425,10,15,48,46,50,37,13,3,0,219,4,24,70,73,47,43,13,0,0,273,206,443,1405,1450,1318,791,253,42,3,5923
207031161,6,26,95,93,81,58,21,0,0,385,7,27,73,85,93,59,24,8,5,382,486,886,2052,2378,2434,1430,389,48,10,10104
207031162,4,20,32,34,34,31,18,0,0,176,0,7,32,26,44,29,11,0,0,151,224,377,896,1105,1177,717,185,23,3,4705
207031163,8,39,94,63,62,63,9,0,0,345,17,50,141,71,88,45,10,6,0,430,339,1022,2581,1792,1754,1108,224,28,0,8852
207031164,6,25,69,56,58,38,16,5,0,262,10,27,74,90,75,47,11,0,0,343,349,717,1791,1855,1921,1233,294,25,3,8186
207031165,4,27,28,48,40,22,6,0,0,169,12,39,72,36,37,21,6,4,0,220,290,819,1322,829,924,563,128,19,3,4895
207031166,0,22,34,28,44,30,10,0,0,173,4,16,53,42,57,32,21,6,0,230,173,493,1013,966,929,679,191,29,0,4471
207031167,9,15,19,24,35,24,12,0,0,137,3,17,17,33,45,33,6,0,0,153,233,516,917,1047,1216,898,239,32,8,5098
208011168,4,6,14,31,59,22,6,0,0,144,10,14,20,54,102,55,24,3,0,291,341,580,579,1262,1885,1305,409,53,4,6422
208011169,11,20,56,43,75,40,16,5,0,267,12,34,65,101,144,116,53,4,9,542,362,811,1542,1988,2710,2026,867,127,24,10461
208011170,4,18,23,43,61,43,10,3,0,197,12,19,42,67,102,69,33,3,0,343,307,542,878,1628,2092,1353,456,57,6,7322
208011171,3,6,34,41,52,21,8,3,0,177,3,14,46,55,62,28,9,6,0,226,233,365,1036,1439,1367,768,204,17,7,5435
208011172,19,17,48,41,64,38,7,0,0,234,11,11,47,78,119,70,28,8,0,363,423,669,1194,1860,2410,1423,423,38,0,8438
208011173,9,23,34,46,47,31,25,6,0,210,14,23,44,87,117,55,34,3,0,388,337,554,1089,1624,2213,1514,525,51,6,7916
208021174,9,29,59,63,108,47,8,0,0,319,16,29,72,97,124,68,23,8,0,430,482,877,1864,2501,2882,1706,363,31,4,10709
208021176,3,14,87,54,52,32,14,3,0,260,7,31,116,76,67,38,11,0,0,344,239,775,2937,2135,1580,1086,261,23,8,9049
208021177,15,41,90,50,50,39,27,3,0,308,18,37,139,89,94,88,38,14,7,524,241,860,2891,2074,1747,1524,681,97,26,10149
208021178,10,32,69,73,70,56,19,3,0,338,16,44,63,84,91,60,41,5,0,394,243,698,1783,1905,1890,1366,614,68,3,8562
208021179,7,7,50,32,43,30,9,0,0,177,3,11,60,53,53,24,13,4,3,234,163,387,1663,1382,1260,803,279,30,6,5965
208021180,0,20,31,21,30,11,0,0,0,116,3,14,36,29,37,14,4,0,0,153,153,345,1011,933,813,444,87,13,3,3805
208021181,5,14,38,29,36,13,5,3,0,148,6,12,41,42,34,38,6,0,3,190,157,411,1260,1167,1031,671,136,26,7,4867
208021182,5,19,70,42,45,26,17,3,0,222,5,20,92,65,53,39,14,0,0,282,199,606,2159,1535,1390,850,187,15,3,6946
208021426,6,19,41,64,82,46,9,0,0,264,4,15,47,73,98,42,11,3,3,303,289,533,1201,1924,1875,1013,231,24,8,7104
208021427,5,22,34,50,64,50,12,3,0,246,7,18,64,53,58,31,7,0,0,243,272,457,1180,1621,1567,935,224,18,8,6278
208031183,10,11,24,34,46,28,4,3,0,153,13,19,32,35,67,35,18,0,0,216,319,432,660,1067,1393,676,125,8,0,4672
208031184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,3,3,3,6,8,4,0,0,0,22
208031185,10,24,34,63,47,34,11,0,0,220,3,25,47,67,75,65,21,3,3,323,242,447,1024,1314,1413,1069,277,26,3,5812
208031186,7,22,69,46,50,42,10,0,0,240,9,21,67,94,67,27,15,4,3,318,190,470,1639,1909,1394,986,247,16,9,6862
208031187,4,15,29,21,22,20,3,0,0,111,7,13,18,33,43,17,5,3,0,147,129,226,491,656,596,410,92,6,0,2612
208031188,13,25,84,93,98,71,20,4,0,403,16,27,101,108,127,93,23,5,4,502,463,847,2396,2792,2386,1525,393,45,9,10847
208031189,6,15,51,55,62,33,5,0,0,227,7,17,43,71,70,46,16,4,3,280,300,481,1234,1591,1608,924,226,22,3,6400
208031190,12,18,58,52,44,31,10,0,0,226,10,12,55,55,65,37,13,3,3,256,258,565,1442,1522,1506,993,267,50,6,6605
208031191,6,12,32,49,30,20,9,3,0,158,9,11,36,55,41,19,14,0,3,195,171,338,857,1121,993,575,158,15,7,4229
208031192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208031193,8,26,63,83,77,60,22,0,0,335,14,32,52,86,104,57,17,0,3,369,463,767,1871,2568,2557,1581,334,28,4,10168
208041194,9,35,75,48,43,34,17,3,0,255,21,50,82,87,96,42,26,15,4,412,288,972,2797,2127,1992,1398,577,91,13,10262
208041195,6,25,56,47,53,34,10,0,0,248,11,45,83,71,96,59,29,5,0,399,390,1092,2117,2209,2425,1482,475,53,9,10260
