POA_CODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
POA3095,0,4,0,0,0,3,7,0,14,347,249,24,618,17,17,31,650,227,0,876
POA3096,0,0,0,0,0,0,0,0,0,32,19,3,52,0,0,5,54,8,0,64
POA3097,0,0,0,0,0,0,0,0,0,12,8,0,17,0,0,0,17,13,0,31
POA3099,0,0,0,0,0,0,0,3,4,55,62,10,126,0,3,3,132,43,3,175
POA3101,0,3,0,0,0,3,3,3,14,290,183,17,490,11,14,28,512,282,8,796
POA3102,0,0,0,0,0,3,3,0,4,75,59,8,142,6,4,5,150,76,0,229
POA3103,0,0,3,0,3,4,0,0,3,205,137,15,350,16,12,27,377,267,3,643
POA3104,0,0,0,0,0,3,3,5,13,243,165,21,423,19,8,26,453,305,7,763
POA3105,0,0,0,0,0,0,0,3,7,106,70,10,184,11,4,14,202,184,4,388
POA3106,0,0,0,0,0,0,3,3,5,173,114,3,293,10,20,26,323,193,3,516
POA3107,0,0,0,0,0,0,3,4,6,158,107,16,282,4,6,11,296,225,7,527
POA3108,0,0,0,0,0,3,4,5,13,236,165,19,418,6,26,36,453,384,13,848
POA3109,0,3,0,0,0,3,12,3,24,293,251,19,562,23,25,43,608,459,8,1079
POA3111,0,3,0,0,0,3,5,0,9,124,107,13,238,5,0,5,245,159,3,405
POA3113,0,0,0,0,0,0,3,0,3,90,68,3,163,6,3,8,171,55,0,232
POA3114,0,5,0,0,0,5,0,0,7,23,17,5,44,0,0,0,45,30,0,76
POA3115,0,0,0,0,0,0,0,0,0,39,31,0,71,0,0,3,70,16,0,86
POA3116,0,0,0,0,0,0,3,0,5,123,114,12,252,5,4,8,261,124,0,387
POA3121,0,0,0,0,0,0,12,8,22,226,155,13,398,20,26,52,450,524,9,983
POA3122,0,3,0,0,0,3,3,3,7,163,114,13,298,12,10,20,318,151,3,473
POA3123,0,3,0,0,0,3,0,0,4,137,72,15,227,10,9,17,242,141,3,389
POA3124,3,5,0,0,0,5,3,3,13,218,173,11,408,9,17,29,429,228,8,663
POA3125,0,0,0,0,0,0,10,0,11,150,113,8,263,7,13,18,286,216,4,502
POA3126,0,0,0,0,0,0,0,0,3,74,49,7,131,4,4,12,139,67,3,206
POA3127,0,3,0,0,0,3,0,0,4,194,138,11,340,8,7,21,360,159,7,522
POA3128,0,3,0,0,0,3,0,6,8,226,166,14,406,18,9,28,434,312,10,755
POA3129,0,3,0,0,0,3,4,0,6,190,175,19,377,17,16,29,412,288,4,699
POA3130,3,9,0,0,0,9,4,3,19,352,286,14,655,27,14,43,696,467,16,1168
POA3131,0,3,0,0,0,3,8,5,12,246,203,16,467,8,19,29,488,361,6,861
POA3132,0,0,0,0,0,0,10,0,8,194,128,12,332,5,13,23,353,218,0,578
POA3133,0,3,0,0,0,3,3,0,7,258,172,11,443,8,20,26,472,284,3,760
POA3134,0,9,0,0,0,9,14,3,25,407,303,28,735,26,23,53,790,416,9,1219
POA3135,3,7,0,0,0,7,8,0,13,271,191,17,488,13,16,33,520,280,8,808
POA3136,0,12,0,0,0,12,15,9,39,709,526,53,1284,29,43,72,1360,626,17,2008
POA3137,0,6,0,0,0,5,5,0,13,203,162,20,390,7,9,19,403,215,3,623
POA3138,3,4,0,0,0,8,3,5,14,337,278,32,644,10,18,30,681,318,10,1003
POA3139,4,6,0,0,0,6,3,3,11,152,176,20,351,8,14,19,376,160,5,535
POA3140,3,12,0,0,0,12,3,3,16,260,219,20,493,17,10,24,520,218,7,746
POA3141,0,0,0,0,0,0,3,0,9,175,97,9,283,12,21,29,309,254,4,565
POA3142,0,4,0,0,0,4,0,0,4,123,88,6,213,5,7,16,226,135,0,362
POA3143,0,0,0,0,0,0,3,0,5,86,59,3,152,0,8,10,157,90,0,253
POA3144,3,3,0,0,0,3,0,3,8,112,73,10,197,6,5,10,204,97,8,311
POA3145,0,3,0,0,0,3,3,0,6,202,168,18,388,10,11,19,412,220,3,637
POA3146,0,4,0,0,0,3,5,4,14,248,161,19,416,13,10,21,441,226,9,671
POA3147,0,0,0,0,0,0,11,3,13,155,115,11,283,9,14,24,307,268,6,580
POA3148,0,3,0,0,0,3,3,3,9,97,85,3,185,11,7,18,197,161,3,369
POA3149,0,5,0,0,0,4,3,10,17,413,247,28,683,28,35,59,741,477,15,1228
POA3150,3,9,0,0,0,9,7,7,28,660,458,58,1173,30,47,79,1249,905,12,2171
POA3151,0,0,0,0,0,0,4,3,7,99,77,12,190,5,5,16,204,181,3,384
POA3152,3,17,0,0,0,16,9,5,28,404,276,35,707,23,24,45,755,450,5,1211
POA3153,0,16,0,0,0,14,7,3,21,329,267,25,620,22,23,38,662,370,11,1045
POA3154,0,0,0,0,0,0,3,0,4,47,40,8,104,6,10,13,112,62,0,173
POA3155,3,7,0,0,0,7,11,7,22,357,305,29,692,19,25,50,742,411,7,1156
POA3156,0,13,0,0,0,11,12,10,38,516,426,48,987,25,37,64,1049,512,17,1575
POA3158,0,0,0,0,0,0,4,0,8,88,92,9,184,7,8,17,201,76,3,280
POA3159,0,3,0,0,0,3,0,0,3,32,31,0,64,0,4,8,66,31,0,96
POA3160,0,6,0,0,0,6,0,0,9,125,124,4,256,4,13,13,273,106,0,378
POA3161,0,0,0,0,0,3,7,0,8,130,98,7,232,14,6,14,250,114,0,367
POA3162,3,6,0,0,0,6,3,0,9,181,128,11,327,8,3,15,339,168,3,512
POA3163,0,10,0,0,0,10,9,3,17,293,197,23,516,22,14,36,552,311,10,869
POA3165,0,12,0,0,0,12,10,4,26,388,258,32,683,25,32,51,738,420,9,1170
POA3166,0,3,0,0,0,3,0,4,15,232,183,19,436,22,13,38,471,381,8,864
POA3167,0,0,0,0,0,0,3,3,8,90,59,20,169,0,10,10,184,175,3,358
POA3168,0,0,0,0,0,0,9,3,15,107,97,13,213,10,16,24,237,244,9,492
POA3169,0,5,0,0,0,5,7,9,18,191,136,19,346,14,14,32,375,441,16,830
POA3170,0,9,0,0,0,5,6,0,13,234,131,11,381,23,15,35,416,330,3,748
POA3171,3,11,0,3,3,12,4,8,24,185,156,27,372,30,29,64,429,572,15,1015
POA3172,0,4,0,0,0,3,11,4,20,297,252,28,577,21,26,48,624,438,15,1072
POA3173,0,3,0,0,0,3,4,3,11,305,200,25,527,30,29,56,588,437,12,1037
POA3174,3,6,3,0,3,11,20,14,50,471,331,38,841,63,66,128,974,1041,35,2047
POA3175,0,14,3,0,0,16,26,23,62,492,376,52,913,86,75,158,1072,1283,41,2392
POA3177,0,0,0,0,0,3,8,8,10,111,86,7,203,31,30,58,264,388,15,669
POA3178,3,9,0,0,0,9,3,4,16,439,291,35,766,17,19,33,798,316,9,1127
POA3179,0,4,0,0,0,4,3,0,3,86,65,4,157,0,9,11,167,95,0,264
POA3180,0,0,0,0,0,0,8,3,10,125,61,4,198,9,4,9,210,107,3,320
POA3181,0,3,0,0,0,3,8,0,10,135,85,9,232,5,5,13,245,189,3,439
POA3182,0,3,0,0,0,0,0,0,6,175,118,19,309,18,17,28,340,146,3,492
POA3183,0,0,0,0,0,0,0,0,4,144,108,12,264,8,9,23,284,147,3,433
POA3184,0,4,0,0,0,4,3,0,11,169,130,8,309,12,11,23,334,111,4,447
POA3185,0,3,0,0,0,3,3,0,8,134,96,0,234,3,7,5,239,113,3,353
POA3186,3,10,0,0,0,10,6,0,15,253,172,26,447,9,13,22,466,264,0,732
POA3187,0,3,0,0,0,3,0,5,7,185,133,18,329,11,12,24,351,151,3,506
POA3188,0,10,0,0,0,10,3,5,20,197,160,16,374,12,13,25,396,273,7,674
POA3189,0,0,0,0,0,0,3,3,4,87,58,10,147,11,7,14,163,96,0,256
POA3190,0,4,0,0,0,4,0,3,11,141,123,10,275,14,7,22,293,159,6,458
POA3191,0,0,0,0,0,0,3,0,3,101,77,4,186,9,6,12,194,82,0,283
POA3192,0,4,0,0,0,4,7,3,14,345,228,16,594,11,11,26,621,330,9,962
POA3193,3,3,0,0,0,3,3,0,7,186,124,18,322,4,10,18,343,189,0,527
POA3194,0,4,0,0,0,3,3,0,7,185,127,13,319,9,14,25,348,179,0,526
POA3195,0,7,0,0,0,7,8,3,15,458,324,27,806,13,25,34,844,378,10,1229
POA3196,4,3,0,0,0,10,5,5,17,355,302,28,683,18,20,40,724,396,10,1128
POA3197,0,3,0,0,0,3,4,9,10,189,122,13,322,13,15,27,351,174,9,538
POA3198,0,3,0,0,0,3,18,4,26,274,219,25,518,31,31,56,579,350,17,945
POA3199,9,16,0,4,4,23,35,22,82,856,732,75,1669,84,90,180,1847,1148,41,3029
POA3200,0,0,0,0,0,0,5,9,10,96,82,7,190,21,18,37,220,256,14,493
POA3201,3,13,4,3,4,19,9,7,32,398,303,46,747,30,33,62,803,393,10,1208
POA3202,0,0,0,0,0,0,0,0,0,41,41,3,85,0,0,3,89,32,0,119
POA3204,0,8,0,0,0,8,4,4,18,352,285,28,660,27,23,48,713,357,5,1080
POA3205,0,0,0,0,0,0,3,3,4,79,54,4,135,11,11,27,165,171,9,344
POA3206,0,0,0,0,0,0,3,0,5,99,79,5,176,4,8,16,198,90,0,282
POA3207,0,3,0,0,0,3,5,7,14,169,96,12,274,8,15,21,292,225,8,527
POA3211,0,0,0,0,0,0,3,0,3,14,7,0,26,0,0,0,23,21,0,51
POA3212,0,0,0,0,0,4,3,3,8,214,178,23,417,11,11,26,440,199,7,649
POA3213,0,0,0,0,0,0,0,0,0,35,37,5,82,0,0,4,80,36,0,119
POA3214,3,5,0,0,3,8,25,26,63,240,351,45,638,86,89,177,816,1098,38,1950
POA3215,0,7,0,0,3,5,15,9,29,279,242,22,542,27,23,52,590,427,11,1032
POA3216,3,11,0,3,3,20,11,4,29,664,561,68,1289,50,46,91,1382,693,16,2089
POA3217,0,0,0,0,0,0,0,0,3,83,64,9,152,4,9,8,157,41,0,201
POA3218,0,5,0,0,0,11,8,6,20,172,146,17,340,12,10,23,366,194,9,565
POA3219,0,4,4,0,4,8,14,6,33,265,287,37,586,43,24,65,655,507,13,1177
POA3220,0,0,0,0,0,0,3,3,5,179,146,16,341,16,8,23,361,158,5,524
POA3221,0,0,0,0,0,0,0,0,0,10,11,0,13,0,0,0,13,4,0,22
POA3222,0,3,0,0,0,3,9,3,12,158,182,12,349,12,12,27,376,230,3,614
POA3223,0,3,0,0,0,3,11,6,15,60,53,7,117,6,9,16,133,122,11,269
POA3224,3,6,0,0,0,6,0,3,5,165,173,15,357,16,20,37,393,191,4,584
POA3225,0,0,0,0,0,0,3,0,5,31,39,0,74,0,6,6,74,32,0,107
POA3226,0,3,0,0,0,3,6,0,10,141,174,17,325,16,13,28,352,163,0,510
POA3227,0,0,0,0,0,0,0,0,0,52,56,3,112,3,3,7,120,27,0,146
POA3228,0,8,0,0,0,8,3,3,14,158,183,18,363,14,9,24,387,109,3,502
POA3230,0,0,0,0,0,0,0,0,0,27,23,0,53,3,3,4,52,19,0,75
POA3231,0,0,0,0,0,0,0,0,0,15,14,0,30,0,0,0,31,8,0,43
POA3232,0,0,0,0,0,0,0,0,0,12,6,0,15,0,0,0,15,12,0,29
POA3233,0,0,0,0,0,0,3,0,3,13,25,3,40,3,0,3,41,20,0,68
POA3234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3235,0,0,0,0,0,0,0,0,0,4,10,0,12,0,0,0,12,3,0,18
POA3236,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,5,11,0,11
POA3237,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,7,3,0,8
POA3238,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,4,0,3
POA3239,0,0,0,0,0,0,0,0,0,4,5,0,4,0,0,0,4,6,0,19
POA3240,0,3,0,0,0,3,0,0,4,7,12,3,20,0,0,0,24,10,0,31
POA3241,0,0,0,0,0,0,0,4,5,25,21,3,51,0,3,5,53,56,4,114
POA3242,0,0,0,0,0,0,0,0,0,6,14,0,19,0,0,0,17,6,0,26
POA3243,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,4,0,0,7
POA3249,0,0,0,0,0,0,0,3,3,25,27,0,47,3,0,3,54,30,4,84
POA3250,0,0,0,0,0,3,7,5,17,107,158,15,276,12,15,28,301,239,11,547
POA3251,0,0,0,0,0,0,0,0,0,7,0,0,11,0,0,0,8,11,3,25
POA3254,0,0,0,0,0,0,0,0,0,3,7,0,9,0,0,0,9,5,0,16
POA3260,0,3,0,0,0,3,3,0,6,37,54,7,101,0,7,8,113,73,3,188
POA3264,0,0,0,0,0,0,0,0,8,20,25,6,51,0,5,7,55,46,0,102
POA3265,0,0,0,0,0,0,0,0,0,21,12,0,35,7,0,3,35,24,3,70
POA3266,0,0,0,0,0,0,3,3,9,24,24,3,52,3,4,8,60,34,3,96
POA3267,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,3
POA3268,0,0,0,0,0,0,0,0,0,31,33,0,62,0,3,5,63,38,0,108
POA3269,0,0,0,0,0,0,0,0,0,8,0,0,6,0,0,0,12,4,0,17
POA3270,0,0,0,0,0,0,0,0,0,4,4,0,9,0,0,0,9,0,0,9
POA3271,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,4
POA3272,0,0,0,0,0,0,0,0,0,10,23,3,33,4,0,3,40,26,0,59
POA3273,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,3,0,6
POA3274,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,5,5,0,9
POA3275,0,0,0,0,0,0,0,0,0,7,4,0,8,0,0,0,8,3,0,14
POA3276,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,10,7,0,16
POA3277,0,0,0,0,0,0,0,0,0,13,13,0,24,3,3,3,32,18,0,47
POA3278,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,7,0,6
POA3279,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
POA3280,4,10,0,0,3,15,11,15,41,330,425,43,800,22,32,57,863,503,24,1392
POA3281,0,0,0,0,0,0,0,0,0,9,17,0,24,0,0,0,24,13,0,36
POA3282,0,0,0,0,0,0,4,0,3,17,32,3,51,0,8,9,54,38,0,93
POA3283,0,0,0,0,0,0,0,0,0,6,9,0,21,0,3,3,20,13,0,31
POA3284,0,0,0,0,0,0,0,0,0,26,34,0,56,3,0,8,64,40,0,104
POA3285,0,0,0,0,0,0,0,0,0,9,9,3,13,0,0,0,13,8,0,25
POA3286,0,0,0,0,0,0,0,0,0,9,8,0,16,0,3,4,15,3,0,21
POA3287,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,8
POA3289,0,0,0,0,0,0,0,0,0,5,6,0,8,0,0,4,12,5,0,19
POA3292,0,0,0,0,0,0,0,0,0,4,4,0,3,0,0,0,3,0,0,10
POA3293,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,6,5,0,7
POA3294,0,0,0,0,0,0,0,0,0,11,9,0,16,0,0,0,16,5,0,21
POA3300,0,0,0,0,0,0,9,3,13,92,111,10,219,6,6,16,239,156,3,402
POA3301,0,0,0,0,0,0,0,0,0,3,7,0,10,0,0,0,16,12,0,20
POA3302,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,7,4,0,7
POA3303,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,4,3,0,7
POA3304,0,0,0,0,0,0,0,3,3,19,27,4,54,3,0,3,53,36,3,99
POA3305,3,5,0,0,0,5,12,0,18,153,142,15,312,15,20,32,342,234,7,579
POA3309,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,3
POA3310,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,3,0,8
POA3311,0,0,0,0,0,0,0,0,0,14,7,3,19,0,0,0,24,35,0,61
POA3312,0,0,0,0,0,0,0,0,0,11,5,0,15,0,0,0,15,13,0,24
POA3314,0,0,0,0,0,0,0,0,0,3,11,0,13,0,0,0,12,0,0,14
POA3315,0,0,0,0,0,0,0,0,0,14,21,9,44,0,0,0,49,24,0,73
POA3317,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,4
POA3318,0,0,0,0,0,0,0,0,0,5,10,0,16,0,0,3,14,13,0,33
POA3319,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,3,3,0,5
POA3321,0,0,0,0,0,0,0,0,0,12,7,3,26,0,0,0,26,8,0,34
POA3322,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,8,3,0,10
POA3323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3324,0,0,0,0,0,0,0,0,0,3,3,0,8,0,0,0,8,4,0,13
POA3325,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,3,7,0,9
POA3328,0,0,0,0,0,0,0,0,0,7,16,0,27,0,0,4,29,23,0,52
POA3329,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,6,3,0,5
POA3330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7
POA3331,0,0,0,0,0,0,0,0,3,67,52,3,118,3,8,7,130,53,0,180
POA3332,0,3,0,0,0,3,0,0,0,7,14,3,21,0,0,0,21,15,0,33
POA3333,0,0,0,0,0,0,0,0,0,10,7,0,17,0,4,3,22,16,0,35
POA3334,0,0,0,0,0,0,0,0,0,6,7,0,14,0,0,5,16,9,0,28
POA3335,0,3,0,0,0,3,3,3,8,73,49,3,124,9,5,14,144,61,0,207
POA3337,5,16,0,3,4,16,32,10,58,524,399,52,979,73,80,157,1137,1013,29,2173
POA3338,3,4,0,5,5,11,18,11,38,292,237,32,554,48,55,108,662,597,12,1270
POA3340,0,3,0,0,0,3,12,6,17,273,224,22,522,24,22,48,566,381,18,963
POA3341,0,0,0,0,0,0,0,0,3,16,12,4,30,0,0,0,34,12,3,50
POA3342,0,0,0,0,0,0,0,0,0,21,35,6,59,0,10,13,71,58,0,124
POA3345,0,0,0,0,0,0,0,0,0,10,6,0,18,3,4,7,26,16,0,43
POA3350,3,17,3,0,4,20,18,9,55,716,670,64,1453,83,101,182,1633,982,17,2634
POA3351,0,0,0,0,0,0,0,0,3,54,64,9,122,6,4,13,138,101,0,245
POA3352,0,0,0,0,0,0,7,0,8,106,106,11,223,7,14,24,249,148,0,399
POA3355,0,3,0,0,0,7,15,8,30,137,162,17,318,29,39,64,380,380,12,774
POA3356,0,8,0,3,3,7,12,12,29,219,269,32,523,29,53,88,609,444,19,1072
POA3357,0,0,0,0,0,0,3,0,3,42,28,3,78,0,0,0,75,38,0,110
POA3360,0,0,0,0,0,0,0,0,0,7,6,0,9,3,0,3,14,21,0,37
POA3361,0,0,0,0,0,0,3,0,3,3,3,0,4,0,0,0,4,18,0,21
POA3363,0,0,0,0,0,0,0,3,3,24,39,10,73,3,4,8,80,72,4,153
POA3364,0,0,0,0,0,0,0,0,0,17,14,0,32,0,0,0,32,13,0,48
POA3370,0,0,3,0,3,3,0,4,3,8,16,3,28,7,3,10,38,50,4,95
