SUA_CODE_2016,MSEO_SEO,MSEO_SOLSE_VWorW,MSEO_SOLSE_NWorNAA,MSEO_SOLSE_Tot,MSEO_NS,MSEO_Tot,MOL_Afrikaans_SEO,MOL_Afrikaans_SOLSE_VWorW,MOL_Afrikaans_SOLSE_NWorNAA,MOL_Afrikaans_SOLSE_Tot,MOL_Afrikaans_NS,MOL_Afrikaans_Tot,MOL_Arabic_SEO,MOL_Arabic_SOLSE_VWorW,MOL_Arabic_SOLSE_NWorNAA,MOL_Arabic_SOLSE_Tot,MOL_Arabic_NS,MOL_Arabic_Tot,MOL_AIndLng_SEO,MOL_AIndLng_SOLSE_VWorW,MOL_AIndLng_SOLSE_NWorNAA,MOL_AIndLng_SOLSE_Tot,MOL_AIndLng_NS,MOL_AIndLng_Tot,MOL_CL_Canton_SEO,MOL_CL_Canton_SOLSE_VWorW,MOL_CL_Canton_SOLSE_NWorNAA,MOL_CL_Canton_SOLSE_Tot,MOL_CL_Canton_NS,MOL_CL_Canton_Tot,MOL_CL_Mandarin_SEO,MOL_CL_Mandarin_SOLSE_VWorW,MOL_CL_Mandarin_SOLSE_NWorNAA,MOL_CL_Mandarin_SOLSE_Tot,MOL_CL_Mandarin_NS,MOL_CL_Mandarin_Tot,MOL_CL_Oth_SEO,MOL_CL_Oth_SOLSE_VWorW,MOL_CL_Oth_SOLSE_NWorNAA,MOL_CL_Oth_SOLSE_Tot,MOL_CL_Oth_NS,MOL_CL_Oth_Tot,MOL_CL_Tot_SEO,MOL_CL_Tot_SOLSE_VWorW,MOL_CL_Tot_SOLSE_NWorNAA,MOL_CL_Tot_SOLSE_Tot,MOL_CL_Tot_NS,MOL_CL_Tot_Tot,MOL_Croatian_SEO,MOL_Croatian_SOLSE_VWorW,MOL_Croatian_SOLSE_NWorNAA,MOL_Croatian_SOLSE_Tot,MOL_Croatian_NS,MOL_Croatian_Tot,MOL_Dutch_SEO,MOL_Dutch_SOLSE_VWorW,MOL_Dutch_SOLSE_NWorNAA,MOL_Dutch_SOLSE_Tot,MOL_Dutch_NS,MOL_Dutch_Tot,MOL_French_SEO,MOL_French_SOLSE_VWorW,MOL_French_SOLSE_NWorNAA,MOL_French_SOLSE_Tot,MOL_French_NS,MOL_French_Tot,MOL_German_SEO,MOL_German_SOLSE_VWorW,MOL_German_SOLSE_NWorNAA,MOL_German_SOLSE_Tot,MOL_German_NS,MOL_German_Tot,MOL_Greek_SEO,MOL_Greek_SOLSE_VWorW,MOL_Greek_SOLSE_NWorNAA,MOL_Greek_SOLSE_Tot,MOL_Greek_NS,MOL_Greek_Tot,MOL_IAL_Bengali_SEO,MOL_IAL_Bengali_SOLSE_VWorW,MOL_IAL_Bengali_SOLSE_NWorNAA,MOL_IAL_Bengali_SOLSE_Tot,MOL_IAL_Bengali_NS,MOL_IAL_Bengali_Tot,MOL_IAL_Hindi_SEO,MOL_IAL_Hindi_SOLSE_VWorW,MOL_IAL_Hindi_SOLSE_NWorNAA,MOL_IAL_Hindi_SOLSE_Tot,MOL_IAL_Hindi_NS,MOL_IAL_Hindi_Tot,MOL_IAL_Punjabi_SEO,MOL_IAL_Punjabi_SOLSE_VWorW,MOL_IAL_Punjabi_SOLSE_NWorNAA,MOL_IAL_Punjabi_SOLSE_Tot,MOL_IAL_Punjabi_NS,MOL_IAL_Punjabi_Tot,MOL_IAL_Sinhal_SEO,MOL_IAL_Sinhal_SOLSE_VWorW,MOL_IAL_Sinhal_SOLSE_NWorNAA,MOL_IAL_Sinhal_SOLSE_Tot,MOL_IAL_Sinhal_NS,MOL_IAL_Sinhal_Tot,MOL_IAL_Urdu_SEO,MOL_IAL_Urdu_SOLSE_VWorW,MOL_IAL_Urdu_SOLSE_NWorNAA,MOL_IAL_Urdu_SOLSE_Tot,MOL_IAL_Urdu_NS,MOL_IAL_Urdu_Tot,MOL_IAL_Oth_SEO,MOL_IAL_Oth_SOLSE_VWorW,MOL_IAL_Oth_SOLSE_NWorNAA,MOL_IAL_Oth_SOLSE_Tot,MOL_IAL_Oth_NS,MOL_IAL_Oth_Tot,MOL_IAL_Tot_SEO,MOL_IAL_Tot_SOLSE_VWorW,MOL_IAL_Tot_SOLSE_NWorNAA,MOL_IAL_Tot_SOLSE_Tot,MOL_IAL_Tot_NS,MOL_IAL_Tot_Tot,MOL_Italian_SEO,MOL_Italian_SOLSE_VWorW,MOL_Italian_SOLSE_NWorNAA,MOL_Italian_SOLSE_Tot,MOL_Italian_NS,MOL_Italian_Tot,MOL_Japan_SEO,MOL_Japan_SOLSE_VWorW,MOL_Japan_SOLSE_NWorNAA,MOL_Japan_SOLSE_Tot,MOL_Japan_NS,MOL_Japan_Tot,MOL_Korean_SEO,MOL_Korean_SOLSE_VWorW,MOL_Korean_SOLSE_NWorNAA,MOL_Korean_SOLSE_Tot,MOL_Korean_NS,MOL_Korean_Tot,MOL_Macedon_SEO,MOL_Macedon_SOLSE_VWorW,MOL_Macedon_SOLSE_NWorNAA,MOL_Macedon_SOLSE_Tot,MOL_Macedon_NS,MOL_Macedon_Tot,MOL_Maltese_SEO,MOL_Maltese_SOLSE_VWorW,MOL_Maltese_SOLSE_NWorNAA,MOL_Maltese_SOLSE_Tot,MOL_Maltese_NS,MOL_Maltese_Tot,MOL_Persian_ED_SEO,MOL_Persian_ED_SOLSE_VWorW,MOL_Persian_ED_SOLSE_NWorNAA,MOL_Persian_ED_SOLSE_Tot,MOL_Persian_ED_NS,MOL_Persian_ED_Tot,MOL_Polish_SEO,MOL_Polish_SOLSE_VWorW,MOL_Polish_SOLSE_NWorNAA,MOL_Polish_SOLSE_Tot,MOL_Polish_NS,MOL_Polish_Tot,MOL_Russian_SEO,MOL_Russian_SOLSE_VWorW,MOL_Russian_SOLSE_NWorNAA,MOL_Russian_SOLSE_Tot,MOL_Russian_NS,MOL_Russian_Tot,MOL_Samoan_SEO,MOL_Samoan_SOLSE_VWorW,MOL_Samoan_SOLSE_NWorNAA,MOL_Samoan_SOLSE_Tot,MOL_Samoan_NS,MOL_Samoan_Tot,MOL_Serbian_SEO,MOL_Serbian_SOLSE_VWorW,MOL_Serbian_SOLSE_NWorNAA,MOL_Serbian_SOLSE_Tot,MOL_Serbian_NS,MOL_Serbian_Tot,MOL_SAL_Filipin_SEO,MOL_SAL_Filipin_SOLSE_VWorW,MOL_SAL_Filipin_SOLSE_NWorNAA,MOL_SAL_Filipin_SOLSE_Tot,MOL_SAL_Filipin_NS,MOL_SAL_Filipin_Tot,MOL_SAL_Indon_SEO,MOL_SAL_Indon_SOLSE_VWorW,MOL_SAL_Indon_SOLSE_NWorNAA,MOL_SAL_Indon_SOLSE_Tot,MOL_SAL_Indon_NS,MOL_SAL_Indon_Tot,MOL_SAL_Tagalog_SEO,MOL_SAL_Tagalog_SOLSE_VWorW,MOL_SAL_Tagalog_SOLSE_NWorNAA,MOL_SAL_Tagalog_SOLSE_Tot,MOL_SAL_Tagalog_NS,MOL_SAL_Tagalog_Tot,MOL_SAL_Oth_SEO,MOL_SAL_Oth_SOLSE_VWorW
2012,20091,..,..,..,..,20091,..,15,0,15,0,15,..,51,7,57,0,57,..,14,3,17,3,19,..,29,31,61,0,61,..,65,43,111,3,116,..,0,3,3,0,3,..,102,76,179,3,176,..,32,3,37,0,37,..,13,0,13,0,13,..,19,0,19,0,19,..,19,0,19,0,19,..,130,27,155,0,159,..,11,0,11,0,11,..,18,3,24,0,24,..,79,13,93,0,95,..,23,0,23,0,23,..,3,0,3,0,3,..,32,0,32,0,32,..,172,19,185,0,187,..,404,55,464,5,465,..,12,4,18,0,18,..,5,25,30,0,30,..,3,0,6,0,6,..,0,0,0,0,0,..,8,8,16,0,17,..,10,0,10,0,10,..,4,0,4,0,4,..,20,3,22,0,22,..,8,0,8,0,8,..,20,0,20,0,20,..,0,0,3,0,3,..,30,0,31,0,31,..,32
2013,6972,..,..,..,..,6972,..,3,0,3,0,3,..,14,3,15,0,15,..,0,0,0,0,0,..,6,6,12,0,12,..,17,8,22,0,22,..,3,4,5,0,5,..,24,17,39,0,39,..,17,3,16,0,16,..,45,0,45,0,45,..,0,0,4,0,4,..,22,4,26,0,24,..,31,6,35,0,35,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,12,0,12,0,12,..,35,3,38,0,36,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,51,4,52,0,52,..,0,0,0,0,0,..,5,0,8,0,8,..,3,0,4,0,4,..,0,0,0,0,0,..,12,0,16,4,18,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0
2014,4773,..,..,..,..,4773,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,4,4,6,..,3,0,8,0,8,..,4,0,9,0,9,..,0,0,0,0,0,..,7,4,14,0,14,..,0,0,0,0,0,..,11,0,11,0,11,..,0,0,0,0,0,..,6,0,6,0,6,..,3,0,3,0,3,..,9,0,9,0,9,..,9,0,9,0,9,..,0,0,0,0,0,..,8,0,12,0,12,..,0,0,0,0,0,..,0,0,3,0,3,..,27,3,27,0,27,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,8,0,8,..,3,0,3,0,3,..,0
2015,6107,..,..,..,..,6107,..,15,0,15,0,15,..,12,0,12,0,13,..,0,0,0,0,0,..,10,3,12,0,12,..,28,11,35,3,37,..,0,0,3,0,3,..,36,17,48,3,49,..,10,0,10,0,10,..,8,0,8,0,8,..,8,0,8,0,8,..,11,0,11,0,11,..,5,0,4,0,4,..,3,0,3,0,3,..,20,3,24,0,22,..,18,0,22,0,22,..,13,0,11,0,11,..,13,0,13,0,13,..,13,3,10,0,10,..,76,8,85,0,81,..,20,3,25,0,25,..,3,0,3,0,3,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,10,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,4,0,4,..,5,0,5,0,5,..,0,0,0,0,0,..,15,0,15,0,15,..,3
2016,18052,..,..,..,..,18052,..,27,0,27,0,27,..,464,150,619,8,623,..,17,0,17,0,17,..,38,16,53,0,53,..,91,49,142,0,143,..,4,3,4,0,4,..,132,72,203,0,203,..,7,0,7,0,8,..,14,0,14,0,14,..,28,0,27,0,27,..,28,0,28,0,28,..,72,10,87,3,87,..,20,0,20,0,20,..,56,0,57,0,53,..,374,63,436,9,445,..,54,3,60,0,60,..,59,6,64,0,64,..,79,8,89,0,89,..,645,81,726,10,736,..,402,51,448,5,452,..,13,4,16,0,16,..,12,0,11,0,11,..,90,8,100,3,102,..,0,0,0,0,0,..,32,10,46,0,46,..,7,0,7,0,7,..,4,0,4,0,4,..,91,12,108,3,107,..,8,0,7,0,7,..,44,3,42,0,42,..,4,0,6,0,6,..,53,3,51,0,51,..,13
2017,4201,..,..,..,..,4201,..,0,0,0,0,0,..,8,0,11,0,11,..,0,0,0,0,0,..,0,4,3,0,3,..,10,9,20,0,20,..,0,0,0,0,0,..,12,11,22,0,22,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,10,0,10,..,4,0,4,0,4,..,0,0,0,0,0,..,9,0,9,0,9,..,11,0,11,0,11,..,69,15,82,5,90,..,9,0,12,0,12,..,3,0,3,0,3,..,0,0,0,0,0,..,105,17,121,5,124,..,69,13,81,3,86,..,0,0,0,0,0,..,4,0,10,0,10,..,0,0,0,0,0,..,0,0,0,0,0,..,7,3,11,0,11,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,10,0,10,..,8,7,19,0,19,..,18,0,18,0,18,..,16
2018,16503,..,..,..,..,16503,..,22,0,22,0,22,..,62,6,69,3,78,..,3,0,3,0,3,..,23,14,42,0,42,..,64,16,81,0,81,..,10,3,9,0,9,..,94,32,132,0,132,..,14,3,20,0,20,..,31,0,34,0,34,..,9,0,9,0,9,..,51,0,51,0,51,..,111,15,124,3,128,..,23,0,23,0,23,..,36,0,36,0,38,..,28,3,25,0,26,..,34,0,36,0,36,..,15,0,12,0,16,..,30,4,38,0,38,..,165,7,174,0,174,..,297,32,334,4,336,..,13,5,19,0,19,..,7,0,7,0,7,..,3,0,3,0,3,..,44,0,47,0,47,..,6,0,9,0,9,..,28,3,29,0,29,..,3,0,3,0,3,..,3,0,3,0,3,..,4,0,4,0,4,..,18,3,25,0,25,..,5,0,5,0,5,..,32,0,35,0,30,..,8
2019,7709,..,..,..,..,7709,..,5,0,5,0,5,..,10,0,10,0,10,..,0,0,0,0,0,..,7,3,7,0,7,..,17,3,24,0,24,..,0,0,0,0,0,..,26,3,35,0,35,..,4,0,4,0,4,..,7,0,7,0,7,..,8,0,8,0,8,..,14,0,17,0,17,..,14,3,18,0,18,..,0,0,0,0,0,..,6,0,4,0,4,..,19,0,21,0,21,..,9,0,8,0,8,..,7,0,7,0,7,..,21,0,24,0,24,..,58,5,65,0,65,..,145,29,166,0,167,..,4,0,11,0,11,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,6,0,6,..,4,0,3,0,3,..,3,0,3,0,3,..,6,0,6,0,3,..,17,3,19,0,19,..,3
2020,15028,..,..,..,..,15028,..,16,0,16,0,16,..,18,3,19,0,21,..,3,0,3,0,3,..,5,3,12,0,12,..,31,26,59,0,59,..,3,0,9,0,9,..,43,31,71,0,71,..,21,0,23,0,23,..,46,0,46,0,46,..,19,0,19,0,19,..,41,0,39,0,42,..,27,4,32,0,28,..,3,0,3,0,3,..,10,0,10,0,10,..,26,0,34,0,34,..,17,3,21,0,21,..,4,0,4,0,4,..,7,0,7,0,7,..,73,4,80,0,80,..,70,9,79,0,79,..,10,0,10,0,10,..,0,0,5,0,5,..,3,0,3,0,3,..,9,0,9,0,9,..,4,0,4,0,4,..,16,0,17,0,17,..,13,0,13,0,13,..,5,0,5,0,5,..,11,0,13,0,13,..,8,0,8,0,8,..,3,0,3,0,3,..,5,0,5,0,5,..,0
2021,14461,..,..,..,..,14461,..,8,0,10,0,10,..,32,0,31,0,31,..,0,0,0,0,0,..,19,6,23,0,23,..,79,117,199,0,198,..,3,12,15,0,15,..,96,136,229,0,235,..,0,0,3,0,3,..,14,0,14,0,17,..,22,4,24,0,24,..,18,0,18,3,18,..,17,0,17,0,18,..,0,0,0,0,0,..,21,0,21,0,21,..,3,0,3,0,10,..,28,4,29,0,29,..,0,0,0,0,0,..,11,0,11,0,11,..,62,4,67,0,70,..,16,0,20,0,20,..,22,3,22,0,22,..,18,44,58,0,58,..,0,0,0,0,0,..,4,0,4,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,9,0,9,..,4,0,4,0,4,..,0,0,0,0,0,..,6,0,11,0,11,..,12,0,16,0,16,..,4,0,4,0,4,..,6
