SUA_CODE_2016,C15_17F_EO_M_O_E_T,C15_17F_EO_M_LPENS,C15_17F_EO_M_T,C15_17F_O_EVWW_M_EO,C15_17F_O_EVWW_M_O_EVWW,C15_17F_O_EVWW_M_O_ENWNA,C15_17F_O_EVWW_M_O_PENS,C15_17F_O_EVWW_M_O_E_T,C15_17F_O_EVWW_M_LPENS,C15_17F_O_EVWW_M_T,C15_17F_O_ENWNA_M_EO,C15_17F_O_ENWNA_M_O_EVWW,C15_17F_O_ENWNA_M_O_ENWNA,C15_17F_O_ENWNA_M_O_PENS,C15_17F_O_ENWNA_M_O_E_T,C15_17F_O_ENWNA_M_LPENS,C15_17F_O_ENWNA_M_T,C15_17F_O_PENS_M_EO,C15_17F_O_PENS_M_O_EVWW,C15_17F_O_PENS_M_O_ENWNA,C15_17F_O_PENS_M_O_PENS,C15_17F_O_PENS_M_O_E_T,C15_17F_O_PENS_M_LPENS,C15_17F_O_PENS_M_T,C15_17F_O_E_T_M_EO,C15_17F_O_E_T_M_O_EVWW,C15_17F_O_E_T_M_O_ENWNA,C15_17F_O_E_T_M_O_PENS,C15_17F_O_E_T_M_O_E_T,C15_17F_O_E_T_M_LPENS,C15_17F_O_E_T_M_T,C15_17F_LPENS_M_EO,C15_17F_LPENS_M_O_EVWW,C15_17F_LPENS_M_O_ENWNA,C15_17F_LPENS_M_O_PENS,C15_17F_LPENS_M_O_E_T,C15_17F_LPENS_M_LPENS,C15_17F_LPENS_M_T,C15_17F_T_M_EO,C15_17F_T_M_O_EVWW,C15_17F_T_M_O_ENWNA,C15_17F_T_M_O_PENS,C15_17F_T_M_O_E_T,C15_17F_T_M_LPENS,C15_17F_T_M_T,C18_20F_EO_M_EO,C18_20F_EO_M_O_EVWW,C18_20F_EO_M_O_ENWNA,C18_20F_EO_M_O_PENS,C18_20F_EO_M_O_E_T,C18_20F_EO_M_LPENS,C18_20F_EO_M_T,C18_20F_O_EVWW_M_EO,C18_20F_O_EVWW_M_O_EVWW,C18_20F_O_EVWW_M_O_ENWNA,C18_20F_O_EVWW_M_O_PENS,C18_20F_O_EVWW_M_O_E_T,C18_20F_O_EVWW_M_LPENS,C18_20F_O_EVWW_M_T,C18_20F_O_ENWNA_M_EO,C18_20F_O_ENWNA_M_O_EVWW,C18_20F_O_ENWNA_M_O_ENWNA,C18_20F_O_ENWNA_M_O_PENS,C18_20F_O_ENWNA_M_O_E_T,C18_20F_O_ENWNA_M_LPENS,C18_20F_O_ENWNA_M_T,C18_20F_O_PENS_M_EO,C18_20F_O_PENS_M_O_EVWW,C18_20F_O_PENS_M_O_ENWNA,C18_20F_O_PENS_M_O_PENS,C18_20F_O_PENS_M_O_E_T,C18_20F_O_PENS_M_LPENS,C18_20F_O_PENS_M_T,C18_20F_O_E_T_M_EO,C18_20F_O_E_T_M_O_EVWW,C18_20F_O_E_T_M_O_ENWNA,C18_20F_O_E_T_M_O_PENS,C18_20F_O_E_T_M_O_E_T,C18_20F_O_E_T_M_LPENS,C18_20F_O_E_T_M_T,C18_20F_LPENS_M_EO,C18_20F_LPENS_M_O_EVWW,C18_20F_LPENS_M_O_ENWNA,C18_20F_LPENS_M_O_PENS,C18_20F_LPENS_M_O_E_T,C18_20F_LPENS_M_LPENS,C18_20F_LPENS_M_T,C18_20F_T_M_EO,C18_20F_T_M_O_EVWW,C18_20F_T_M_O_ENWNA,C18_20F_T_M_O_PENS,C18_20F_T_M_O_E_T,C18_20F_T_M_LPENS,C18_20F_T_M_T,C21_24F_EO_M_EO,C21_24F_EO_M_O_EVWW,C21_24F_EO_M_O_ENWNA,C21_24F_EO_M_O_PENS,C21_24F_EO_M_O_E_T,C21_24F_EO_M_LPENS,C21_24F_EO_M_T,C21_24F_O_EVWW_M_EO,C21_24F_O_EVWW_M_O_EVWW,C21_24F_O_EVWW_M_O_ENWNA,C21_24F_O_EVWW_M_O_PENS,C21_24F_O_EVWW_M_O_E_T,C21_24F_O_EVWW_M_LPENS,C21_24F_O_EVWW_M_T,C21_24F_O_ENWNA_M_EO,C21_24F_O_ENWNA_M_O_EVWW,C21_24F_O_ENWNA_M_O_ENWNA,C21_24F_O_ENWNA_M_O_PENS,C21_24F_O_ENWNA_M_O_E_T,C21_24F_O_ENWNA_M_LPENS,C21_24F_O_ENWNA_M_T,C21_24F_O_PENS_M_EO,C21_24F_O_PENS_M_O_EVWW,C21_24F_O_PENS_M_O_ENWNA,C21_24F_O_PENS_M_O_PENS,C21_24F_O_PENS_M_O_E_T,C21_24F_O_PENS_M_LPENS,C21_24F_O_PENS_M_T,C21_24F_O_E_T_M_EO,C21_24F_O_E_T_M_O_EVWW,C21_24F_O_E_T_M_O_ENWNA,C21_24F_O_E_T_M_O_PENS,C21_24F_O_E_T_M_O_E_T,C21_24F_O_E_T_M_LPENS,C21_24F_O_E_T_M_T,C21_24F_LPENS_M_EO,C21_24F_LPENS_M_O_EVWW,C21_24F_LPENS_M_O_ENWNA,C21_24F_LPENS_M_O_PENS,C21_24F_LPENS_M_O_E_T,C21_24F_LPENS_M_LPENS,C21_24F_LPENS_M_T,C21_24F_T_M_EO,C21_24F_T_M_O_EVWW,C21_24F_T_M_O_ENWNA,C21_24F_T_M_O_PENS,C21_24F_T_M_O_E_T,C21_24F_T_M_LPENS,C21_24F_T_M_T,TCF_EO_M_EO,TCF_EO_M_O_EVWW,TCF_EO_M_O_ENWNA,TCF_EO_M_O_PENS,TCF_EO_M_O_E_T,TCF_EO_M_LPENS,TCF_EO_M_T,TCF_O_EVWW_M_EO,TCF_O_EVWW_M_O_EVWW,TCF_O_EVWW_M_O_ENWNA,TCF_O_EVWW_M_O_PENS,TCF_O_EVWW_M_O_E_T,TCF_O_EVWW_M_LPENS,TCF_O_EVWW_M_T,TCF_O_ENWNA_M_EO,TCF_O_ENWNA_M_O_EVWW,TCF_O_ENWNA_M_O_ENWNA,TCF_O_ENWNA_M_O_PENS,TCF_O_ENWNA_M_O_E_T,TCF_O_ENWNA_M_LPENS,TCF_O_ENWNA_M_T,TCF_O_PENS_M_EO,TCF_O_PENS_M_O_EVWW,TCF_O_PENS_M_O_ENWNA,TCF_O_PENS_M_O_PENS,TCF_O_PENS_M_O_E_T,TCF_O_PENS_M_LPENS,TCF_O_PENS_M_T,TCF_O_E_T_M_EO,TCF_O_E_T_M_O_EVWW,TCF_O_E_T_M_O_ENWNA,TCF_O_E_T_M_O_PENS,TCF_O_E_T_M_O_E_T,TCF_O_E_T_M_LPENS,TCF_O_E_T_M_T,TCF_LPENS_M_EO,TCF_LPENS_M_O_EVWW,TCF_LPENS_M_O_ENWNA,TCF_LPENS_M_O_PENS,TCF_LPENS_M_O_E_T,TCF_LPENS_M_LPENS,TCF_LPENS_M_T,TCF_T_M_EO,TCF_T_M_O_EVWW,TCF_T_M_O_ENWNA,TCF_T_M_O_PENS,TCF_T_M_O_E_T,TCF_T_M_LPENS,TCF_T_M_T
2010,2253,53,56862,3423,23895,1732,108,25742,10,29172,73,3047,3497,20,6564,3,6647,23,142,22,81,246,0,269,3519,27086,5254,208,32551,13,36082,58,24,3,0,24,56,148,58126,29312,5293,225,34832,127,93088,29553,1086,18,8,1107,25,30683,1835,16591,1269,49,17915,16,19765,39,2319,2794,12,5120,3,5156,22,77,17,43,131,3,152,1892,18981,4073,105,23168,20,25082,30,10,0,0,12,31,78,31474,20082,4093,117,24291,67,55837,15037,536,5,3,551,18,15600,983,8618,690,28,9338,5,10325,24,1247,1647,0,2898,0,2918,14,42,8,31,91,0,101,1017,9909,2347,65,12327,9,13346,22,10,0,0,6,9,42,16071,10456,2354,74,12885,32,28989,433643,22053,312,256,22617,529,456795,33810,231328,12870,1134,245335,186,279327,601,25914,22433,206,48551,30,49179,291,1235,161,643,2043,14,2345,34701,258470,35468,1987,295930,222,330852,552,294,29,25,352,747,1650,468898,280819,35812,2265,318891,1506,789292
2011,41,0,803,53,235,21,4,253,0,304,0,24,16,0,42,0,42,0,4,0,4,6,0,6,53,263,37,6,299,0,350,3,0,0,0,0,0,0,809,301,37,6,343,3,1159,288,9,0,0,7,0,295,15,119,9,0,129,0,146,0,10,14,0,26,0,30,0,0,0,0,0,0,0,19,128,29,0,161,0,176,0,0,0,0,0,3,3,301,139,28,4,169,3,474,104,4,0,0,4,0,113,5,47,4,0,54,0,62,0,7,10,0,9,0,9,0,0,0,0,0,0,0,5,54,10,0,66,0,73,0,0,0,0,0,0,0,112,55,10,0,69,0,181,7039,407,6,9,412,17,7467,509,2471,123,12,2611,5,3119,14,252,188,0,443,0,457,9,31,3,18,51,0,58,526,2748,322,33,3106,5,3636,15,4,0,0,7,17,43,7576,3159,328,41,3532,34,11143
2012,28,3,937,22,77,11,0,84,0,112,0,15,21,0,35,0,35,0,0,0,0,0,0,0,22,93,34,0,121,0,148,0,0,0,0,0,0,0,928,117,37,0,151,3,1083,208,6,0,0,6,0,216,7,13,0,0,13,0,21,0,0,9,0,16,0,19,0,0,0,0,0,0,0,6,15,9,0,29,0,36,0,0,0,0,0,0,0,216,26,14,0,38,0,255,50,0,0,0,3,0,50,0,8,0,0,8,0,8,0,0,3,0,6,0,6,0,0,0,0,0,0,0,0,7,3,0,8,0,8,0,0,0,0,0,0,0,50,7,4,0,12,0,65,6435,155,0,0,161,16,6608,168,563,65,0,621,0,787,7,90,134,3,226,0,233,0,0,0,3,3,0,3,172,654,195,3,853,0,1023,4,0,10,0,7,32,45,6609,806,202,3,1018,47,7678
2013,4,0,259,3,7,0,0,11,0,13,0,0,3,0,3,0,3,0,0,0,0,0,0,0,3,13,3,0,13,0,21,0,0,0,0,0,0,0,259,16,3,0,24,0,280,87,0,0,0,0,0,87,4,0,3,0,4,0,7,0,0,0,0,3,0,3,0,0,0,0,0,0,0,4,3,4,0,7,0,7,0,0,0,0,0,0,0,89,4,4,0,9,0,98,36,0,0,0,0,0,36,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,32,0,0,0,0,0,35,1818,38,0,0,38,3,1859,51,61,5,0,71,0,120,3,9,4,0,14,0,21,0,0,0,0,0,0,0,53,72,11,0,84,0,134,13,3,0,0,3,3,14,1876,115,11,0,128,4,2009
2014,0,0,192,4,3,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,3,0,14,3,0,0,0,0,0,3,203,8,0,0,8,0,206,37,0,0,0,0,0,37,0,3,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,4,0,0,0,0,0,0,0,35,3,0,0,3,0,42,4,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,10,1339,6,0,0,6,3,1343,41,33,0,0,33,0,76,0,6,3,0,8,0,10,0,0,0,0,0,0,0,41,42,3,0,42,0,86,4,0,0,0,0,0,4,1387,48,3,0,48,4,1435
2015,0,0,269,3,5,0,0,10,0,15,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,5,0,0,13,0,14,0,0,0,0,0,0,0,267,8,0,0,12,3,283,57,0,0,0,0,0,57,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,60,0,0,0,0,0,67,11,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,14,1979,31,0,0,33,8,2021,62,139,4,0,141,0,203,0,4,3,0,9,0,9,0,0,0,0,0,0,0,62,143,10,0,151,0,209,6,0,0,0,0,12,18,2047,176,10,3,187,22,2251
2016,34,0,897,23,154,17,4,176,0,199,0,59,66,0,122,0,122,0,0,0,0,0,0,0,23,209,79,4,298,0,318,0,0,0,0,0,4,5,890,243,79,4,328,4,1222,222,3,0,0,3,0,227,5,45,5,0,52,0,59,0,27,32,0,54,0,54,0,0,0,0,0,0,0,5,73,34,0,104,0,109,0,0,0,0,0,0,0,226,74,34,0,109,0,337,36,3,0,0,3,0,38,0,9,0,0,12,0,16,0,13,10,0,22,0,22,0,0,0,0,0,0,0,0,25,12,0,34,0,36,0,0,0,0,0,0,0,41,27,12,0,37,0,76,5596,174,0,0,174,18,5792,169,1389,171,23,1576,0,1745,3,389,370,0,760,0,765,3,7,3,5,15,0,16,175,1784,542,28,2352,0,2522,3,0,0,0,0,23,32,5776,1953,542,29,2526,43,8344
2017,0,0,207,0,7,3,0,11,0,10,0,7,9,0,13,0,13,0,0,0,0,0,0,0,0,12,10,0,26,0,27,3,0,0,0,0,3,4,204,14,10,0,23,4,234,34,0,0,0,0,0,34,0,0,0,0,0,0,4,0,0,5,0,6,0,6,0,0,0,0,0,0,0,0,3,5,0,7,0,6,0,0,0,0,0,0,0,38,3,5,0,7,0,42,14,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,12,1357,19,3,0,20,11,1379,26,129,12,0,139,0,165,0,22,28,0,53,0,52,0,0,0,0,0,0,0,30,152,35,0,192,0,223,3,0,0,0,0,3,13,1389,169,37,0,212,13,1612
2018,13,0,645,14,36,0,0,34,0,47,0,0,3,0,8,0,8,0,0,0,0,0,0,0,12,40,7,0,41,0,54,0,0,0,0,0,0,3,650,51,7,0,59,0,704,188,3,0,0,3,0,199,4,13,0,0,17,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,3,0,16,0,23,0,0,0,0,0,0,0,197,23,3,0,19,0,221,54,0,0,0,0,0,54,3,10,0,0,11,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,3,0,7,0,14,0,0,0,0,0,0,0,54,10,3,0,7,0,69,5009,79,0,0,82,11,5097,132,409,11,0,424,3,553,6,31,30,0,64,0,66,0,0,0,0,4,0,4,130,443,45,0,493,3,626,0,0,0,0,0,12,13,5143,525,51,0,577,23,5735
2019,6,0,332,9,14,0,0,14,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,0,0,14,0,24,3,0,0,0,0,0,3,340,17,0,0,17,0,355,93,3,0,0,3,0,93,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,91,5,0,0,5,0,95,15,0,0,0,0,0,15,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,19,0,0,0,0,0,20,2522,37,0,0,37,5,2568,62,95,0,0,95,0,157,0,0,3,0,6,0,6,0,0,0,0,0,0,0,64,98,3,0,99,0,164,8,0,0,0,0,13,18,2596,133,3,0,143,14,2752
2020,12,0,750,10,16,3,0,19,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,4,0,23,0,39,0,0,0,0,0,0,0,754,30,4,0,34,0,788,265,6,0,0,6,0,271,5,8,0,0,8,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,8,0,17,0,0,0,0,0,0,0,274,14,0,0,14,0,288,73,0,0,0,0,0,73,3,6,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,6,0,4,0,0,0,0,0,0,0,76,6,0,0,6,0,80,5580,104,0,0,104,13,5694,127,175,3,0,178,0,307,3,11,5,0,18,0,19,0,0,0,0,0,0,0,132,182,7,0,198,0,329,5,0,0,0,0,4,11,5719,287,7,0,299,21,6033
2021,4,0,713,6,9,0,0,9,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,14,0,20,0,0,0,0,0,0,0,719,18,0,0,14,0,739,169,0,0,0,0,0,174,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,4,0,0,0,0,0,4,173,4,0,0,3,0,178,56,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,56,4909,57,0,0,57,5,4970,97,158,10,0,167,0,262,0,7,16,0,21,0,20,0,4,0,4,7,0,7,99,167,19,4,193,0,290,9,0,0,0,0,14,17,5012,233,19,4,254,16,5281
