SUA_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
2010,1255,6647,86622,498741,333131,59978,10815,20779,1017976,374,10267,76417,53125,10196,1042,236,4406,156065,225,2800,26741,54638,15237,2072,366,2077,104161,600,13070,103162,107769,25425,3116,600,6485,260225,1091,19703,47011,15732,1631,191,156,2858,88364,837,16048,26863,3790,214,47,51,1298,49147,2463,31030,47698,8794,517,58,110,2434,93114,7,97,127,71,16,4,3,17,333,4391,66875,121701,28385,2382,295,319,6606,230952,304,1771,2034,1208,407,70,27,363,6200,74,605,1192,1257,571,120,64,692,4571,6630,88970,314718,637358,361915,63583,11829,34930,1519926
2011,25,98,675,8696,6506,717,145,439,17307,7,123,625,921,335,13,3,71,2099,0,3,46,182,45,9,3,5,294,4,123,668,1103,382,25,5,76,2395,0,0,25,31,3,0,0,3,68,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,25,33,3,0,0,3,75,0,3,3,12,0,0,0,0,21,0,3,10,15,9,0,0,5,46,34,240,1378,9856,6909,743,152,526,19836
2012,20,179,1574,8675,3859,466,80,419,15273,7,125,901,542,20,0,0,79,1674,0,0,22,33,3,0,0,0,61,7,131,920,578,26,0,0,82,1738,4,229,724,91,4,0,4,75,1133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,228,724,91,4,0,4,75,1132,32,83,57,23,11,0,0,24,227,3,6,17,28,19,0,0,13,101,68,626,3294,9402,3912,467,87,611,18471
2013,7,70,787,3406,1070,146,35,150,5665,17,213,435,71,7,0,3,50,797,0,0,3,3,0,0,0,0,7,17,213,444,75,7,0,3,50,806,4,110,137,6,0,0,0,17,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,110,137,6,0,0,0,17,267,4,14,6,3,0,0,0,0,29,0,7,3,8,0,0,0,0,13,32,406,1373,3499,1074,146,39,218,6781
2014,4,39,414,2266,819,94,18,104,3761,0,36,98,24,3,0,0,9,171,0,0,17,0,0,0,0,0,19,0,36,118,22,3,0,0,11,192,0,42,131,21,0,0,0,11,213,0,0,0,6,0,0,0,0,6,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,42,141,24,0,0,0,11,225,3,6,6,5,0,0,0,3,27,0,0,3,8,3,0,3,0,19,14,123,683,2331,822,95,23,132,4220
2015,9,21,436,2459,1552,164,36,110,4784,3,76,228,49,0,0,0,24,391,0,33,25,12,0,0,0,8,83,3,109,250,68,0,0,0,36,471,0,36,185,52,3,0,0,8,291,0,0,24,3,0,0,0,3,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,212,57,3,0,0,15,320,5,16,6,8,0,0,0,0,43,0,0,4,5,0,0,0,0,10,18,194,909,2592,1556,164,35,156,5624
2016,24,145,1707,8381,4080,463,77,415,15284,10,304,1162,267,48,6,0,110,1906,0,6,42,28,9,3,0,7,97,10,317,1200,292,59,5,3,115,1999,0,45,52,7,0,0,0,17,119,0,10,13,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,62,9,0,0,0,18,146,21,115,63,18,3,0,0,25,237,0,5,9,8,5,3,0,4,31,49,637,3035,8708,4153,469,74,581,17703
2017,0,38,328,1921,834,80,29,97,3326,0,36,160,34,0,0,0,14,248,0,3,5,0,0,0,0,0,11,0,40,169,34,0,0,0,14,259,0,101,203,30,0,0,0,21,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,104,203,30,0,0,0,27,360,3,8,3,7,0,0,0,0,26,0,8,6,18,9,0,0,10,54,10,188,711,2016,847,80,33,145,4026
2018,8,90,1441,7851,3380,375,64,320,13533,11,181,430,118,11,0,3,37,794,0,12,44,31,3,0,0,5,87,11,194,468,152,16,0,3,41,882,5,248,702,100,6,0,4,66,1129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,249,702,100,6,0,4,66,1132,0,27,34,10,0,0,0,10,69,0,7,17,12,3,0,3,13,60,32,568,2658,8122,3402,377,72,444,15676
2019,9,31,685,3559,1669,169,32,185,6335,3,170,640,122,10,3,3,52,1008,0,20,14,9,0,0,0,0,49,3,192,657,136,9,3,3,58,1054,0,8,37,4,0,0,0,4,59,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,37,8,0,0,0,4,64,4,4,3,5,0,0,0,3,28,0,0,3,7,0,0,0,3,20,17,243,1388,3708,1681,170,40,245,7495
2020,8,65,873,5538,3894,482,111,239,11215,0,33,350,117,8,0,0,23,529,0,23,3,8,0,0,0,0,36,0,55,359,126,7,0,0,25,567,0,61,533,94,5,0,0,30,725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,533,94,5,0,0,30,725,17,47,42,11,7,3,0,13,130,0,0,6,18,5,5,0,7,45,26,229,1816,5781,3913,486,115,307,12676
2021,10,71,1175,5722,2727,421,87,218,10419,11,137,831,163,19,4,0,52,1223,0,16,139,144,15,3,0,3,319,11,157,972,305,34,5,4,55,1542,3,93,347,50,3,0,0,62,567,0,51,10,6,3,0,0,5,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,146,357,61,11,0,0,75,646,3,10,35,25,3,0,0,3,79,0,3,19,22,4,3,0,6,62,32,384,2552,6125,2779,430,89,355,12751
